,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata crypthashdata crypthashdata,deletefilew deletefilew deletefilew,deviceiocontrol deviceiocontrol deviceiocontrol,drawtextexw drawtextexw drawtextexw,drawtextexw drawtextexw getsystemmetrics,drawtextexw getsystemmetrics getsystemmetrics,findresourceexw loadresource findresourceexw,findresourceexw loadresource ntqueryvaluekey,findwindowexa findwindowexa findwindowexa,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getcursorpos getcursorpos getcursorpos,getfileattributesw setfileattributesw findfirstfileexw,getforegroundwindow getforegroundwindow getforegroundwindow,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics drawtextexw drawtextexw,getsystemmetrics drawtextexw getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics drawtextexw,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getsystemtimeasfiletime ntdeviceiocontrolfile ldrgetprocedureaddress,isdebuggerpresent isdebuggerpresent isdebuggerpresent,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrgetprocedureaddress recv getsystemtimeasfiletime,ldrgetprocedureaddress recv ntdeviceiocontrolfile,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,module32nextw module32nextw module32nextw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntclose ntclose ntclose,ntclose ntdeviceiocontrolfile ntclose,ntclose ntopenkeyex ntopenkeyex,ntclose ntopenkeyex ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose ntquerykey ntopenkeyex,ntdelayexecution ntdelayexecution ntdelayexecution,ntdeviceiocontrolfile ldrgetprocedureaddress recv,ntdeviceiocontrolfile ntclose ntdeviceiocontrolfile,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntopenfile ntopenfile ntopenfile,ntopenkey ntqueryvaluekey ntclose,ntopenkeyex ntopenkeyex ntquerykey,ntopenkeyex ntqueryvaluekey ntclose,ntopenkeyex ntqueryvaluekey ntquerykey,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntquerykey ntclose ntopenkeyex,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntreadfile setfilepointer,ntreadfile setfilepointer ntreadfile,ntreadvirtualmemory ntreadvirtualmemory ntreadvirtualmemory,ntwritefile ntwritefile ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,recv getsystemtimeasfiletime ntdeviceiocontrolfile,recv ntdeviceiocontrolfile ldrgetprocedureaddress,recv select recv,regclosekey regclosekey regclosekey,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa regopenkeyexa,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,regsetvalueexa regsetvalueexa regsetvalueexa,select recv select,sendto sendto sendto,setfilepointer ntreadfile ntreadfile,setfilepointer setfilepointer setfilepointer,thread32next thread32next thread32next,timegettime timegettime timegettime,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
benreport1.json,0.0,0.0,0.0,0.0,0.015245975903946982,0.05330571087784482,0.13627769340364498,0.026360254837129848,0.0,0.0,0.0,0.0,0.0,0.021679627737046393,0.0,0.0,0.0,0.0,0.028884951132551018,0.0,0.0,0.0334628322499154,0.06703919457667135,0.0,0.12229979728118856,0.0,0.9389420999361768,0.0,0.0,0.0,0.0,0.0,0.004521662840273092,0.25011258118848534,0.0,0.0,0.0,0.0,0.0,0.01141774352656352,0.026360254837129848,0.0,0.005212772867634327,0.0,0.09863126209164014,0.009001082840929623,0.011341293521366445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007461994530780481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004645879637010645,0.005338551729516009,0.0,0.0,0.0,0.005052058165351153,0.004942670283009449,0.005502984788898013,0.00511754750081922,0.02193561212377231,0.0,0.009382588509013889,0.0,0.0,0.004837844163803113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,30,214,0,0,0,0,2,0,0
benreport10.json,0.0,0.0,0.0,0.0025373571526367293,0.0,1.479977925180853e-05,5.264151926311043e-05,1.1709843352580397e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4864974796383624e-05,1.489019115760288e-05,0.0,5.174136943824951e-05,0.0,0.0003641350072344979,0.9999898917610687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69067647438767e-05,1.1709843352580397e-05,0.0,1.157817974251904e-05,0.0,0.0024894499742312897,9.996230188414359e-06,3.3587123587230594e-05,0.0,0.0,0.0,0.0,9.23814586954346e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6573964780145702e-05,0.0,5.925911047785862e-05,0.0,0.0,0.0,1.6519275645977888e-05,0.002018826791324434,0.0,0.0,0.0,0.0,0.0,0.0018308335657857687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,339,2,0,1,0,0,0,1,10,0,0,0,0,2,0,0
benreport100.json,0.0,0.0,0.0,0.0,0.0,0.010893002195821903,0.019372727632217573,0.012928099856976065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9656680610625911,0.0,0.0,0.0,0.0,0.0,0.005470493861523541,0.0,0.0,0.009520730703412519,0.0,0.16243171976330173,0.0,0.0,0.0,0.0,0.0,0.0036960004800035396,0.19514884948333858,0.007650133697456791,0.016670103307635308,0.0,0.0,0.0,0.012443795434096645,0.012928099856976065,0.0,0.004260912788394077,0.0,0.0073291860842793185,0.003678735862868786,0.01236047527338409,0.0,0.0,0.0,0.0,0.027198011951418223,0.0,0.0,0.0,0.0,0.0,0.0,0.015248558075751368,0.0,0.016356062045964778,0.0,0.0,0.0,0.006079296955156788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004040131337479118,0.004498131581166461,0.0,0.0035860273444774295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,48,0,0,0,0,2,0,0
benreport1000.json,0.0,0.0,0.0,0.0,0.016386991505762744,0.005544690380663395,0.012737110995571987,0.024128806301963242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006009041359850003,0.00799180560107411,0.008465211724852059,0.06126027253241915,0.019989850443836662,0.005048055014117617,0.05976961511519133,0.0074220252643163774,0.22978154401957157,0.011365045516578237,0.0,0.0,0.0,0.0,0.0012542106048146053,0.05071789415972776,0.0025960166573329784,0.0059397209194517655,0.0,0.0,0.0,0.01082069576903298,0.024128806301963242,0.0,0.11205798204269715,0.0,0.019275067184120902,0.0015604399798121171,0.009175329755612385,0.0,0.0,0.0,0.016511405675703656,0.0,0.005368889986763557,0.0,0.0,0.0,0.002434269008927439,0.0,0.008279177819466275,0.0,0.0,0.0,0.0,0.0,0.0005157411878209145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019934159475579943,0.0860450266047158,0.06572194731861783,0.0459047304788174,0.3753424695785512,0.0,0.061675650459690284,0.07637252283661675,0.11105009949369028,0.15493040184640983,0.03655202217684458,0.08944156415739737,0.03939468435675733,0.08555801973725105,0.04327112939577302,0.04886781871211682,0.835340471849868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,10,0,42,0,0,0,0,1,21,6,0,62,28,0,0,90,2,0,722,3117,6,0,0,0,2,0,0
benreport1002.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12109864558927858,0.0,0.0,0.0,0.0,0.0,0.13440432616854928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2681593699946324,0.0,0.0,0.0,0.0,0.14751458962309752,0.0,0.0,0.0,0.0,0.0,0.0,0.19848963586659268,0.0,0.11828108539061086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49432304117961245,0.0,0.0,0.0,0.09796415811770047,0.0,0.08765027640052513,0.09758654940687538,0.09075144147922193,0.23339559657934936,0.43052771669887674,0.16638505687794555,0.5227873956418477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,12,8,0,0,0,0,2,0,0
benreport1003.json,0.0,0.0,0.0,0.0,0.06002392280864863,0.004465242270652756,0.004963273712686839,0.0035329775283151382,0.0,0.0,0.008101185494759197,0.0,0.0,0.0,0.0,0.3182117082908989,0.0,0.0,0.11493082779109129,0.22872374957408603,0.23519313842484968,0.0033636843166878093,0.0005615650565100777,0.1798891964312504,0.003902722905966647,0.18304853323315065,0.8218932164447965,0.0,0.0,0.0,0.0026412805286674798,0.0,0.0030301173687442644,0.05967889041598068,0.00039199134164238193,0.0017083456104955168,0.0,0.0,0.0,0.0031880881173073387,0.0035329775283151382,0.0,0.00436656661595086,0.0,0.019903940610313278,0.00037699539994007425,0.01773375281612889,0.0,0.0,0.0067250905043920485,0.007408296274366387,0.0,0.15421078768085955,0.0,0.0,0.0,0.0019603620996962315,0.0,0.003750398918259523,0.01754006050175971,0.003911046500412261,0.0035054382048836275,0.0,0.021058493662140108,0.0006230039536398093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010469575639744898,0.016187453357784813,0.0042808688933522205,0.0013415782167127365,0.0,0.0,0.007404007187151392,0.006347911875357332,0.010350776640128226,0.02581413799406103,0.012003038573159847,0.016904754707276044,0.00447407680389111,0.01375409458482699,0.0037042134615771897,0.0020712717440826067,0.042956513772155994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,10,1,24,0,0,0,39,39,37,1,0,27,2,0,39,18,1,0,159,231,0,0,0,0,3,0,0
benreport1005.json,0.0,0.0,0.0,0.0,0.19915758806821074,0.029013767511444757,0.1418992179628909,0.04591239731980293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14149612089289995,0.04825248060354909,0.1518720493557265,0.050997761660387574,0.13135955725670057,0.02971689491622279,0.1394727956638159,0.1553492806263279,0.8869134460271758,0.0,0.0,0.0,0.0,0.0,0.0,0.08250532536088283,0.0,0.004440121217867831,0.0,0.0,0.0,0.016572170885237596,0.04591239731980293,0.0,0.03972164494444767,0.0,0.004880364872664738,0.0,0.07819073933721335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700580566814031,0.0,0.04467638232651208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02767923180503372,0.03540188419522018,0.0058114410699051594,0.034592037516059514,0.0,0.0,0.038496989179934764,0.037663446891802406,0.017971318868627656,0.005570860268904348,0.08118747937728307,0.021142670243262277,0.05617534423429813,0.016045891304833727,0.0,0.010532761575722442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,13,0,0,0,0,0,2,2,0,10,2,0,0,3,0,0,49,39,0,0,0,0,2,1,0
benreport1006.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
benreport1007.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22821016055852417,0.1145454477842252,0.9621757498997996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09495940877302415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0
benreport1008.json,0.0,0.0,0.01724563318328706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008397635046608858,0.0,0.0,0.4976134117309319,0.0,0.44483353801081243,0.15844548932865474,0.0,0.005015841497762779,0.0,0.0,0.0,0.01404072856722149,0.0,0.0,0.0,0.0,0.15436871937476868,0.0,0.06043576842583827,0.0,0.0,0.0,0.0,0.01022945947642144,0.0,0.0,0.0,0.0,0.014389455959449628,0.0,0.013764344881240379,0.0,0.008202250183672316,0.0,0.4098775706613123,0.0,0.0,0.050805912255253216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06253641858028036,0.16568199389284707,0.0065649710559548295,0.0,0.0,0.006793364562564255,0.006212661655998873,0.00607814422171514,0.0067671791322607274,0.08181154515181106,0.09171450691945005,0.1671886741448376,0.18460863578727896,0.18126452753473382,0.0,0.43429426589766834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,3,8,9,0,19,1,0,0,0,1,0,61,158,0,0,0,0,2,0,0
