,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata crypthashdata crypthashdata,deletefilew deletefilew deletefilew,deviceiocontrol deviceiocontrol deviceiocontrol,drawtextexw drawtextexw drawtextexw,drawtextexw drawtextexw getsystemmetrics,drawtextexw getsystemmetrics getsystemmetrics,findresourceexw loadresource findresourceexw,findwindowexa findwindowexa findwindowexa,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getcursorpos getcursorpos getcursorpos,getforegroundwindow getforegroundwindow getforegroundwindow,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics drawtextexw drawtextexw,getsystemmetrics drawtextexw getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics drawtextexw,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getsystemtimeasfiletime ntdeviceiocontrolfile ldrgetprocedureaddress,isdebuggerpresent isdebuggerpresent isdebuggerpresent,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrgetprocedureaddress recv getsystemtimeasfiletime,ldrgetprocedureaddress recv ntdeviceiocontrolfile,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntclose ntclose ntclose,ntclose ntdeviceiocontrolfile ntclose,ntclose ntopenkeyex ntopenkeyex,ntclose ntopenkeyex ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose ntquerykey ntopenkeyex,ntdelayexecution ntdelayexecution ntdelayexecution,ntdeviceiocontrolfile ldrgetprocedureaddress recv,ntdeviceiocontrolfile ntclose ntdeviceiocontrolfile,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntopenfile ntopenfile ntopenfile,ntopenkey ntqueryvaluekey ntclose,ntopenkeyex ntopenkeyex ntquerykey,ntopenkeyex ntqueryvaluekey ntclose,ntopenkeyex ntqueryvaluekey ntquerykey,ntopenprocess ntreadvirtualmemory ntreadvirtualmemory,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntquerykey ntclose ntopenkeyex,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntreadfile setfilepointer,ntreadfile setfilepointer ntreadfile,ntreadvirtualmemory ntreadvirtualmemory ntclose,ntreadvirtualmemory ntreadvirtualmemory ntreadvirtualmemory,ntwritefile ntwritefile ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,recv getsystemtimeasfiletime ntdeviceiocontrolfile,recv ntdeviceiocontrolfile ldrgetprocedureaddress,recv select recv,regclosekey regclosekey regclosekey,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa regopenkeyexa,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,select recv select,sendto sendto sendto,setfilepointer ntreadfile ntreadfile,setfilepointer setfilepointer setfilepointer,thread32next thread32next thread32next,timegettime timegettime timegettime,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
benreport1.json,0.0,0.0,0.0,0.0,0.01509675459036553,0.05297134058395772,0.13568229933868856,0.026434910807809135,0.0,0.0,0.0,0.0,0.02126708923809867,0.0,0.0,0.0,0.028943898725348697,0.0,0.0,0.033377108876510984,0.06695883645299687,0.0,0.12202564009245039,0.0,0.939533911457162,0.0,0.0,0.0,0.0,0.0,0.004507501913639526,0.24877831677520418,0.0,0.0,0.0,0.0,0.0,0.011353782412080557,0.026434910807809135,0.0,0.005200099909886091,0.09786325171485569,0.008992665829252938,0.0,0.01131722531684552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007414217230010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004641718208626688,0.005355510295833078,0.0,0.0,0.0,0.005052555278636206,0.004951345558520974,0.005509704956856219,0.005130001662748765,0.02192651561730984,0.0,0.009369085769368422,0.0,0.0,0.004847431228640473,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,30,214,0,0,0,0,2,0,0
benreport10.json,0.0,0.0,0.0,0.002418802042839752,0.0,1.4519875314506702e-05,5.174486520617436e-05,1.1593638511636597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.463829924341916e-05,1.4683169363418379e-05,0.0,5.096871693173894e-05,0.0,0.0003597298741136421,0.9999903841156815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6598208581377687e-05,1.1593638511636597e-05,0.0,1.1403117456670913e-05,0.0024386466635579933,9.8598513948368e-06,0.0,3.308953079311792e-05,0.0,0.0,0.0,0.0,9.167489876516122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6258377990459377e-05,0.0,5.877270065359757e-05,0.0,0.0,0.0,0.0,1.6321665308816033e-05,0.001993748469803232,0.0,0.0,0.0,0.0,0.0,0.0,0.0018191934954885614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,339,2,0,1,0,0,0,1,10,0,0,0,0,2,0,0
benreport100.json,0.0,0.0,0.0,0.0,0.0,0.010895389219953675,0.019414093934816343,0.013049409997362982,0.0,0.0,0.0,0.0,0.0,0.9654066918111172,0.0,0.0,0.0,0.0,0.0,0.005492125941875681,0.0,0.0,0.00956144589716481,0.0,0.16359590321697529,0.0,0.0,0.0,0.0,0.0,0.0037084949874696457,0.1953758657838355,0.0076783094554016725,0.01668501142465282,0.0,0.0,0.0,0.012454923952921632,0.013049409997362982,0.0,0.004278321966275742,0.0073196233421811445,0.00369930582290609,0.0,0.01241482138405369,0.0,0.0,0.0,0.0,0.027516316279888563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015249903361274266,0.0,0.016538144317491163,0.0,0.0,0.0,0.0,0.006123706037602697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004073662205099082,0.004533045932406451,0.0,0.003607957348322551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,48,0,0,0,0,2,0,0
benreport1000.json,0.0,0.0,0.0,0.0,0.016203242812628426,0.005501978257097815,0.012663206797776957,0.024162308626280344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006012636256018707,0.007877025197499358,0.008333807122599112,0.06101537558348643,0.019937146519377464,0.004981272468337332,0.05954978005565115,0.007325165375013041,0.2295953756271413,0.011494903079859408,0.0,0.0,0.0,0.0,0.0012484827832949428,0.05037470840130613,0.002584940034237601,0.005897944328305614,0.0,0.0,0.0,0.010744589199517336,0.024162308626280344,0.0,0.11162462896970415,0.01909744629341663,0.0015567365082217153,0.00045618911321021737,0.009142677458806203,0.0,0.0,0.0,0.016617750331140997,0.0,0.005321633586736986,0.0,0.0,0.0,0.00121941978482104,0.002433574795108215,0.0,0.008214326019711116,0.0,0.0,0.0,0.0,0.0,0.0,0.0005153938176900959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020012067542732558,0.08580777079401838,0.06556855090685737,0.04598425877005066,0.3748238318477903,0.0,0.06220020764764288,0.07627008211743212,0.11108486562931852,0.15489629267239402,0.036588228043125774,0.08927576809151172,0.03929424170127483,0.08531189997601923,0.0432105044576835,0.04899165793992218,0.8357909228218462,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,10,0,42,0,0,0,0,1,21,6,0,62,28,0,0,90,2,0,722,3117,6,0,0,0,2,0,0
benreport1002.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12271647068836183,0.0,0.0,0.0,0.0,0.0,0.13375006946829068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2677158783178938,0.0,0.0,0.0,0.0,0.14834194051324315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19731131748075825,0.0,0.11887736694550696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49411205887598353,0.0,0.0,0.0,0.09898622063687071,0.0,0.08784532789245907,0.09775157738542464,0.09101499235444982,0.23340830461250242,0.4302509512442659,0.16622358543454,0.5230529433328857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,12,8,0,0,0,0,2,0,0
benreport1003.json,0.0,0.0,0.0,0.0,0.05959529292033679,0.004449092852667173,0.004954796980096305,0.0035524529736832445,0.0,0.007944811647113649,0.0,0.0,0.0,0.31690557280983966,0.0,0.0,0.11547318507638157,0.22636717851443228,0.23249581496630667,0.003364034700458037,0.0005623910541092835,0.17824040999359905,0.003904381912702398,0.18140369588362282,0.8246093624693013,0.0,0.0,0.0,0.0026480859230866645,0.0,0.0030287010789272913,0.05951918068820754,0.0003919262431675158,0.0017033160444636373,0.0,0.0,0.0,0.003178702019082872,0.0035524529736832445,0.0,0.004367593322574139,0.019801739199487463,0.0003776495443223716,0.002213343232060037,0.01774341621960771,0.0,0.0,0.006734930826007181,0.007486716647473995,0.0,0.15348293352154355,0.0,0.0,0.0,0.0019721313300536296,0.001967874048462357,0.0,0.003736345788781224,0.017694636446506398,0.003939420056177113,0.0035498607736932195,0.0,0.0,0.02129025109894488,0.0006251483130551442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01055377868819915,0.016209299569180338,0.004288465911241325,0.001349437015388228,0.0,0.0,0.007497730051090622,0.006365504628561531,0.010396657840188995,0.025914741173674392,0.012064408743450142,0.01694290811108888,0.004481047983862197,0.013771009215123904,0.0037142572846626653,0.0020850723809121515,0.04315667996903914,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,10,1,24,0,0,0,39,39,37,1,0,27,2,0,39,18,1,0,159,231,0,0,0,0,3,0,0
benreport1005.json,0.0,0.0,0.0,0.0,0.19732765910935945,0.028849221021725734,0.14136476061359268,0.046070290911387035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1418706851889303,0.04765685323271685,0.14982071584190798,0.050897901114127966,0.1312814986976257,0.029383805543215808,0.13924435669372462,0.1536358778966994,0.8880095298568552,0.0,0.0,0.0,0.0,0.0,0.0,0.0821148507274634,0.0,0.0044179200267420535,0.0,0.0,0.0,0.016489307847239523,0.046070290911387035,0.0,0.03964905588081529,0.004845293438614405,0.0,0.007175982859108191,0.07807202268827436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012787877104088673,0.0701814940390291,0.0,0.04441719392695115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765943301987196,0.035391578590048454,0.005833429870015674,0.0346149753466718,0.0,0.0,0.03852407647066602,0.03775238555740078,0.01800415405529467,0.0055877971060932586,0.08120292294825006,0.021131947236945857,0.05612844709375909,0.016056221329486083,0.0,0.010560020823412293,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,13,0,0,0,0,0,2,2,0,10,2,0,0,3,0,0,49,39,0,0,0,0,2,1,0
benreport1006.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
benreport1007.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22698685545415978,0.11471817016399909,0.0,0.9624816521473092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09458212391906988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0
benreport1008.json,0.0,0.0,0.017014317124153584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008520651234961693,0.0,0.0,0.49843256109788536,0.0,0.4442130065642516,0.15787482070968512,0.0,0.004996433266423946,0.0,0.0,0.0,0.01398639955616324,0.0,0.0,0.0,0.1534335580817839,0.0,0.016231312137615382,0.06041258564022404,0.0,0.0,0.0,0.0,0.010299920878922827,0.0,0.0,0.0,0.0,0.0,0.01443119054715097,0.0,0.01370004296516804,0.0,0.00825408828816074,0.0,0.0,0.40770895138738406,0.0,0.0,0.05090977060354859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06256270391242287,0.16582199402491113,0.006597299834191675,0.0,0.0,0.006872973598268026,0.006224098220467665,0.006099420863343671,0.0067872478233483215,0.08215352865441193,0.0918361996354865,0.16729378183379598,0.18466413716989608,0.18158734856699107,0.0,0.43591305956537624,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,3,8,9,0,19,1,0,0,0,1,0,61,158,0,0,0,0,2,0,0
