,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.12184918,0.42029276,-0.39930806,-0.12416307,0.03339322,0.17378525,-0.76348776,-0.9036406,0.46888465,-0.45194638,-0.50386083,0.29334578,-0.7076993,0.2986509,0.16357122,-0.14119364,0.6312864,-0.268654,0.013618603,0.037998438,-0.21632986,0.48172587,0.32910526,0.31688482,-0.8369189,0.9326996,0.44421956,0.2510078,0.15899603,-1.0486076,-0.028380834,-0.197705,-0.35363322,-0.05571639,-0.6142466,0.4004233,0.20629291,-0.16709931,-0.060888562,-0.011524579,-0.38914844,-0.45691073,0.11556727,0.2299091,-0.09226187,0.04534214,0.38444102,0.3032106,0.049366727,0.38529298,-0.39362153,-0.14270778,-0.5131293,-0.46468002,-0.09838856,-0.24934371,0.37562874,0.26132044,-0.019599034,-0.42073566,0.33965304,0.76948565,1.1206859,-0.6636264,-0.68561524,0.08189982,-0.93646944,-0.06805104,-0.3946559,-0.29871505,-0.14504538,0.5576695,-0.099329725,0.2192977,-0.43121806,0.0680126,0.09392603,0.013491805,-0.23220658,9.238387e-05,-0.1680458,-0.20260744,0.10191358,-0.38334206,-0.17895435,0.23949842,0.058773946,0.35466024,-0.054052778,0.4350787,-0.7781006,-0.40126288,0.0024975736,-0.009822815,-0.05407511,-0.38255408,0.113239974,0.014030291,-0.3508858,-0.25768766,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.12277728,0.75529164,-0.5494523,0.36959767,-0.28906575,-0.40801114,0.37479445,-0.11708748,0.6561998,-0.8670835,-1.2574649,0.03603693,-0.7038333,-0.24445884,-0.053055827,0.4752798,0.3738314,0.1713879,-0.15654463,0.6162048,-0.40563118,0.08503912,0.1624879,-0.05399565,-0.26531282,0.27880982,0.033241123,0.2110157,0.34675667,-0.09558132,-0.021150926,-0.7146147,0.53073335,-0.2646217,-0.75557,-0.21228053,0.09913443,-0.43318576,0.057346184,0.51713455,-0.43094912,-0.76276517,-0.058569342,0.52795625,0.2420957,0.6745163,0.5500402,0.5882965,0.27485764,0.61405456,-0.046887778,0.29196995,0.41854206,-0.20396687,-0.15881038,0.23141062,-0.06993251,-0.2961311,0.33470935,0.2220096,0.17316721,0.46368846,0.7876511,0.26281267,-0.033753414,-0.411422,-0.629986,0.23781833,0.04872928,-0.3673581,0.2757072,0.54103196,-0.4047178,-0.20620655,-0.45843732,-0.042786323,-0.12741898,0.012549255,0.11163236,-0.67361176,0.15799783,0.20901163,0.36022848,0.1812203,0.8649625,-0.7743453,-0.05828386,0.07210667,0.20177151,-0.2657874,-0.0761187,-0.34380952,0.3373467,-0.56810045,-0.49109596,-0.6699235,-0.095347054,-0.35967988,-0.3366748,-0.24635665,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-0.03384436,0.3088685,-0.32849044,-0.26240966,-0.47492018,-0.53808564,0.5911349,-0.022510124,0.063779406,-0.43522432,-0.27723628,0.14084907,-0.18071215,-0.5312669,0.3771619,0.16786589,0.255481,-0.1940902,-0.6481524,-0.34079513,0.10602068,-0.32898268,0.4060799,0.28851953,-0.27912948,0.47039163,-0.3696995,0.21868068,-0.49524975,-0.83766603,0.10523668,-0.06379167,-0.48697263,0.091349974,-0.44521037,-0.39118895,0.33865523,-0.5715124,-0.738233,-0.17076099,-0.31167337,-0.34091747,0.12690964,0.29782072,0.24610795,0.6112739,0.19396254,0.52322376,0.50077844,0.54978263,-0.12147446,0.46466342,0.38627112,0.38194525,-0.0845907,0.015352371,0.2438695,-0.07668138,0.15197127,-0.34042674,0.033576734,1.029183,0.37395477,0.08515803,0.034497935,-0.61288,-0.29886663,0.12436248,0.22939828,0.21340896,0.22906427,0.055764467,-0.49534863,0.34665823,-0.37779194,-0.19061588,0.22975971,-0.3069811,-0.43650573,-0.4555251,-0.014260342,0.12849498,0.33537462,0.52961445,0.5902816,-0.13706656,0.019707458,-0.17699859,-0.41739908,-0.33475575,0.034702946,-0.17439733,0.10290103,0.3958276,-0.23097363,0.1196302,-0.45830917,-0.48662782,-0.1272442,-0.0496986,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,-0.27657863,-0.2936897,-0.26868162,-0.08233244,-0.37675574,-0.11128854,-0.4743392,-0.47027454,0.16996962,0.24204329,-0.082402386,0.34379315,-0.5405615,-0.42024633,0.16366561,-0.42190066,0.65935224,-0.45557374,-0.80245924,0.20073427,0.42124656,0.42185602,0.47395152,0.15456958,-0.45177156,0.44267964,0.10726097,0.15943931,-0.013570684,-0.59558856,-0.06991822,-0.1104907,0.14332533,0.28700766,-0.4502432,0.46279064,0.09288518,-0.4797704,0.17459318,0.4974292,-0.5279563,-0.14042716,-0.056143835,0.09923501,0.2870403,0.5726529,0.72411644,0.9101341,0.11239024,-0.021034837,-0.0034474968,-0.44855434,0.7116214,0.24993514,0.2518135,0.09833116,0.067775756,0.22732854,0.053330895,-0.014208302,-0.09996222,1.1506327,0.53598124,-0.31144893,0.6315674,0.06601525,-0.79136854,-0.20479997,0.081921086,-1.1094184,-0.23237953,0.09281737,-0.022156294,0.21141239,-0.40726012,-0.06406035,0.10263712,0.24906172,-0.5854421,-0.19256625,-0.20045523,-0.40396273,0.43099898,-0.13812165,0.5453666,-0.25197744,0.537721,-0.15510252,0.07672739,-0.3406315,-0.37635076,-0.2508841,-0.0135486005,-0.30924213,-0.24775304,-0.72280943,0.2276135,0.42670146,0.53995794,-0.17028269,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.031115334,-0.048746247,0.015645951,0.44625944,0.29816088,-0.51076543,-0.248953,-0.7067878,0.4515694,0.16012986,-0.32991293,-0.30360594,-0.8436444,-0.14734522,0.6489166,-0.6052026,0.20233631,-0.37851158,-0.6970579,0.4006412,-0.37668616,0.061460923,0.4425962,0.59859145,-0.1628288,0.25914466,-0.1228807,-0.37712473,0.22678858,-0.3029924,-0.23511073,0.15118407,-0.0063883504,0.26795727,-0.5192324,0.5617206,0.23878594,0.21289584,-0.097618885,0.07533406,-0.6814772,-0.39728242,0.15975605,0.30374146,0.4478479,-0.08567824,0.70727205,0.34644836,-0.23292105,0.308851,0.030795626,-0.4482215,0.05987355,-0.41828153,-0.106966786,0.01881338,-0.046458196,0.2978191,0.30142567,0.32726124,-0.16446586,0.63935715,0.26448894,-0.94098276,0.14135295,-0.25061527,-0.6379868,0.2176931,-0.19578667,-0.48483405,-0.0724541,0.6711827,-0.32826948,0.6090409,-0.50302345,0.25776857,0.19201496,0.41403824,0.018707795,0.118069455,-0.20011383,-0.4060673,0.2917339,-0.11431119,0.018686082,-0.45904934,0.5492543,-0.36827,-0.37619817,0.21947448,-0.24666372,-0.3785504,0.25658613,-0.35890168,-0.30817208,-0.773014,0.68060094,0.30315253,0.14175703,-0.30894572,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,-0.011367258,0.81326824,0.062598825,0.29832312,-0.40968487,0.022155516,-0.07211487,-0.35897142,0.18735628,0.49598137,-1.317006,-0.05876684,-0.83070886,0.3748137,0.3936661,0.32857564,0.5373479,-0.530006,-0.5306457,0.4267435,-0.3309077,0.677419,0.47359118,-0.22905715,-0.2832357,0.26463062,0.24663378,0.6066186,0.3145236,-0.5414638,-0.21099222,-0.52706856,0.11037563,-0.28834352,-0.56106263,-0.16153376,-0.048277374,-0.45840013,-0.21031694,0.18687467,-0.3717683,-0.49729657,-0.08224972,0.73662287,0.40835145,0.5829168,0.4708417,0.25834075,0.427726,0.55163634,0.17057301,-0.07476117,-0.36585557,-0.25492448,-0.42622116,0.097791635,0.072810575,-0.15160888,0.08740295,0.18518777,0.46853262,0.01553901,0.12566553,0.096242145,0.0033521578,-0.15029687,-0.75952977,0.62796396,-0.24504977,-0.010153127,-0.09271693,0.5013224,0.066255085,0.4613801,-0.6438249,0.19314691,0.29164252,0.17213123,-0.32475406,-0.1413643,0.07748834,0.0014009725,-0.12004305,-0.5978124,0.2670811,-0.05274025,0.63115984,0.11141914,0.3639638,0.48247528,-0.2028606,0.0018870404,0.30708566,-0.049612463,-0.047483616,-1.0043248,0.22655378,-0.084678024,-0.09365475,-0.21903755,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.011736313,0.19007151,0.5966791,0.9438671,-0.29034922,0.03556066,0.63579375,-0.077205606,-0.22302549,0.37545216,-1.1163851,1.126688,-0.5296129,-0.07628119,0.6399649,-0.32503566,0.5319571,-0.5840956,-0.25716275,0.76116383,-0.26145217,0.24863584,0.36500403,0.58706325,0.78137386,-0.17748396,0.23357716,0.04709732,0.39650425,-0.6009699,-0.20732728,-0.0024296707,-0.45163965,0.12064156,-0.39354149,-0.15710565,0.55528307,-0.61157006,-0.5305712,0.29409242,-0.16574779,-0.33097768,-0.49049312,0.28348315,-0.19354847,0.18893631,0.21795306,0.47710377,-0.030678608,0.29522792,-0.11247571,-0.15293983,0.29345682,-0.3245238,0.17546485,0.01664719,-0.25109026,0.11529529,0.68328375,0.22767058,0.6293843,0.42703143,0.032364354,0.06830517,0.35903648,-0.09533705,-0.63476837,0.043805625,0.4110962,0.16874701,0.07960306,0.33235708,0.044220593,0.26695177,-0.30667382,0.35346133,0.47629395,0.41528016,-0.06898162,-0.43144587,0.31326658,0.07896054,0.31242773,-0.043642182,-0.032209437,-0.09424461,0.59651023,0.020794032,0.24631861,0.13112317,-0.11084738,0.13257156,0.03853739,-0.16115102,0.020553332,0.09745711,0.1485793,-0.15771079,0.0012554622,-0.02504251,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,0.5256972,0.25037542,-0.20232755,0.56602365,0.3385904,0.029378988,-0.28381532,-0.8811706,-0.21396482,-0.051685456,-0.3588014,0.3015789,-0.8426458,0.12604056,0.2072859,-0.12517455,0.46056238,-0.58201104,-0.18994163,0.38058257,0.23477514,1.1667413,0.61314404,0.2930823,0.29740444,-0.2515271,0.104571834,0.039262373,0.23881589,-0.1727251,-0.08803353,-0.32474828,-0.05179379,-0.21066536,0.02264476,-0.06652056,0.3279833,-0.44224787,0.15273853,0.31034556,-0.47202328,-0.9908355,-0.096474744,0.12321958,0.19949815,0.74484545,0.7404274,0.1839047,0.57564265,0.045132376,0.38804182,0.18889908,0.11934647,-0.101790525,-0.5100933,0.007705939,0.28406763,-0.40131906,0.58269626,-0.14340736,0.48473504,0.13696982,0.32482383,0.37146592,-0.018415155,-0.10902019,-0.4264544,0.3485751,0.4091558,-0.02712381,0.08291332,-0.11619974,0.07919434,0.3976529,0.012290052,-0.18557803,0.7181496,0.005490052,-0.07827679,-0.8931814,0.13073054,-0.3350897,0.119777545,-0.048944253,-0.38407755,0.121867076,0.06219245,0.28427693,0.70845646,0.16275674,-0.06166911,-0.08633612,-0.062301826,-0.3534493,-0.071823865,-0.73593885,0.06443399,-0.34246063,0.27444547,0.19878721,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,-0.08525542,0.7156056,-0.20929472,0.034436207,-0.32718664,0.04104267,-0.0063458853,0.15456042,-0.3282444,0.39256003,-0.093237504,0.42656887,-0.2937101,-0.6050215,0.33963817,-0.15568514,0.3908443,-0.2483489,-1.1357427,0.44852096,0.23499148,0.5869115,0.37393644,0.14682597,-0.11069362,0.079164736,-0.8026382,-0.018696856,0.06258268,-0.071869865,-0.31329203,0.18400227,-0.52189976,0.14837101,-0.4660117,-0.4473977,0.15858564,-0.10356774,0.2492329,0.20567954,-0.28645572,-0.7823154,-0.2540748,0.987233,0.5998122,0.26857135,0.44010207,0.10319578,0.2038957,0.7621819,-0.20955859,-0.0978816,0.06607084,-0.7448331,-0.3084594,0.14888968,0.015961014,0.58738446,0.37473667,-0.023887679,0.15080994,-0.46620628,0.87467754,0.15652432,-0.15581195,0.43049422,-0.98452866,-0.454279,-0.3276224,-0.3208773,-0.06258024,0.45075136,-0.31982374,0.47993055,-0.2736321,0.3599502,0.46018738,0.2819192,-0.29716128,-0.4636098,0.60658354,-0.390257,0.39673918,-0.023423878,-0.12377324,-0.091525376,0.25690505,0.3358737,0.27632844,-0.23577188,-0.7017238,-0.89719486,0.006478705,-0.37779984,-0.32916582,-1.1175933,-0.48456937,-0.08487015,0.2715022,-0.46980664,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,-0.7431907,0.7517983,0.16235112,0.026028404,-0.5204506,-0.24963772,-0.0508682,-0.4296998,0.28493544,0.4829041,-0.50210357,0.2151978,-0.12319414,0.06748596,0.51321703,-0.85771275,0.37837553,-0.16287234,0.11233201,0.8881533,0.12032811,0.78296494,1.0496707,-0.0398514,-0.35497123,0.34961218,-0.2739465,-0.3343381,-0.028262638,-0.62860286,-0.5130587,0.4909598,-0.4733176,-0.10559542,-0.28033146,0.026097685,-0.16748488,0.018852215,-0.64797527,-0.0445411,-0.08017504,-0.46395293,0.15181546,0.38384366,-0.050940886,0.3708871,0.009850034,-0.33837965,0.27979752,0.21909863,0.083471105,0.43896225,-0.31561106,-0.49875507,0.072701655,0.37937325,0.008972816,0.05671786,0.40767676,-0.29820707,0.17924745,-0.2262474,0.43698394,0.121794455,-0.41575938,0.66117394,-0.4433632,-0.2745135,0.14249313,-0.14896066,0.5736708,0.08219149,-0.17787063,0.7049077,-0.15734236,0.14736417,0.18140268,-0.07915538,-0.42455935,-0.24457097,0.20172594,0.09461017,0.35064733,0.4273655,-0.65433365,0.10290899,-0.112737626,0.11456796,0.4577068,0.11738612,-0.14157791,0.13050988,-0.16260254,-0.07810909,-0.09691727,-0.13914166,-0.2967291,0.29393375,-0.08660478,-0.43236837,1.0
