,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,0.4624247,-0.28933436,-0.33694494,-0.51759815,0.38128337,-0.4022912,-0.31131577,0.30227384,0.5486255,-0.7106848,-0.0045593837,-0.55054873,0.4675907,0.49770656,-0.454625,0.42244366,0.12328259,-0.28253666,-0.102242604,-0.12869573,0.14006563,0.091792114,0.10956873,-0.089927435,-0.22351985,0.54352903,-0.19449821,0.13244599,0.007896861,-0.20165974,0.25272864,-0.027808117,-0.49584258,-0.08296072,0.0107759535,-0.115198195,0.07299522,-0.09177103,-0.21707353,-0.5060935,0.23508546,0.18904004,-0.2688113,-0.06315084,0.06528986,0.36287367,-0.15114926,0.19746016,0.21112542,-0.05735445,-0.03861869,0.3785979,0.19870062,-0.1167649,0.060900304,-0.14261541,0.24332298,-0.26260433,0.29299536,0.10167564,0.25408652,0.3532817,0.027967155,-0.261912,0.069641985,0.49506527,-0.42795214,-0.27360278,-0.4296793,-0.29072216,-0.19632198,0.5031906,0.346009,0.22941822,0.47658974,-1.2798848,0.43137863,-0.05729059,-0.19002609,0.018440027,0.24107902,0.61457056,-0.0436999,0.04820636,-0.38894996,0.1814546,0.11202795,-0.2501448,0.42654735,0.22343622,0.1953196,0.031366073,0.046538208,-0.36994138,-4.8241673e-05,-0.010756631,0.19047864,0.24609223,0.008356974,0.22073366,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.05757472,-0.8545159,-0.33488595,-0.16079424,-0.10530693,-0.08410731,-0.27037376,-0.011000736,-0.2703701,-0.37474597,0.40896276,-0.08838293,0.40844586,0.48991933,0.093278736,-0.080526896,-0.31211406,-0.1372388,-0.64889175,-0.38973576,0.20734075,-0.18679492,0.45065784,0.06376502,-0.44065917,0.42257017,-0.18230793,0.15703325,-0.06207205,0.120869674,0.16822563,-0.15240556,-0.33219025,-0.3455964,-0.05031056,-0.27623504,0.023584995,-0.011353778,-0.07532713,0.29917425,0.056789152,0.3395206,-0.22092235,-0.3321127,-0.14073913,0.33535448,0.10742602,0.15561871,0.1548894,-0.24721086,-0.37124237,0.40286773,0.059372265,-0.3738044,-0.5136932,-0.033817317,0.42052096,-0.030553348,-0.031276677,0.044646144,0.26589587,0.055576183,0.31075355,-0.06019426,-0.35196877,0.49029595,-0.3395459,-0.09320149,-0.61022204,-0.19296849,-0.04212218,0.4688384,0.15017295,0.12479432,0.39660448,-0.8893657,0.2663468,-0.028081473,-0.13528396,-0.1905462,0.21998462,0.3364475,-0.114547506,0.016499573,0.14194058,-0.039619233,0.08723883,-0.17826493,0.38806164,-0.2244784,-0.1758099,-0.27003852,0.030450396,-0.34607273,-0.19853629,-0.25480282,0.23520422,0.22453068,-0.19760644,0.39757636,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-0.2062567,-0.093143426,0.14696851,-0.31738636,0.08024508,0.09808732,-0.33704647,0.16090564,-0.07473001,-0.9085621,0.22880769,-0.40795812,0.33171725,0.06260707,0.03516092,0.57505614,-0.6231838,0.042829238,-0.53576833,-0.09806958,0.17450109,0.104465865,0.0038328448,0.13900381,-0.618099,0.24620223,-0.31453145,0.09472275,0.07582329,-0.0013273271,0.3083386,-0.20935592,-0.35489193,-0.29630923,0.015888955,-0.21734613,-0.015274723,0.04003396,-0.16271792,0.13444993,0.052616082,-0.20416947,-0.4298365,-0.10244901,0.08598294,0.38101554,0.21796678,0.28147805,0.14857228,-0.04797288,-0.0022510472,0.059115164,0.20531482,-0.060104102,-0.17750004,-0.22879435,-0.057440203,0.4501141,-0.08041761,-0.2839194,0.19592454,-0.11549398,0.2533107,-0.0610012,-0.19916944,0.30039707,-0.09355169,-0.16607237,-0.18418851,-0.027769884,0.007138056,-0.008081085,-0.059933968,-0.12745932,0.117076546,-0.4996563,0.55242246,0.034194842,-0.116931975,-0.24344926,-0.26137882,0.19766514,0.009849076,0.39233825,-0.17680657,-0.038069867,0.049275115,-0.17051584,0.14914301,-0.5730795,0.20097943,-0.0098556895,-0.31993648,-0.53568685,-0.44011524,0.21702112,-0.3045026,0.09898283,-0.65095526,0.16881505,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,-0.18499218,-0.2233217,-0.061752453,-0.28625983,0.018119756,-0.2978318,-0.11033837,-0.0053922045,0.55891955,-0.5756038,0.30594668,-0.1906683,0.09425654,0.3475063,-0.079663165,-0.04564374,-0.20745361,-0.20788859,-0.177196,-0.2482344,0.15534954,-0.040019035,0.22195454,0.14697069,-0.27759212,0.28222385,-0.19044068,0.0710018,-0.1657371,-0.18850334,0.11454405,-0.11875827,-0.33631375,-0.10683505,-0.13289692,-0.23799297,0.21027763,-0.008906226,0.032950073,0.045548204,0.11098249,0.07772677,-0.13616699,-0.08069027,-0.027960451,0.24383745,0.060406864,0.09128176,0.05937823,-0.2402184,-0.18396783,0.2270034,0.0035858334,-0.28150913,-0.28109452,-0.07872793,0.20318049,0.09174582,-0.06351546,-0.0705983,0.23228544,0.2809407,0.15364279,-0.02744574,-0.3927398,0.5453354,-0.52619344,-0.09559479,-0.30500922,-0.11827609,-0.007020893,0.42797548,-0.08222203,-0.07836755,0.21118592,-0.56044,0.2715764,-0.10292166,0.026228443,-0.24259837,0.13773622,0.2209149,-0.16675244,0.12546742,-0.120933644,0.055701904,-0.048803672,0.003068506,0.33687225,-0.08630271,0.028876211,-0.2541068,0.014160868,-0.36527908,-0.05803894,-0.0883167,0.25512654,0.19705684,-0.25022477,0.13450527,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,-0.074589804,-0.4074538,-0.20604385,-0.31532454,-0.2937221,-0.3090605,0.21061532,0.13179916,0.57117766,-0.68770385,0.4265636,-0.13340554,0.01639459,0.38463372,-0.09967368,0.38927615,-0.18814078,0.024431735,0.14103246,-0.028883329,-0.031023426,0.078059904,0.3131515,0.16942707,-0.3947176,0.67754745,-0.20550075,0.24394019,0.024848664,-0.0044872477,0.2446339,-0.15559584,-0.42057705,-0.038647164,-0.28958437,-0.37744987,0.2595782,-0.10847511,0.18965413,0.04884233,0.10345927,0.116615325,-0.17660029,-0.11716382,-0.22444212,0.31153455,0.14864886,0.35405862,0.26417482,-0.06398819,-0.31356907,0.31926417,0.13230649,-0.47845563,-0.26310462,0.0013689828,0.2921311,-0.22274439,0.45332864,-0.085182115,0.2720695,0.24885777,0.5438027,-0.25046358,0.29778922,0.19427,-0.28546482,0.0022151282,-0.6210235,-0.1225917,-0.37313887,0.5152059,0.21554993,-0.009069851,0.23294443,-0.8705256,0.35338897,0.16607867,-0.0016035005,-0.14694054,0.21595033,0.30595025,0.009456261,-0.090677254,-0.120273344,-0.1579142,0.1113112,-0.028518828,0.26441088,0.09607028,-0.06536666,-0.21851206,0.09352879,-0.39080137,-0.1255046,-0.22925948,0.1926458,0.098642044,-0.22431438,0.14467317,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,-0.41790754,-0.9604906,-0.56845814,-0.14483745,-0.43742535,-0.37137058,-0.46203128,-0.3739425,0.2320209,-0.22407107,0.3746552,-0.070509695,-0.12937316,0.35255787,-0.004164268,0.18892048,-0.12496414,0.07696954,-0.2842243,-0.08980902,0.19025825,-0.092017606,0.4441874,0.28281415,-0.35749373,0.6442635,-0.0798971,0.19866684,-0.08359195,-0.17330405,0.1376074,-0.578596,-0.37214333,-0.28055155,-0.13574013,-0.7404771,0.22027832,-0.15810579,-0.00919071,0.23157452,0.37295973,0.24748382,-0.19574322,-0.55431134,-0.3119665,0.39101523,-0.022783618,0.3649494,-0.050668076,-0.34440392,-0.27533588,0.45700958,0.13161096,-0.4035704,-0.2620363,0.25468352,0.35533282,-0.22568251,0.3475268,0.15697694,0.25781605,0.46615267,0.2690559,-0.20785938,0.16330272,0.37810957,-0.13638571,-0.06325036,-0.94634724,-0.14896667,-0.3761986,0.5864359,0.11850973,-0.0021635136,0.20695111,-0.90713286,0.16367207,0.06258768,-0.13273568,0.06761406,0.39841697,0.27226233,0.010850739,-0.13335384,0.37654826,-0.18705986,0.22577389,-0.19847047,0.2539011,-0.03507007,-0.25068757,-0.24638069,-0.020155452,-0.38300997,-0.1659742,-0.2988744,0.42956465,0.1870182,-0.33923787,0.3959152,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,0.13946488,0.13743626,-0.040882748,-0.4918791,-0.68198407,0.08786897,0.0902578,-0.4872091,-0.56406987,0.25224346,0.5143878,0.45510432,0.038396955,0.11937121,0.12585568,0.26948562,0.08486855,0.22680593,0.36299923,0.16841656,-0.105936386,-0.34167406,0.34876323,0.09788256,-0.18919604,0.45067185,-0.20410742,0.0941539,0.04081699,-0.112417445,-0.018816344,-0.59272206,-0.33674893,0.006600027,-0.20549789,-0.429821,0.24403958,0.0665617,0.1049055,0.06635501,0.29532465,-0.33253452,-0.2275428,-0.3028593,-0.21808288,0.70543355,-0.020562544,0.48665404,-0.018756585,-0.20385054,-0.43833628,0.4140773,0.18493675,-0.42357975,-0.0869739,0.21690325,0.17818105,0.1732098,-0.009468892,-0.2302257,0.16586708,0.3896365,0.3570306,-0.25235322,-0.09709783,0.4045932,-0.45500183,-0.2811929,-0.64232564,-0.08171604,-0.15627219,0.2715761,-0.3591761,-0.3234933,-0.03519963,-0.5376578,0.4363731,-0.017763866,-0.07175289,-0.07977933,-0.4617506,0.38563082,-0.04467319,0.073888,0.016023759,0.24940944,-0.12081532,0.06428249,-0.020116331,0.052317377,-0.2719283,-0.35837185,-0.37875545,-0.40993026,-0.18907785,-0.08186449,-0.1272024,0.12755585,-0.5100342,0.32024157,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,-0.4955277,-0.23579635,-0.63295543,-0.48968664,-0.19717708,-0.17317821,-0.51809484,-0.14659451,-0.2828555,-0.24818788,0.59349585,0.11325085,-0.006947777,0.23254266,-0.053888243,0.07669473,0.21653628,0.25810325,0.06399275,0.030070905,-0.12705532,-0.02578209,0.48818004,0.54108936,-0.47341555,0.29666567,0.018330269,-0.029203491,-0.01012003,-0.24646913,-0.23580948,-0.5542623,-0.51621413,-0.13359588,0.16148661,-0.39444983,-0.010706992,0.19924462,-0.08689082,0.1952922,0.27708805,0.165431,-0.21567917,-0.2425176,-0.005869392,0.2805746,-0.012268719,0.18798396,-0.12443475,-0.17962056,-0.10633125,0.21821302,0.02822259,-0.3561979,-0.28734022,0.24816617,0.17861971,0.11415203,0.2647071,0.06756415,0.029449157,0.17958155,0.29361713,-0.20494196,-0.0948273,0.624451,0.09989225,-0.08398284,-0.71774805,-0.034913953,-0.114259265,0.21882124,-0.018267822,-0.14878543,0.07553028,-0.11268952,0.0663422,0.17151943,0.023273429,0.044312384,-0.039415546,0.17503701,0.20570329,0.1731678,-0.059368588,-0.27828366,-0.0019248606,-0.2716984,0.1536073,-0.29536694,-0.13491896,-0.053905897,-0.29845425,-0.21346399,-0.38231805,-0.14749217,0.12136894,0.0063125845,-0.6014329,0.16442373,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,-0.05960191,0.060474385,-0.02107518,-0.51469266,-1.0969218,0.05318471,-0.41377518,-0.0897566,-0.40247098,-0.33545002,0.61946857,0.26426297,-0.65606296,0.03539641,0.67561084,0.7260486,0.012404672,0.47576255,-0.63962877,-0.13180484,0.037199076,-0.05062115,0.15714331,-0.35991654,-0.11849404,0.3528041,-0.13238616,0.37509555,0.2183652,-0.4924358,-0.037379608,-0.4946206,-0.22847551,-0.2363832,0.06754184,-0.32264668,-0.21990815,0.13103074,-0.5198415,-0.24860302,0.11428332,0.14239536,-0.1723983,-0.25629902,0.039231993,0.23092268,-0.24338496,0.06506923,0.01674572,-0.3060519,0.024401575,0.057780486,0.2002851,-0.17650038,0.036048565,0.5623254,-0.10813359,-0.009800813,0.24539126,-0.06065246,0.24990983,0.09280053,0.078371584,-0.13264278,0.39866996,0.2520713,0.13519089,-0.08457828,-0.19860612,-0.036581844,-0.25233653,0.15916441,0.09884635,0.038987204,0.24490757,-0.29305667,0.2619701,-0.06775925,-0.49804902,0.010307168,0.31592542,0.6491931,0.09413759,0.13637966,-0.589992,-0.4619807,0.3549109,-0.15820071,0.26092535,-0.3974065,0.295027,-0.0447736,-0.45142794,-0.83017343,-0.34581855,0.25521374,-0.43750897,0.021734122,-0.38306293,-0.008914661,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,-1.1905789,0.48561427,0.23568957,-0.14617671,-0.21641138,0.071964376,-0.20541811,-0.2605419,-0.13760078,-0.029697487,0.50589204,0.18664446,-0.15413837,-0.08589234,0.30410466,0.0428991,0.62045443,0.19947357,0.1974369,-0.053011198,-0.22228079,0.3703011,0.24084376,0.17367156,-0.085416496,0.31968784,-0.162524,0.47188687,-0.030389603,-0.79060876,-0.12297754,-0.5392653,-0.4056034,0.21887396,-0.12898494,-0.41416153,-0.24101372,-0.07557621,-0.43840143,-0.4170012,0.34212327,0.24145254,0.11185146,0.16878645,0.100460395,-0.07731404,-0.27509397,0.022671869,-0.11396614,-0.055062693,-0.21965629,0.34950987,0.03741979,-0.29529688,0.13290147,0.62495077,-0.13995197,-0.18401761,0.28600493,-0.009629532,-0.21243265,0.46143517,-0.016662242,-0.23395538,0.11363766,0.47316056,-0.06334871,-0.16963011,-0.034921672,-0.3320665,-0.19993138,0.35710594,0.3347196,0.32697332,-0.22324221,-0.10885012,0.017856166,0.121370554,-0.03483391,-0.20795752,0.08826295,0.49810177,-0.12751259,0.27811605,-0.5933256,-0.14811528,-0.060351837,-0.17802295,0.48756754,0.20203578,0.29588017,-0.08187691,0.14694333,-0.44735548,0.10863541,-0.036802825,0.1528455,-0.10887169,-0.32198405,-0.045323767,1.0
