,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,T,1,0,F,2,3,4,D,4,2,C,9,6,C,5,3,9,3,0,9,B,A,3,1,8,E,A,4,6,2,D,6,8,2,D,7,7,5,2,B,0,8,5,1,3,5,A,C,2,3,7,8,A,D,C,0,F,4,D,E,B,9,9,F,C,3,5,7,9,3,F,E,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,T,1,4,7,F,2,7,0,4,1,E,6,3,C,9,3,5,2,0,9,7,3,2,0,8,D,B,8,B,3,E,7,4,A,8,7,3,2,2,2,5,C,1,1,B,5,A,4,9,3,A,9,7,D,8,0,7,5,F,D,B,A,5,F,D,6,1,3,A,3,F,E,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,T,1,F,5,5,4,8,C,8,2,C,6,9,C,1,6,0,3,4,0,B,0,3,1,C,B,9,4,7,7,C,3,B,2,A,B,B,A,E,E,4,4,3,A,5,5,9,D,3,2,2,1,F,5,9,5,D,4,9,F,6,9,F,E,E,3,1,7,C,2,A,D,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,T,1,8,9,E,2,3,1,4,2,C,9,7,8,D,3,E,1,0,A,B,E,3,0,8,D,9,4,6,2,9,5,8,2,D,A,3,5,2,6,4,8,D,1,3,5,B,C,2,7,B,9,9,D,C,0,F,0,D,E,B,6,5,B,C,2,9,B,5,3,F,F,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,T,1,D,F,D,2,1,E,4,2,C,5,7,8,9,3,E,2,0,A,B,E,3,0,8,D,A,0,6,2,9,5,8,2,E,A,7,5,2,B,4,C,D,1,2,5,7,C,1,7,B,D,6,8,C,0,F,0,D,E,A,6,5,B,D,3,5,7,9,3,F,F,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,T,1,F,E,1,3,A,1,8,1,E,6,3,C,9,3,4,2,0,8,7,7,3,0,8,D,B,8,6,3,A,3,4,6,8,7,7,5,3,6,5,C,1,1,7,5,E,4,9,3,A,9,B,D,8,0,B,4,E,E,B,A,9,F,D,6,1,3,9,3,F,E,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,T,1,D,D,0,3,5,1,8,2,D,9,2,C,5,6,4,3,0,9,6,6,3,1,8,F,A,8,A,1,D,3,8,2,8,3,B,5,7,A,4,C,3,5,3,9,D,8,6,3,6,4,D,D,8,0,F,4,9,F,B,A,D,F,C,2,5,7,D,3,F,A,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,T,1,9,E,0,3,5,E,8,2,E,6,3,C,9,3,4,2,0,4,7,2,3,0,8,E,B,8,7,3,9,3,8,6,4,7,7,6,6,9,5,8,2,6,7,9,D,8,6,3,6,5,B,D,8,0,F,0,E,E,7,6,D,F,E,6,1,3,9,3,F,D,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,T,1,7,F,2,3,8,B,4,1,D,5,3,8,9,3,A,2,0,A,B,B,2,0,8,D,B,4,7,3,A,6,4,6,C,A,3,2,2,7,0,8,5,1,7,5,A,8,5,3,B,D,7,C,8,0,B,4,E,D,B,6,4,F,E,6,5,7,6,3,F,F,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,T,1,A,9,A,2,1,D,8,9,D,A,3,C,F,3,9,1,0,9,6,A,3,0,8,E,8,4,9,1,4,9,C,2,4,7,B,9,7,5,C,D,9,2,B,E,D,8,1,3,5,5,D,F,8,0,B,4,C,F,F,B,5,7,8,1,8,9,A,3,F,A,1.0
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,T,1,7,C,F,1,8,F,8,3,D,6,3,C,E,3,8,2,0,9,6,5,3,1,C,E,8,4,9,2,8,6,8,2,4,7,7,9,7,5,8,C,6,1,7,D,D,8,6,7,9,5,D,E,8,0,F,0,8,F,B,7,D,B,C,2,9,A,C,3,B,A,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,T,1,E,7,9,3,8,2,8,6,C,6,9,C,6,3,4,3,4,4,7,5,3,1,8,B,8,4,7,3,8,3,A,1,6,B,F,A,A,D,4,4,3,A,6,9,C,D,2,2,1,0,F,A,9,0,D,4,9,F,7,A,F,F,E,3,4,7,D,2,6,D,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,T,1,4,6,0,4,3,9,4,7,C,6,A,C,1,6,0,3,4,1,B,0,3,6,D,F,8,5,7,6,C,3,B,2,A,B,B,A,E,D,0,4,3,D,6,9,A,D,2,3,1,0,F,9,8,5,D,4,9,E,2,9,F,E,E,3,1,7,C,1,6,9,1.0
Backdoor.Graybird-095879f4cafe44bf45530fa8b6999d7361bdac2f041fc3c4e7afc1d80cbe914b,T,1,6,A,1,3,3,E,4,2,C,5,6,8,5,3,9,3,0,A,B,B,3,0,C,D,A,4,6,2,D,6,8,2,D,7,7,5,2,B,0,8,5,1,3,5,A,D,2,3,B,9,A,D,C,0,F,0,D,E,A,6,9,F,C,2,5,7,9,3,F,F,1.0
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,T,1,8,0,B,2,9,0,C,2,D,A,3,C,E,2,5,2,0,8,7,5,3,1,8,F,9,4,A,2,9,1,8,2,8,3,7,9,7,5,8,C,6,1,7,D,D,8,1,7,9,5,D,E,8,0,F,1,8,F,F,B,9,B,C,2,9,A,D,3,F,6,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,T,1,6,B,2,4,3,4,8,2,D,6,9,C,5,6,4,3,4,0,B,1,3,1,C,B,9,8,7,7,C,3,A,1,6,B,B,A,E,E,0,4,3,A,1,4,C,D,3,2,6,1,F,5,9,4,E,4,9,F,6,9,F,E,E,3,1,7,C,2,A,D,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,T,1,3,2,0,3,5,0,8,2,D,5,2,C,6,6,4,3,0,9,7,6,3,1,8,E,A,4,B,2,D,3,9,2,8,3,B,5,7,A,4,8,2,5,3,9,D,8,2,3,6,4,E,D,8,0,F,4,9,F,7,9,E,F,C,3,5,7,D,3,F,A,1.0
