,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,T1,0F,23,4D,42,C9,6C,53,93,09,BA,31,8E,A4,62,D6,82,D7,75,2B,08,51,35,AC,23,78,AD,C0,F4,DE,B9,9F,C3,57,93,FE,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,T1,47,F2,70,41,E6,3C,93,52,09,73,20,8D,B8,B3,E7,4A,87,32,22,5C,11,B5,A4,93,A9,7D,80,75,FD,BA,5F,D6,13,A3,FE,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,T1,F5,54,8C,82,C6,9C,16,03,40,B0,31,CB,94,77,C3,B2,AB,BA,EE,44,3A,55,9D,32,21,F5,95,D4,9F,69,FE,E3,17,C2,AD,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,T1,89,E2,31,42,C9,78,D3,E1,0A,BE,30,8D,94,62,95,82,DA,35,26,48,D1,35,BC,27,B9,9D,C0,F0,DE,B6,5B,C2,9B,53,FF,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,T1,DF,D2,1E,42,C5,78,93,E2,0A,BE,30,8D,A0,62,95,82,EA,75,2B,4C,D1,25,7C,17,BD,68,C0,F0,DE,A6,5B,D3,57,93,FF,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,T1,FE,13,A1,81,E6,3C,93,42,08,77,30,8D,B8,63,A3,46,87,75,36,5C,11,75,E4,93,A9,BD,80,B4,EE,BA,9F,D6,13,93,FE,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,T1,DD,03,51,82,D9,2C,56,43,09,66,31,8F,A8,A1,D3,82,83,B5,7A,4C,35,39,D8,63,64,DD,80,F4,9F,BA,DF,C2,57,D3,FA,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,T1,9E,03,5E,82,E6,3C,93,42,04,72,30,8E,B8,73,93,86,47,76,69,58,26,79,D8,63,65,BD,80,F0,EE,76,DF,E6,13,93,FD,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,T1,7F,23,8B,41,D5,38,93,A2,0A,BB,20,8D,B4,73,A6,46,CA,32,27,08,51,75,A8,53,BD,7C,80,B4,ED,B6,4F,E6,57,63,FF,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,T1,A9,A2,1D,89,DA,3C,F3,91,09,6A,30,8E,84,91,49,C2,47,B9,75,CD,92,BE,D8,13,55,DF,80,B4,CF,FB,57,81,89,A3,FA,1.0
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,T1,7C,F1,8F,83,D6,3C,E3,82,09,65,31,CE,84,92,86,82,47,79,75,8C,61,7D,D8,67,95,DE,80,F0,8F,B7,DB,C2,9A,C3,BA,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,T1,E7,93,82,86,C6,9C,63,43,44,75,31,8B,84,73,83,A1,6B,FA,AD,44,3A,69,CD,22,10,FA,90,D4,9F,7A,FF,E3,47,D2,6D,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,T1,46,04,39,47,C6,AC,16,03,41,B0,36,DF,85,76,C3,B2,AB,BA,ED,04,3D,69,AD,23,10,F9,85,D4,9E,29,FE,E3,17,C1,69,1.0
Backdoor.Graybird-095879f4cafe44bf45530fa8b6999d7361bdac2f041fc3c4e7afc1d80cbe914b,T1,6A,13,3E,42,C5,68,53,93,0A,BB,30,CD,A4,62,D6,82,D7,75,2B,08,51,35,AD,23,B9,AD,C0,F0,DE,A6,9F,C2,57,93,FF,1.0
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,T1,80,B2,90,C2,DA,3C,E2,52,08,75,31,8F,94,A2,91,82,83,79,75,8C,61,7D,D8,17,95,DE,80,F1,8F,FB,9B,C2,9A,D3,F6,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,T1,6B,24,34,82,D6,9C,56,43,40,B1,31,CB,98,77,C3,A1,6B,BA,EE,04,3A,14,CD,32,61,F5,94,E4,9F,69,FE,E3,17,C2,AD,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,T1,32,03,50,82,D5,2C,66,43,09,76,31,8E,A4,B2,D3,92,83,B5,7A,48,25,39,D8,23,64,ED,80,F4,9F,79,EF,C3,57,D3,FA,1.0
Backdoor.Graybird-0e4b24dfaad406b918efb40923889150f139511f43c56e34deac187d950ce03f,T1,98,13,5A,42,D5,38,83,A2,0A,BB,20,8D,B4,73,A6,46,CA,32,27,1C,51,75,78,53,BE,7C,80,B4,ED,B6,5F,D6,17,63,FE,1.0
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,T1,D8,13,9E,41,E5,3C,93,92,0D,73,20,8D,B8,63,A7,46,87,31,26,5C,11,75,E4,A3,A9,7D,80,B4,FE,BA,9F,D6,13,A3,FE,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,T1,68,53,9F,42,D5,2C,93,93,09,B6,30,8E,B4,73,97,82,87,76,2A,08,51,75,A8,13,B9,BD,80,F0,EE,76,DF,D2,57,93,EE,1.0
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,T1,37,F2,8F,42,C9,7C,93,E2,09,BB,30,8D,A4,61,95,82,DA,75,2A,4C,A1,35,AC,27,79,9C,C0,F0,CE,B6,5F,C2,57,93,FF,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,T1,24,72,6E,C2,DA,7C,E2,42,08,75,31,8F,94,A2,95,82,47,79,75,8C,61,7D,D8,13,A5,DE,40,F0,8F,BB,DB,C3,9A,C3,BA,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,T1,B9,63,28,88,D6,3C,B3,81,0C,2B,30,4E,A4,91,5A,87,43,B9,35,CC,92,BE,D4,53,55,AF,80,74,DF,BB,4B,95,99,A3,FE,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,T1,E5,F1,6E,83,D6,3C,E2,82,08,65,31,CE,84,92,86,82,47,79,75,8C,61,7D,D8,67,95,DE,80,F0,8F,B7,DB,C2,9A,C3,BA,1.0
