,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,T10,F23,4D4,2C9,6C5,393,09B,A31,8EA,462,D68,2D7,752,B08,513,5AC,237,8AD,C0F,4DE,B99,FC3,579,3FE,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,T14,7F2,704,1E6,3C9,352,097,320,8DB,8B3,E74,A87,322,25C,11B,5A4,93A,97D,807,5FD,BA5,FD6,13A,3FE,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,T1F,554,8C8,2C6,9C1,603,40B,031,CB9,477,C3B,2AB,BAE,E44,3A5,59D,322,1F5,95D,49F,69F,EE3,17C,2AD,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,T18,9E2,314,2C9,78D,3E1,0AB,E30,8D9,462,958,2DA,352,648,D13,5BC,27B,99D,C0F,0DE,B65,BC2,9B5,3FF,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,T1D,FD2,1E4,2C5,789,3E2,0AB,E30,8DA,062,958,2EA,752,B4C,D12,57C,17B,D68,C0F,0DE,A65,BD3,579,3FF,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,T1F,E13,A18,1E6,3C9,342,087,730,8DB,863,A34,687,753,65C,117,5E4,93A,9BD,80B,4EE,BA9,FD6,139,3FE,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,T1D,D03,518,2D9,2C5,643,096,631,8FA,8A1,D38,283,B57,A4C,353,9D8,636,4DD,80F,49F,BAD,FC2,57D,3FA,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,T19,E03,5E8,2E6,3C9,342,047,230,8EB,873,938,647,766,958,267,9D8,636,5BD,80F,0EE,76D,FE6,139,3FD,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,T17,F23,8B4,1D5,389,3A2,0AB,B20,8DB,473,A64,6CA,322,708,517,5A8,53B,D7C,80B,4ED,B64,FE6,576,3FF,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,T1A,9A2,1D8,9DA,3CF,391,096,A30,8E8,491,49C,247,B97,5CD,92B,ED8,135,5DF,80B,4CF,FB5,781,89A,3FA,1.0
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,T17,CF1,8F8,3D6,3CE,382,096,531,CE8,492,868,247,797,58C,617,DD8,679,5DE,80F,08F,B7D,BC2,9AC,3BA,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,T1E,793,828,6C6,9C6,343,447,531,8B8,473,83A,16B,FAA,D44,3A6,9CD,221,0FA,90D,49F,7AF,FE3,47D,26D,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,T14,604,394,7C6,AC1,603,41B,036,DF8,576,C3B,2AB,BAE,D04,3D6,9AD,231,0F9,85D,49E,29F,EE3,17C,169,1.0
Backdoor.Graybird-095879f4cafe44bf45530fa8b6999d7361bdac2f041fc3c4e7afc1d80cbe914b,T16,A13,3E4,2C5,685,393,0AB,B30,CDA,462,D68,2D7,752,B08,513,5AD,23B,9AD,C0F,0DE,A69,FC2,579,3FF,1.0
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,T18,0B2,90C,2DA,3CE,252,087,531,8F9,4A2,918,283,797,58C,617,DD8,179,5DE,80F,18F,FB9,BC2,9AD,3F6,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,T16,B24,348,2D6,9C5,643,40B,131,CB9,877,C3A,16B,BAE,E04,3A1,4CD,326,1F5,94E,49F,69F,EE3,17C,2AD,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,T13,203,508,2D5,2C6,643,097,631,8EA,4B2,D39,283,B57,A48,253,9D8,236,4ED,80F,49F,79E,FC3,57D,3FA,1.0
Backdoor.Graybird-0e4b24dfaad406b918efb40923889150f139511f43c56e34deac187d950ce03f,T19,813,5A4,2D5,388,3A2,0AB,B20,8DB,473,A64,6CA,322,71C,517,578,53B,E7C,80B,4ED,B65,FD6,176,3FE,1.0
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,T1D,813,9E4,1E5,3C9,392,0D7,320,8DB,863,A74,687,312,65C,117,5E4,A3A,97D,80B,4FE,BA9,FD6,13A,3FE,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,T16,853,9F4,2D5,2C9,393,09B,630,8EB,473,978,287,762,A08,517,5A8,13B,9BD,80F,0EE,76D,FD2,579,3EE,1.0
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,T13,7F2,8F4,2C9,7C9,3E2,09B,B30,8DA,461,958,2DA,752,A4C,A13,5AC,277,99C,C0F,0CE,B65,FC2,579,3FF,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,T12,472,6EC,2DA,7CE,242,087,531,8F9,4A2,958,247,797,58C,617,DD8,13A,5DE,40F,08F,BBD,BC3,9AC,3BA,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,T1B,963,288,8D6,3CB,381,0C2,B30,4EA,491,5A8,743,B93,5CC,92B,ED4,535,5AF,807,4DF,BB4,B95,99A,3FE,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,T1E,5F1,6E8,3D6,3CE,282,086,531,CE8,492,868,247,797,58C,617,DD8,679,5DE,80F,08F,B7D,BC2,9AC,3BA,1.0
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,T10,873,518,9D6,3CB,381,086,B30,4E9,492,5A8,743,B93,5CC,92B,ED4,135,5EF,807,4DE,BB5,B91,89E,3FE,1.0
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,T11,A13,8E8,1E6,3C9,343,087,231,8EB,873,A38,687,752,618,157,598,53A,9BD,80F,4EE,7AD,FD7,139,3EE,1.0
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,T11,7F2,72C,1D9,2CA,792,0D6,631,CEA,891,D64,2C3,753,64C,613,9E8,63A,4DD,80B,48F,BA9,FC2,57D,3FA,1.0
