,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.578137,-0.8128199,-0.09964107,0.5475732,0.11106096,-0.24209851,-0.3441868,-0.0067128367,-0.39230552,0.18201655,-0.2756838,-0.24656968,0.1480794,-0.51961046,0.14919005,0.75689644,0.28248334,0.25755647,-0.41903415,-0.012923986,0.12443472,-0.10381701,-0.15929736,0.092344224,-0.62111604,-0.013339446,-0.07498392,-0.024258211,-0.008631373,-0.12505695,-0.07751714,-0.3683243,0.06441607,-0.56923157,0.23859783,-0.18426666,-0.11527726,0.39495295,-0.30236962,0.85951495,-0.12720455,0.23770893,0.27678922,0.27193308,0.36339375,0.12993789,0.24983492,-0.008915662,-0.11407624,-0.02081812,-0.22239123,0.32406873,-0.19979492,-0.17769963,-0.13318181,-0.26747447,0.4042777,0.20351934,0.36289054,0.043013696,0.29439324,0.34647763,0.37209454,0.1849799,-0.32812172,0.44538045,0.37031206,0.0058355406,-0.16595426,0.03069515,-0.4459055,0.90699106,0.19777814,0.30413866,0.045303307,-0.14869396,0.39757088,0.45489156,0.18204097,-0.33594128,0.34120402,0.12203615,0.009469116,0.43489072,-0.0032577275,0.15434311,0.12690222,-0.14820382,0.18234888,-0.396959,0.3685029,0.18953368,0.5142411,-0.14616993,-0.18526398,-0.22227414,-0.093196504,0.15590613,-0.08355099,0.25983262,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,-0.21751723,-0.38774556,0.015967358,0.375945,-0.46780038,-0.2992803,-0.5750558,-0.24959134,-0.055854853,-0.14685412,-0.0921452,-0.4561922,-0.5682733,-0.2585025,0.15800251,0.3596843,-0.31337556,0.27544954,-0.3802417,0.20976318,0.100282006,0.06604148,-0.11801168,0.21694593,-0.35805047,0.21831755,-0.13317347,-0.04467057,0.034246176,0.23660128,0.06523217,0.103760056,-0.4265488,-0.44397622,0.3329676,-0.26307672,-0.1125498,0.12065661,-0.53287137,0.7747385,-0.18950333,0.48363456,-0.10425252,-0.3338554,0.10204424,-0.09305315,0.15091139,-0.23384027,-0.3750231,-0.26208153,0.06791279,0.20759395,-0.09726508,-0.25165704,0.044770926,-0.055506065,0.12674421,0.13238539,0.20923255,0.056186225,0.16753767,0.08307974,0.30235896,0.2849609,-0.13805561,0.2529059,-0.02217491,-0.2745812,-0.48856848,-0.13940713,-0.01846032,0.59050024,0.22146341,0.08037697,0.43013734,-0.3125063,-0.12074664,0.19896647,0.12164528,-0.035443123,0.48933637,0.21305689,0.04553434,0.3356542,0.1174516,-0.0430395,0.17459518,-0.3029738,0.37007177,-0.572064,0.48016503,-0.12960267,0.4152002,-0.26951355,-0.430171,-0.16209519,0.28447416,0.39326856,0.24870478,0.47775877,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.45873982,-0.18613352,0.5372327,0.44129616,-0.0483387,-0.11804058,-0.65923136,-0.270908,-0.45063415,0.057697594,-0.026681554,-0.2895106,-0.29268554,-0.2520202,0.034168027,0.39831135,-0.6764103,0.09433997,-0.3126101,0.17722538,0.13041155,0.1433524,0.058409516,0.16209297,-0.3268444,0.268861,-0.11148359,0.16660073,-0.027998282,0.030030685,-0.056480456,0.47717592,-0.27309144,-0.30002588,-0.110970795,-0.50226575,-0.38920015,-0.2803043,-0.46233734,-0.010397584,-0.18516155,0.15180568,-0.1265768,0.016290534,0.19869784,-0.17636572,-0.23342857,-0.33282363,-0.20108914,-0.039169274,-0.18674533,0.09382384,0.002954982,-0.10053026,0.07968751,-0.44922674,-0.19953609,0.2016623,0.10318639,-0.09836874,-0.111897714,0.15042031,-0.36399135,-0.13602592,-0.044716686,0.19603604,-0.19539362,-0.21448664,-0.33500946,0.07621049,-0.3558778,0.15266658,0.1975876,0.12986717,-0.37836388,-0.4776969,0.16932452,0.5023702,0.21067068,0.092603624,0.38563868,0.095056556,-0.3033364,0.24734043,0.10076554,0.2871846,0.10489311,-0.27526057,0.30237788,-0.087935306,0.60452324,-0.32387266,0.27370128,0.110513724,-0.08460725,-0.014108843,0.44785872,0.33349442,0.2271457,0.23752554,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.12901928,-0.25095248,-0.1747616,0.5866016,-0.36701176,-0.17582664,-0.19123632,-0.16266873,-0.10517232,0.28843966,-0.017333651,-0.19202036,-0.12269918,-0.16895522,0.024209585,0.38745242,-0.1540421,0.038995907,-0.34887984,-0.17492473,0.069119915,0.027273126,-0.17856562,-0.08656399,-0.3972873,0.0876447,0.07037333,0.10346906,-0.124107234,0.020924255,0.01449224,-0.30587676,-0.21069877,-0.3969372,0.02437087,-0.40730268,-0.20502436,0.12722021,-0.41727644,0.67522526,-0.17651622,0.35900226,-0.027069911,-0.32138336,-0.03099903,0.06561553,0.14574826,-0.024958914,-0.014822887,-0.0027608143,-0.2617646,0.2235131,-0.11128142,-0.23990133,-0.20401743,-0.05592697,0.24477026,0.06362184,-0.041505843,0.046607643,0.14339769,0.084975116,0.17529655,0.093939066,-0.11235626,0.11169159,0.018308138,-0.04486029,-0.33447152,-0.24153897,-0.0845228,0.4458458,0.28371683,0.3102953,0.3055462,-0.4026746,-0.042003613,0.20063448,0.0044998676,0.12443276,0.25556296,0.117805,-0.04667722,0.37806728,0.0709348,-0.07033455,0.14757022,-0.24885567,0.10750431,-0.26257867,0.10697455,-0.07242971,0.18348958,-0.028005967,-0.1727528,-0.24061242,0.22455278,0.17699325,0.16159835,0.422901,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.14005487,-0.59447277,-0.08302714,0.6124976,-0.31637302,-0.35396096,-0.022862341,-0.21387863,-0.11715095,0.14467248,0.059707604,-0.21748307,-0.41732776,-0.4013689,0.04098741,0.06850459,0.118860714,-0.12924045,-0.40043968,-0.049701814,0.30606627,0.0555843,-0.18933079,-0.16986953,-0.7040908,0.15119864,0.28675076,0.0956944,-0.16224694,-0.08006496,-0.05640892,-0.3719131,-0.21780981,-0.46133152,0.16603228,-0.40643853,0.17889024,0.14099935,-0.31758052,0.7766259,-0.100647174,0.4207171,0.23327327,-0.3177595,0.2190127,0.12315892,-0.0643664,0.08883293,0.05654503,0.08354603,-0.09689963,0.346486,-0.32961407,-0.10468743,-0.088184975,-0.35422817,0.5324543,0.04975822,0.12446455,-0.09122847,0.34302956,0.2877294,0.2655141,0.07902827,-0.054602697,0.09895342,0.063695684,0.21337038,-0.323541,-0.3753336,-0.2678826,0.48260283,-0.0011806338,0.03697613,0.3052038,-0.4564948,0.1331845,0.051150072,0.021706011,-0.07987399,0.36488986,-0.0016347528,-0.3628892,0.37488723,0.109047055,0.055803865,0.5116257,-0.009986457,0.28259522,-0.33985803,0.3776294,0.1673158,0.2719921,-0.29535508,-0.15481116,-0.26907963,-0.0024327892,0.009866459,0.12084188,0.22991604,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,-0.12118966,-0.53211284,-0.4205547,0.5441103,-0.4275172,-0.40928617,-0.5165465,-0.06573552,-0.05031253,-0.2483811,-0.048845474,-0.34518677,-1.0368888,-0.4530251,-0.065218315,0.3251414,-0.3396526,0.15425968,-0.23213512,0.10909816,0.21087843,0.22950333,-0.14984141,-0.10110306,-0.50072813,0.2369229,0.19922334,0.105517305,-0.38844138,0.13487379,0.1219664,-0.19182074,-0.53971887,-0.46997625,-0.0070405225,-0.23901853,0.26634255,0.033792038,-0.28572243,0.659977,0.08754739,0.628278,0.06652531,-0.2098659,0.25419194,0.13414577,0.12861791,-0.072891496,-0.33762082,-0.076115355,0.21133655,0.24960665,-0.23925813,0.075456865,0.4650844,-0.2264056,0.40686956,-0.17719102,0.10059712,-0.018303026,0.1629495,0.24894634,0.42031983,0.30700782,-0.19720912,-0.05135336,0.06996357,0.07098262,-0.5574702,-0.42238924,-0.12163264,0.73316747,0.032761708,0.06502594,0.18292877,-0.65288514,0.072596915,0.070295036,0.07809608,-0.06199188,0.46142027,0.20364884,-0.53398037,0.33442643,0.093016386,0.31986207,0.36183086,-0.2272435,0.40048915,-0.37633932,0.60034823,-0.036153615,0.77190226,-0.55055636,-0.27285635,-0.38413715,0.2256998,0.23650044,0.042971212,0.31093577,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.61200523,-0.8528636,0.27216786,-0.14857996,-0.23085713,-0.21729313,0.5108991,0.1620639,0.23420793,-0.06499774,-0.5556058,-0.72890955,-0.44573998,-0.22910735,0.018948363,0.16498633,-0.3403014,0.10775881,-0.29275566,-0.20221901,0.3777431,-0.03707041,-0.1364082,-0.3604058,-0.094164945,0.38118267,0.15725349,0.29145443,-0.35620052,0.3377929,0.23904233,-0.12963411,-0.84999305,-0.0068690414,-0.015718786,-0.372429,-0.12542237,-0.3749018,-0.38173163,0.29991242,0.031911813,0.22804716,-0.40478706,-0.44980493,0.010945229,0.061317876,-0.10181352,0.024559068,-0.014316504,0.2434605,-0.36007333,0.19942762,0.061166033,0.10735017,0.19317082,-0.2514512,0.2583538,0.17914309,-0.018448431,0.081104174,-0.0709284,0.26296198,0.2351991,0.08843345,0.09731439,-0.27577496,-0.21574216,-0.14438447,-0.39175174,-0.40420395,-0.05073652,0.18338746,0.41756067,0.50683063,0.41221854,-0.89201593,0.08668668,0.22042741,0.07896813,0.21726924,0.16685829,0.007959252,-0.43578777,0.17922845,0.16007394,0.3959981,0.34356144,-0.019253993,0.2176853,-0.395482,0.012561135,-0.12606548,0.37095326,-0.23140033,-0.097956106,-0.14666833,-0.007546735,0.005064981,0.45694023,0.305628,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,-0.39380777,-0.31084657,-0.11348165,0.24373002,-0.5649052,-0.39183688,-0.10396372,-0.5925622,0.57248455,-0.502571,-0.2756021,-0.06466305,-0.12940723,0.39951,-0.18512416,-0.040569916,-0.4037045,0.14842135,-0.11671269,0.10884956,0.21085007,0.1484908,0.21513776,-0.16312978,-0.5442427,0.46405053,0.33352104,0.3520716,-0.38690045,-0.30239013,0.0919638,-0.15787908,-0.26105165,-0.5047315,-0.2477608,-0.36651963,0.04144883,0.02830728,-0.28144947,0.27919275,0.13686857,0.46847233,-0.043294903,-0.20769136,0.16742611,0.12926665,-0.18515001,-0.21483326,-0.26783115,0.05648174,0.11182811,0.1955484,-0.29027385,-0.1891631,0.14625788,-0.43975544,0.31956854,-0.044803195,0.026480695,-0.03485758,0.3523756,0.018666139,0.28480238,0.34660715,-0.31108242,0.16539884,-0.08806598,0.021042313,-0.19735394,-0.3517518,0.21504669,0.43416202,0.07212259,0.09933571,-0.021666093,-0.46818355,-0.0845932,0.1322882,-0.0125680305,0.15559143,0.4994674,0.18016182,-0.42951226,0.16780418,-0.042947035,0.4137445,0.1676021,0.08099602,0.17683373,-0.19998091,0.34198204,-0.17183489,0.39724803,-0.19515449,-0.15763673,-0.07104879,0.003496625,0.16033886,0.24244863,0.003717662,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,-0.22192298,-0.51419556,0.63620156,0.6041022,0.35789973,0.2636055,0.011550118,0.097296335,0.53382427,-0.37016883,-0.41360506,0.0047852024,-0.105699465,0.5489311,-0.15692875,-0.03340192,-0.025816351,0.08329288,0.33413953,0.23366633,0.028543366,0.13581198,0.014887182,0.48830447,-0.6613886,0.67711556,0.15104966,-0.073953606,-0.6786486,0.09585858,-0.25697494,-0.059117936,-0.53429925,0.18944244,-0.09443649,-0.70308787,-0.23456903,-0.19053985,-0.5627104,-0.62780803,0.016391898,-0.12556668,0.06562009,-0.4158965,0.09817797,0.32400262,-0.18422042,-0.3550634,-0.1964936,-0.00059953105,0.06954083,0.100002594,-0.15920815,0.1582651,-0.019922234,-0.3383897,0.45696956,-0.0030992627,0.22330937,0.010155879,0.070162855,0.28974634,-0.2294139,0.11637033,-0.35159644,-0.050654415,-0.09259156,0.2554121,0.10418468,-0.27988166,-0.14848539,0.12408949,-0.022972137,0.118552394,0.026301768,-0.2026676,0.24765992,0.17743477,0.20395002,-0.298854,0.3903446,-0.02176447,-0.51344085,0.3600994,0.010095348,0.56447005,0.2547331,0.014689995,0.693464,-0.08450043,0.7964148,-0.21254398,0.66926545,-0.88648325,-0.19677144,-0.57595986,0.32304105,0.5379329,-0.052524313,0.17072745,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,-0.78719807,0.005142433,0.15702228,0.23750491,-0.17134403,-0.21370079,0.04516033,-0.23776996,0.13081312,0.30348194,-0.93548745,0.1454581,0.056214117,0.19066933,-0.3837947,0.26278558,-0.086085044,-0.062805824,0.36394587,0.15710734,-0.25890386,-0.17197141,0.090246074,-0.19573286,-0.5667645,0.17095856,0.4862792,0.16398452,-0.25776434,-0.21998207,-0.2368508,-0.9042377,0.33654603,-0.21125041,-0.56649375,-0.5558267,-0.066235155,0.032873772,-0.0015177941,-0.175971,-0.004733424,-0.2532482,0.19483311,-0.05615486,-0.1750202,0.18082055,0.06458401,-0.12561719,-0.2507805,0.19221337,-0.091121055,-0.39760536,-0.11718821,-0.065281875,0.07245759,-0.0672421,0.30584574,-0.06349328,0.0069980416,0.35059676,0.21706024,0.2940439,0.2554502,-0.0306854,-0.4266243,0.012802731,0.00089734455,0.1235477,0.23487917,-0.2702964,-0.02612781,0.3056319,-0.14528115,0.31368074,-0.23323946,-0.35565016,0.6211297,0.15319137,-0.16055831,-0.18196395,-0.1469352,0.32036397,-0.22801276,0.406239,-0.13045062,0.5792321,0.0805038,-0.13700476,0.16960487,0.12206911,0.41856438,0.014829999,0.2996428,-0.5942212,0.17305006,-0.17692485,-0.0035716833,0.10639312,-0.5019265,0.08808426,1.0
