,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,0.9977729,1.0228761,1.157247,-0.53014404,0.40298867,0.33183894,1.0509759,-0.09364346,0.95030206,-0.0010737933,-0.88662416,-0.23164956,-0.10635173,0.23765439,-0.2617902,-1.134447,0.3617948,0.6785438,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,1.1626366,0.70032465,0.7869617,-0.43804505,-0.83712965,0.616685,0.93789583,0.049009193,1.1619186,0.020549802,-0.45370325,0.07523902,-0.33449513,0.34287065,0.31414053,0.4177569,0.70316947,0.55861044,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.7521438,0.5676241,-0.086384416,-0.36805,-0.056395337,0.11270524,1.270361,-0.48468307,1.1998262,-0.48180324,-0.5887155,0.37144998,0.42695817,0.20964697,-0.25653777,-0.17386787,0.21743275,0.6024673,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.62178147,0.4745088,0.3806109,-0.5922178,0.0003931509,0.28524423,0.6775466,-0.2929861,0.9345667,0.21088293,-0.37928638,-0.022012588,-0.48240638,-0.28433537,0.17853574,-0.028966028,0.4758963,0.34920424,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,1.0681721,0.4668092,0.93395466,-0.7974763,-0.45190498,0.8258968,0.2962315,-0.14508459,1.2126629,0.15714377,-0.68629646,-0.2506626,0.26264605,-0.34329638,0.04895112,-0.3287961,-0.016379496,0.69124085,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,1.6297827,0.4423134,0.7657756,-0.29591176,-1.3034308,1.3518919,0.21158363,-0.0067408835,1.3759588,-0.043981846,-0.12863623,-0.42390656,-0.29115695,0.40801412,-0.011199267,-0.12756668,0.28864905,0.20799696,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,1.5986623,-0.4393956,-0.44721317,-0.55842435,-0.85383415,0.7048745,1.0578201,-0.1677867,0.508896,0.21329315,-0.9211426,-0.82897806,-0.58024186,-0.13023284,-0.57188344,-0.2980375,0.16040167,0.7118028,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,1.439563,-0.27682403,-0.36494267,-0.55290055,-0.989353,0.60277176,0.93786675,0.476104,0.56806177,-0.88799983,0.14583291,0.04345437,0.07537507,0.7592331,0.5672225,-0.18568014,0.6090863,0.5020235,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,1.6595002,-0.30818987,-0.6757021,-1.101804,-0.96147627,1.2379073,0.22332133,0.1201163,0.069200166,-0.49659085,-0.24923833,-0.6162387,-0.5347386,0.29859725,-0.71888727,-0.20110127,0.89135665,0.018324405,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.20834926,-0.20574875,-0.11926356,-0.8303649,0.3860826,1.1095495,0.07331544,0.21113832,-0.25748095,-1.0899613,0.020573445,-0.40351272,-0.5891329,0.032931153,0.69658846,-1.5812719,0.5285123,0.7511009,1.0
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,1.6707155,-0.22688024,-1.2602977,-0.65365213,0.03577737,0.74184006,0.17193756,0.16837004,1.2940239,-0.054679338,0.68031657,-0.608674,-1.0918038,-0.92951375,0.18071873,-0.9695388,0.4854345,-0.070297435,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,0.5459944,0.15749323,-0.5238525,-0.29751927,0.4432686,-0.015226123,0.30076322,-0.058616865,0.5446637,-0.5600752,-0.094629295,-0.25541827,-0.02522504,0.32241598,0.5204759,-0.9446602,0.5647302,0.5778428,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,0.2767079,0.3845716,0.2615394,-0.6213151,0.16796166,0.1648197,0.44066483,-0.27741492,0.27507165,-0.38122883,-0.5668571,0.40684402,-0.08162639,-0.11259067,-0.0689308,-0.70275956,-0.09789512,0.363906,1.0
