,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,0.33881417,0.6287835,0.5443186,-0.010776396,-0.15675882,0.37544733,-0.27469265,-0.15802829,-0.6245385,-0.08637384,-0.11913932,0.5737346,-0.35371283,0.07029754,0.18451743,0.69747543,-0.70703125,0.19131634,0.2557822,0.021864297,0.29449123,0.2101994,0.27252454,0.8926076,-0.6790611,0.59032434,-0.106500566,0.09102771,-0.44263297,-0.32176226,-0.252386,-0.037483755,-0.3688587,-0.043508697,0.013958082,0.13777834,0.22494622,0.055050455,-0.27651313,-0.26388955,-0.077361494,0.061090354,-0.17399798,0.030358149,0.25057197,0.2773616,-0.057983473,0.048898652,-0.06263477,0.10504879,-0.04080599,-0.09717851,-0.21813934,-0.19507152,-0.16094725,0.42974278,0.05069426,-0.14903414,0.25092447,-0.08006874,-0.14903875,-0.04005518,0.35834438,0.26329786,-0.20349549,0.25833914,-0.26993036,-0.2955716,-0.06511066,-0.3877215,-0.12393897,0.29323795,0.22645037,-0.049123876,0.102926426,-0.1915777,0.16007067,0.059576295,0.2814001,-0.6216489,0.1513141,-0.025196973,-0.15863651,-0.0776958,-0.4772232,0.1709328,-0.42972773,0.22077686,0.23446152,0.32726917,-0.02185507,-0.20346792,0.14265476,0.11759623,0.22368222,-0.5136404,0.62921184,0.3395635,-0.0020632993,0.23523918,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.73972726,0.46019852,0.44107094,-0.40537387,-0.3205762,0.12708102,-0.1458636,-0.29401186,-0.42690974,0.15915534,-0.01928291,0.5975352,0.05056474,0.34798333,-0.028590264,0.35235605,-0.55503964,0.35389683,0.41009352,-0.084507525,0.036506247,0.20153196,0.5405543,0.5804974,-0.66016656,0.41188082,0.08570506,0.25819844,-0.0725153,-0.5197165,-0.13118388,-0.19257647,-0.3832451,-0.049291912,0.2217705,-0.1012949,-0.21546806,-0.15245892,-0.6247508,-0.03281298,0.16077197,0.18279825,0.0814787,0.19904718,0.2003887,-0.043258153,-0.09889217,-0.009108194,-0.25290284,0.15580021,0.04967381,0.19306096,-0.17368692,-0.31502378,0.09062775,0.24178526,-0.080324315,0.20508319,0.36969453,-0.03574897,-0.070210695,0.092787616,-0.061029937,0.41159812,-0.031693596,0.03516188,0.13406098,-0.18010707,0.012566092,-0.28828856,-0.108687684,0.07927296,0.2902631,0.280052,-0.019086285,-0.18843055,0.08241677,0.20467573,0.20320824,-0.27578244,0.31607112,0.00016731165,0.070587695,0.14549334,-0.30108973,-0.1418123,-0.21413723,-0.09060983,0.19402127,0.23228738,0.05747369,0.17050919,0.3019096,0.40054634,0.045960337,-0.3697877,0.10624438,0.21141753,0.14754423,-0.41495916,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.24014871,0.042338945,0.53675336,-0.095503256,-0.3825242,0.4527153,-0.33289555,-0.25712696,-0.0014586144,0.20799413,-0.1074298,0.44314682,0.063009106,0.4092572,-0.038277566,0.28292894,-0.61038744,0.41477787,0.38963968,-0.042966545,0.14218597,0.121164836,0.13146032,0.93846893,-0.38500744,0.28724957,0.2266265,-0.09816374,-0.3916473,-0.4127826,-0.18229343,-0.6086105,-0.39136952,0.24435487,-0.0071789324,-0.30934152,0.12739612,-0.16517425,-0.22560747,-0.24063781,-0.013800079,0.047580693,0.022625143,-0.26345128,0.08054945,0.064484365,-0.057291873,0.11040033,-0.16699456,-0.12114891,0.09303371,-0.046659656,0.06790587,-0.087637246,0.14025198,0.28170705,0.058434404,-0.11494219,0.37288284,0.06524485,0.13627453,0.04646872,-0.14122717,0.24608047,-0.09548682,-0.21789782,0.12114873,-0.271422,0.05181306,-0.3057319,0.091334276,0.15130985,0.07028068,0.37813726,0.050577164,-0.2776913,0.17781724,0.14783894,-0.06439336,-0.12136315,0.045178983,-0.015058967,0.082286626,0.28847077,-0.32827735,0.25025982,-0.27445176,-0.29983726,0.22261184,-0.04808163,0.21095958,-0.08306637,0.12369609,0.14543764,-0.095574655,-0.3570423,0.17254701,0.12643348,0.20726645,-0.035822388,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.33811426,0.29626328,0.5275971,-0.38921696,-0.3254922,0.18386814,0.034294,-0.096400976,-0.4271521,-0.04269354,-0.08190345,0.45827872,0.11885313,0.12114696,-0.08245158,0.36728793,-0.31663623,0.14627348,0.3814962,0.05860897,0.05724814,0.10744516,0.23008776,0.46201506,-0.24931103,0.17972942,-0.090110384,-0.0046049315,-0.092585675,-0.33224303,0.046157252,-0.2004904,-0.2978914,-0.19623466,0.056233365,-0.063409775,0.027586097,-0.05186163,-0.3028837,0.058290567,0.0739747,-0.018301189,-0.050696813,-0.020099469,-0.10715841,0.21709424,0.08109422,-0.02467586,-0.29647246,-0.0975838,0.05365027,0.15604709,0.049538843,-0.16042152,0.25630248,0.08743002,-0.11704152,0.08222405,0.2167893,0.10177208,-0.13584787,0.0073986314,0.14356554,0.15804923,-0.12155021,0.23269902,-0.059825048,-0.32362172,-0.010279483,-0.18448912,0.05600294,0.1912972,0.14570437,0.20560533,0.0078744935,-0.39863163,0.13091637,0.11681364,0.14730978,-0.24078482,0.18533203,-0.02529604,0.08926452,0.24866146,-0.08597697,-0.2031861,-0.11246651,-0.23982424,0.07294136,0.05250972,0.12524171,0.053092256,0.10134037,0.36212525,0.12506711,-0.09730598,0.27435845,0.020571226,0.15401356,-0.026431218,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.46980762,1.291491,0.33636862,0.08754149,-0.38161606,-0.008102651,-0.09140935,-0.40218732,-0.007699981,0.1393386,0.16419931,0.44248614,-0.24710013,0.21144056,0.010000411,0.4474874,-0.7105987,-0.0020254732,0.39227468,-0.20531887,0.00891454,0.20015039,0.18207031,0.50634664,-0.49714953,0.04000509,0.29935506,0.11334333,-0.23713996,-0.3932751,-0.011978823,-0.30268523,-0.24932058,0.059974592,-0.16552016,0.014579294,0.11083929,-0.13253821,-0.5369992,0.047873404,0.09293018,-0.10437068,-0.096525006,-0.03597597,-0.10434266,0.176429,0.09485116,0.2591756,-0.2588748,0.13919681,-0.058163628,0.01857198,-0.1917404,-0.36831546,0.068387665,0.1436626,-0.12732123,0.40352067,0.1421951,-0.17400815,-0.13476576,-0.044869438,0.16787101,0.22384338,-0.044355664,0.13981263,0.067496456,-0.057427,0.06392896,0.016200803,0.14151157,0.102465756,0.1764173,0.32169944,0.25485846,-0.3334232,0.1976674,0.20434214,0.5465293,-0.26293674,0.06537028,-0.13524167,-0.08892377,0.33314398,-0.1505144,-0.13101947,-0.21634339,-0.08597052,0.37173298,-0.042637344,0.2748105,-0.07089648,0.08675979,0.25087,0.01700967,-0.27349773,0.27980217,0.018599518,0.028285244,-0.106508225,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.69721776,1.0331997,0.5903135,-0.33170423,-0.14073841,0.07586026,0.22746105,-0.34049642,-0.4363989,0.3529618,-0.12366449,0.49451926,-0.3331025,0.356242,-0.07735517,0.70509225,-0.6606658,0.098236814,0.39303866,-0.34531942,0.014744698,0.2631248,0.40781853,0.44353387,-0.5540013,0.2536064,0.19746181,0.4667912,-0.09293742,-0.63108844,0.049220167,-0.15802464,0.07460351,-0.18771517,0.012131614,0.055383135,-0.15491766,-0.17368804,-0.51738536,0.35795382,0.24593799,0.069990106,0.1830732,0.31820834,0.22691719,-0.24378066,-0.07607353,0.0435187,-0.32559234,0.32162553,0.05177672,0.056142293,-0.2628843,-0.5161728,-0.12831986,0.31242406,-0.047446005,0.56772524,0.2521137,-0.2653115,0.0865033,0.21004793,-0.10598002,0.5488692,-0.06752911,0.048968147,0.34765965,0.15393487,0.3485609,-0.057140302,0.061589118,-0.025559293,0.21391648,0.23074427,-0.10843596,0.066403024,-0.020479124,0.22606306,0.3470656,-0.12037754,0.16700032,-0.025719833,-0.10125569,0.15686741,-0.11434173,-0.1876153,-0.0077349916,0.13980293,0.47720855,0.0038760551,0.40193716,0.06870836,0.28888085,0.12873736,-0.25572848,-0.15104409,-0.25486207,0.18669172,0.061062016,-0.61617327,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.24383217,0.011497997,1.0442041,0.03620647,-0.21999493,-0.18027417,0.58381206,-0.04553636,0.05175313,0.13128339,-0.5325051,0.4840271,-0.30886182,-0.10160527,0.26103306,0.93421906,-0.920959,0.5113949,0.5712605,-0.15384233,0.003346553,-0.026085382,0.28527778,0.7542247,-0.62315017,0.3378616,-0.014800729,-0.1301151,-0.46185642,-0.46873835,-0.15915416,-0.4342202,-0.11546352,-0.03344014,0.074888915,0.08826015,-0.017084239,0.17424373,-0.33679578,-0.19203143,0.01719333,-0.18970919,0.080811284,-0.051153257,0.042231128,0.0796173,0.07159534,0.088093035,-0.45483047,-0.11342507,0.07638707,0.072195366,-0.05640017,-0.048087984,0.115354836,0.3578597,-0.22962114,0.016694587,0.3206984,-0.13934396,-0.07705064,0.017566646,-0.18793483,0.31019098,-0.3337641,-0.35875145,0.03961769,-0.12844282,-0.1151262,-0.021074088,0.051595747,0.07533038,-0.3102787,-0.14920017,-0.17520158,-0.32595578,0.19447304,0.16666621,0.4521804,-0.31217867,0.12662823,-0.43788013,-0.056716457,0.4436106,-0.023069208,-0.057405137,-0.29411662,0.09288114,-0.26584718,0.09036349,0.086632006,-0.09476136,0.20358516,0.07028325,0.10435793,0.08663058,0.15870684,0.156022,-0.39205107,-0.3078386,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,0.13292454,0.3106876,0.34752843,-0.520635,-0.020958962,-0.09657657,-0.019135205,-0.20887232,0.058590535,0.22940952,-0.2526266,0.013892176,-0.5777935,0.59905237,0.008982601,0.51891893,-0.6973611,0.23210576,0.16245663,0.09412232,-0.2752742,0.30434796,0.23807752,0.618173,-0.62365717,0.25391734,0.41806358,0.083147146,-0.2321423,-0.41755062,-0.19164431,-0.5665171,-0.044407465,0.12379242,-0.14180441,0.07993464,-0.18197483,0.0029065,-0.32584208,-0.100810386,-0.03264153,0.058465466,0.53386223,0.222142,0.0064368984,-0.21209136,0.16062048,-0.04213524,-0.012813508,0.2781007,0.06862385,0.10053086,-0.037334044,-0.05800003,0.02307191,-0.17203237,0.15574074,0.073583886,0.43654484,-0.14743012,0.25584581,0.4290355,-0.1080406,0.15171927,0.086903855,-0.71091264,0.32042187,0.30974695,0.26169527,-0.07447576,-0.18798865,-0.101913184,0.015474737,0.13790977,-0.11808986,-0.08822867,0.085238606,0.33989015,0.19492766,0.10357963,-0.051866792,-0.15640879,0.2477802,0.29251885,-0.23647463,-0.119574964,-0.15292048,-0.31282473,-0.08930713,0.27056688,0.32917765,0.20503204,0.0890917,0.10401031,-0.18043168,-0.14725819,-0.3776529,0.14589547,-0.29590324,-0.5156509,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.4674128,-0.3134907,0.60834503,-0.8095407,-0.16632812,-0.24387676,0.60952103,-0.03838667,0.26820487,0.14997686,-0.3610104,-0.016748335,-0.71231705,0.1693857,0.40240708,0.8622794,-0.59979206,0.03249919,0.18622845,-0.20793092,-0.02493585,0.1405174,-0.10064062,0.48135465,-0.4673169,0.16170993,0.20161444,-0.27974454,-0.47576126,-0.4295385,-0.061692506,-0.48867655,-0.07273405,-0.04159855,-0.13187571,0.57493883,-0.13774638,0.5375406,-0.60656154,0.18421905,-0.16558912,0.16653703,0.40184987,0.037739836,-0.10743685,-0.051533237,0.23416738,-0.114045985,-0.3566812,-0.009355651,0.13880312,0.0635938,-0.1218652,-0.07832455,0.16671138,0.03795329,-0.1508314,0.31963322,0.016204223,-0.18683991,-0.12155694,0.10233826,0.04539363,0.0453865,-0.053998973,-0.23665829,0.030802865,0.16415866,0.17385651,0.1916433,0.18112375,-0.091226295,-0.42564207,0.005201104,0.19099006,-0.0370018,-0.025772994,-0.07353669,0.56064886,-0.17965862,0.0477988,-0.18523043,0.27505684,0.51600707,-0.09691611,-0.43430442,0.09284594,-0.22208239,-0.061605647,-0.169661,0.26179582,0.3021687,0.33992904,-0.49206087,-0.26607367,0.07029138,-0.0813342,0.37913606,-0.5080984,-0.4822249,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.089048654,0.22461066,0.15066734,-1.1365348,0.16066001,-0.09388018,0.34255323,-0.07342913,0.36528385,-0.15228128,-0.22236939,0.1677941,-0.5705423,-0.040223587,-0.021420995,0.77805394,-0.31991592,0.06254131,-0.12663212,-0.19522895,-0.14816988,-0.018123735,0.10974479,0.48116913,-0.3808313,0.15536529,0.32975248,0.08487184,-0.4741373,-0.62553036,0.2045734,-0.4709695,0.06480289,0.18236609,-0.8406554,0.32364666,0.35506222,-0.008474167,-0.06333867,-0.3995494,0.011013043,-0.2118006,0.2003856,0.22811042,-0.24591908,0.13924944,0.3039315,0.018084725,0.12821402,0.36298978,-0.25499684,-0.034408193,-0.13439925,-0.05479367,0.085491225,-0.3412224,0.16690847,0.34427923,-0.18738668,-0.22669005,-0.090091296,0.075776674,-0.015062484,-0.29783526,-0.04258909,0.20787676,-0.18314049,0.31427786,0.20235603,0.1299292,-0.016524807,-0.2221193,-0.033692624,0.14008301,-0.06530728,0.09489325,-0.023943925,0.1023364,0.47890002,0.08527167,0.07005336,-0.30738077,-0.37908608,0.11914298,0.14642626,0.12743372,0.39067337,0.09774525,0.10373709,-0.32023486,0.5619902,-0.09533477,0.18615572,-0.37117484,0.018201325,-0.17755969,0.11656982,0.01602891,-0.33702424,0.11705361,1.0
