,0,1,2,3,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.7943947,1.2634342,2.2114918,0.24077357,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,-1.7137225,1.3804553,1.2858514,-0.13693091,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-0.6980128,0.92832476,1.2682779,0.1364481,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,-0.8514235,0.70012796,1.2320205,0.14695777,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,-1.2459333,0.4196526,1.6791812,0.18642616,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,-1.7363853,0.7216111,1.8494288,-0.068684965,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-1.6898355,0.054088436,1.475763,-0.15453292,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,-1.2727481,0.07244016,1.3208815,-0.023153184,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,-1.4193534,-0.3421244,1.6802362,0.11105495,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,-0.6044297,-1.593069,1.27354,1.1726289,1.0
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,-1.473026,-0.29828775,2.2295802,0.21156009,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,-0.49262077,-0.24522011,0.77286446,0.46869558,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,-0.12960973,0.13999835,0.6743275,0.47600505,1.0
Backdoor.Graybird-095879f4cafe44bf45530fa8b6999d7361bdac2f041fc3c4e7afc1d80cbe914b,-0.6664002,0.49869835,1.9098307,0.2221924,1.0
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,-1.2414188,-0.21786334,2.1043427,0.0403231,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,-0.54812145,0.24034493,0.9997899,0.28333923,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,-1.0296108,0.3215946,1.2516941,0.0441588,1.0
Backdoor.Graybird-0e4b24dfaad406b918efb40923889150f139511f43c56e34deac187d950ce03f,-1.2267768,-0.5527792,1.456159,0.30232295,1.0
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,-1.254231,0.4644082,1.9165062,0.023223868,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,-1.2345775,0.601512,1.7219106,-0.12775649,1.0
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,-1.0487981,0.36454663,1.3259888,-0.023574146,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,-1.5549803,0.15973888,1.9730917,-0.02241441,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,-1.2404556,-1.3412302,1.5259929,0.8011049,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,-1.2796664,-0.013471558,2.3297539,0.108910985,1.0
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,-1.2161934,-1.4037529,1.4365895,0.7599776,1.0
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,-0.83918655,-0.7113867,1.245416,0.31281564,1.0
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,-1.0414504,-0.64950997,1.1694694,0.3458615,1.0
Backdoor.Graybird-152a87566246d7b100a299d29e34ce080c52e714e0c2883b904d85c1144de18d,-0.75663453,-0.3904244,1.3540452,0.32532492,1.0
Backdoor.Graybird-16274674297d97fdb7c53027a4e6facd681428961e31bc85dfff497056b071a4,-1.0698718,-0.61061215,1.2554414,0.17109144,1.0
Backdoor.Graybird-16648fd7040db9b96d76e5f70711e8c62721035832f7b87594d62b0dd9b865ea,-0.78863883,-0.52699023,1.2684144,0.26167536,1.0
Backdoor.Graybird-16ce6a8444870c762676cc776860c1ff7daa2a2dc76abd29136a36d6538bba8a,-0.99953073,-1.162914,1.0504055,0.69202965,1.0
Backdoor.Graybird-16dc33ad95a90a03f9489182cf6061392a79cbaf96cceb87bd3c6c664daff4a3,-0.5577357,0.89311546,0.70937234,0.3487714,1.0
Backdoor.Graybird-16dc7da8aef050616f3d99fd34b3f0410ce6a38f5a61c9ebc8e86e87195c4be3,-0.9210026,-0.51602507,0.84252894,0.27845365,1.0
Backdoor.Graybird-1966b6b19ef74c24f458b6477ccb7e8c8427df6d65ea4dc5e0bffb811fbba2d7,-1.0351965,0.76180077,2.2382808,0.28010532,1.0
Backdoor.Graybird-1c7dfb9affef8bef118a41d36e3e8c413f3076918a8821efeb3721af52ee5c52,-0.97189033,-0.18638521,1.5993576,0.2280109,1.0
Backdoor.Graybird-1cb523870e23e55d0d36af5a2e10472ac25390d3838c52c35b1106034132aad5,-0.86946094,-0.068037264,1.5348707,0.14200115,1.0
Backdoor.Graybird-1d17564930dc9cfdb8bf4483ba9763d17dd3f549facfdbe21ad18447663adedd,-1.2458487,-0.447163,2.1261804,0.31925195,1.0
Backdoor.Graybird-1d2b95795f54a30db2241b441843c8baa1319704e0bd48f022ac919e71899787,-0.93774533,-0.565873,1.1253295,0.4436653,1.0
Backdoor.Graybird-1f987748aa836fcff784691f0f5195eaed0187c12906f016b7bbad1f9b10d20a,-1.1191142,-0.41908982,1.2585561,0.18255964,1.0
Backdoor.Graybird-1fe3c46136004caa9f4598dbd12db50b539bc0e44de422870a0150ccdf6c4297,-1.5350869,-0.3459051,2.4299726,0.27458492,1.0
Backdoor.Graybird-201267f2b8c394b866ce09e16997ce04701a0bdaa1f5651e81d1675af4a567a6,-1.3195692,-1.6029316,1.5554861,0.8668512,1.0
Backdoor.Graybird-20459a8ebc99703a2171b85dc321c41ccb8fdd67b606ac75c890156db25d67e2,-0.4750299,0.8173042,1.8013223,0.28723723,1.0
Backdoor.Graybird-21f994f2239ccaaddf25e98859f58e609dbc589127160c943dd884506d0f1e95,-1.4381073,-0.21960002,1.70647,0.04321807,1.0
Backdoor.Graybird-22772293d3a3b20b3610ae1c06ab72da41745c57356905855180b45c5d43ae96,-1.2040279,-0.09037689,1.7908888,0.03346197,1.0
Backdoor.Graybird-22c98fc9dac84f509083a90a332517ead8eb265fc53ddb1d16e5cfd0dab0ebe1,-1.2553205,-1.1830636,1.1169171,0.6627949,1.0
Backdoor.Graybird-23259ea20d4f481cdc1bf58894f6280ddbe3fc56d7bfbaaf11bafdf4840f8c2c,0.025745427,-0.23914167,0.06867848,0.9748165,1.0
Backdoor.Graybird-2486e00f3531d89506d2a87525b723d2508b4b8c0040824956aeca41b97d17d7,-0.6643184,-0.6538356,1.5782543,0.3657604,1.0
Backdoor.Graybird-2565563f99f161ad465a603000f5a2440b83b12413930bac01d20c6d3924f79e,-0.6978767,-0.07670611,1.6034123,0.34936607,1.0
Backdoor.Graybird-272ea0be5ed16c1b6a1d0149a85107e382cf7dab94eb40fb49ec17acd3c00b0b,-1.3413764,-0.58023036,1.4373146,0.27677393,1.0
Backdoor.Graybird-27c0a52403d572f0ee5abc626a7f5cd834ed6a5b7eeebeadc848a5cc091eb5d1,-1.1944091,-0.08230939,0.71888536,0.060869116,1.0
Backdoor.Graybird-27d4f0a222bbb2285e395dcbed061a6eeb91a69d6c8cab8c98fd1ffb244c699a,-1.4668541,-0.4727091,0.96233135,0.13727228,1.0
Backdoor.Graybird-2821c9781c0351109c2a8b9633972e2c71f46371b648d2103c2741f560b60a1b,-1.2486309,-1.433054,1.2970144,0.6940463,1.0
Backdoor.Graybird-2860ba35f778ed52b8487fe93a77c05a2d49222ba8f6cb81877c1779d13c1f4a,-0.99405515,-0.5432687,1.3191955,0.22480379,1.0
Backdoor.Graybird-2a1858cfa17d4f07292362a2719d61c97a487d29a5adf45d8e8b32f3252331a2,-0.9380315,-1.3570099,1.1143364,1.1336243,1.0
Backdoor.Graybird-2a7c74a91f4b6f4ed632d97fc3ee8835a7a615cb15dbf6ecbb96526d06f64db6,-0.35901988,0.8163855,1.1580966,0.31167775,1.0
Backdoor.Graybird-2b470ddd183ec9f15d7cef2e1f2daf7243e1deef16fb6e74cb75b67c5d25df18,-0.89210075,-0.093631625,1.2682745,0.12536426,1.0
Backdoor.Graybird-2ca870cb512099a0df67fefee9eb2bf8fd53cc078919852144d6cbff26456347,-2.2533681,-0.65236264,0.73988384,0.07091849,1.0
Backdoor.Graybird-2ec9be730d82cf10af338e7f25781006744b9dda9c9ff484acfd2de501b05e24,-1.3550198,-0.5216955,0.7998636,0.08842776,1.0
Backdoor.Graybird-31e4807b0f375d8f919a3037f2764686a46d2e41bd957f8edd8f771621a3e53f,-1.1390238,-1.0790691,0.70910907,0.49740046,1.0
Backdoor.Graybird-32cbc565918830a83537aef008c3587ea24d2172c7ed3563ac2f4a7506a7a00d,-1.3264083,-0.46326187,1.1205288,0.09592399,1.0
Backdoor.Graybird-33e8337aad51e26cebf92f17cdc0c3ffa5ed55c74de4e7cd5b92db2d75e15339,-0.4176398,0.7401546,0.72749996,0.3782069,1.0
Backdoor.Graybird-340c5cae28749592b0ea9453bd4f7d109b2fe2c8a03041e5da9961a7339eaa34,-1.5474656,0.112224914,1.2847942,-0.10117752,1.0
Backdoor.Graybird-3472255f40fa8003a08d8c641d9d2c5d0f749bf4c0420fc9a22040103a97c35b,-0.62982,1.1958319,0.8828274,0.26956847,1.0
Backdoor.Graybird-3473cb362c74478f5f8d200d068fbf1806d2dca138264e942574fb7abd324b42,-0.7582314,-0.8080937,1.1370093,0.47055212,1.0
Backdoor.Graybird-349a9ef306724d4e0a569074528204ac93186fc10679de7c0fd4117b7e674adf,-1.024464,-0.8975098,1.4474922,0.42663583,1.0
Backdoor.Graybird-34cb2e3660a417e83f902c990f20b3d0efa6e84ad20a7c769f2944cc333bc47b,-0.8963145,-0.3444964,1.3414445,0.10551019,1.0
Backdoor.Graybird-3512ae0eba2c3f6e4e6195c0e1bd70b9a9e3b3d7708f403ed4b5e281e4a1a120,-0.80885524,-0.43787798,1.2874384,0.3218303,1.0
Backdoor.Graybird-35808e06d5ab73341611da612e9a37252f07f2bc7801725569ebb49895f59a05,-0.4971491,-0.15158169,0.7087411,0.47493508,1.0
Backdoor.Graybird-365bea068bcb7c92f0dbf6868e8e6ac2d49feaae2d6464a4fbf9d4dc28ea4189,-1.2487278,0.49396473,1.3322939,-0.10858972,1.0
Backdoor.Graybird-3796ba03a70668fe9a40cd399da7963d6dded9136682059f1443d5b493d37a83,-1.3322885,-0.17202482,1.1025866,-0.018726712,1.0
Backdoor.Graybird-3799f857d04896d9155038342c96e32490cab5ce67ddf33dab263184d95ea41b,-1.6035352,-0.3604841,0.992243,-0.068337925,1.0
Backdoor.Graybird-3920bdcebc14233421ec142268749c0cc1358bba2af6e2e561ce3ac346db2d8e,-1.3582127,-0.18084398,1.0496012,0.041210454,1.0
Backdoor.Graybird-3a81fabef97e62aaefc48fa799a00c00d531afda4d49a58e90161dfef215d056,-0.946401,-0.15008032,1.1877403,0.10397173,1.0
