,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.005766318,0.070470095,-0.0077486485,-0.055911154,0.066349514,0.003294813,-0.06685818,-0.067378886,-0.022789657,-0.11776221,-0.017239103,-0.03218242,0.11539103,-0.26014188,-0.13836986,0.03505652,0.00075255916,0.039529704,-0.18229169,0.005796928,0.05559685,-0.11035225,-0.026211513,-0.22488633,0.047093417,-0.09045405,0.16989304,-0.07990032,0.04728843,0.020480242,0.16357115,-0.065640196,-0.012757789,-0.031531222,0.06544749,-0.109655395,-0.07128209,-0.116315,0.16615945,-0.0150738135,-0.02736508,0.10697236,-0.0282101,-0.18625179,0.06595973,-0.081754565,-0.06782911,0.1642082,-0.00784723,-0.008113713,0.053204138,-0.06513239,-0.008195524,0.033418994,-0.10368084,-0.06455862,-0.014004448,-0.004204648,-0.006377976,0.017495295,0.03200212,0.036009572,0.042117305,0.046479534,-0.00082620385,-0.041113295,-0.012647465,-0.07115619,0.01617848,-0.03855337,-0.013462701,-0.0026621816,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,-0.027318832,0.09114063,-0.0041602557,-0.04152713,0.047613867,0.0038224503,-0.052080367,-0.043239165,-0.041934364,-0.1366903,-0.021462612,-0.03894072,0.12127353,-0.24584267,-0.12352869,0.03724495,-0.004454402,0.038273953,-0.20094718,0.009056114,0.065890454,-0.12652892,-0.029008852,-0.25228208,0.05755646,-0.105589084,0.20136362,-0.08583528,0.056460842,0.016198445,0.18908595,-0.062086906,-0.008229163,-0.04144563,0.060448844,-0.10726514,-0.08071024,-0.12684298,0.17059486,-0.0031650004,-0.022960937,0.069263436,-0.014558021,-0.12917933,0.039857805,-0.051034387,-0.042911295,0.11257236,-0.003985612,-0.04363814,0.02082229,-0.075684674,0.0034825408,0.030802557,-0.10462201,-0.05715844,-0.013147587,-0.0038005528,-0.0075590024,0.02117086,0.019472295,0.03054235,0.03221222,0.022875195,0.00012587947,-0.05706781,-0.04455603,-0.088636905,0.005609,-0.05574758,0.006435792,0.045187227,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-0.011300434,0.029535657,0.0115648145,-0.045092437,0.049147222,-0.008177294,-0.0384378,-0.048509087,0.029014256,-0.08486729,-0.018462406,-0.038763467,0.115109995,-0.26678962,-0.13773477,0.01748499,0.0029592288,0.04287118,-0.20107043,0.0022359376,0.060055375,-0.113212705,-0.028858207,-0.24753778,0.06618253,-0.086732864,0.19480959,-0.052040935,0.010209381,0.025786925,0.16920382,-0.041243136,-0.021875065,-0.021953233,0.06832948,-0.08831451,-0.07180749,-0.114324264,0.14633685,-0.017795946,-0.019457038,0.11972672,-0.03171924,-0.19215192,0.07444972,-0.090414956,-0.07964597,0.17962241,-0.01391781,-0.0027708244,0.059405573,-0.060851496,-0.0004952383,0.041018948,-0.11144689,-0.079492815,-0.025171489,0.0052410183,-0.0068016173,0.012194488,0.030470438,0.026615048,0.04998557,0.041404277,-0.008959748,-0.021372084,0.02511499,-0.027379036,0.048967596,-0.0058486154,-0.02367589,-0.04556265,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.0026313355,0.05548673,-0.021549018,-0.023234451,0.051564936,-0.0047248816,-0.061289635,-0.060778618,-0.022680502,-0.10196647,-0.002026813,-0.026250819,0.111363925,-0.22256494,-0.11992539,0.026401944,0.0031326967,0.0478547,-0.18694937,0.0019735624,0.06175647,-0.10291888,-0.03455481,-0.22955626,0.046036396,-0.08486,0.16972852,-0.07874398,0.046552576,0.014796981,0.16181259,-0.055839375,-0.035405062,-0.02990864,0.08163149,-0.116364546,-0.09523954,-0.13595219,0.16006462,-0.021495411,-0.022889854,0.12935504,-0.032852974,-0.19055742,0.06226491,-0.09933066,-0.09297253,0.17026475,-0.0062146327,-0.0080234455,0.0703475,-0.078604236,-0.008362071,0.052392438,-0.12780735,-0.09114419,-0.01773857,0.008417564,-0.0012264597,0.036634307,0.013246135,0.032501847,0.04529488,0.045811385,0.02822152,-0.016068539,0.004546181,-0.021811014,0.029215341,-0.028280947,-0.008841688,-0.01953608,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,-0.020222869,0.066820204,0.009725697,-0.03960994,0.04488214,-0.02152334,-0.067939065,-0.044074975,-0.014419569,-0.13098054,-0.017746292,-0.039902028,0.121504664,-0.2667627,-0.12839527,0.032792687,-0.010374595,0.042856272,-0.18733785,0.019408494,0.057770655,-0.12194575,-0.03674507,-0.24562055,0.06588989,-0.09329585,0.20069204,-0.074786484,0.041618954,0.023958538,0.18008405,-0.05728784,-0.012970678,-0.03821795,0.067071855,-0.09542013,-0.072495036,-0.117710724,0.16737077,-0.006003638,-0.008328007,0.085602894,-0.024824647,-0.15896909,0.0620803,-0.0728257,-0.052986253,0.15317388,-0.0076153455,-0.027560709,0.0328948,-0.07600652,-0.0067330706,0.039760754,-0.09689444,-0.06973103,-0.0152562875,0.005676894,-0.005061176,0.02192441,0.0372553,0.029666856,0.044885464,0.038078453,0.010516757,-0.044988517,-0.0036646936,-0.082876995,0.008742125,-0.053203173,-0.004179599,0.008286123,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.022093184,0.027500687,0.02107738,-0.07822073,0.05953072,0.017129958,-0.045524593,-0.069522016,0.01582219,-0.0666845,-0.010144521,-0.031801157,0.11514083,-0.26747432,-0.14739154,0.008679687,-0.0052865306,0.05509278,-0.20516054,0.014310921,0.06621759,-0.14135787,-0.027595092,-0.27119115,0.03956464,-0.09561117,0.19675943,-0.07869117,0.029448688,0.017416237,0.18064152,-0.05354512,-0.029086014,-0.033066127,0.070112355,-0.09611519,-0.07645006,-0.12393211,0.1453056,-0.01160992,-0.017302927,0.09163578,-0.018248294,-0.16713373,0.063467115,-0.075526215,-0.06073411,0.15694974,-0.0032386603,0.0033112422,0.05500915,-0.05485178,-0.009375787,0.037030667,-0.09806424,-0.06664111,-0.017044563,0.0062459125,-0.005957337,0.01533458,0.025648437,0.029771658,0.032647587,0.039191037,0.021918299,-0.02524033,0.028062847,-0.03000315,0.035177056,-0.031327754,0.005019911,-0.022394417,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,0.011603821,0.042448223,0.0075479504,-0.06718498,0.020587564,-0.012245263,-0.069492005,-0.047245573,-0.005835641,-0.09087941,-0.006761481,-0.0468942,0.11037054,-0.24582975,-0.13762932,0.013339641,-0.012901349,0.032677095,-0.16813157,0.008688321,0.059553407,-0.11397204,-0.028663635,-0.21828987,0.056736376,-0.07884225,0.17626163,-0.06950752,0.052297197,0.02450605,0.16207239,-0.05524225,-0.0381077,-0.019312948,0.06758086,-0.080369525,-0.07273875,-0.104344524,0.12773047,-0.010501681,-0.00736451,0.11565607,-0.03343697,-0.1960457,0.07883905,-0.11760164,-0.09206085,0.19165474,-0.013424048,-0.043435182,0.052097492,-0.09941137,-0.0059729246,0.058085844,-0.15609753,-0.11068932,-0.021803655,0.0072350153,-0.008925619,0.025861971,0.043917466,0.04929029,0.058167186,0.060506973,0.027262669,0.0019192082,0.06364255,-0.047517374,0.0028261165,-0.03714218,0.010701387,-0.03393832,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,-0.00033587476,0.003643659,0.01771945,-0.044968452,0.0685624,-0.008793478,-0.017164249,-0.07755617,0.08196666,-0.014889107,-0.020327104,-0.046886876,0.083760165,-0.24863355,-0.12797952,0.003324233,0.020471562,0.052018583,-0.233991,0.0017490503,0.07171444,-0.1373861,-0.029992307,-0.29288664,0.056492176,-0.079534516,0.21780747,-0.03633738,-0.023689602,0.028799374,0.1726079,-0.04546162,-0.030228779,-0.014930659,0.07552302,-0.07470794,-0.05941714,-0.09191986,0.13164732,-0.007562325,-0.019635243,0.10342587,0.0043518804,-0.21349515,0.056872766,-0.07481019,-0.054101873,0.18137789,-0.014163876,0.045688964,0.057722006,-0.0025079476,-0.0036846013,0.02713292,-0.05220092,-0.049289204,-0.017687282,0.0018651554,-0.020835288,-0.01950023,0.046908412,0.04006799,0.042299915,0.046429507,-0.013513617,-0.009606485,0.08501886,-0.032876547,0.060529385,0.020623911,-0.053806894,-0.075820476,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,-0.017583957,0.08318138,0.00577438,-0.06019304,0.04117852,-0.0032630153,-0.070070975,-0.05143367,-0.03808317,-0.13518526,-0.010768704,-0.02986934,0.1327854,-0.24646732,-0.1336253,0.031193713,-0.0014880672,0.042376056,-0.17511627,0.010104155,0.056445993,-0.115653545,-0.020545065,-0.21972223,0.065528065,-0.08832763,0.18681538,-0.08145319,0.053533144,0.022028271,0.1691758,-0.060276065,-0.011164941,-0.031989865,0.066120625,-0.09823314,-0.06937144,-0.12300397,0.17967437,-0.0045176586,-0.02350527,0.10704353,-0.028369728,-0.16592197,0.06311602,-0.070583165,-0.066736564,0.14715779,-0.010345001,-0.020475322,0.04168725,-0.08482467,-0.009125564,0.0369737,-0.12190483,-0.059463114,-0.018723419,0.0029210378,-0.0014132314,0.030527284,0.030741917,0.03936265,0.046755325,0.03222721,-0.0013624717,-0.062716596,-0.018066544,-0.09501301,0.017465523,-0.053267397,-0.017255686,0.0044622947,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.0060220687,0.063758284,-0.0201274,-0.057689104,0.07158702,-0.0068217344,-0.08986853,-0.08336062,-0.028864445,-0.12815844,-0.010359129,-0.04140753,0.14054781,-0.28245586,-0.15573415,0.0334051,-0.018659936,0.042189155,-0.15845062,0.00320677,0.06556442,-0.085670345,-0.037004873,-0.20929669,0.038557068,-0.08584086,0.16025367,-0.090455525,0.05331946,0.006743796,0.16145515,-0.058966834,-0.03507883,-0.033174112,0.06269214,-0.10764309,-0.088926695,-0.12862895,0.16378136,-0.014956739,-0.029616553,0.13317703,-0.04007664,-0.17176537,0.06490387,-0.11041944,-0.09319611,0.17386205,-0.0057772775,-0.027814632,0.04926235,-0.08182156,-0.0103950575,0.05619612,-0.12776577,-0.086554766,-0.00450343,0.003326273,0.004475697,0.034333117,0.00426434,0.036799815,0.04621988,0.039222717,0.0119269015,-0.033476602,-0.027924925,-0.024012804,0.028442824,-0.035418324,0.0029920842,0.014454404,1.0
