,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.45614633,-0.20465723,-0.08510637,0.53942215,-0.17232345,-0.46068174,0.18608826,-0.03519438,-0.27303812,0.60718983,0.14385733,0.44858682,0.25190115,0.0032197838,0.35828015,0.6366286,0.09739762,-0.07421973,-0.58875704,-0.5472166,0.30183804,0.536195,-0.9393352,-0.19765757,0.5665074,0.4028779,0.37585422,0.081155874,-0.6077685,-0.43304616,0.075547665,0.54400474,-0.87250715,-0.07840827,0.26320052,0.41018835,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.053732235,-0.37401125,0.47532928,0.32451037,0.2957558,-0.06073812,0.25037667,-0.10400995,-0.46329224,-0.20697588,-0.25290763,-0.0138388695,0.70530486,0.60468125,0.49594665,-0.106011115,-0.11754459,-0.13356365,-0.058838576,0.21353191,-0.17687602,0.044825364,-0.057866618,-0.09625644,0.0009633831,0.6693057,-0.4681729,0.018968884,-0.8974614,0.09434057,1.0218132,-0.23947476,-0.5080738,0.60584044,-0.021425007,0.49879614,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-0.39523146,-0.3103374,-0.35516712,0.36864585,-0.6321666,-0.016545236,-0.00052230567,-0.21128473,0.4283413,-0.03425342,-0.41012055,-0.4304557,-0.51368344,-0.15702198,0.4619702,0.40940598,0.332694,-0.47258392,0.25755084,-0.12403052,-0.15999398,0.92297924,-0.35006,0.32708007,-0.60265636,0.27717975,0.17419064,0.016814964,-0.4870005,-0.09930208,0.18273626,-0.7493746,0.39956647,0.045399267,-0.44848546,-0.58429646,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.32869193,-0.443735,0.07560352,0.29773858,0.632728,0.33560523,0.26350725,0.93532854,0.22140697,0.27542102,-0.105602466,1.0787008,0.45580617,-0.2889381,0.13593405,0.021653812,0.23339099,-0.24065307,-0.349578,0.1389556,0.39361098,0.42037553,-0.63865167,-0.09477043,0.27269733,0.1572368,0.21402818,0.14322256,-0.8241458,0.018155722,0.46106395,0.3903272,-0.37699878,-0.051550694,0.46170804,0.051897354,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.09662159,-0.25907683,0.014060885,0.32761812,0.1415053,-0.5441345,-0.03567663,0.6548063,0.35773847,-0.11890661,0.47652438,0.8453669,0.95621425,-0.010884284,0.7755104,-0.14714235,0.083806045,-0.24111408,0.046485107,0.19991936,0.73568875,0.52713203,-0.6558263,-0.03305449,0.24533121,0.28595698,0.11864477,-0.0734658,-0.24762231,-0.2687716,0.36870673,0.472392,-0.055153903,-0.6862737,0.15413602,0.68794775,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.4332174,-0.49081916,0.33711457,0.582604,0.12940377,-0.49262583,0.28005108,0.11678565,-0.42484385,-0.3906062,-0.6256282,0.35802603,0.5328993,0.43105072,0.56923276,-0.06051288,-0.61870337,0.27161086,-0.33525145,0.7257396,-0.17910059,0.28053337,-0.7355294,-0.37789544,0.026129685,0.70431453,-0.35417277,0.15121254,-0.73250127,0.4536261,1.0135182,-0.052438352,-0.4506963,-0.18036313,-0.36863923,0.098514915,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.19154839,-0.3105048,-0.42542374,0.011644715,-0.62969506,0.6033054,-0.31555298,-0.2934844,0.13922462,0.05021828,0.054746587,0.11774323,0.008927345,0.121844046,0.3124641,0.01385502,-0.22964337,-0.27830315,-0.16991177,-0.09259699,0.39655796,0.048123214,-0.38694805,-0.2340512,-0.2051452,-0.019876502,0.27777046,0.009518732,-0.7822106,-0.23244984,-0.37392554,0.19347763,-0.51047516,-0.08827044,-0.32639998,1.0295721,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,0.10386608,-0.34164113,-0.22720087,0.23178102,0.13579674,0.28427258,0.49301142,0.12650523,0.30353156,0.1034811,-0.014369351,0.6084904,0.65857136,0.3054111,-0.022164738,-0.31390226,-0.031955652,0.25002065,-0.378578,0.32402265,-0.09782694,0.5401653,-0.68274516,-0.07960831,-0.548307,0.28373495,0.42989445,0.1553431,-0.62847495,-0.16812904,1.0496607,-0.005992461,-0.42148736,-0.2624372,-0.36336675,0.36157572,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.26715925,0.03494097,0.53994393,0.41697598,0.8275414,-0.424061,0.28387436,0.3007496,-0.31464013,0.26850772,-0.1440092,0.40476438,0.296061,0.39790687,0.95352477,-0.19076076,-0.5037926,-0.3208155,-0.19234686,0.3727276,0.48199257,-0.40612528,-0.40128756,-0.45784277,0.070057936,-0.1552476,0.028754126,-0.025159663,-0.87356377,-0.031249646,-0.07962859,0.004086465,-0.8533021,-0.16821495,0.12165975,0.5691458,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,-0.0652641,0.20376025,0.28947234,-0.6571004,0.31157908,-0.17956683,-0.33346796,-0.4874432,0.435376,-0.11215078,-0.051321924,1.0190997,0.048383284,0.013128863,0.19896267,-0.5700095,-0.2686552,-0.3498205,-0.7337708,0.31047174,-0.8633808,0.37844422,-1.0168831,0.6431634,0.19400156,0.12539086,-0.058348205,-0.13759957,-0.64397675,0.21471153,0.25336137,-0.5448553,-0.10966128,-0.24400678,-0.3279013,0.1194572,1.0
