,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.14214441,0.9974288,1.0068183,-0.031206233,-0.4676656,0.47708496,0.3328352,0.88980865,0.110989034,0.12623014,-0.92260844,-1.868208,-0.35135156,-0.054156363,-0.8411496,-1.2186214,0.48585463,0.638052,0.93166965,-0.34124565,-0.3251122,-0.21304132,0.0094785,0.26136413,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.05087607,1.7041875,1.0260123,0.35401958,-0.553586,0.2006194,0.5245855,0.675457,-0.2386958,0.8378207,-0.7206354,-0.03842731,-0.46479553,0.3305981,-0.26802275,-0.9254093,0.3413578,0.46285966,0.1466906,-0.5391497,-1.2020941,0.13922045,1.3271397,-0.8175331,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-1.0335814,0.37281454,0.49879295,-0.12708995,0.8799388,0.3612977,-0.78178483,-0.37868473,-0.3171091,0.71904767,-0.38460422,-0.20215479,0.59496313,0.39343992,0.5113666,-0.45032313,0.28158855,0.27821058,1.0634439,-0.9943156,-0.58863616,0.5203556,-0.12574558,-0.28377056,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,-0.09396697,1.2030886,1.0754634,-0.13325725,-0.27664432,-0.1367211,0.07750472,1.6668671,1.2339691,-0.32766622,-1.0420734,-0.123308495,-0.08568227,0.05196829,-0.6709787,-0.5132595,0.6720886,-0.42133772,0.19820738,-0.94258475,0.10967143,0.5701608,1.3433225,-0.16393003,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.73404306,0.72012174,-0.15655607,0.39018178,-0.44890684,0.28038052,0.5749697,1.2791791,0.7386914,-1.0505681,-0.6196542,-1.2836816,-0.8622075,0.25945172,-0.120058835,-0.427168,0.0706637,-0.37090573,0.5063481,-0.9263457,0.12645073,1.0091667,0.361473,-1.1688449,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.72975016,1.2339922,0.93574107,-0.2056023,0.42128953,-0.47966763,0.63181496,0.11690688,0.63431895,-0.7382387,-0.40703556,-0.64972353,0.3989492,0.08564387,-0.08964348,-0.93883383,1.1560856,0.035567824,-0.7953672,-1.4071119,-0.9330665,0.5899478,-0.84894747,-0.7605523,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,0.2412257,0.67974085,1.1273369,-0.34003612,0.008863765,0.9965273,0.58283013,0.7937802,0.2525484,0.113533475,0.627518,-0.3698015,-0.83453596,0.21639693,0.17225279,-0.5628711,0.16755667,-0.091154255,0.14189054,-0.9292634,-1.588989,-0.009101734,0.30616486,-0.82322985,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,1.0168071,0.7883339,1.4464291,-0.29525912,0.54063624,0.5049928,1.0183439,1.1099576,0.73619634,-0.4718868,0.31842762,-0.06489483,0.11672296,0.06448778,0.3753288,-0.6212743,0.90961385,-0.33472976,-0.07959944,-0.7591165,-0.08234253,0.008947067,-0.679187,-0.29445297,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.31827742,1.187425,1.500893,0.51323426,1.1192132,0.56379795,1.1640882,1.1043955,0.09391683,0.17287293,-0.52438176,-0.19830798,-0.8693999,-0.23651257,1.2427834,-0.8464129,0.060009617,0.27155086,0.9499592,-1.8039147,-0.10043844,0.4965329,-0.5085195,0.031800576,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.36192805,1.2406621,0.998049,0.4346591,-0.71092135,-0.23240243,0.17431311,0.831948,-0.27425,-1.1317714,-0.37097967,-0.5825579,-0.58740705,-0.067181386,-0.30554125,-0.59784275,0.41204226,-0.18205687,1.1505983,-0.254008,0.0057670274,-0.73457617,-0.45400023,-0.4942282,1.0
