,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,0.90938705,0.41323957,0.50179136,-0.36131948,-0.49392536,-0.33532026,1.9618008,-0.1390256,0.231352,-0.07097093,0.6461226,-0.025432922,-0.66087794,-0.7978311,0.124528326,-0.39970905,-0.5352935,-0.39906725,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.09934973,0.8593861,-0.16210392,0.17021555,-0.08334987,0.3475579,1.650205,0.1666046,0.12171276,0.52594125,0.18317728,-0.29937002,-1.2433096,-0.4826647,-0.641634,0.13842043,-0.23592113,0.15081169,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.2234619,0.44295117,-0.6222474,0.9091146,0.32336646,0.89354724,0.7389234,0.29053763,-0.36634535,0.31324363,-0.24327117,0.31285584,-0.32684237,-0.8787192,-0.2667379,-1.5658824,1.2271519,0.11974834,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,-0.029345443,1.0830387,0.38308382,-0.20271319,-0.6130077,-0.115726136,1.2793981,-0.3587092,-0.0946203,-0.12307785,0.15985838,-0.3705325,-0.4315027,-0.23694451,-0.5620714,-0.23531215,-0.4755596,-0.06703893,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.29876933,0.89630127,-0.34537274,-0.20642737,-0.8570801,-0.7515882,1.3143559,0.2078391,0.11505872,0.7803757,0.14779711,0.4559003,-0.34388238,-0.37074956,-0.5989842,-0.33918527,-0.48746917,-0.502315,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.22664335,1.5185431,-0.014724396,0.73238844,-1.1308156,0.12072183,1.684017,0.0898654,0.34334248,0.756627,0.43037745,-0.10597533,-0.9693066,0.26381242,-0.81106514,-0.35023248,0.27723253,0.13591295,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.20221943,0.7820453,-0.0913938,-0.3628515,-1.2875051,-0.57038766,0.91484797,0.9884583,-0.14085554,0.5838403,0.54929703,-1.4861338,-0.62939245,-0.49600643,-0.5169689,-1.303404,0.28639314,-0.25205255,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,0.23325914,0.84285057,-0.3570576,0.7917045,-0.9516089,-0.22083347,0.48171294,0.32835358,0.090542205,0.948981,0.4313438,0.27463347,-0.6601461,0.6483989,-0.54693884,-1.2625037,0.5161181,-0.47097823,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.31310222,0.42980033,-0.6699074,0.13149239,-1.5075834,-0.1647357,1.3193297,-0.1539304,-0.05208905,1.2620988,0.2412332,-0.48739055,-0.17645498,-0.078614235,-0.17018522,-1.6005818,1.0455699,-0.10714868,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,1.1033669,0.076655015,0.09810879,-0.05611028,-2.054842,0.3660742,0.93289244,0.6738614,0.59839344,0.23327962,0.56244063,0.42893443,-1.1588448,0.3920336,0.36370012,-0.6375106,-0.067528374,0.11972754,1.0
