,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,T10F,234D,42C9,6C53,9309,BA31,8EA4,62D6,82D7,752B,0851,35AC,2378,ADC0,F4DE,B99F,C357,93FE,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,T147,F270,41E6,3C93,5209,7320,8DB8,B3E7,4A87,3222,5C11,B5A4,93A9,7D80,75FD,BA5F,D613,A3FE,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,T1F5,548C,82C6,9C16,0340,B031,CB94,77C3,B2AB,BAEE,443A,559D,3221,F595,D49F,69FE,E317,C2AD,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,T189,E231,42C9,78D3,E10A,BE30,8D94,6295,82DA,3526,48D1,35BC,27B9,9DC0,F0DE,B65B,C29B,53FF,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,T1DF,D21E,42C5,7893,E20A,BE30,8DA0,6295,82EA,752B,4CD1,257C,17BD,68C0,F0DE,A65B,D357,93FF,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,T1FE,13A1,81E6,3C93,4208,7730,8DB8,63A3,4687,7536,5C11,75E4,93A9,BD80,B4EE,BA9F,D613,93FE,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,T1DD,0351,82D9,2C56,4309,6631,8FA8,A1D3,8283,B57A,4C35,39D8,6364,DD80,F49F,BADF,C257,D3FA,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,T19E,035E,82E6,3C93,4204,7230,8EB8,7393,8647,7669,5826,79D8,6365,BD80,F0EE,76DF,E613,93FD,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,T17F,238B,41D5,3893,A20A,BB20,8DB4,73A6,46CA,3227,0851,75A8,53BD,7C80,B4ED,B64F,E657,63FF,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,T1A9,A21D,89DA,3CF3,9109,6A30,8E84,9149,C247,B975,CD92,BED8,1355,DF80,B4CF,FB57,8189,A3FA,1.0
Backdoor.Graybird-08c383b4ffb8ed9df7a17296ae0c1798d7f4b769f188d5eef55c77bb79dcd432,T17C,F18F,83D6,3CE3,8209,6531,CE84,9286,8247,7975,8C61,7DD8,6795,DE80,F08F,B7DB,C29A,C3BA,1.0
Backdoor.Graybird-08cadbda2bd111540dc25897982bc801f681dc16e0eba323973e193712332ef3,T1E7,9382,86C6,9C63,4344,7531,8B84,7383,A16B,FAAD,443A,69CD,2210,FA90,D49F,7AFF,E347,D26D,1.0
Backdoor.Graybird-0904d313bde15d4656a630055d025d6a289de46fc2369597deb20d51da0ccd57,T146,0439,47C6,AC16,0341,B036,DF85,76C3,B2AB,BAED,043D,69AD,2310,F985,D49E,29FE,E317,C169,1.0
Backdoor.Graybird-095879f4cafe44bf45530fa8b6999d7361bdac2f041fc3c4e7afc1d80cbe914b,T16A,133E,42C5,6853,930A,BB30,CDA4,62D6,82D7,752B,0851,35AD,23B9,ADC0,F0DE,A69F,C257,93FF,1.0
Backdoor.Graybird-09a45409e39fb3077d1e7fea751027d152dfa6d9bd30829749ff4ec5caecdfb2,T180,B290,C2DA,3CE2,5208,7531,8F94,A291,8283,7975,8C61,7DD8,1795,DE80,F18F,FB9B,C29A,D3F6,1.0
Backdoor.Graybird-0a1311fceceea990bf446f7afa4fedcc6b7f8780afd4a6c87a31949818f87cea,T16B,2434,82D6,9C56,4340,B131,CB98,77C3,A16B,BAEE,043A,14CD,3261,F594,E49F,69FE,E317,C2AD,1.0
Backdoor.Graybird-0ded1dc774b46d985a4e90a46f5d56a0047630d7a6e8df439870f7bb40b57a14,T132,0350,82D5,2C66,4309,7631,8EA4,B2D3,9283,B57A,4825,39D8,2364,ED80,F49F,79EF,C357,D3FA,1.0
Backdoor.Graybird-0e4b24dfaad406b918efb40923889150f139511f43c56e34deac187d950ce03f,T198,135A,42D5,3883,A20A,BB20,8DB4,73A6,46CA,3227,1C51,7578,53BE,7C80,B4ED,B65F,D617,63FE,1.0
Backdoor.Graybird-0e9e218c49e56ec187e145db72a72726d50ae295f08b4bf344f19e13de603ba2,T1D8,139E,41E5,3C93,920D,7320,8DB8,63A7,4687,3126,5C11,75E4,A3A9,7D80,B4FE,BA9F,D613,A3FE,1.0
Backdoor.Graybird-0eec1cf54f4696068a4411a96e8deb728f734fac856440cb5175b1204d1dd137,T168,539F,42D5,2C93,9309,B630,8EB4,7397,8287,762A,0851,75A8,13B9,BD80,F0EE,76DF,D257,93EE,1.0
Backdoor.Graybird-10672ba06f9cceb9fb651a6338f13de953b8a97d9d5164acd08456fb7a974b69,T137,F28F,42C9,7C93,E209,BB30,8DA4,6195,82DA,752A,4CA1,35AC,2779,9CC0,F0CE,B65F,C257,93FF,1.0
Backdoor.Graybird-1078ebc75c7612450f362dc2e480699e1e6f21473898effad033a32e4e47d5ed,T124,726E,C2DA,7CE2,4208,7531,8F94,A295,8247,7975,8C61,7DD8,13A5,DE40,F08F,BBDB,C39A,C3BA,1.0
Backdoor.Graybird-1203e135f7e763fee8490a3e11c091a2a7617dc3e486d2bbe6ac81a32bc931be,T1B9,6328,88D6,3CB3,810C,2B30,4EA4,915A,8743,B935,CC92,BED4,5355,AF80,74DF,BB4B,9599,A3FE,1.0
Backdoor.Graybird-12efad6f7e8313a41ffc7a49cdd612243712922f8d7947141e366574279077b3,T1E5,F16E,83D6,3CE2,8208,6531,CE84,9286,8247,7975,8C61,7DD8,6795,DE80,F08F,B7DB,C29A,C3BA,1.0
Backdoor.Graybird-12f4f6331583edc2599a31940233f76e950dee226f92573abf7ad0bad10cb2c7,T108,7351,89D6,3CB3,8108,6B30,4E94,925A,8743,B935,CC92,BED4,1355,EF80,74DE,BB5B,9189,E3FE,1.0
Backdoor.Graybird-143c25c7cc08038a40638df3cd01232232baed4a9469f356efc615b5041c794a,T11A,138E,81E6,3C93,4308,7231,8EB8,73A3,8687,7526,1815,7598,53A9,BD80,F4EE,7ADF,D713,93EE,1.0
Backdoor.Graybird-14818f4633cc87ac1b11b53895daa6cbc595065596c7ea86f807fb1a1ad79b72,T117,F272,C1D9,2CA7,920D,6631,CEA8,91D6,42C3,7536,4C61,39E8,63A4,DD80,B48F,BA9F,C257,D3FA,1.0
Backdoor.Graybird-152a87566246d7b100a299d29e34ce080c52e714e0c2883b904d85c1144de18d,T128,F281,C1EA,2CA6,920D,6731,8EB8,91D1,42C3,7436,4D20,79E4,63A4,DE80,759F,BE9F,C267,D3F6,1.0
Backdoor.Graybird-16274674297d97fdb7c53027a4e6facd681428961e31bc85dfff497056b071a4,T1BF,237E,81D6,3C52,4308,7231,8EB8,73E3,8687,762A,5825,7598,5369,BD80,F4AE,7ADF,D313,93FE,1.0
