,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,-0.02898753061890602,0.13986581563949585,-0.11850596219301224,0.20542627573013306,-0.04643874987959862,-0.1534787267446518,0.07903783023357391,-0.0902644544839859,0.2710936963558197,-0.05423327162861824,-0.07400606572628021,-0.2923019826412201,0.054320354014635086,0.2389405518770218,0.04478958621621132,0.006747094914317131,-0.15550823509693146,0.14526182413101196,-0.2996709942817688,-0.25999847054481506,0.008863557130098343,0.2160344421863556,-0.22380280494689941,-0.13780002295970917,-0.3456125557422638,0.1030145138502121,-0.0017179667484015226,0.08613521605730057,0.051227834075689316,-0.0130637027323246,-0.14550140500068665,-0.12632188200950623,0.10583925247192383,-0.09837906807661057,0.09494319558143616,-0.23748064041137695,-0.2289777398109436,0.07106985151767731,-0.10221854597330093,-0.06336814165115356,-0.14538806676864624,0.21984606981277466,0.0020472239702939987,0.005952958483248949,-0.03348780423402786,-0.22667306661605835,0.18815568089485168,0.14217406511306763,-0.0019388829823583364,0.018081003800034523,0.11265059560537338,-0.06164906173944473,0.2165168970823288,0.18274101614952087,0.002355721779167652,0.07421999424695969,0.09239497780799866,0.4119737446308136,-0.13262774050235748,-0.26631107926368713,-0.04378258064389229,-0.13007067143917084,-0.0535433292388916,0.05846007913351059,-0.0504949614405632,0.06640582531690598,0.108692966401577,-0.17467549443244934,-0.04196111485362053,0.5784238576889038,-0.4444931149482727,-0.024441782385110855,-0.1334628015756607,-0.22834928333759308,0.13772203028202057,0.1547112762928009,-0.11508695781230927,0.0029091835021972656,-0.20389463007450104,0.11988706141710281,-0.08105069398880005,0.16460004448890686,0.14129123091697693,-0.08872569352388382,-0.09684029966592789,0.01434333249926567,-0.14809425175189972,-0.047536566853523254,0.048830728977918625,-0.03719129040837288,-0.055009275674819946,0.13854026794433594,0.030224841088056564,0.08998706936836243,0.1460253894329071,0.33664172887802124,0.3125987946987152,0.13427802920341492,-0.06096373498439789,-0.09467708319425583,0,0,0,0,11,2,60,126,9,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.06291604787111282,0.0806155800819397,-0.44096052646636963,-0.9816985130310059,-0.006495782174170017,0.5744059085845947,0.026652038097381592,0.4015912711620331,-0.08416857570409775,0.4344686269760132,-0.3385738432407379,0.1560666263103485,0.01705351658165455,0.47532010078430176,-0.1306265890598297,0.3865497410297394,0.19973869621753693,0.07669498026371002,-0.41746100783348083,-0.3400318920612335,0.3441237509250641,-0.27691158652305603,0.06692377477884293,-0.03048289194703102,-0.10053860396146774,-0.15284621715545654,-0.08288195729255676,0.08700350672006607,0.4812788963317871,0.17178688943386078,0.03246265649795532,0.30499395728111267,0.3843633830547333,-0.06315227597951889,-0.13967451453208923,-0.1606500744819641,0.37623822689056396,0.18590177595615387,0.24897828698158264,0.16531285643577576,0.4272371530532837,-0.12609092891216278,-0.5304332375526428,0.021710960194468498,0.011750917881727219,0.4423552453517914,-0.32024458050727844,0.5088812112808228,0.18451015651226044,0.2270960509777069,0.07702484726905823,0.21808502078056335,-0.03555523231625557,-0.2330493927001953,-0.3463834524154663,-0.5034539699554443,-0.04062860086560249,0.32927119731903076,0.16309373080730438,-0.2435026615858078,-0.23145048320293427,0.5128203630447388,-0.259542316198349,-0.3943060338497162,-0.45722711086273193,0.5846538543701172,0.3224262297153473,-0.1743064969778061,0.19512593746185303,-0.02787812240421772,-0.7492581009864807,-0.7176244258880615,-0.06177264451980591,-0.01785855181515217,-0.37478625774383545,0.08178643137216568,-0.0024179702159017324,-0.22838670015335083,-0.43633636832237244,-0.4382924437522888,0.08565782010555267,-0.0822819247841835,0.4864242672920227,-0.7068384289741516,-0.399263471364975,0.08887575566768646,-0.20316782593727112,0.14957092702388763,-0.18560999631881714,0.19423821568489075,-0.12725968658924103,0.4920434057712555,0.0726357027888298,0.8025695085525513,0.8290589451789856,-0.0111110620200634,0.17902444303035736,-0.080572210252285,0.3875182271003723,-0.34634271264076233,0,0,0,0,5,0,23,39,5,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,-0.3098677694797516,-0.536812961101532,-0.08482534438371658,0.45329099893569946,-0.1195298582315445,0.3044991195201874,-0.129100501537323,0.23652535676956177,-0.15039445459842682,0.5546010136604309,-0.4305863380432129,0.32540398836135864,-0.27283912897109985,0.2811603844165802,0.04792923852801323,-0.24390141665935516,0.33319801092147827,-0.3700280487537384,0.238954558968544,0.13415582478046417,-0.3260380029678345,0.5196417570114136,-0.2984333336353302,-0.15931083261966705,-0.36707332730293274,0.3918304741382599,0.1834009289741516,0.17143389582633972,-0.0465521365404129,0.0979621633887291,-0.31339964270591736,0.30064404010772705,0.013433955609798431,-0.1262202113866806,0.11268233507871628,-0.030493469908833504,-0.30056822299957275,-0.19689396023750305,-0.18993723392486572,0.2278817892074585,0.3588480055332184,-0.02582314983010292,-0.3315431773662567,0.20069481432437897,-0.44004026055336,0.7998762726783752,0.48126229643821716,-0.009570980444550514,-0.050446633249521255,0.178747296333313,0.23755329847335815,-0.5180957913398743,0.2395106852054596,-0.15863510966300964,0.5742931962013245,-0.20832568407058716,-0.03907841816544533,-0.15161846578121185,0.5947497487068176,0.0696355551481247,0.2761315703392029,0.10278203338384628,0.07972966134548187,-0.061439238488674164,0.13965730369091034,-0.33280453085899353,0.39994892477989197,-0.35344332456588745,0.4057164788246155,-0.45262157917022705,-0.6115359663963318,-0.2311597317457199,0.0754525288939476,0.12239319831132889,-0.1264544427394867,-0.3131773769855499,-0.3641110062599182,-0.12986940145492554,-0.39272940158843994,0.4316454231739044,0.027494290843605995,0.1923721432685852,-0.12726429104804993,0.12666258215904236,-0.3138180375099182,0.13819243013858795,0.180256187915802,0.11548316478729248,-0.4135873019695282,0.03606411814689636,-0.08249495178461075,0.21938246488571167,-0.18325194716453552,1.279066801071167,0.5220871567726135,-0.049988750368356705,-0.003667615121230483,0.0756896436214447,0.2704639732837677,-0.5113123059272766,9,0,3,6,48,3,808,2965,8,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.537634015083313,0.3071270287036896,-0.5034061074256897,0.3247193992137909,0.32955867052078247,0.04673440381884575,0.2797364592552185,0.02870146930217743,-0.1661897450685501,0.1420234739780426,-0.6190565824508667,0.10728155821561813,-0.0876239687204361,0.32069095969200134,0.5516939759254456,0.32404255867004395,0.26424291729927063,-0.129204660654068,-0.12680122256278992,-0.07489832490682602,-0.08018108457326889,0.07964012026786804,0.08464548736810684,0.2371165156364441,-0.361052006483078,-0.02068835124373436,0.5073871612548828,0.4141193926334381,-0.12916551530361176,0.14222094416618347,-0.6328708529472351,0.6294727921485901,0.19113197922706604,0.4697241187095642,-0.5076608061790466,-0.2574000954627991,0.019830256700515747,0.049716949462890625,-0.37246885895729065,-0.30316162109375,-0.22954775393009186,0.35236871242523193,-0.18939976394176483,-0.05465248227119446,0.030286526307463646,-0.18122228980064392,0.34206482768058777,0.003156919963657856,-0.535256028175354,-0.012250449508428574,0.2511766254901886,-0.3985994756221771,0.24588868021965027,0.25158944725990295,0.3847220242023468,0.09943865984678268,0.01938670501112938,0.5071099996566772,-0.23712055385112762,-0.11219244450330734,0.024665530771017075,0.34865203499794006,0.14850527048110962,-0.38347843289375305,0.09564468264579773,-0.2656087279319763,0.3216220736503601,-0.1865246593952179,0.25588729977607727,-0.0382896289229393,-0.03901606798171997,-0.17746232450008392,0.01235938724130392,0.07805380970239639,0.43640634417533875,-0.08235205709934235,-0.3070046603679657,0.009305670857429504,-0.25833064317703247,0.6001370549201965,-0.1349164992570877,-0.04564344882965088,-0.2537079155445099,0.40643981099128723,-0.2578710615634918,0.37420278787612915,-0.05101066827774048,0.008876715786755085,-0.28128764033317566,-0.07567612826824188,-0.15202946960926056,0.3035861849784851,-0.2030196338891983,0.34540674090385437,0.23000633716583252,0.11778481304645538,-0.19664114713668823,0.11110436171293259,-0.2576371133327484,-0.21646882593631744,0,0,0,0,5,2,21,21,3,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.5671543478965759,0.4030846059322357,-0.6209005117416382,0.5981736779212952,0.29228028655052185,-0.08554603159427643,0.5346505045890808,0.11303043365478516,-0.030219770967960358,0.278566837310791,-0.4118216633796692,-0.05882144719362259,-0.11025511473417282,0.26768139004707336,0.7039415836334229,0.34659191966056824,0.15052534639835358,-0.0977027490735054,-0.16826917231082916,-0.03522808477282524,0.039249494671821594,0.08185893297195435,-0.024593111127614975,-0.05931064486503601,-0.4228658676147461,-0.028399063274264336,0.5965905785560608,0.3171030580997467,-0.06437335163354874,0.07583335787057877,-0.45266056060791016,0.7161539793014526,0.2140924334526062,0.5007786750793457,-0.4635825455188751,-0.24019192159175873,-0.004342801868915558,0.0427045114338398,-0.2814811170101166,-0.4051114618778229,-0.2935524880886078,0.20070333778858185,-0.2719629406929016,-0.0375218540430069,0.15972258150577545,-0.2433418333530426,0.2825537919998169,-0.05184834077954292,-0.5937336087226868,-0.1176341101527214,0.29011568427085876,-0.4686148762702942,0.10482281446456909,0.24630115926265717,0.4433548152446747,0.058853648602962494,0.06682759523391724,0.5033424496650696,-0.45656877756118774,0.08475657552480698,-0.18696103990077972,0.32861974835395813,0.09897797554731369,-0.28155601024627686,0.09927204996347427,-0.26790353655815125,0.25808486342430115,-0.08061786741018295,0.05603772774338722,-0.017133785411715508,-0.06349267065525055,-0.160444438457489,-0.04820758476853371,0.06330064684152603,0.4990289509296417,-0.18302766978740692,-0.3547806739807129,0.03888963907957077,-0.11489532142877579,0.6631158590316772,-0.13543450832366943,0.0403272844851017,-0.2411888688802719,0.3899855613708496,-0.26467975974082947,0.35606399178504944,-0.1017439216375351,-0.0743880569934845,-0.3270227611064911,-0.07276520133018494,-0.15849047899246216,0.3402695655822754,-0.09996651113033295,0.2564094364643097,0.3596881031990051,0.12918560206890106,-0.14287824928760529,0.1325244903564453,-0.24924957752227783,-0.1565144658088684,0,0,0,0,4,10,41,54,2,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.9095368385314941,-0.4531664550304413,-0.05457514524459839,0.030522480607032776,0.4878603219985962,0.24922581017017365,-0.36784568428993225,0.7030242085456848,-0.3911028802394867,0.293061763048172,-0.7308228015899658,-0.020763445645570755,-0.20588718354701996,0.3871838450431824,-0.08345367014408112,-0.48396167159080505,0.47424110770225525,-0.17985899746418,-0.6278737187385559,-0.454642117023468,0.5631140470504761,0.2510128617286682,0.26872557401657104,-0.21583515405654907,-0.213664248585701,0.3850880563259125,-0.11470022052526474,0.16172760725021362,0.17772436141967773,-0.5621150732040405,0.19459813833236694,0.2832939028739929,-0.21806035935878754,-0.27382463216781616,0.0860387310385704,0.23937776684761047,0.18268461525440216,-0.013155251741409302,0.00433002132922411,-0.13678357005119324,-0.1479974240064621,-0.06101459637284279,-0.16016119718551636,-0.18122638761997223,-0.28332391381263733,-0.49764910340309143,0.024640103802084923,-0.1363915652036667,0.05204199627041817,0.16960100829601288,-0.5158745646476746,0.13213789463043213,-0.11572577804327011,0.05423268303275108,0.13601574301719666,0.0401616171002388,-0.4259125590324402,0.03198542818427086,0.3973604142665863,-0.3423061668872833,0.18056723475456238,-0.13826967775821686,0.010781291872262955,0.07626373320817947,0.41506844758987427,0.006072432734072208,-0.7123793363571167,-0.412975013256073,-0.22102664411067963,0.03319568932056427,-0.4894877076148987,0.6296615600585938,0.1491525024175644,0.49934303760528564,0.16254350543022156,0.671659529209137,0.2037069946527481,0.2796885669231415,0.2268659919500351,0.5028041005134583,0.04804684594273567,0.2336074262857437,0.017110541462898254,-0.14351461827754974,0.01192709244787693,0.030422020703554153,-0.029728872701525688,0.0735585018992424,-0.026183102279901505,0.42472758889198303,-0.17490103840827942,-0.15822117030620575,-0.13124492764472961,-0.036623310297727585,0.11072096973657608,0.21847961843013763,-0.11743311583995819,-0.02973821386694908,0.06908056139945984,-0.4237631559371948,0,0,1,0,5,6,41,73,9,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,-0.050136711448431015,0.1354384869337082,-0.1936846822500229,0.3727130889892578,0.028399189934134483,-0.1347956508398056,0.13972020149230957,-0.07574527710676193,0.2313702255487442,-0.16012834012508392,-0.04909816011786461,-0.39203566312789917,0.08156175911426544,0.15603576600551605,0.061500947922468185,-0.005631869193166494,-0.25545746088027954,0.17619651556015015,-0.3598077595233917,-0.23193605244159698,0.027124812826514244,0.2083550989627838,-0.27086713910102844,-0.19563274085521698,-0.3389934003353119,0.13236016035079956,0.08048993349075317,0.16521552205085754,-0.045387305319309235,0.12365145981311798,-0.11515558511018753,-0.18501602113246918,0.08123181760311127,-0.08928915113210678,0.1310267597436905,-0.29829975962638855,-0.2862388491630554,0.1561678797006607,-0.1410239189863205,-0.023584624752402306,-0.23504291474819183,0.2833029627799988,-0.10416743904352188,0.03069351613521576,-0.003919284790754318,-0.38775408267974854,0.17577627301216125,0.1490231454372406,-0.055938027799129486,0.014559215866029263,0.1583637297153473,-0.12435349822044373,0.2523835301399231,0.18196554481983185,-0.008512106724083424,0.0776761844754219,0.05884680151939392,0.5502683520317078,-0.175083726644516,-0.3261573314666748,-0.005560996010899544,-0.2165299504995346,-0.09638778120279312,0.12975935637950897,-0.03492453694343567,-0.05513986945152283,0.09789753705263138,-0.13015563786029816,0.022915439680218697,0.5572347640991211,-0.4717812240123749,0.026433423161506653,-0.10733256489038467,-0.22207440435886383,0.26937204599380493,0.165729820728302,-0.13404960930347443,0.05949293076992035,-0.24608276784420013,0.1631416529417038,-0.1288519650697708,0.18855030834674835,0.15262161195278168,0.027747564017772675,-0.05618349462747574,-0.030168566852808,-0.16880203783512115,-0.1095673069357872,0.0425327904522419,-0.023241203278303146,-0.11587633937597275,0.14819498360157013,-0.023096000775694847,0.06532200425863266,0.10753457248210907,0.32552075386047363,0.2989583909511566,0.16795064508914948,0.04151024669408798,-0.22647356986999512,0,0,1,0,10,5,68,109,3,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,-0.08084344863891602,0.320571631193161,-0.2653147280216217,0.28850823640823364,0.05104253068566322,-0.12374866008758545,0.19614936411380768,-0.04874122142791748,0.17841732501983643,0.07784203439950943,0.09723986685276031,-0.2944679856300354,-0.0018476994009688497,0.2175983339548111,0.16246698796749115,-0.01990465074777603,-0.25392773747444153,0.19875633716583252,-0.3479762375354767,-0.3205108046531677,0.0014358940534293652,0.07424896955490112,-0.2442103773355484,-0.16613644361495972,-0.42349720001220703,0.08160541206598282,0.07114770263433456,0.14352022111415863,-0.062076717615127563,0.06896299868822098,-0.12649136781692505,-0.18016290664672852,0.08292455971240997,-0.013852895237505436,0.06032449007034302,-0.3251858651638031,-0.3048690855503082,0.05004957318305969,-0.25096574425697327,-0.23297442495822906,-0.21640557050704956,0.2268127053976059,-0.07869166880846024,0.009879649616777897,-0.03514451906085014,-0.3738066852092743,0.22512611746788025,0.10722300410270691,0.019694587215781212,-0.011669042520225048,0.20599356293678284,-0.013041705824434757,0.23916251957416534,0.2661444842815399,0.05736739933490753,0.08122190088033676,0.06604400277137756,0.5223919153213501,-0.1746019721031189,-0.32984843850135803,-0.00021426446619443595,-0.2089403122663498,-0.06611496210098267,0.06027572974562645,-0.10236191749572754,0.07262232899665833,-0.021216552704572678,-0.1529533565044403,-0.01742953062057495,0.4731915593147278,-0.40630486607551575,0.027549099177122116,-0.12427357584238052,-0.1913968026638031,0.17454521358013153,0.1413278877735138,-0.18254172801971436,0.030344434082508087,-0.22931772470474243,0.13369762897491455,-0.1720646172761917,0.1968667209148407,0.19620881974697113,0.04408993944525719,-0.08861097693443298,0.02249574102461338,-0.1994985044002533,-0.1300477385520935,0.08307770639657974,-0.035708583891391754,-0.03641926124691963,0.22262994945049286,0.04715070128440857,-0.0068926685489714146,0.22010204195976257,0.2822221517562866,0.269564151763916,0.11736214905977249,-0.05906464532017708,-0.12341709434986115,0,0,1,0,10,2,60,109,3,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.439655601978302,-0.1849476844072342,-0.7735923528671265,-0.14223620295524597,0.16315829753875732,0.63716059923172,-0.6102367043495178,0.7236408591270447,-0.4116095304489136,0.9720619916915894,-0.7409230470657349,0.4484446942806244,-0.5951873064041138,1.0532400608062744,0.2580074071884155,-0.8483607769012451,0.4165898561477661,-0.17633168399333954,-0.4534611403942108,-0.1399824321269989,0.5631635785102844,-0.20427431166172028,0.2470792829990387,-0.15699292719364166,-0.6999768614768982,0.25072988867759705,0.04241315647959709,-0.18397872149944305,0.44803059101104736,-0.9986881613731384,-0.06377244740724564,0.8363826274871826,-0.2354762852191925,-0.09322190284729004,-0.30428677797317505,0.32403358817100525,0.7116214036941528,-0.11142154037952423,0.16712094843387604,-0.6825799345970154,-0.30861419439315796,-0.17560520768165588,-0.006432114169001579,0.2307349592447281,0.03469308838248253,-0.038510702550411224,0.42208805680274963,-0.35783010721206665,0.3818509578704834,0.7626715898513794,-0.6849261522293091,1.1025711297988892,-0.46954700350761414,0.19171613454818726,0.12506833672523499,-0.6520962715148926,-0.5324415564537048,0.3203168213367462,0.44976693391799927,-0.8586982488632202,0.11578994989395142,-0.27110016345977783,0.08678250014781952,-0.09316209703683853,0.3019745945930481,0.44886744022369385,-1.076102614402771,-0.32745033502578735,-0.47350138425827026,-0.26754918694496155,0.0483168289065361,0.24537600576877594,-0.0941135436296463,0.007452580612152815,-0.04629161208868027,0.8486599922180176,-0.05336441099643707,0.16128292679786682,0.4738653898239136,0.4571320414543152,0.2554556131362915,-0.19598665833473206,-0.12617069482803345,-0.9297348260879517,0.5576938390731812,0.08442764729261398,0.0450512133538723,0.30924513936042786,0.009091534651815891,0.3478752374649048,-0.387959361076355,-0.5983474850654602,-0.1704099178314209,-0.20847463607788086,0.35538598895072937,0.4379488527774811,-0.3506428301334381,-0.41253986954689026,-0.07212398201227188,-0.15858446061611176,0,0,0,0,5,5,41,73,11,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.29606595635414124,0.06726503372192383,-0.5324100852012634,0.4277292490005493,0.44054800271987915,0.25885212421417236,0.3909749686717987,0.10083109140396118,-0.24261488020420074,0.5848297476768494,-0.5997339487075806,0.479604572057724,-0.21119485795497894,0.37918925285339355,0.5616993308067322,0.15879876911640167,0.42405059933662415,-0.3263697028160095,0.17576324939727783,-0.02126351371407509,-0.18777289986610413,0.32128459215164185,-0.09685306251049042,0.08086656779050827,-0.2632445991039276,0.13051916658878326,0.5484152436256409,0.39134201407432556,-0.1782447099685669,0.2699736952781677,-0.4166276156902313,0.680521547794342,0.1820535659790039,0.4301336705684662,-0.4098525941371918,-0.09460750222206116,-0.06683892011642456,-0.05539055913686752,-0.29986828565597534,-0.1835527867078781,-0.028062010183930397,0.14490987360477448,-0.16780124604701996,0.13022135198116302,-0.15512555837631226,0.09169603884220123,0.45808354020118713,-0.26753291487693787,-0.4769013524055481,0.13135136663913727,0.2677929401397705,-0.49951812624931335,0.2139335572719574,0.08615925908088684,0.4962611198425293,-0.050620440393686295,-0.0068719531409442425,0.32134413719177246,0.16975125670433044,-0.12220830470323563,0.07632585614919662,0.30127084255218506,0.09583151340484619,-0.33710670471191406,0.22166843712329865,-0.4408581554889679,0.3855350911617279,-0.08068567514419556,0.2742260992527008,-0.48211294412612915,0.030532505363225937,-0.04882005602121353,0.06457072496414185,0.10396816581487656,0.22323466837406158,-0.27559077739715576,-0.40858009457588196,-0.022151097655296326,-0.2006603330373764,0.7018232941627502,-0.009294240735471249,0.07006615400314331,-0.3586934506893158,0.288537859916687,-0.34314262866973877,0.3217996060848236,0.19166536629199982,0.10660765320062637,-0.5292521715164185,-0.15831005573272705,0.010649248026311398,0.38963955640792847,-0.23995627462863922,0.5446449518203735,0.38366490602493286,0.21886667609214783,-0.408263236284256,0.05174815654754639,0.005367518402636051,-0.1796058714389801,0,0,0,0,3,0,18,19,0,1.0
