,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,85.56,71.9,91.0153846153846,61.75999999999999,61.775,61.75999999999999,61.775,61.75999999999999,61.775,69.90454545454546,69.90454545454546,48.771428571428565,75.52000000000001,71.9,71.9,69.81153846153846,78.16666666666667,65.00666666666666,75.22777777777779,48.771428571428565,48.771428571428565,75.52000000000001,75.52000000000001,91.0153846153846,75.52000000000001,71.9,78.16666666666667,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,89.28999999999999,69.05,69.05,81.99130434782607,89.28999999999999,48.771428571428565,64.78461538461539,61.75999999999999,61.775,81.99130434782607,72.07368421052632,81.99130434782607,81.99130434782607,81.99130434782607,48.15555555555555,48.15555555555555,48.15555555555555,70.18,70.18,57.500000000000014,48.771428571428565,48.771428571428565,68.8375,81.99130434782607,68.8375,68.8375,69.90454545454546,69.90454545454546,75.52000000000001,71.9,61.75999999999999,61.775,75.52000000000001,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,57.76153846153846,57.76153846153846,57.76153846153846,48.771428571428565,71.68571428571428,71.68571428571428,71.68571428571428,71.68571428571428,57.89090909090908,81.99130434782607,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,57.89090909090908,85.56,71.9,68.8375,48.15555555555555,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,79.93684210526317,48.771428571428565,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,57.76153846153846,71.225,71.225,70.28181818181817,85.56,71.9,71.9,71.9,71.9,71.9,71.9,85.56,85.56,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,75.52000000000001,71.9,75.52000000000001,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,1.0
