,findfirstfileexw ntclose,findfirstfileexw regopenkeyexw,findresourceexw findresourceexw,findresourceexw loadresource,findresourcew sizeofresource,getfiletype getfiletype,getsystemdirectoryw ldrgetdllhandle,getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime,getsystemtimeasfiletime ldrloaddll,getsystemtimeasfiletime setunhandledexceptionfilter,getsystemwindowsdirectoryw getsystemdirectoryw,getsystemwindowsdirectoryw getsystemwindowsdirectoryw,ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress,ldrgetdllhandle ldrloaddll,ldrgetprocedureaddress getsystemmetrics,ldrgetprocedureaddress getsystemtimeasfiletime,ldrgetprocedureaddress getsystemwindowsdirectoryw,ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrunloaddll,ldrgetprocedureaddress ntallocatevirtualmemory,ldrgetprocedureaddress ntclose,ldrgetprocedureaddress ntprotectvirtualmemory,ldrgetprocedureaddress regopenkeyexw,ldrgetprocedureaddress regqueryvalueexw,ldrloaddll getsystemdirectoryw,ldrloaddll ldrgetprocedureaddress,ldrloaddll ldrloaddll,loadresource findresourceexw,loadresource findresourcew,loadstringa loadstringa,loadstringw loadstringw,ntallocatevirtualmemory getsystemmetrics,ntallocatevirtualmemory ldrgetdllhandle,ntallocatevirtualmemory ldrloaddll,ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory,ntallocatevirtualmemory ntprotectvirtualmemory,ntallocatevirtualmemory ntreadfile,ntclose findfirstfileexw,ntclose ldrgetdllhandle,ntclose ldrloaddll,ntclose ntclose,ntclose ntopenfile,ntclose ntopenkey,ntclose ntopenkeyex,ntclose ntqueryattributesfile,ntclose regopenkeyexw,ntcreatefile ntcreatefile,ntcreatefile ntcreatesection,ntcreatemutant ntcreatemutant,ntcreatesection ntmapviewofsection,ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntallocatevirtualmemory,ntmapviewofsection ntclose,ntopenkey ntclose,ntopenkey ntopenkey,ntopenkey ntqueryvaluekey,ntopenkeyex ldrloaddll,ntopenkeyex ntquerykey,ntopenkeyex ntqueryvaluekey,ntopenmutant ntopenmutant,ntprotectvirtualmemory ldrgetdllhandle,ntprotectvirtualmemory ldrgetprocedureaddress,ntprotectvirtualmemory ntprotectvirtualmemory,ntqueryattributesfile ntqueryattributesfile,ntquerykey ntopenkeyex,ntqueryvaluekey ntclose,ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile,ntreadfile setfilepointer,ntunmapviewofsection ntclose,regclosekey findfirstfileexw,regclosekey ldrgetdllhandle,regclosekey regclosekey,regclosekey regopenkeyexw,regenumkeyexw regenumkeyexw,regopenkeyexa regopenkeyexa,regopenkeyexa regqueryvalueexa,regopenkeyexw ldrgetprocedureaddress,regopenkeyexw ldrloaddll,regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw,regopenkeyexw regqueryinfokeyw,regopenkeyexw regqueryvalueexw,regqueryinfokeyw ldrgetprocedureaddress,regqueryvalueexa regclosekey,regqueryvalueexa regqueryvalueexa,regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw,searchpathw searchpathw,seterrormode seterrormode,setfilepointer ntreadfile,setfilepointer setfilepointer,sizeofresource loadresource,timegettime timegettime,writeconsolea writeconsolea,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent_count,children_count,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,3,15,0,17,0,0,1,0,0,13,0,0,11,2,0,0,8,2,0,60,126,2,1,0,0,2,6,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3,1,14,0,12,0,0,0,0,0,11,0,0,5,1,0,0,0,2,0,23,39,0,1,0,0,2,4,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.0,0.0,0.0,0.1453475919831048,0.0,0.0,0.0,0.029013339359967583,0.0,0.0,0.0,0.0,0.0,0.0,0.013247979678912506,0.0,0.0,0.0,0.02962001737760472,0.0,0.01099109243269831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035198321854656,0.02657310932683166,0.06191990411036753,0.0,0.0,0.0,0.03181738684106389,0.0,0.0,0.03420659297068256,0.020389508248792567,0.0,0.0354933313318244,0.0,0.0,0.04318814729111389,0.03453954848993071,0.0,0.0,0.0,0.0,0.0,0.0,0.025287941874613834,0.0,0.02184588055443552,0.0,0.020611705851255806,0.024857993314326785,0.0,0.051395575083611304,0.018436717651077395,0.0,0.0,0.0,0.0,0.0,0.0,0.053233636162270774,0.0,0.0,0.0,0.0315958537624101,0.0,0.5537690577481685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405530755489292,0.5969359757666068,0.0,0.0,0.0,8,0,0,9,13,0,49,0,0,2,9,3,27,5,0,48,22,0,6,26,4,4,808,2965,3,0,0,0,2,4,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,0,0,7,0,0,1,0,0,13,0,0,5,1,0,0,0,1,0,21,21,2,1,0,0,2,2,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0,10,0,0,1,0,0,11,0,0,4,0,0,0,6,1,0,41,54,10,1,0,0,2,1,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,1,2,15,0,16,0,0,1,0,1,13,0,0,5,0,0,0,6,2,0,41,73,6,1,0,0,2,7,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,2,0,68,109,5,1,0,0,2,3,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,1,0,60,109,2,1,0,0,2,2,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021418442330206088,0.05613942529849435,0.0,0.030916201509671216,0.0,0.0,0.02150303238067871,0.3958932481780644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496593675028712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02551539333592908,0.0,0.0,0.0,0.0,0.0,0.031997443738651044,0.0,0.0,0.0,0.0,0.0,0.31633570109499093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08907980999299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03032934072258159,0.0,0.0,0.0,0.05313918928580933,0.028745738496480062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028844081816559203,0.03519400058081531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,2,15,0,16,0,0,1,0,0,15,0,0,5,1,0,0,6,2,0,41,73,5,1,0,0,2,6,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995820984217436,0.018478664649014657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022229877812824195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,28,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,18,19,0,1,0,0,2,0,1.0
