,"('findfirstfileexw ntclose findfirstfileexw',)","('findresourceexw loadresource findresourceexw',)","('findresourcew sizeofresource loadresource',)","('getfilesize ntcreatesection ntmapviewofsection',)","('getsystemmetrics getsystemmetrics getsystemmetrics',)","('getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime',)","('getsystemtimeasfiletime ldrloaddll ldrgetprocedureaddress',)","('getsystemwindowsdirectoryw getsystemwindowsdirectoryw loadstringw',)","('getsystemwindowsdirectoryw loadstringw getsystemwindowsdirectoryw',)","('getsystemwindowsdirectoryw ntcreatefile ntcreatesection',)","('ldrgetdllhandle ldrgetdllhandle ldrgetprocedureaddress',)","('ldrgetdllhandle ldrgetdllhandle ldrloaddll',)","('ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle',)","('ldrgetdllhandle ldrgetprocedureaddress ldrgetprocedureaddress',)","('ldrgetdllhandle ldrgetprocedureaddress regopenkeyexw',)","('ldrgetprocedureaddress getsystemwindowsdirectoryw ntcreatefile',)","('ldrgetprocedureaddress ldrgetdllhandle ldrgetdllhandle',)","('ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress',)","('ldrgetprocedureaddress ldrgetprocedureaddress getsystemwindowsdirectoryw',)","('ldrgetprocedureaddress ldrgetprocedureaddress ldrgetdllhandle',)","('ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress',)","('ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll',)","('ldrgetprocedureaddress ldrgetprocedureaddress ntallocatevirtualmemory',)","('ldrgetprocedureaddress ldrgetprocedureaddress ntclose',)","('ldrgetprocedureaddress ldrgetprocedureaddress regopenkeyexw',)","('ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress',)","('ldrgetprocedureaddress ntallocatevirtualmemory ntallocatevirtualmemory',)","('ldrgetprocedureaddress regopenkeyexw regopenkeyexw',)","('ldrgetprocedureaddress regopenkeyexw regqueryvalueexw',)","('ldrgetprocedureaddress regqueryvalueexw regclosekey',)","('ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress',)","('ldrloaddll ldrgetprocedureaddress ldrloaddll',)","('ldrloaddll ldrgetprocedureaddress ldrunloaddll',)","('ldrloaddll ldrgetprocedureaddress ntallocatevirtualmemory',)","('ldrloaddll ldrgetprocedureaddress regopenkeyexw',)","('ldrloaddll ldrloaddll ldrloaddll',)","('loadresource findresourceexw loadresource',)","('loadresource findresourcew sizeofresource',)","('loadstringa ldrgetdllhandle ldrgetprocedureaddress',)","('loadstringa loadstringa ldrgetdllhandle',)","('loadstringa loadstringa loadstringa',)","('loadstringw getsystemwindowsdirectoryw getsystemdirectoryw',)","('loadstringw loadstringw loadstringw',)","('ntallocatevirtualmemory getsystemmetrics getsystemmetrics',)","('ntallocatevirtualmemory ldrgetdllhandle ldrgetprocedureaddress',)","('ntallocatevirtualmemory ldrloaddll ldrgetprocedureaddress',)","('ntallocatevirtualmemory ntallocatevirtualmemory ldrloaddll',)","('ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory',)","('ntallocatevirtualmemory ntallocatevirtualmemory ntprotectvirtualmemory',)","('ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory',)","('ntclose findfirstfileexw ntclose',)","('ntclose ldrgetdllhandle ldrgetprocedureaddress',)","('ntclose ldrloaddll ldrgetprocedureaddress',)","('ntclose ntclose ntclose',)","('ntclose ntclose ntopenkey',)","('ntclose ntopenkey ntclose',)","('ntclose ntopenkey ntopenkey',)","('ntclose ntopenkey ntqueryvaluekey',)","('ntclose ntopenkeyex ntqueryvaluekey',)","('ntclose ntqueryattributesfile ntqueryattributesfile',)","('ntcreatefile ntcreatesection ntmapviewofsection',)","('ntcreatesection ntmapviewofsection ntclose',)","('ntenumeratevaluekey ntenumeratevaluekey ntenumeratevaluekey',)","('ntfreevirtualmemory ntallocatevirtualmemory ldrloaddll',)","('ntfreevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory',)","('ntmapviewofsection ntclose ntclose',)","('ntopenkey ntclose ntopenkey',)","('ntopenkey ntopenkey ntopenkey',)","('ntopenkey ntopenkey ntqueryvaluekey',)","('ntopenkey ntqueryvaluekey ntclose',)","('ntopenkeyex ldrloaddll ldrgetprocedureaddress',)","('ntopenkeyex ntqueryvaluekey ntclose',)","('ntopenmutant ntopenmutant ntopenmutant',)","('ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory',)","('ntqueryattributesfile ntqueryattributesfile ntqueryattributesfile',)","('ntqueryvaluekey ntclose ldrgetdllhandle',)","('ntqueryvaluekey ntclose ldrloaddll',)","('ntqueryvaluekey ntclose ntclose',)","('ntqueryvaluekey ntclose ntopenkey',)","('ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey',)","('ntreadfile ntreadfile ntreadfile',)","('ntreadfile setfilepointer setfilepointer',)","('regclosekey findfirstfileexw regopenkeyexw',)","('regclosekey ldrgetdllhandle ldrgetprocedureaddress',)","('regclosekey regopenkeyexw regqueryvalueexw',)","('regenumkeyexw regenumkeyexw regenumkeyexw',)","('regopenkeyexw regopenkeyexw regclosekey',)","('regopenkeyexw regopenkeyexw regopenkeyexw',)","('regopenkeyexw regqueryinfokeyw regclosekey',)","('regopenkeyexw regqueryvalueexw regclosekey',)","('regopenkeyexw regqueryvalueexw regqueryvalueexw',)","('regqueryvalueexw regclosekey regopenkeyexw',)","('regqueryvalueexw regqueryvalueexw regclosekey',)","('regqueryvalueexw regqueryvalueexw regqueryvalueexw',)","('searchpathw searchpathw searchpathw',)","('setfilepointer ntreadfile setfilepointer',)","('setfilepointer setfilepointer ntreadfile',)","('sizeofresource loadresource findresourcew',)","('timegettime timegettime timegettime',)","('writeconsolea writeconsolea writeconsolea',)",command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent_count,children_count,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,3,15,0,17,0,0,1,0,0,13,0,0,11,2,0,0,8,2,0,60,126,2,1,0,0,2,6,1.0
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,3,1,14,0,12,0,0,0,0,0,11,0,0,5,1,0,0,0,2,0,23,39,0,1,0,0,2,4,1.0
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448,0.0,0.056483708043237345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02746208714532733,0.0,0.0,0.0,0.0,0.0,0.02746208714532733,0.0,0.0,0.027041551770192407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013801975013641847,0.0,0.0,0.0,0.0,0.0,0.05673628555484193,0.0,0.0,0.0,0.0,0.0,0.0,0.029235986484429474,0.0,0.0,0.0,0.021099978916915094,0.0,0.01884708096226027,0.0,0.0,0.021724079697829628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023034194183161126,0.022625447714490262,0.0,0.0,0.02560385129048407,0.023444413210522565,0.0,0.029166130727566,0.02357312313023396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880373552227489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944081308275053,0.5350424439891112,0.0,0.0,0.0,8,0,0,9,13,0,49,0,0,2,9,3,27,5,0,48,22,0,6,26,4,4,808,2965,3,0,0,0,2,4,1.0
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,0,0,7,0,0,1,0,0,13,0,0,5,1,0,0,0,1,0,21,21,2,1,0,0,2,2,1.0
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,0,0,10,0,0,1,0,0,11,0,0,4,0,0,0,6,1,0,41,54,10,1,0,0,2,1,1.0
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,1,2,15,0,16,0,0,1,0,1,13,0,0,5,0,0,0,6,2,0,41,73,6,1,0,0,2,7,1.0
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,2,0,68,109,5,1,0,0,2,3,1.0
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,1,0,60,109,2,1,0,0,2,2,1.0
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03258354467098448,0.0,0.0,0.05317835009490645,0.0,0.0,0.03264946146814482,0.0,0.0,0.02694235465250326,0.40923837796218115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417465187025301,0.03417465187025301,0.855518257642937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026826554111307487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033226763064619406,0.0,0.0,0.2916841937453014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06850232504446593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031610534074308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,2,15,0,16,0,0,1,0,0,15,0,0,5,1,0,0,6,2,0,41,73,5,1,0,0,2,6,1.0
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995089305905628,0.0,0.0,0.0,0.0,0.01728988656226688,0.0,0.0,0.0,0.0,0.013281100468960885,0.02250710693773848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,28,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,18,19,0,1,0,0,2,0,1.0
