,cocreateinstance,coinitializeex,couninitialize,createthread,createtoolhelp32snapshot,cryptcreatehash,cryptdecodeobjectex,cryptencrypt,crypthashdata,drawtextexa,drawtextexw,findfirstfileexw,findresourceexw,findresourcew,findwindowexa,findwindoww,getasynckeystate,getcursorpos,getfileattributesexw,getfileattributesw,getfileinformationbyhandleex,getfilesize,getfilesizeex,getfiletype,getforegroundwindow,gethostbyname,getkeyboardstate,getkeystate,getsystemdirectoryw,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,getvolumepathnamesforvolumenamew,internetreadfile,isdebuggerpresent,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,lookupprivilegevaluew,module32nextw,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntdelayexecution,ntdeviceiocontrolfile,ntduplicateobject,ntenumeratekey,ntenumeratevaluekey,ntfreevirtualmemory,ntmapviewofsection,ntopenfile,ntopenkey,ntopenkeyex,ntopenmutant,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerykey,ntquerysysteminformation,ntqueryvaluekey,ntreadfile,ntreadvirtualmemory,ntunmapviewofsection,ntwritefile,process32nextw,readprocessmemory,recv,regclosekey,regenumkeyexa,regenumkeyexw,regenumkeyw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeya,regqueryinfokeyw,regqueryvalueexa,regqueryvalueexw,searchpathw,select,sendto,seterrormode,setfileattributesw,setfilepointer,setfilepointerex,shgetfolderpathw,sizeofresource,socket,thread32next,timegettime,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,LABEL
Backdoor.Graybird-009a62c6f6543ec65460d9a3984fac8dd65aba2feacfa00e8e253bb474a417e7.json,0.012710864234634849,0.012053773817402342,0.011494494283429784,0.004920842937764432,0.0,0.0,0.0,0.0,0.0,0.0,0.010684553644854594,0.04336712623518218,0.05248748900754426,0.0,0.0,0.0,0.0,0.0,0.0,0.024204885431309716,0.0064724500165724685,0.0037207498058584565,0.006170130219922717,0.024625700602456547,0.0024625240405868544,0.5970803331782054,0.0,0.0,0.003920579065438024,0.0021365618786589936,0.07906692706665318,0.031588936536751544,0.01818300879757278,0.022323951677103982,0.0,0.0,0.04714111023329248,0.22277315933659245,0.038350156870783456,0.01603406532373419,0.03857250455777045,0.19398837305134145,0.09534962364019306,0.0936688218505867,0.0,0.052919772028105334,0.3429599530110618,0.02008986029723257,0.10901208506158393,0.011363494498809704,0.3999582380113358,0.0,0.015479363439334858,0.0,0.036033017925266225,0.012014175457152537,0.013664906424996322,0.004181986149616033,0.02264342043511172,0.007992727997578632,0.0,0.0,0.009276955301766322,0.0,0.011307082553782054,0.01023954947263999,0.0024426520739614438,0.0,0.002522458529410058,0.03977212420994434,0.004594248535877891,0.0,0.032410454437028814,0.0,0.0,0.0,0.0,0.12026899559378378,0.0,0.0,0.006277315026370255,0.05654807939338705,0.015815112354928294,0.14247715646131193,0.0,0.0,0.011176612034810917,0.17389656828399627,0.0,0.0,0.0,0.01026196660344017,0.0033170669133053047,0.0,0.0,0.0026689774121820393,0.0025246379437048536,0.3890114467820611,0.0,0.0,9,0,0,3,15,0,17,0,0,1,0,0,13,0,0,11,2,0,0,8,2,0,60,126,2,1,0,0,1
Backdoor.Graybird-02842b14fc265c045f10e2c5ab47c0b0a757c41d13a53194deb66aceb2e3993d.json,0.0,0.006594106531333912,0.005589465339196455,0.008075951079005807,0.0,0.0,0.0,0.0,0.0,0.0,0.011690128924139166,0.02372430864263759,0.05742734173065026,0.0,0.8155010637240474,0.0,0.0,0.0,0.0,0.02096564884355113,0.0,0.004070927656009074,0.0,0.013471672493712592,0.14144991776737156,0.0057557221642100176,0.0,0.0,0.004289563818543144,0.002337644102517351,0.08650829990355324,0.0041893242306160275,0.01872404719056306,0.024424967282304266,0.0,0.0,0.043936635297370956,0.198990389307513,0.032423231877515134,0.015479213956031607,0.04220275045597551,0.21224556178313303,0.10432344019900079,0.10248444998288779,0.0,0.05201214198981449,0.2861660341916668,0.006993831950999523,0.12650033271656744,0.006216484101037026,0.28170516217247143,0.0,0.015726472891182005,0.0,0.039424260392481016,0.007078016565982993,0.00697712268931973,0.003431679895550827,0.01810444435239228,0.00437248124034958,0.0,0.0,0.0011277838509878625,0.0,0.012371247054691144,0.0014004054057736412,0.002672541933951214,0.0,0.002759859362847474,0.026109163286855485,0.0012566588993592218,0.0,0.026342278742528185,0.0,0.0,0.002073367201226606,0.0,0.060183702536264816,0.0,0.0,0.0,0.0,0.017303549453176425,0.04129440376495396,0.0,0.0,0.009511053471877227,0.02810700744184642,0.0,0.0,0.0,0.007859439113494295,0.0,0.0,0.0,0.008760503549640225,0.002762243892415309,0.01124995255390524,0.0,0.0,5,0,3,1,14,0,12,0,0,0,0,0,11,0,0,5,1,0,0,0,2,0,23,39,0,1,0,0,1
Backdoor.Graybird-03b5962ef8b9c83fe0ed10fc4333a68462865f3a4442346c5f7d004a46555448.json,0.004385192064074011,0.006559536750403081,0.009756511410522212,0.0003031551957795835,0.002341907469653555,0.0,0.0,0.0,0.0,0.0,0.0017552970730091433,0.0048719063227636245,0.0036215904128987357,0.001850696077565799,0.0,0.0,0.0,0.0,0.005336888163506626,0.005343376219716034,0.0029905803895242003,0.001833774660329734,0.00304095385032708,0.001300371126613529,0.0006068285186726081,0.0,0.0,0.010373833478756677,0.0015699618011988535,0.0002632515781592169,0.041434543126807395,0.03856775203283288,0.0039536078496203554,0.005501189147338232,0.0,0.0,0.01064870385762712,0.07484000872015448,0.016967859654219184,0.0032539304550148473,0.004002208673787117,0.015121567855540414,0.009178348032711616,0.0,0.0,0.04133263218370583,0.10831030416325822,0.022277935092653092,0.0028491430487165197,0.005833862279111736,0.00046199942068411693,0.0,0.002860881466861113,0.0,0.0044397257713029055,0.01742198184375403,0.008081712701610818,0.013525938424239119,0.020924678887163234,0.0,0.0008817260404557326,0.007689482014605225,0.006096206927827608,0.006870634419758265,0.003869934106638357,0.04604995617544949,0.015499737694956588,0.0013784365868720818,0.0,0.005444923542086928,0.05278600981827951,0.0,0.00616121471590022,0.005346320262626225,0.08577695460387331,0.00116745142521628,0.0,0.18793288519246865,0.01077186557120466,0.01954470158310852,0.07193038434948158,0.01581797661648663,0.011274175030943998,0.2830888507552038,0.0,0.007932073525734962,0.00030602236716286877,0.9162164098288743,0.0,0.0,0.0,0.0070806663780704155,0.0014304668073428178,0.034253539976932215,0.0009322888312972584,0.0008221298466080669,0.0012442699265571215,0.0,0.0,0.0,8,0,0,9,13,0,49,0,0,2,9,3,27,5,0,48,22,0,6,26,4,4,808,2965,3,0,0,0,1
Backdoor.Graybird-049f53a05707c2cccd67540609368ef20f395327adb9a026267369d568f78c0a.json,0.0,0.00641133801340958,0.004075906807867756,0.00654342529211864,0.0,0.0,0.0,0.0,0.0,0.0,0.007577409473833183,0.0,0.07370303291770397,0.0,0.0,0.0,0.0,0.0,0.0,0.02682176975354082,0.0,0.007916187919254494,0.0,0.0,0.0026196068102017655,0.6827353146240704,0.0,0.0,0.005213337743348663,0.0034092776083632127,0.06707550486627469,0.0,0.01706725661211108,0.023747981696869085,0.0,0.0,0.039932834112078305,0.20180644131658912,0.01761666520951098,0.006020070945619371,0.0518311818335503,0.3095441433888397,0.0021131648473377207,0.1494658404826556,0.0,0.03244146827474407,0.19439554690155172,0.008742836910590315,0.007028235964522052,0.008058909499939499,0.32575147005096666,0.0,0.017642980425891255,0.0,0.0574973102353884,0.007864954900629988,0.007752843579286099,0.003336564197082778,0.01852909934948272,0.0,0.0,0.0,0.0,0.0,0.016037805099271045,0.0,0.0038977008360766767,0.0,0.004025046720266358,0.013162850257803322,0.0012218281480692746,0.0,0.011820992830207712,0.0,0.0,0.0020158997871530804,0.0,0.08628570624537178,0.0,0.0,0.0,0.0,0.024034211208990172,0.04014984885992987,0.0,0.0,0.01585274757054893,0.029430118237845047,0.0,0.0,0.0,0.006549942373929925,0.003528660404029484,0.0,0.0,0.007098074262414653,0.004028524376789583,0.4448176195946592,0.0,0.0,3,0,0,2,0,0,7,0,0,1,0,0,13,0,0,5,1,0,0,0,1,0,21,21,2,1,0,0,1
Backdoor.Graybird-05339051a960d18fafb2e5d656e36b2fa007462d9a7b2fbfcb4532b3235ac5ed.json,0.01098832841423444,0.007598124330894614,0.005520442801717927,0.006646853097093806,0.0,0.0,0.0,0.0,0.0,0.0,0.005131453877299838,0.0,0.049912006912170716,0.0,0.0,0.0,0.0,0.0,0.0,0.01961692170167008,0.0,0.0040206570595105445,0.0,0.0,0.0026610132861958455,0.7162654683047632,0.0,0.0,0.004236593353308182,0.0023087772757484316,0.045423816768314564,0.0,0.01618122612844606,0.024123351095898676,0.0,0.0,0.026413785209508062,0.15139632689264934,0.016011423827201998,0.006115226417853483,0.03510029646718548,0.2096246085516861,0.0021465663139937355,0.10121890196341887,0.0,0.02035409567728966,0.17968673512343403,0.004933905239248137,0.005949439055535266,0.005116432256186858,0.3484583998906948,0.0,0.017921851912491345,0.0,0.038937422685228235,0.0029959767346195115,0.004922117436177731,0.0022595354448119893,0.013175384012111758,0.0,0.0,0.0,0.0,0.0,0.010860869726550733,0.0,0.002639539559912769,0.0,0.0027257787335300747,0.008595583165772592,0.0,0.0,0.015009799779258565,0.0,0.0,0.0,0.0,0.12996315565561697,0.0,0.0,0.0,0.061106079816707126,0.025634810100644733,0.04180408405564101,0.0,0.0,0.012077491479920946,0.06192598187055152,0.0,0.0,0.0,0.004435648793543497,0.0035844357179970992,0.0,0.0,0.0014420538109103011,0.0027281338172973767,0.4666632789965041,0.0,0.0,2,0,0,2,0,0,10,0,0,1,0,0,11,0,0,4,0,0,0,6,1,0,41,54,10,1,0,0,1
Backdoor.Graybird-05bb2dcf38927dc99961deedaaff6ff120bdfd383745bac5aeb0c28340ea1010.json,0.01133336253942715,0.010075764675532305,0.005693785013650699,0.008226677586166043,0.0,0.0,0.0,0.0,0.0,0.0,0.015877745445918214,0.04833418039518356,0.06551904127180691,0.0,0.7339382078447237,0.0,0.0,0.0,0.0,0.029225291531851706,0.0,0.004146905915472205,0.0,0.02744620542348268,0.12762247020997727,0.011726289586770196,0.0,0.0,0.004369622620941131,0.0023812730110024604,0.11489435943637939,0.008535024398249304,0.021457693969137877,0.024880825666035087,0.0,0.0,0.059351212566200996,0.26768602286185383,0.052456817949594704,0.014716904693197039,0.04977836563470518,0.21620683295415308,0.21032701851997163,0.10439718113158368,0.0,0.06797803087413799,0.3407349205544172,0.009159894250198673,0.11904328441112891,0.009498759326013885,0.275818614693963,0.0,0.019716905666471572,0.0,0.04016005992967507,0.00309005057121763,0.011168678836160692,0.0046609699676553006,0.025236884780868576,0.00890817516451415,0.0,0.0015120893694496546,0.002297664767455237,0.0,0.011201901641839868,0.0028530840889249257,0.002722421249341188,0.0,0.002811368337820944,0.044327424783419514,0.0,0.0,0.019609403884225215,0.0,0.0,0.0,0.0,0.10183188052198097,0.0,0.0,0.0,0.06302481413176467,0.0251807091122354,0.051529756017677154,0.0,0.0,0.012456725386135356,0.06827532054589594,0.0,0.0,0.0,0.01143732103276044,0.0036969871995005572,0.0,0.0,0.0029746687620361974,0.0028137973713499177,0.007639944952220377,0.0,0.0,9,0,1,2,15,0,16,0,0,1,0,1,13,0,0,5,0,0,0,6,2,0,41,73,6,1,0,0,1
Backdoor.Graybird-06ba9a22cbf334f6beeb0bc5302d3f0d6b7ad734c9ed071d6f279936a37f4687.json,0.020563510250272157,0.021125515538981798,0.018595678992066055,0.009951113701121714,0.0,0.0,0.0,0.0,0.0,0.0,0.02688834563319847,0.0,0.0951033885728961,0.0,0.0,0.0,0.0,0.0,0.0,0.03589522189666628,0.01047106552342038,0.006019392179721955,0.009981975551054238,0.0,0.003983847000125251,0.012765867602470438,0.0,0.0,0.006342673976444472,0.0034565086434035926,0.18782263547991737,0.043361197618942714,0.027685921430034104,0.03611546789146361,0.0,0.0,0.08050133346275606,0.40967367675284466,0.08178330060190477,0.013732809910926885,0.07225519723100958,0.31703484048060543,0.30529769333317247,0.15153649214559406,0.0,0.09722163661108071,0.494589739422601,0.03250117698708513,0.1852656749896505,0.01685176976829218,0.2183788605268915,0.0,0.028619840960042626,0.0,0.05829385947144753,0.014951087728592117,0.02210695025549489,0.0033827878839190486,0.019725085306577666,0.0,0.0,0.0021948554201692157,0.01667574043727472,0.0,0.018292486152264396,0.012424081281097692,0.003951698329362076,0.0,0.004080808422457379,0.012868589716154462,0.007432529772633266,0.0,0.05243331214378019,0.0,0.0,0.0,0.0,0.2262441741129194,0.0,0.0,0.010155378069197073,0.09148292270093021,0.034723222149144056,0.23660404319597209,0.0,0.0,0.01808141223905944,0.28452505636868203,0.0,0.0,0.0,0.0066406831681136156,0.0053663179948638465,0.0,0.0,0.004317845219650943,0.00408433425731513,0.00831725372535941,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,2,0,68,109,5,1,0,0,1
Backdoor.Graybird-07adf0e72d58706d13117578493d64cc085811d7454fd598a805aa818a445f09.json,0.014461102496755026,0.013713533197152026,0.013077242972048625,0.00839763679084196,0.0,0.0,0.0,0.0,0.0,0.0,0.012155776549741308,0.0,0.05971481909681535,0.0,0.8068202507667553,0.0,0.0,0.0,0.0,0.022948172699816274,0.007363682072831698,0.004233083078701156,0.007019733975719811,0.0,0.1400802175772466,0.00897748086841769,0.0,0.0,0.004460428076750678,0.0024307584242586927,0.08995414594223873,0.031582418756782964,0.018253006599010017,0.02539787597255231,0.0,0.0,0.04270717322242098,0.2336475470440248,0.03867278062735636,0.009657474296623973,0.04388379355406537,0.22069984338518017,0.10847890867488752,0.10656666679207387,0.0,0.052043015578755604,0.24435781335462536,0.020778326000993268,0.006263769682663749,0.010773504174276402,0.1564169011320522,0.0,0.020126644163708702,0.0,0.040994629150773496,0.011565638861979506,0.01347364435150329,0.0023789149672773873,0.013871487742316804,0.0,0.0,0.0015435122121820262,0.010554357201858012,0.0,0.012864025351161355,0.008737122730862128,0.0027789960897558457,0.0,0.0028697915943605157,0.009049719265295885,0.0052268593029154865,0.0,0.03581973078321056,0.0,0.0,0.0,0.0,0.14213305681667857,0.0,0.0,0.007141677727420753,0.06433453752689718,0.024418791753208612,0.16209572575081663,0.0,0.0,0.01271558953178525,0.19784147256774404,0.0,0.0,0.0,0.00467000034399749,0.003773814568107598,0.0,0.0,0.0015182427884769722,0.0028722711058176563,0.0058490334164785,0.0,0.0,3,0,1,3,0,0,17,0,0,1,0,1,12,0,0,10,2,0,0,8,1,0,60,109,2,1,0,0,1
Backdoor.Graybird-0814e28a9bbff170fb9257df3ad5cf8a27287f7c9001f15ea6a683c05e72095c.json,0.008076807839373508,0.00638272983549724,0.005072149513656808,0.00488567079340535,0.0,0.0,0.0,0.0,0.0,0.0,0.008486547909526103,0.03444572480298015,0.04168986416458869,0.0,0.5575332950951015,0.0,0.0,0.0,0.0,0.020827628422832326,0.0,0.00492554057261033,0.0,0.01955974904660955,0.09681894842783438,0.49096378111417316,0.0,0.0,0.0031140451138965347,0.0016970324964055527,0.06280143157251096,0.005322231840996499,0.014442435353792077,0.017731511463646807,0.0,0.0,0.03466975194778362,0.15759136929834064,0.026999377970273495,0.012735568380048428,0.030637443434763875,0.15408145969523424,0.07573448326196253,0.07439945276953003,0.0,0.03989593644755658,0.25452159288805537,0.007253187748459145,0.08658632951297768,0.006017212241725314,0.42191822131274764,0.0,0.01492961698767333,0.0,0.02862037508650144,0.008808593068772559,0.006512272963921303,0.0033216760377053674,0.019368741243286657,0.006348479434321264,0.0,0.0,0.0008187242198189126,0.0,0.008981011373914445,0.002033272283989375,0.0019401544080374354,0.0,0.002003543233641796,0.03159027964952569,0.0018245643011383127,0.0,0.024272007597488137,0.0,0.0,0.0030103568919442607,0.0,0.06368499343777811,0.0,0.0,0.0,0.044915117740531106,0.013458919278225527,0.0337252741606486,0.0,0.0,0.008877380998062243,0.047087353019709115,0.0,0.0,0.0,0.008150894657915027,0.002634686315831814,0.0,0.0,0.004239841069792133,0.002005274303038073,0.3198740943152324,0.0,0.0,11,0,0,2,15,0,16,0,0,1,0,0,15,0,0,5,1,0,0,6,2,0,41,73,5,1,0,0,1
Backdoor.Graybird-08c34b0421ec2fd129554058eb0e19111b167fdeee45c3c51252c4ace128e70e.json,0.0,0.006636692448076039,0.00632875849181411,0.006096080259211463,0.0,0.0,0.0,0.0,0.0,0.0,0.003921875287637862,0.0,0.03814682371621648,0.0,0.0,0.0,0.0,0.0,0.0,0.01499285042425245,0.0,0.0020486092166480353,0.0,0.0,0.004067526473685853,0.0955827451440496,0.0,0.0,0.003237949940388662,0.0017645557689748204,0.03471658300231739,0.0,0.012367011843868625,0.01843703105986012,0.0,0.0,0.018745598382907583,0.967359435636314,0.05902666335441634,0.0015579181482129763,0.02682650737881195,0.1602122111233351,0.0016405809311410512,0.07735973463743881,0.0,0.007407742313872947,0.06866562409479775,0.00301671401392952,0.0054564554760037865,0.003128315632367514,0.04748346612222261,0.0,0.012784183940452928,0.0,0.029759151976215564,0.0015265130700184055,0.003009506654040834,0.001726921148361355,0.008631173408627462,0.0,0.0,0.0,0.0,0.004284032747147044,0.008300761850601862,0.0,0.00201735126502035,0.0,0.0020832622703461914,0.005839506871715163,0.0,0.0,0.0015295616469002706,0.0,0.0,0.0,0.0,0.035419442324515056,0.0,0.0,0.0,0.0,0.014927399025840095,0.028053736015769652,0.0,0.0,0.008204980759294486,0.019584365200470598,0.0,0.0,0.0,0.00339008433165392,0.0,0.0,0.0,0.0022042701112336823,0.002085062217310181,0.06510498884198744,0.0,0.0,0,0,0,1,0,0,28,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,18,19,0,1,0,0,1
