,API1,API2,API3,API4,API5,API6,API7,API8,API9,API10,API11,API12,API13,API14,API15,API16,API17,API18,API19,API20,API21,API22,API23,API24,API25,API26,API27,API28,API29,API30,API31,API32,API33,API34,API35,API36,API37,API38,API39,API40,API41,API42,API43,API44,API45,API46,API47,API48,API49,API50,API51,API52,API53,API54,API55,API56,API57,API58,API59,API60,API61,API62,API63,API64,API65,API66,API67,API68,API69,API70,API71,API72,API73,API74,API75,API76,API77,API78,API79,API80,API81,API82,API83,API84,API85,API86,API87,API88,API89,API90,API91,API92,API93,API94,API95,API96,API97,API98,API99,API100,command_line,connects_host,connects_ip,directory_created,directory_enumerated,directory_removed,dll_loaded,downloads_file,fetches_url,file_copied,file_created,file_deleted,file_exists,file_failed,file_moved,file_opened,file_read,file_recreated,file_written,guid,mutex,regkey_deleted,regkey_opened,regkey_read,regkey_written,resolves_host,tls_master,wmi_query,parent,children,LABEL
benreport1.json,NtAllocateVirtualMemory,SetErrorMode,LdrLoadDll,LoadStringA,NtOpenKey,NtQueryValueKey,NtClose,NtOpenKey,NtQueryValueKey,NtClose,OleInitialize,LdrLoadDll,LdrGetProcedureAddress,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,GetSystemInfo,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtProtectVirtualMemory,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,GetSystemMetrics,SearchPathW,LdrLoadDll,LdrGetProcedureAddress,FindResourceExW,LoadResource,FindResourceExW,LoadResource,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,0,0,0,0,0,0,15,0,0,0,1,0,5,0,0,1,0,0,0,2,0,0,30,214,0,0,0,0,2,0,0
benreport10.json,GetSystemTimeAsFileTime,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,SetUnhandledExceptionFilter,NtCreateMutant,GetShortPathNameW,SetErrorMode,GetFileAttributesW,NtOpenFile,NtQueryDirectoryFile,NtClose,NtOpenFile,NtQueryDirectoryFile,NtClose,NtOpenFile,NtQueryDirectoryFile,NtClose,NtOpenFile,NtQueryDirectoryFile,NtClose,NtOpenFile,NtQueryDirectoryFile,NtClose,NtOpenFile,NtQueryDirectoryFile,NtClose,SetErrorMode,DeleteFileW,CreateToolhelp32Snapshot,Process32FirstW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32FirstW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,Process32NextW,0,0,0,0,0,0,4,0,0,0,1,1,1,2,0,339,2,0,1,0,0,0,1,10,0,0,0,0,2,0,0
benreport100.json,GetSystemTimeAsFileTime,LdrLoadDll,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrLoadDll,LdrLoadDll,LdrGetProcedureAddress,LdrLoadDll,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrLoadDll,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,SetUnhandledExceptionFilter,LdrLoadDll,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,GetSystemDirectoryW,LdrLoadDll,LdrGetProcedureAddress,RegOpenKeyExW,RegQueryValueExW,RegCloseKey,RegQueryValueExW,NtAllocateVirtualMemory,RegQueryValueExW,GetSystemTimeAsFileTime,GetNativeSystemInfo,RegOpenKeyExW,RegOpenKeyExW,RegOpenKeyExW,NtQueryKey,NtOpenKeyEx,RegQueryValueExW,RegCloseKey,NtQueryKey,NtOpenKeyEx,GetFileType,GetSystemDirectoryW,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,LdrLoadDll,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtOpenKey,NtOpenKey,NtOpenKey,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,48,0,0,0,0,2,0,0
benreport1000.json,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,GetFileType,GetFileType,GetFileType,LdrGetDllHandle,LdrGetProcedureAddress,FindResourceExA,LoadResource,NtClose,NtOpenKey,NtQueryValueKey,NtClose,NtOpenKey,NtQueryValueKey,NtClose,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtOpenKey,NtOpenKey,NtOpenKey,NtQueryValueKey,NtQueryValueKey,GetForegroundWindow,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtAllocateVirtualMemory,LdrLoadDll,LdrGetProcedureAddress,IsDebuggerPresent,GetSystemMetrics,NtMapViewOfSection,LdrGetDllHandle,LdrGetProcedureAddress,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,GetSystemMetrics,GetSystemMetrics,NtClose,NtClose,GetSystemMetrics,NtAllocateVirtualMemory,GetSystemMetrics,GetSystemMetrics,LdrLoadDll,LdrGetProcedureAddress,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtOpenKey,NtQueryValueKey,NtClose,NtOpenKey,NtQueryValueKey,NtClose,NtAllocateVirtualMemory,CreateActCtxW,GetSystemWindowsDirectoryW,CreateActCtxW,LdrGetDllHandle,LdrGetProcedureAddress,LdrLoadDll,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrLoadDll,LdrGetProcedureAddress,LdrGetProcedureAddress,GetSystemMetrics,LdrLoadDll,LdrGetProcedureAddress,LdrLoadDll,LdrGetProcedureAddress,LdrGetProcedureAddress,GetSystemWindowsDirectoryW,NtCreateFile,NtCreateSection,NtMapViewOfSection,NtClose,NtClose,GetSystemMetrics,GetSystemMetrics,0,0,0,1,10,0,42,0,0,0,0,1,21,6,0,62,28,0,0,90,2,0,722,3117,6,0,0,0,2,0,0
benreport1002.json,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtCreateMutant,GetSystemTimeAsFileTime,NtOpenKeyEx,NtQueryKey,NtOpenKeyEx,LdrLoadDll,LdrGetProcedureAddress,RegOpenKeyExW,LdrGetProcedureAddress,RegQueryInfoKeyW,LdrGetProcedureAddress,RegEnumKeyExW,RegEnumKeyExW,RegEnumKeyExW,RegEnumKeyExW,RegOpenKeyExW,RegQueryInfoKeyW,LdrGetProcedureAddress,RegEnumValueW,LdrGetProcedureAddress,RegCloseKey,GetFileAttributesW,RegOpenKeyExW,LdrGetProcedureAddress,RegQueryValueExW,RegQueryValueExW,RegCloseKey,NtOpenFile,NtQueryDirectoryFile,NtClose,RegOpenKeyExW,RegQueryInfoKeyW,RegCloseKey,RegOpenKeyExW,RegQueryInfoKeyW,RegEnumValueW,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegQueryValueExW,RegCloseKey,NtOpenFile,RegOpenKeyExW,RegQueryInfoKeyW,RegCloseKey,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegQueryValueExW,RegCloseKey,NtOpenFile,RegOpenKeyExW,RegQueryValueExW,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegCloseKey,GetSystemTimeAsFileTime,NtQuerySystemInformation,NtProtectVirtualMemory,GetSystemDirectoryW,LdrGetDllHandle,LdrGetDllHandle,LdrLoadDll,GetSystemDirectoryW,LdrGetDllHandle,NtOpenKey,NtOpenKey,NtQueryValueKey,NtClose,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,NtClose,NtOpenKey,NtOpenKey,NtClose,NtOpenKey,NtClose,NtOpenKey,NtOpenKey,NtOpenKey,NtEnumerateValueKey,NtClose,NtClose,NtOpenKey,NtClose,NtOpenKey,NtOpenKey,NtOpenKey,NtQueryValueKey,NtClose,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,12,8,0,0,0,0,2,0,0
benreport1003.json,GetSystemTimeAsFileTime,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtAllocateVirtualMemory,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetDllHandle,NtAllocateVirtualMemory,NtAllocateVirtualMemory,SetUnhandledExceptionFilter,OleInitialize,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetProcedureAddress,SetErrorMode,NtAllocateVirtualMemory,NtAllocateVirtualMemory,FindFirstFileExW,NtClose,FindFirstFileExW,NtClose,FindFirstFileExW,NtClose,FindFirstFileExW,NtClose,FindFirstFileExW,NtClose,FindFirstFileExW,NtClose,FindResourceW,SizeofResource,LoadResource,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,LdrGetDllHandle,0,0,0,2,10,1,24,0,0,0,39,39,37,1,0,27,2,0,39,18,1,0,159,231,0,0,0,0,3,0,0
benreport1005.json,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtClose,NtOpenKey,NtQueryValueKey,NtClose,NtOpenKey,NtQueryValueKey,NtClose,LdrLoadDll,LdrGetProcedureAddress,LdrGetProcedureAddress,GetSystemWindowsDirectoryW,NtCreateFile,NtCreateSection,NtMapViewOfSection,NtClose,NtClose,RegOpenKeyExA,GetSystemWindowsDirectoryW,GetSystemWindowsDirectoryW,GetSystemWindowsDirectoryW,LoadStringW,GetSystemWindowsDirectoryW,GetSystemDirectoryW,RegOpenKeyExW,LdrLoadDll,LdrGetProcedureAddress,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegCloseKey,NtCreateMutant,NtCreateMutant,GetNativeSystemInfo,GetSystemWindowsDirectoryW,GetSystemWindowsDirectoryW,NtClose,LdrLoadDll,LdrGetProcedureAddress,NtDuplicateObject,NtAllocateVirtualMemory,NtAllocateVirtualMemory,LdrGetProcedureAddress,NtDuplicateObject,GetVolumeNameForVolumeMountPointW,NtClose,RegOpenKeyExW,RegOpenKeyExW,RegCloseKey,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegOpenKeyExW,RegCloseKey,RegQueryValueExW,RegCloseKey,NtDuplicateObject,NtClose,GetVolumeNameForVolumeMountPointW,NtClose,RegOpenKeyExW,RegOpenKeyExW,RegCloseKey,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegOpenKeyExW,RegCloseKey,RegQueryValueExW,RegCloseKey,NtDuplicateObject,NtClose,GetVolumeNameForVolumeMountPointW,NtClose,RegOpenKeyExW,RegOpenKeyExW,RegCloseKey,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegOpenKeyExW,RegCloseKey,RegQueryValueExW,RegCloseKey,GetVolumePathNamesForVolumeNameW,GetVolumePathNamesForVolumeNameW,NtClose,GetVolumePathNamesForVolumeNameW,GetVolumePathNamesForVolumeNameW,NtClose,GetVolumePathNamesForVolumeNameW,GetVolumePathNamesForVolumeNameW,GetVolumePathNamesForVolumeNameW,GetVolumePathNamesForVolumeNameW,NtClose,LdrGetProcedureAddress,LdrUnloadDll,NtClose,2,0,0,0,4,0,13,0,0,0,0,0,2,2,0,10,2,0,0,3,0,0,49,39,0,0,0,0,2,1,0
benreport1006.json,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,NtAllocateVirtualMemory,NtAllocateVirtualMemory,RegOpenKeyExW,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,WriteConsoleA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
benreport1007.json,GetSystemTimeAsFileTime,SetUnhandledExceptionFilter,CreateDirectoryW,LdrGetDllHandle,LdrGetProcedureAddress,GetSystemInfo,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtAllocateVirtualMemory,NtFreeVirtualMemory,NtAllocateVirtualMemory,LdrLoadDll,LdrGetProcedureAddress,NtClose,NtClose,NtClose,NtCreateMutant,NtClose,NtCreateMutant,NtClose,NtCreateSection,NtMapViewOfSection,SetUnhandledExceptionFilter,NtClose,NtCreateFile,NtClose,NtClose,NtCreateFile,SetFilePointer,GetFileSizeEx,NtClose,NtCreateFile,NtClose,NtClose,NtCreateFile,SetFilePointer,GetFileSizeEx,NtClose,NtCreateFile,NtClose,NtClose,NtCreateFile,SetFilePointer,GetFileSizeEx,SetFilePointer,NtWriteFile,NtClose,NtCreateFile,NtClose,NtClose,NtCreateFile,SetFilePointer,GetFileSizeEx,SetFilePointer,NtWriteFile,NtCreateFile,IsDebuggerPresent,NtClose,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,SetFilePointer,NtWriteFile,IsDebuggerPresent,LdrGetDllHandle,LdrGetDllHandle,NtTerminateProcess,NtTerminateProcess,NtClose,NtClose,LdrUnloadDll,LdrGetProcedureAddress,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,0,0,3,0,2,0,0,1,0,0,0,0,2,0,0
benreport1008.json,GetSystemTimeAsFileTime,GetSystemTimeAsFileTime,NtCreateMutant,GetSystemTimeAsFileTime,NtOpenKeyEx,NtQueryKey,NtOpenKeyEx,LdrLoadDll,LdrGetProcedureAddress,RegOpenKeyExW,LdrGetProcedureAddress,RegQueryInfoKeyW,LdrGetProcedureAddress,RegEnumKeyExW,RegEnumKeyExW,RegEnumKeyExW,RegEnumKeyExW,RegOpenKeyExW,RegQueryInfoKeyW,LdrGetProcedureAddress,RegEnumValueW,LdrGetProcedureAddress,RegCloseKey,GetFileAttributesW,RegOpenKeyExW,LdrGetProcedureAddress,RegQueryValueExW,RegQueryValueExW,RegCloseKey,NtOpenFile,NtQueryDirectoryFile,NtClose,RegOpenKeyExW,RegQueryInfoKeyW,RegCloseKey,RegOpenKeyExW,RegQueryInfoKeyW,RegEnumValueW,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegQueryValueExW,RegCloseKey,NtOpenFile,RegOpenKeyExW,RegQueryInfoKeyW,RegCloseKey,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegQueryValueExW,RegCloseKey,NtOpenFile,RegOpenKeyExW,RegQueryValueExW,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegCloseKey,RegOpenKeyExW,RegQueryValueExW,RegCloseKey,GetSystemTimeAsFileTime,NtQuerySystemInformation,NtProtectVirtualMemory,GetSystemDirectoryW,LdrGetDllHandle,LdrGetDllHandle,LdrLoadDll,GetSystemDirectoryW,LdrGetDllHandle,NtOpenKey,NtOpenKey,NtQueryValueKey,NtClose,LdrGetDllHandle,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,LdrGetProcedureAddress,NtClose,NtOpenKey,NtOpenKey,NtClose,NtOpenKey,NtClose,NtOpenKey,NtOpenKey,NtOpenKey,NtEnumerateValueKey,NtClose,NtClose,NtOpenKey,NtClose,NtOpenKey,NtOpenKey,NtOpenKey,NtQueryValueKey,NtClose,0,0,0,0,0,0,19,0,0,0,0,3,8,9,0,19,1,0,0,0,1,0,61,158,0,0,0,0,2,0,0
