,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,10632.615384615385,9423.0,10452.136363636364,9423.0,10452.136363636364,10452.136363636364,10493.76923076923,10146.833333333334,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,10205.714285714286,9423.0,10452.136363636364,10452.136363636364,11116.23076923077,9840.166666666666,10405.666666666666,10146.833333333334,10205.714285714286,10205.714285714286,9421.0,10452.136363636364,9857.538461538461,11171.59090909091,11171.59090909091,11116.23076923077,9857.538461538461,9598.666666666666,10452.136363636364,9423.0,9423.0,10452.136363636364,9423.0,10452.136363636364,10452.136363636364,10452.136363636364,9678.23076923077,9678.23076923077,10452.136363636364,10452.136363636364,9678.23076923077,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,10294.4375,9991.0,10452.136363636364,9678.23076923077,9678.23076923077,9678.23076923077,9678.23076923077,10294.4375,9991.0,10452.136363636364,10452.136363636364,10641.212121212122,10452.136363636364,9678.23076923077,9678.23076923077,9991.0,10294.4375,9991.0,9678.23076923077,9678.23076923077,9991.0,10294.4375,9991.0,10452.136363636364,10205.714285714286,9678.23076923077,9678.23076923077,9991.0,10294.4375,9991.0,9678.23076923077,9423.0,10452.136363636364,9818.272727272728
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,9598.666666666666,9598.666666666666,11171.59090909091,10452.136363636364,10452.136363636364,10864.565217391304,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,9840.166666666666,11171.59090909091,10488.214285714286,9366.4,10864.565217391304,9366.4,10488.214285714286,9366.4,10488.214285714286,10864.565217391304,9366.4,10864.565217391304,9423.0,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10812.736842105263,10864.565217391304,10812.736842105263,10864.565217391304,10864.565217391304,10812.736842105263,10864.565217391304,10864.565217391304,10812.736842105263,10864.565217391304,9423.0,10864.565217391304,10864.565217391304,10864.565217391304,9423.0,10205.714285714286,10121.444444444445,10121.444444444445,10205.714285714286,10121.444444444445,10205.714285714286,10121.444444444445,10121.444444444445,10121.444444444445,10582.105263157895,10205.714285714286,10205.714285714286,10121.444444444445,10205.714285714286,10121.444444444445,10121.444444444445,10121.444444444445,10696.933333333332,10205.714285714286,10205.714285714286
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,10198.130434782608,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10700.444444444445,10703.461538461539,10632.615384615385,9678.23076923077,10294.4375,9991.0,9678.23076923077,9423.0,10452.136363636364,9953.583333333334,9840.166666666666,10084.545454545454,10988.142857142857,9423.0,10452.136363636364,9953.583333333334,10864.565217391304,10864.565217391304,10260.866666666667,10555.333333333334,11063.0,10864.565217391304,10198.130434782608,10198.130434782608,10198.130434782608,10198.130434782608,10198.130434782608,10205.714285714286,10812.736842105263,9953.583333333334,10568.588235294117,10422.25,10521.666666666666,9884.1875,10205.714285714286,9884.1875,10205.714285714286,9884.1875,10205.714285714286,9884.1875,10205.714285714286,9884.1875,10205.714285714286,10422.25,9423.0,10452.136363636364,9953.583333333334,9840.166666666666,10084.545454545454,10988.142857142857,9423.0,10452.136363636364,9953.583333333334,10260.866666666667,10555.333333333334,11063.0,10864.565217391304,10198.130434782608,10198.130434782608,10198.130434782608,10198.130434782608,10198.130434782608,10198.130434782608,10198.130434782608,10198.130434782608
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,10198.130434782608,10864.565217391304,10812.736842105263,10864.565217391304,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,9598.666666666666,10452.136363636364,10452.136363636364,10864.565217391304,10864.565217391304,10700.444444444445,10864.565217391304,10864.565217391304,10864.565217391304,10864.565217391304,10864.565217391304,10864.565217391304,11171.59090909091,9423.0,10452.136363636364,11171.59090909091,10521.666666666666,10521.666666666666,9406.4375,10205.714285714286,10205.714285714286,10205.714285714286,10121.444444444445,10069.0,10980.052631578947,10624.772727272728,10205.714285714286,10205.714285714286,10739.5625,9797.785714285714,10624.772727272728,9991.0,10198.130434782608,10700.444444444445,10092.0,9598.666666666666,10452.136363636364,10205.714285714286,10121.444444444445,10023.09090909091,10023.09090909091,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10205.714285714286,10023.09090909091,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10696.933333333332,10205.714285714286,10198.130434782608,10521.666666666666,9884.1875,10205.714285714286,9884.1875,10205.714285714286,9884.1875,10205.714285714286,9884.1875,10205.714285714286,9884.1875,10205.714285714286,10521.666666666666,10205.714285714286,10121.444444444445
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,9423.0,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,10864.565217391304,10864.565217391304,10864.565217391304,10864.565217391304,10864.565217391304,10864.565217391304,9423.0,9423.0,9423.0,9840.166666666666,9840.166666666666,9840.166666666666,9421.0,10452.136363636364,10697.052631578947,10934.538461538461,10934.538461538461,10804.052631578947,10205.714285714286,10205.714285714286,10205.714285714286,10727.888888888889,10864.565217391304,9423.0,10452.136363636364,10703.461538461539,9423.0,10452.136363636364,10493.09090909091,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10493.09090909091,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10102.5,10739.5625,10864.565217391304,10864.565217391304,10864.565217391304,10864.565217391304,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10947.736842105263,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,10739.5625,9947.818181818182,9947.818181818182,9947.818181818182,10216.666666666666,9762.733333333334,9641.42857142857,10864.565217391304,9598.666666666666,10452.136363636364,11302.625,10205.714285714286,9423.0,10452.136363636364,10452.136363636364,11116.23076923077,9840.166666666666,10405.666666666666,10146.833333333334,10205.714285714286
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,9423.0,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,9423.0,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,9598.666666666666,10452.136363636364,11171.59090909091,11171.59090909091,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,9598.666666666666,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,9423.0,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364,10452.136363636364
