,closesocket,cocreateinstance,coinitializeex,connect,couninitialize,createdirectoryw,createprocessinternalw,createthread,deletefilew,drawtextexw,findfirstfileexw,findresourcea,findresourceexw,findresourcew,findwindowa,findwindowexa,getcursorpos,getfileattributesw,getfileinformationbyhandleex,getfilesize,getfilesizeex,getfiletype,getforegroundwindow,gethostbyname,getkeystate,getnativesysteminfo,getsystemdirectoryw,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,gettemppathw,getvolumenameforvolumemountpointw,getvolumepathnamesforvolumenamew,globalmemorystatusex,isdebuggerpresent,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,lookupprivilegevaluew,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntcreatethreadex,ntdelayexecution,ntduplicateobject,ntenumeratevaluekey,ntfreevirtualmemory,ntmapviewofsection,ntopenfile,ntopenkey,ntopenkeyex,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerysysteminformation,ntqueryvaluekey,ntreadfile,ntresumethread,ntterminateprocess,ntunmapviewofsection,ntwritefile,process32nextw,regclosekey,regcreatekeyexa,regcreatekeyexw,regenumkeyexa,regenumkeyexw,regenumkeyw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeyw,regqueryvalueexa,regqueryvalueexw,regsetvalueexa,regsetvalueexw,seterrormode,setfileattributesw,setfilepointer,setunhandledexceptionfilter,shellexecuteexw,shgetfolderpathw,shgetspecialfolderlocation,shutdown,sizeofresource,socket,timegettime,writeconsolew,writeprocessmemory,wsastartup
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.0002249663670495413,0.0004717266173936616,0.0,0.0005359735332906356,0.00020843415183524716,3.191702613304165e-05,0.0,0.0,0.0,0.0017000417770480223,0.0,5.955261481007062e-05,0.0,5.6231675029350875e-05,0.0,0.0,0.0,0.00024858785241937086,5.955261481007062e-05,0.0002515366839404458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.948291358710385e-05,0.004499627266572569,8.844874076131156e-05,6.0145359782637664e-05,0.00045558138222651594,0.00024297673718747515,6.196057992556037e-05,0.0,0.0012844673229986496,0.008290652721173103,0.000934158053089927,0.0001459621957953011,5.955261481007062e-05,0.0,0.0,0.0,0.0030068212333832028,0.009925429314080475,0.0020434707411342156,0.0,0.00041686830367049433,3.0072679891318832e-05,0.0,0.00026534622228393466,0.0,0.0032403607466556846,0.0005359735332906356,0.0009923984364135214,0.0015471992754301916,0.0014589127668545858,0.0008545614539785955,0.00033062496031622434,0.00033611591250020105,0.0007818896771742896,0.005065781509468651,0.001082616476087478,6.134921435697577e-05,0.00043788658738590333,0.009756270542318713,2.977630740503531e-05,9.575107839912496e-05,0.0005306924445678693,0.0003977103118461476,0.0,0.5805500375562306,3.0372092148434394e-05,8.904193599491272e-05,0.0,0.0,0.005749319568486887,0.00027845537839843925,0.5735311180099312,0.01730647027562996,0.0002817559565931441,0.5734131863555828,0.0673684575465323,0.0,8.687854352661387e-05,0.0010908678027228425,0.0,0.0008013774239542145,0.0,6.709662602980443e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,0.0,6.776890232588001e-05,0.0,0.00022814430717592202,2.28144307175922e-05,4.890927350519774e-05,0.00011407215358796101,4.544098349020803e-05,0.0015668226503956107,7.443211200846142e-05,4.794721172420659e-05,2.28144307175922e-05,0.0,0.0,0.0,0.006157252850406408,0.0,0.0,0.00013688658430555318,0.0,0.0,0.014331818949206907,0.9951388655265564,0.07054185260955839,0.0,0.0,9.12577228703688e-05,0.03350042738309335,0.0002758070250466287,2.2589634108626667e-05,0.0,0.0,0.0,0.0,7.195991613426385e-05,0.003578731891029737,0.0495878037650808,0.0018117330198338044,0.00038024026342190956,9.12577228703688e-05,0.0,0.00022814430717592202,4.7473830072512134e-05,0.00156569520232551,0.004518149012425043,0.00042497441205978126,0.00013553780465176002,4.56288614351844e-05,0.0,0.02740122617376415,4.5179268217253335e-05,2.3041509564641332e-05,0.0005591768579733964,6.844329215277659e-05,6.912452869392399e-05,0.0026169476953154954,0.0001541807362647459,8.730132459797037e-05,0.0,0.002722460267264291,0.0,0.0,4.6083019129282664e-05,0.0,0.0024380111007640086,0.0009575665344679536,4.56288614351844e-05,0.00014672782051559322,6.776890232588001e-05,0.00012188931598350635,0.006581290262663121,0.0031761245532888915,0.00013962550479679819,0.001228021290131778,0.0020517375247019556,0.0,0.002183722142876223,0.0,0.00060992012093292,0.0036369310914888936,0.0,0.0006325097550415467,0.0016716329240383735,0.0001311235354146865,0.0011316190502710624,4.5179268217253335e-05,0.00013378640815925886,0.001159797885124457,0.0,0.0,2.2589634108626667e-05,0.0,0.0,7.050810808172522e-05,0.0,0.0003057933299731933,0.0,0.0003482908848405737,2.3502702693908405e-05
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,0.00011092804051866661,0.0003198282537501463,0.0,0.0004111048659138019,0.00011745853311822913,9.442726611685142e-05,8.809389983867185e-05,0.00017546234213376002,0.0017497575867641995,0.00043110970647613567,0.0,0.001145220697902734,0.006443570326901274,0.0,0.0,0.0037423840558007686,0.00035588289900288805,9.806039445728077e-05,0.00026428169951601553,0.0,0.0003922415778291231,0.011566194217593861,0.975443405008844,0.04946901023295198,2.965690825024067e-05,5.8729266559114564e-05,0.00014682316639778642,0.026400368582284804,0.00195246365586328,8.722588738640354e-05,0.0002075983577516847,0.0,0.0,0.0,0.00018524034846777594,0.0032819274566535353,0.05752009700345407,0.0018136967523611643,0.0005181990721031897,0.002760275528278384,0.0,0.0028777340613966138,6.110394020835174e-05,0.001468230704292371,0.007312364684122789,0.0008060874454938508,0.00014537647897733922,0.00020555243295690095,0.0,0.060505690550368585,2.9075295795467847e-05,0.0005931381650048134,0.0006909320961375864,0.00029364633279557284,0.0,0.003195560944636337,0.00019844723873365286,0.0001123662217730563,7.245641890671123e-05,0.0015152864995434966,0.00047451053200385073,3.813545223751431e-05,0.0,3.0250513555567718e-05,0.003109194432619139,0.009422595699466862,0.0,0.00018885453223370285,0.00017445177477280708,0.003922117440554628,0.006938871774841571,0.004347114438198981,0.00014976090482610993,0.000702487050909548,0.0026408075110251126,0.00482146526196899,0.00048460102612524523,0.0,0.0008141082822730998,0.005408005017957019,0.0,0.0008141082822730998,0.0023550989594328955,0.00010126208046389532,0.0005997417930548237,0.0004942800285229534,3.4439507713479555e-05,0.0016684067459101764,4.2376759486673824e-05,0.0,5.8150591590935694e-05,0.0,0.0,0.001936032867556334,0.0,0.1945313637329121,0.0,0.0002988586254771808,3.0250513555567718e-05
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.024945448274620384,0.0,0.0,0.024945448274620384,0.0,0.0,0.035085932922611925,0.0,0.0,0.0,0.16018557844289064,0.0,0.0,0.0,0.0,0.0,0.0,0.13223387731323585,0.0,0.0,0.0,0.10930763635692159,0.0,0.0,0.0,0.0,0.016366335634487576,0.0,0.048615221426099815,0.07914202020884864,0.0,0.0,0.0,0.0,0.0,0.0,0.4171808317249354,0.5936804143777927,0.048136249814415624,0.01604541660480521,0.0,0.0,0.0,0.0,0.385089998515325,0.3209083320961042,0.01604541660480521,0.016205073808699937,0.0,0.0,0.048615221426099815,0.0,0.0,0.03209083320961042,0.0,0.0,0.11231791623363646,0.08295320983405483,0.0,0.0,0.10556784073309636,0.0,0.02125473881966148,0.0,0.0,0.2888174988864938,0.02215894516352854,0.0,0.05262889938391789,0.0,0.0,0.0,0.01604541660480521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04775217368126559,0.14584566427829945,0.019194809516580078,0.0,0.0708558757323581,0.0,0.016205073808699937,0.0,0.0,0.0,0.03439578087789433,0.0,0.029378048791103336,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0,0.006363925268096074,0.006255170313283253,0.0,0.0037904504974157678,0.0012634834991385893,0.0047401184973153675,0.0031587087478464736,0.010066248601195215,0.005742266975995078,0.07007598350265017,0.0013276796513823534,0.03158708747846473,0.0,0.0,0.0,0.0,0.009570444959991795,0.0,0.0018952252487078839,0.0,0.014767489584389658,0.0012760593279989062,0.20522176577584228,0.0,0.0006380296639994531,0.0018952252487078839,0.0012634834991385893,0.0494158454749377,0.005346053569878158,0.006880687344611578,0.0012760593279989062,0.003866292425907811,0.010310113135754164,0.0013145715025726242,0.0,0.056361236896463995,0.9129281668723949,0.06379348791577794,0.008670959522532922,0.024006186483633195,0.06442923041216884,0.060015466209083,0.030235144559170358,0.037161255096569666,0.1796127329667534,0.00557418826448545,0.001876551093984976,0.005053933996554357,0.0012760593279989062,0.1613833940827079,0.010008272501253204,0.012760593279989062,0.0049548340128759555,0.005685675746123652,0.0025521186559978124,0.016103210541846855,0.01600999975905584,0.0012087062838414611,0.0007794026305705253,0.0040749263544641355,0.019778919583983045,0.0016408689383439687,0.0012760593279989062,0.0013016006143872494,0.02787094132242725,0.0,0.0018952252487078839,0.007448757638638435,0.011259306563909855,0.0,0.0,0.07184509318670136,0.022553372484462233,0.0,0.0,0.0,0.0,0.03643131301642702,0.008757238438596554,0.02502068125313301,0.0,0.005629653281954927,0.036279987817042864,0.01016643349791714,0.0,0.02001654500250641,0.001481842095563661,0.0,0.004558403288119004,0.0021353087544577825,0.0012510340626566505,0.003385798926653834,0.0,0.0013016006143872494,0.1626407572943383,0.0,0.004535979306965938,0.026521906818434495,0.0026032012287744988
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0029854506349022026,0.0036996172802852925,0.008727344287903135,0.0029854506349022026,0.00685548333330621,0.004896773809504436,0.0020995277288024983,0.07932773571397186,0.0,0.005934615435163807,0.0,0.14819251072414158,0.06463741428545855,0.0,0.28851926606768785,0.0,0.0,0.007912820580218409,0.009811385691556491,0.0009793547619008872,0.009927771601451543,0.0016352309485927485,0.004945512862636506,0.0,0.0,0.005934615435163807,0.008814192857107984,0.011752257142810646,0.06109141001532194,0.05327804011852117,0.020363803338440643,0.005934615435163807,0.011987404349310987,0.023974808698621973,0.0030568627016849255,0.09267067068792177,0.15074372266332745,0.29572653872805643,0.13826175836636403,0.011521813197197002,0.18509804999926766,0.1483083299602769,0.008814192857107984,0.07030784213875328,0.3888611954053988,0.29956714312712207,0.03456543959159101,0.007757639367025008,0.008814192857107984,0.0029673077175819034,0.5042465588566255,0.018424393496684392,0.029673077175819032,0.14882342046379463,0.011752257142810646,0.006923718007691108,0.019203021995328338,0.0,0.0,0.014499184419096471,0.03316496383988182,0.012858333442854916,0.01144687309779845,0.0029673077175819034,0.027240305502908,0.013442115396729837,0.019889731839733627,0.004896773809504436,0.006298583186407495,0.029091147626343777,0.01831319362241819,0.009016434860865825,0.18530916225491847,0.01798110652396648,0.0,0.0,0.0,0.009697304605296343,0.0,0.03296996730985628,0.2210927219602127,0.0,0.01745468857580627,0.21236537767230956,0.004502990599073101,0.0,0.005818229525268756,0.0034458284108931036,0.0,0.0,0.001103417547984138,0.0048485246043906294,0.0031492915932037477,0.003018848036685514,0.14528162934884267,0.003087343973419616,0.01969017927121761,0.0,0.002491846358251571,0.006053401222868445
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.001698829622901158,0.006011272200189748,0.0,0.004721960658466137,0.002698263233409222,0.0007230626095026159,0.002698263233409222,0.0,0.002725119853750187,0.0,0.0014176794518935094,0.029680895567501437,0.0,0.0,0.0,0.0,0.012263039341875843,0.004505296464946612,0.0020236974250569164,0.004558739785279134,0.0,0.0013625599268750936,0.23076066785940644,0.0,0.0013625599268750936,0.002698263233409222,0.001349131616704611,0.02805260360088549,0.04729856941847299,0.009350867866961831,0.0013625599268750936,0.005504503862824776,0.011009007725649552,0.0014036827372488532,0.0,0.02116283505673578,0.9106632460351616,0.0581977964060234,0.003306692977614966,0.021586105867273775,0.06810179679993515,0.001349131616704611,0.03228470295672362,0.015210787697028843,0.11837960859861578,0.01256543331493687,0.0033395956667720823,0.006071092275170749,0.0013625599268750936,0.17299105553879385,0.008682948733607414,0.013625599268750935,0.0013226771910459863,0.007420223891875359,0.0013625599268750936,0.008597401741798912,0.0,0.0,0.00665788975803696,0.004351154553501139,0.005450239707500374,0.005256296972056193,0.0013625599268750936,0.0013898325877537785,0.005952047359706938,0.0036532714690200824,0.0020236974250569164,0.0021691878285078478,0.007347110466898581,0.0,0.0,0.08134464724932816,0.004128377897118582,0.0,0.0,0.0,0.00445291149805173,0.0,0.009350867866961831,0.09484451693632714,0.0,0.006011272200189748,0.0935086786696183,0.0015507983478687504,0.0,0.002671676533417666,0.001582292149799941,0.0,0.0,0.000760018513374387,0.0006679191333544165,0.00361531304751308,0.0,0.0013898325877537785,0.1828806492942627,0.0,0.0,0.0,0.002779665175507557
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0019313158814622247,0.007977723167612773,0.007527733972738803,0.0019313158814622247,0.00506842989298143,0.002534214946490715,0.0013582040844361202,0.003167768683113394,0.0,0.005758737176713444,0.0,0.001331487755470751,0.031677686831133936,0.0,0.1160554051460785,0.251694236865014,0.0,0.012797193726029875,0.004231384654570473,0.0019006612098680362,0.004281578742196848,0.0,0.06334610894384787,0.0,0.0,0.0012797193726029874,0.002534214946490715,0.0012671074732453576,0.04955758198719712,0.04518883611261795,0.009409667465923503,0.0012797193726029874,0.005169842508123748,0.010339685016247496,0.0013183420093422547,0.0,0.028572012583815563,0.8969127428484711,0.06832437791781983,0.0037267842500628996,0.024075041991661793,0.06396136195919282,0.06082115871577716,0.03032186621487186,0.022981836208721212,0.20000408808670894,0.01242261416687633,0.06273111643949002,0.006335537366226788,0.0012797193726029874,0.12169836589261064,0.009409667465923503,0.012797193726029875,0.0049690456667505324,0.008236198576094825,0.0012797193726029874,0.008695829916813431,0.0,0.0,0.007034743300428403,0.00408661422186061,0.00511887749041195,0.00493672603356356,0.0012797193726029874,0.0013053339175345471,0.005590176375094349,0.0034311608466314077,0.0019006612098680362,0.00203730612665418,0.011291600959108205,0.0,0.0,0.09938091333501065,0.027787903481165145,0.0,0.0,0.0,0.004182184574892295,0.036535806771301624,0.008782356301528602,0.09472398582362994,0.0,0.0056458004795541025,0.11040676493350243,0.006554309959738188,0.0,0.002509244657579601,0.0014860923745647742,0.0,0.0009142955766940716,0.0007138111109231861,0.0012546223287898004,0.0033955102110903006,0.0019529209724021383,0.0013053339175345471,0.0019972316332061263,0.0,0.0,0.015313987342859148,0.0026106678350690943
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.0028363821449322963,0.0046865190240547765,0.005527715698146456,0.0028363821449322963,0.003721815832739224,0.000930453958184806,0.003490715961940966,0.0032565888536468207,0.0,0.00516843274473777,0.025802662349048246,0.0014665938902316813,0.03349634249465302,0.0,0.0,0.0,0.0,0.014565583189715537,0.0,0.002791361874554418,0.0,0.01087506813157129,0.0009397150444977765,0.005551689370544111,0.0,0.0014095725667466648,0.002791361874554418,0.001395680937277209,0.0460642974845538,0.003936938399395374,0.011055431396292913,0.0014095725667466648,0.004270820030857323,0.011388853415619528,0.0014521142445305664,0.0,0.07753777916740588,0.961468461675833,0.02098081083353336,0.009578196250091316,0.025122256870989762,0.07093078689978738,0.04512701697196309,0.03339862762420303,0.025541856666910175,0.20387874875194373,0.005929359583389862,0.0400759388115618,0.005117496770016433,0.0014095725667466648,0.041918510710943956,0.009673502471756298,0.014095725667466648,0.004561045833376817,0.005582723749108836,0.002349287611244441,0.015051451250143497,0.004716030769379226,0.0,0.0005739673396038943,0.004501283188590558,0.006108147789235548,0.001208367975985082,0.0014095725667466648,0.0014377862209416362,0.022805229166884086,0.0006298868206380497,0.0023261348954620154,0.005984084506184513,0.01842571899382152,0.0,0.0,0.06613516458396385,0.027523062421080526,0.0,0.0,0.0,0.0,0.026828731377271424,0.01151607437113845,0.029020507415268897,0.0,0.005527715698146456,0.03316629418887874,0.008556297655497707,0.0,0.005527715698146456,0.0010912574989401104,0.0,0.003356897328160304,0.001572483126124295,0.002763857849073228,0.0029920422530922567,0.0028681119591847494,0.0014377862209416362,0.004399781670695045,0.0,0.003340383869902751,0.012428977819332446,0.0028755724418832724
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.004841176936499436,0.0,0.003492395016172257,0.0013969580064689027,0.0007486950042652016,0.0027939160129378054,0.0,0.0028217246939793534,0.0,0.0014679358458491271,0.030733076142315855,0.0,0.0,0.0,0.0,0.012697761122907093,0.0,0.002095437009703354,0.0,0.0,0.0014108623469896767,0.23338430851615158,0.0,0.0014108623469896767,0.0027939160129378054,0.0013969580064689027,0.029047061618996613,0.0,0.009682353872998872,0.0014108623469896767,0.004274727895856408,0.011399274388950421,0.0014534429510529377,0.0,0.019173920889395783,0.9244569000244396,0.05615219689037337,0.0034239144445349615,0.022351328103502443,0.07051598903816761,0.0013969580064689027,0.033429187874217565,0.009586960444697892,0.10134786755823486,0.0034239144445349615,0.0034579835260710257,0.003492395016172257,0.0014108623469896767,0.17497396641919388,0.008990757167784667,0.014108623469896768,0.0013695657778139845,0.003492395016172257,0.0014108623469896767,0.0089021775557909,0.0,0.0,0.0,0.004505401930868755,0.005643449387958707,0.0,0.0014108623469896767,0.0014391018171054616,0.006163046000162931,0.0,0.002095437009703354,0.002246085012795605,0.006224370346927847,0.0,0.0,0.04108697333441954,0.004274727895856408,0.0,0.0,0.0,0.0,0.0,0.009682353872998872,0.024897481387711386,0.0,0.006224370346927847,0.016598320925140925,0.0016057737745155264,0.0,0.0027663868208568205,0.0016383840241139948,0.0,0.0,0.0007869609859980046,0.0006915967052142051,0.0037434750213260082,0.0,0.0014391018171054616,0.18495991657699004,0.0,0.0,0.0,0.002878203634210923
