,__exception__,cocreateinstance,coinitializeex,copyfilea,couninitialize,createprocessinternalw,createthread,createtoolhelp32snapshot,cryptcreatehash,crypthashdata,deletefilew,drawtextexw,findfirstfileexw,findresourcea,findresourceexw,findwindowa,findwindowexa,getasynckeystate,getfileattributesw,getfilesize,getfiletype,getforegroundwindow,gethostbyname,getkeystate,getsystemdirectorya,getsystemdirectoryw,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,gettemppathw,gettimezoneinformation,getusernamew,getvolumenameforvolumemountpointw,getvolumepathnamesforvolumenamew,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,lookupprivilegevaluew,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntdelayexecution,ntduplicateobject,ntenumeratevaluekey,ntfreevirtualmemory,ntmapviewofsection,ntopenfile,ntopenkey,ntopenkeyex,ntopenmutant,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerykey,ntqueryvaluekey,ntreadfile,ntsetinformationfile,ntsetvaluekey,ntterminateprocess,ntunmapviewofsection,ntwritefile,outputdebugstringa,process32firstw,process32nextw,readprocessmemory,regclosekey,regcreatekeyexa,regenumkeyexa,regenumkeyexw,regenumkeyw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeya,regqueryinfokeyw,regqueryvalueexa,regqueryvalueexw,regsetvalueexa,regsetvalueexw,setendoffile,seterrormode,setfileattributesw,setfilepointer,setfiletime,sizeofresource,socket,thread32next,timegettime,uuidcreate,writeprocessmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.000268269008628642,0.0005289093441132219,0.0,0.000583073175261053,2.9766825456017862e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0013824212848210797,0.0,6.485154371366169e-05,7.530823058211717e-05,0.0,0.0,0.0,7.125033514880919e-05,0.0,0.0,0.0,0.0,6.400763967381202e-05,0.0,0.0,2.90311380821469e-05,0.0043937452553438,8.99291379072442e-05,7.125033514880919e-05,0.0,0.0,0.0005892968457718982,0.0003146286893840659,0.0012199724162945977,0.00784296411260004,0.0008837142662084551,0.00014749857341094,6.651830089816399e-05,0.0,0.0,0.0,0.002847298328372617,0.009389464078464835,0.0019369912085344082,0.0,0.0004205116308098259,0.0,0.0002877285222295003,0.0,0.0030745846197767685,0.0005384941981597511,0.00097544204208234,0.0014636517534077538,0.0012406864024535533,0.0,0.0007067860796351048,0.0004065886478163728,0.00028221022104125894,0.0009486485929072509,0.006542387836047556,0.0012472986541638455,0.0012757401186242532,0.0004142410622852133,0.008024189283399876,7.167885948255853e-05,0.0,9.437345947096853e-05,0.0005777880652592559,0.0002028958809952025,0.0,0.0,0.0,0.0,0.549749726760643,3.8579911896932414e-05,0.0,0.0,0.007636908130609496,0.0003218832072690941,0.5848870708345185,0.0201716331339095,0.0,0.0002098939886917873,0.589478281366563,0.08612530397842158,0.0,5.632181286486245e-05,0.0,0.0010486855043630877,0.0,0.0004746750762806373,0.00012015274668680154,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,7.981623872118018e-05,0.0,5.401254675643362e-05,2.5391527199357745e-05,0.00017642604571215125,3.242460245667791e-05,9.601761699698368e-05,0.00010682764773916695,0.0,0.0,2.6476305614902358e-05,0.0016635421761969284,4.302436871659026e-05,5.0367307010119523e-05,1.766047849748315e-05,0.0,0.0,0.0,0.0,0.0001164180471067739,0.0,0.014269374011248677,0.9980677684724152,0.038529502915544314,0.00020916798202215328,0.0,6.180871145675359e-05,0.023448623635402607,0.0001914419035525815,1.632643332100577e-05,0.0,0.0,0.0,0.0,0.0,0.002416180978807061,0.03334569122802334,0.0012183134819440191,0.00027313595942011863,7.245749016479717e-05,0.0,0.0002042065530305194,3.8926745554085014e-05,0.0010539158403364388,0.0030382632512678007,0.0002863487911689162,9.124264046988212e-05,3.271840438987132e-05,0.021142296445641185,3.4824311986449435e-05,2.3563586968827412e-05,0.0003771513128146886,4.8881207051443524e-05,4.829708599409305e-05,0.0017597861405858053,9.320434515587598e-05,3.09324122574502e-05,5.132617111610527e-05,0.0,0.0016248697822528041,0.0,0.0,3.774071226612202e-05,0.0,0.001639458883109853,0.0005598344711772328,0.00011711822579321289,0.0,0.00010279973960706395,5.2448063779160735e-05,4.420235064090015e-05,0.0,0.00014386939868024184,0.0033696200464583,0.00016826365091066487,0.0021379435618253478,0.0001260737368101301,0.0011157015390794783,0.0,0.002061920144364945,0.0,0.000442141562955866,0.0030132903396273797,0.0,0.0,0.0004622114579923419,0.0015191072157085053,0.00012051372654875148,0.0005214800400226645,0.0,3.0873486752482776e-05,0.0001202397570802822,0.0004883317752938333,9.816057773326919e-05,7.214385424816932e-05,0.0,0.0,0.00029264986869478583,0.0,0.00039558676263085963
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,9.41815076863085e-05,0.0002553166115043449,3.273420583703156e-05,0.0003184224812480616,6.270164074815836e-05,7.427029687698401e-05,0.0001377198851697365,0.0,0.0,0.00010239803588784806,0.0018607580276759036,0.00024959737109699076,0.0,0.0008879327193417701,0.0,0.0,0.0,0.00024880495982296756,0.0002251254298659179,0.00021306393300866915,0.011534323555609903,0.9798880482029353,0.02706311650618625,0.0001348274116060823,4.5167852792021065e-05,9.960306185316017e-05,0.018508662648062193,0.0013574151114018145,6.314305059932254e-05,0.00017509755656238058,4.508771773986994e-05,0.0,0.0,0.0,0.0022193577596240953,0.03874204144866116,0.0012215959015343609,0.0003728339486336015,0.002195149661671595,0.0,0.002579934834929498,5.018351560852166e-05,0.000989899384750583,0.004925164428408376,0.0005440173751785898,9.802336001051739e-05,0.0001476294991797623,0.046760206839977086,2.244737364057163e-05,0.0006075532992091167,0.0004667666763055973,0.00021005530448820782,0.0,0.002152335636036731,0.00012015701912232167,7.975478921936638e-05,6.616858595979964e-05,6.344068516272488e-05,0.0009058364806672019,0.00040989925724169477,3.5066314203359754e-05,0.0,0.0,0.002094164402630333,0.005517715126326143,0.0,0.0,0.00013252719341655012,0.00013522981126903093,0.0014246177799778698,0.0,0.00013910497997245654,0.003558416595662362,0.0,0.00293087857053604,0.0001354429379462101,0.0014383382120412326,0.0024248922330089503,0.000458307362729325,0.0,0.0005911103934082549,0.004487877910146232,0.0,0.0,0.0005958729810682079,0.002143654115281273,9.321820857945908e-05,0.00027682148563102976,5.255301201776012e-05,0.00033831214758321855,3.100209709449998e-05,0.0007036110481467973,8.436432440303802e-05,0.0019841342140479988,0.0,0.0,0.18646958222966778,0.0,0.00033998791309911285
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.0,0.0,0.0,0.0,0.0,0.03483808699490775,0.0,0.0,0.0,0.0,0.0,0.0,0.13868050060927056,0.0,0.0,0.0,0.0,0.0,0.13824022356754137,0.0,0.08878643060689641,0.0,0.0,0.0,0.0,0.018822014458064657,0.0,0.05096559501590438,0.08227665642897629,0.0,0.0,0.0,0.0,0.0,0.0,0.42185428573050027,0.5979369537685513,0.048481374629882536,0.0172627347840892,0.0,0.0,0.0,0.0,0.38823865423978754,0.3232091641992169,0.01619277913715441,0.016339028625881064,0.0,0.05618136037986129,0.0,0.0,0.03241792774764025,0.0,0.0,0.11312320746972593,0.07510642009833828,0.0,0.0,0.0,0.0943683741967269,0.0,0.029225151612399348,0.0,0.0,0.29088824777929523,0.019403388597940722,0.0,0.0,0.05522575452189041,0.0,0.0,0.0,0.0,0.0,0.0,0.01617661059332448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032958573617401184,0.0,0.14927182174100173,0.02583793046040402,0.0,0.03515567899520217,0.0,0.05475637327623133,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0020796964395064896,0.0076141483430021695,0.007036769896563968,0.0009924046075624638,0.004137270341026043,0.004435500715774509,0.00375276070505065,0.0,0.0,0.0,0.008278417434970398,0.008605326683405207,0.057173314868523416,0.001968560108846864,0.034512182144568686,0.0,0.0,0.0,0.009428791007714645,0.0022750464248386896,0.011304072940787935,0.0017932650381920527,0.29051580841224023,0.0,0.0,0.0020540341858757763,0.0012078684664294755,0.0488206149432861,0.0052376321428843145,0.00701914078589216,0.0015166976165591265,0.0,0.0,0.005017717430023832,0.013394928804006051,0.05370946420174219,0.8665057800417114,0.06054958978581837,0.008791398046884167,0.026903379698676285,0.08226245700563445,0.07582164964095145,0.03499257334407374,0.03530685968212273,0.17047942755230414,0.005301322340308813,0.0017830675582752402,0.0051150755941015685,0.17575634491596737,0.010888610960405505,0.018419224724028925,0.004716996470791202,0.005731431755191278,0.0025168632195593614,0.01528436247020658,0.013660524559724956,0.0,0.0010030182175385398,0.0009616672629214015,0.003432786416095539,0.02407719030972702,0.002126214514499006,0.001475061206501043,0.0,0.02645370427535754,0.0,0.0,0.0,0.007366028563085501,0.012299307499744,0.0,0.0,0.0,0.0,0.0,0.06825992871877061,0.028743613773360262,0.0,0.0,0.0,0.042253324641597055,0.008960362150175956,0.029260048643511543,0.0,0.0,0.005806643115923078,0.04653552840891608,0.013188472452837767,0.0,0.0,0.019306591692023995,0.0018797843548643528,0.0,0.0,0.0018797843548643528,0.24400070105285693,0.0,0.0,0.0009398921774321764,0.04251815331228532
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.008869892611704336,0.004059287021958487,0.009003534188471373,0.0014108665298813946,0.006862112729896239,0.0018016555676885013,0.08642970801991601,0.0059358206963212035,0.0,0.0,0.0,0.008155925720748261,0.0,0.20150152416628817,0.06476546826028141,0.35553003337484396,0.0,0.0,0.00714910863232442,0.0010781176784386655,0.001147900048741807,0.00637355369551829,0.0,0.0,0.00968525519821673,0.00876044325671445,0.010303103263316443,0.05534952044645977,0.047868148066996935,0.019050558913846282,0.006468706070631992,0.0,0.0,0.014267022793881028,0.028564644766414262,0.13173653579404537,0.25740789069462294,0.12034654629878476,0.010712931134880171,0.19023140146325354,0.1736524743112885,0.010211964397889683,0.07462155578887628,0.33881296700220703,0.26075085031403367,0.03014680986790335,0.006759797551167088,0.008180912312230944,0.5036070588167192,0.018382444281893427,0.039278940471657274,0.1299284990065542,0.010864231745907506,0.006261736984074887,0.016714798097053438,0.0,0.0,0.0,0.01640602000997531,0.025621422920064658,0.014354386074159616,0.013602437876122355,0.0031455635180247794,0.0,0.011700358667937408,0.015051726191773947,0.0,0.0,0.005712012150879913,0.029142484090115797,0.00859627930218262,0.007135947826675349,0.005995519224142509,0.00597546135945031,0.0023373697789188987,0.16145901884302705,0.021015657801826224,0.0,0.0,0.011852015381564909,0.0,0.030936672728094184,0.23710846461384588,0.0,0.0,0.01651019828161456,0.249803161086522,0.005357024233917304,0.0,0.0,0.005146405977610872,0.004008634395884557,0.0,0.0,0.19241445100245874,0.004247597957688029,0.0,0.024391398446059313,0.0,0.0036634275591093824
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0020037433902680853,0.0066664805992819745,0.0010446469300548606,0.005080909388061753,0.0006669992936753058,0.0031602513087001555,0.0,0.0,0.0,0.0,0.004025924298051256,0.0,0.002072189365773276,0.03196950061480118,0.0,0.0,0.0,0.011910171523122053,0.002394809783559408,0.0,0.001887666383898897,0.3220357981708807,0.0,0.0,0.002882883977162252,0.0012714532719319365,0.027321604791472213,0.045682062859287345,0.009403728117287739,0.0015965398557062718,0.0,0.0,0.0070424812208156225,0.014100066794105047,0.0198810888541717,0.8520963031881282,0.054454956195029255,0.003305070083088849,0.023848110927979213,0.0857182543936163,0.001680275054316646,0.03683465800142947,0.01424677080299247,0.11076633135125269,0.011780834735576479,0.0031282201443484084,0.006057387251746986,0.18572562596811037,0.009312721408795063,0.019388852505641256,0.001241327338854956,0.007373845972454135,0.0013246781683826426,0.008044482165174777,0.0,0.0,0.0,0.008098332041505528,0.0036134957090901243,0.006540558870453638,0.006714429119787222,0.0015527116150731342,0.0,0.005569256883582538,0.002971930460274853,0.0,0.0,0.002114670605430829,0.00791191476622018,0.0,0.0,0.0,0.0,0.0,0.07618925255513365,0.005186869662671497,0.0,0.0,0.005850386374183626,0.0,0.009432054971360982,0.10934128089792843,0.0,0.0,0.00611231735397947,0.11824028072575536,0.0019832488763702016,0.0,0.0,0.002540366548482859,0.001978740264313619,0.0,0.0,0.001978740264313619,0.2704739578450443,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.00957555389975148,0.00849546498620018,0.0009984385259643352,0.005549900473162945,0.0012749911428188501,0.003775577862189453,0.0,0.0,0.0,0.0,0.008657647922780192,0.0,0.001980529149473485,0.034722019633576656,0.15644397032187238,0.32802507770534794,0.0,0.012648158655760572,0.002288878932651872,0.0,0.08930632923680391,0.0,0.0,0.0,0.0027553638898196136,0.0012152124264545403,0.04911744912226126,0.0444141672098603,0.00962975162421049,0.001525919288434581,0.0,0.0,0.00673096753261257,0.01347637129911978,0.02731491276010012,0.8540311908105355,0.06505777769332334,0.003790650265112737,0.027066954914469664,0.08192663483010822,0.07708562808029856,0.035205331659201124,0.021904942815095516,0.19044185833863742,0.011852344234923975,0.059796959526816205,0.006432719701033666,0.132961404721061,0.010270138869892052,0.01853121543644964,0.004745676276980915,0.008329070285585365,0.0012660829987291907,0.008280080797332062,0.0,0.0,0.0,0.008707628656984743,0.0034536580978349538,0.006251246971314739,0.0064174263286259775,0.001484029724875473,0.0,0.005322909083999182,0.0028404715341187117,0.0,0.0,0.0020211312946428555,0.012374088508706927,0.0,0.0,0.0,0.0,0.0,0.09472407703825089,0.0355282927192891,0.0,0.0,0.005591603229480578,0.042510229044450835,0.009014842040387444,0.1111282712164976,0.0,0.0,0.005841948081743747,0.14206983707238177,0.008529852646843795,0.0,0.0,0.0024279972104480603,0.0018912136301054514,0.0,0.0,0.0018912136301054514,0.003005929585784189,0.0,0.0,0.0009456068150527257,0.024628990608925226
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.0008024887111630115,0.005876115354440624,0.006516637675891938,0.0007658747491667767,0.004257176102733919,0.0034230373098192665,0.004054598798177969,0.0,0.0,0.0,0.0,0.008116831248309331,0.02206136380780933,0.002278814207572972,0.03835340187270202,0.0,0.0,0.0,0.015038185009183812,0.003511472229549143,0.008723764442562797,0.0013839278867197756,0.008235977921442159,0.0,0.0,0.003170345854704385,0.0013982340746461737,0.04769195585992935,0.004042071321607491,0.011818748444398895,0.0017557361147745715,0.0,0.0,0.0058085327025258465,0.0155060309973862,0.07743322155128046,0.9563427419520624,0.020868959264608574,0.01017696268639942,0.02950434538807084,0.09490676642389526,0.05974620672162032,0.04050756333913788,0.025431082534680446,0.20279184328869634,0.005909544860035993,0.0399056854910963,0.00542779871299944,0.04784115739807223,0.011029117724203792,0.02132217899009639,0.004550347284462297,0.005897539268995292,0.0024279436686888128,0.014971209907219193,0.004216929563180179,0.0,0.0,0.0007421536217781732,0.003973809294116174,0.007792134550753188,0.0016408771135861446,0.0017075376155942371,0.0,0.022683651374574534,0.0005447119094306278,0.0,0.0,0.006201417044970931,0.021092940373781517,0.0,0.0,0.0,0.0,0.00126881774797649,0.06584833870586901,0.036759559375041564,0.0,0.0,0.0,0.03260842822045109,0.012348281317912735,0.035565144786093086,0.0,0.0,0.005974930394343438,0.04458185465795459,0.011632027564724113,0.0,0.0,0.005587349765175126,0.001450697991825629,0.0,0.0,0.002176046987738443,0.006917297883618607,0.0,0.0,0.0007253489959128145,0.02088087663627113
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.005388505368475319,0.0010856396642526043,0.003771634363079965,0.0006931728495141947,0.0032842619559040045,0.0,0.0,0.0,0.0,0.0041839046069021965,0.0,0.0021535036408978623,0.03322400795448994,0.0,0.0,0.0,0.012377535645343942,0.0024887839274421184,0.0,0.001961739837908014,0.32688963936245347,0.0,0.0,0.002996010520876443,0.0013213460582137287,0.028393725190097044,0.0,0.009772737508010384,0.0016591892849614123,0.0,0.0,0.0054891251255125215,0.01465336406003472,0.018078583066385847,0.8681698092356711,0.052733277301722246,0.003434763528331502,0.024783928805065802,0.08908190340952599,0.0017462103159816419,0.03828007778994893,0.009012241209991445,0.09517713464213284,0.003221874627529343,0.0032509738644809776,0.003497268722536635,0.18854228129605233,0.009678159627570402,0.02014968571569173,0.0012900379607790559,0.0034832732978827066,0.0013766595397836114,0.008360153718565723,0.0,0.0,0.0,0.0,0.003755292008744822,0.006797215338363922,0.0,0.0016136411910774402,0.0,0.005787798728237808,0.0,0.0,0.0,0.0021976518764710413,0.006727405315740221,0.0,0.0,0.0,0.0,0.0,0.03862389089996334,0.005390406344092719,0.0,0.0,0.0,0.0,0.009802175929222988,0.028808091204898606,0.0,0.0,0.006352169301479835,0.021065163189880234,0.0020610730595444614,0.0,0.0,0.002640052449710108,0.002056387526146975,0.0,0.0,0.002056387526146975,0.2745506401433873,0.0,0.0,0.0,0.0
