,__exception__,cocreateinstance,coinitializeex,copyfilea,couninitialize,createthread,createtoolhelp32snapshot,cryptcreatehash,cryptdecrypt,crypthashdata,drawtextexw,findfirstfileexw,findresourceexw,findresourcew,findwindowa,findwindowexa,getasynckeystate,getcursorpos,getfileattributesw,getfilesize,getfiletype,getforegroundwindow,gethostbyname,getkeystate,getsystemdirectorya,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,gettemppathw,gettimezoneinformation,getvolumepathnamesforvolumenamew,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,lookupprivilegevaluew,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntdelayexecution,ntdeviceiocontrolfile,ntduplicateobject,ntenumeratevaluekey,ntfreevirtualmemory,ntmapviewofsection,ntopenfile,ntopenkey,ntopenkeyex,ntopenmutant,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerykey,ntquerysysteminformation,ntqueryvaluekey,ntreadfile,ntsetinformationfile,ntsetvaluekey,ntterminateprocess,ntunmapviewofsection,ntwritefile,outputdebugstringa,process32firstw,process32nextw,readprocessmemory,recv,regclosekey,regcreatekeyexa,regenumkeyexa,regenumkeyexw,regenumkeyw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryinfokeya,regqueryvalueexa,regqueryvalueexw,regsetvalueexa,searchpathw,select,sendto,seterrormode,setfileattributesw,setfilepointer,setfilepointerex,shgetfolderpathw,sizeofresource,socket,thread32next,timegettime,writeprocessmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.00023324557898541656,0.0005381986387754412,0.0,0.0006192165058636469,0.0,0.0,0.0,0.0,0.0,0.0,0.0011942301896294596,7.106344807366485e-05,0.0,8.258001226103312e-05,0.0,0.0,0.0,0.0,7.00110188782569e-05,0.0,0.0,0.0,0.0,7.150294280043574e-05,0.0,3.274458347837658e-05,0.004009117340812478,8.896621206520012e-05,7.548309550728357e-05,0.0,0.00029706951257666743,0.0012350017246384364,0.007943537561694117,0.0008950464858246892,0.0001457027767889215,6.94387335253234e-05,0.0,0.0,0.0,0.0028823709816899767,0.009509868911887322,0.001960851793975617,0.0,0.00041621627035687715,0.0,0.0,0.0002762911806222487,0.0,0.0031124600586680175,0.0005313979176597045,0.0009850194192104005,0.0014824207421471414,0.0011303522890699824,0.0,0.0006106249908505656,0.000338428170599184,0.0002572389293665424,0.0009629586919356868,0.00529544649267045,0.0012060290896348676,0.0009764917077002742,6.936760776194114e-05,0.0004214443418864287,0.007507936020665778,5.8698611065028126e-05,0.0,9.680356145908479e-05,0.0005467906038019181,0.00017775023565642649,0.0,0.0,0.0,0.0,0.0,0.5567996642044533,4.0466925003141244e-05,0.0,0.0,0.005883642840396659,0.0003272229191374911,0.5734319320180722,0.018413985057902652,0.0,0.5955686998802537,0.07604533717752153,0.0,0.0,0.0,0.0,0.0010637412017807117,0.0,0.00036977008049069804,0.00017274249428960367,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,6.410724505982671e-05,0.0,4.5816887386185986e-05,2.7806027770353994e-05,0.00015618946376722118,8.24755129861641e-05,7.418570937859847e-05,0.0,0.0,0.0,0.0014033115778815481,3.0983588186480314e-05,1.6132363347348547e-05,0.0,0.0,0.0,0.0,0.002105235160204029,0.0,9.536068615961304e-05,0.0,0.011434227967734968,0.9987971169787117,0.025219762336482772,0.00019478561509690405,5.6287301559479114e-05,0.022047651526068485,0.00014561981304841507,1.3464355188481686e-05,0.0,0.0,0.0,0.0020389969907472004,0.028154188961965462,0.0010286374857551657,0.00022492019958546782,6.305412472803244e-05,0.0,0.00015634930303588977,4.243847309449401e-05,0.0008893903372504207,0.0025652441002783142,0.00024164735474157878,7.926457556083988e-05,2.699620565037698e-05,0.01776205567574327,5.032270154899508e-05,2.7876370178351844e-05,2.1947295133421298e-05,0.00031827500338112277,4.0211503579281395e-05,4.065685884336646e-05,0.0014858097016463504,7.078765509081338e-05,2.1381648959499143e-05,3.6965367291348895e-05,0.0,0.001234673388441926,0.0,0.0,3.0420545158920438e-05,0.0,0.0,0.001390455777710761,0.0004366652234263785,7.995226919223922e-05,0.0,8.790286816122427e-05,4.13762861900758e-05,3.228136505522556e-05,0.0,0.00010003946852300213,0.002339968623922687,0.0001099067753340149,0.0,0.0018050936976837402,0.00011023846808398937,0.0006869173458375932,0.0,0.0013242505071182577,0.0,0.0003613605722237181,0.0022930698058842036,0.0,0.0003892909744793345,0.0011181493605321188,9.713823615549847e-05,0.0,0.0,0.0,2.610633864236258e-05,9.773393992953157e-05,0.0003171172702005697,0.0,1.64013180082442e-05,6.25565438342626e-05,0.0,0.0,0.00022258671972532964,0.00030815710319127804
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,6.877552635886553e-05,0.00021820555137238125,3.6116672856475646e-05,0.00028401975781426673,6.427544011231583e-05,9.6358279520567e-05,0.0,0.0,0.0,0.0015814883260551757,0.00018109773084517143,0.0008172056963680492,0.002397529399356845,0.0,0.0,0.0,0.0012912663051524223,0.0002082931685548815,0.00018579302663294126,0.00017464178129402542,0.009312147624100611,0.9879830796938787,0.01784765604206273,0.00012650149808709457,9.138801095517005e-05,0.017533790645226456,0.001040284054953703,5.2465715230736765e-05,0.00015580028367972505,3.606259161396435e-05,0.0,0.0018869927723343207,0.03295653885089961,0.001039170143947285,0.00030932913500957275,0.001924642833767911,0.0,0.00199017290143239,5.5122452654540775e-05,0.0008416534850393639,0.004189670104168418,0.00046254635077419657,8.579592790339919e-05,0.0001227268409435014,0.03957977213392954,0.0,1.810401957576571e-05,0.000570137730541586,0.0003968647697408531,0.00017409962710655057,0.0,0.0018309188250499782,9.194461727171727e-05,5.554436088318719e-05,4.801354902279582e-05,4.43511096642281e-05,0.0006934882857461167,0.0003494658881407491,2.3838657074523214e-05,0.0,0.0,2.0453951396785608e-05,0.0017894650548666814,0.004336147440185786,0.0,0.0,0.00011417521261018393,0.00010748560022198772,0.0010482398912647743,0.0,9.745439335728688e-05,0.0024896694421725116,0.0,0.0,0.0024932001022357504,0.0001193220501465448,0.0008922226958827156,0.0017898737115014573,0.0002965588832195118,0.0,0.00048674759644652725,0.0034409085242818015,0.0,0.0005056419740125198,0.0015897246270425481,7.57025043503051e-05,0.0,0.0,0.0,0.00028822634610437497,2.5388917572561262e-05,0.00046035552221583575,5.0935396164802026e-05,4.260666369256362e-05,0.0017334058143869025,0.0,0.0,0.14289423590368636,0.000266839247381334
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11905797706220606,0.0,0.0,0.0,0.0,0.0,0.0,0.13693690786895085,0.0,0.08611026113235783,0.0,0.0,0.0,0.0,0.0,0.05712786219469887,0.0746081022308708,0.0,0.0,0.0,0.0,0.42440010517444365,0.6018449001493208,0.04879823514724223,0.016946697274434534,0.0,0.0,0.0,0.0,0.3905810253365516,0.3253215676482815,0.016290483605870685,0.016921288138756273,0.0,0.0562677065198137,0.0,0.0,0.0,0.03261354824277191,0.0,0.0,0.11386254867689853,0.06800241280452225,0.0,0.0,0.0,0.08548420792457902,0.0,0.023508154469358344,0.0,0.0,0.0,0.29410927522620745,0.018042322624820757,0.0,0.0,0.056296135437103205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016282344462151994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15047488279376414,0.025036921930616508,0.0,0.0,0.02100797935843498,0.0,0.05690393969901237,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0019402154806666585,0.00641014690287973,0.006933275178154981,0.0012623304624666163,0.004254387997984347,0.003744200836949338,0.0,0.0,0.0,0.0,0.008431829490511593,0.047823872432598696,0.036618631494445074,0.0,0.0,0.0,0.0,0.0,0.009100188050107748,0.0021645792066233285,0.010681974291767262,0.0016690931244572988,0.3376923172085024,0.0,0.0,0.0012776577797338257,0.053319048033061416,0.004627565980567151,0.0067237623573882885,0.0015558421288963899,0.0,0.012246272089699788,0.052646815295665075,0.8497847284449593,0.05938115809350801,0.00840894835228171,0.027193882539226135,0.09834471652347923,0.06743007852676812,0.04431203513260954,0.03460825704022327,0.1671896684186148,0.005196429796968736,0.0017992157878734154,0.004902265515222912,0.17150873459009458,0.0,0.010124190783308418,0.01992714633278259,0.00462366776617275,0.005476532606052209,0.002460971980610392,0.014989418547875808,0.012050994948699236,0.0,0.0008390718295600468,0.000775068027387724,0.003029803547865141,0.023665289879289796,0.0016663917592326326,0.0013810236095602429,0.0,0.0014297909460585685,0.026060173778723033,0.0,0.0,0.0,0.007316082448499759,0.011270336111184396,0.0,0.0,0.0,0.0,0.0,0.0,0.06694274324038633,0.029193359404882803,0.0,0.0,0.0,0.041592020017606215,0.008506269680052927,0.025863393151501046,0.0,0.005680583180385837,0.03978599320582113,0.012347594400386446,0.0012529407419105741,0.0,0.0,0.018962695026498774,0.0017747594961617125,0.0,0.0,0.0014891651204119738,0.001893283273223952,0.24706259688469293,0.0,0.0,0.03847148826651277
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.008536757100322192,0.0035255019115495614,0.009151718460456553,0.0018513765860535888,0.007279567690018605,0.08896022135228789,0.004939421282954606,0.0,0.0,0.0,0.008244271031758272,0.0,0.07089208432406949,0.0,0.38943687427096557,0.0,0.0,0.0,0.007118210045350817,0.0010582150450974231,0.0011190389343147865,0.006119871187543715,0.0,0.0,0.010807654431045676,0.011243136890317931,0.06236164308303658,0.04363036013502368,0.01882611335609994,0.006845552194168146,0.0,0.02694119577334291,0.13321467494929076,0.2604257114999191,0.1217574755064557,0.01057101282495814,0.19836777825119828,0.214168146077235,0.009369022326718428,0.09748429602727769,0.3426140785207382,0.26380786359732067,0.030485039356114078,0.007036775407538249,0.008088557114226624,0.5069808843743251,0.0,0.017632571075836472,0.04383874101630458,0.13138628584870693,0.010709424133721763,0.006316353418369537,0.016910760487007737,0.0,0.0,0.0,0.013640892059600335,0.02332896532019783,0.014555099924851277,0.01099793952602083,0.003038183960004051,0.0,0.02830922729750915,0.01189089471079378,0.014068052669083909,0.0,0.0,0.005852735000651775,0.027549094067952723,0.007522734772812281,0.008702915743580642,0.0049956091688381395,0.00497232205641978,0.0018294489254501742,0.0,0.16335202755192332,0.022019641249590334,0.0,0.0,0.009121142054706667,0.0,0.03029784454857702,0.21621312885948699,0.0,0.016662671159414087,0.22032715657155416,0.00517411426080999,0.0,0.0,0.0,0.005214624452211801,0.0039043835288379803,0.0,0.0,0.005460149934334871,0.19992624019343305,0.004436943277262972,0.0,0.022230351167165374,0.0034196113302376514
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0016824434709009357,0.006551088053963563,0.0013252736181395216,0.005210943620934001,0.0031447173226122485,0.0,0.0,0.0,0.0,0.003934339086380732,0.0,0.03383118982827775,0.0,0.0,0.0,0.0,0.0,0.011464737168126713,0.0022725108853872238,0.0,0.0017523185487728988,0.3733423800279319,0.0,0.0,0.0013413651962286657,0.029760284314693224,0.040254558076789904,0.008984216231637115,0.001633420557234587,0.0,0.012856903801025627,0.01943628152586526,0.8334467718262183,0.05326311976812433,0.003152943175604426,0.024041972109668616,0.10220553217179457,0.0014903646665338005,0.046521551109974975,0.013928001448451686,0.108342027710162,0.011517246072582038,0.0031482157906964747,0.005790043707503713,0.18075852581401206,0.0,0.0086360705228318,0.020920766871171736,0.0012135540359172968,0.007027297559054017,0.0012918412958642246,0.007868415420291095,0.0,0.0,0.0,0.0065097198523009145,0.0031808776144759987,0.0064116914068067625,0.005248447458870979,0.0014498851213664724,0.0,0.001501084127022943,0.00547192067687051,0.0026854279424840945,0.0,0.0,0.002094785941648794,0.007230853090906385,0.0,0.0,0.0,0.0,0.0,0.0,0.0745217624517809,0.005254117368450245,0.0,0.0,0.004352800333713688,0.0,0.008930414919819288,0.09639318816769202,0.0,0.005963832172680015,0.10082372442366744,0.001851896901674566,0.0,0.0,0.0,0.002488528182067553,0.0018632537269280304,0.0,0.0,0.0007817094278463337,0.0019876874148831688,0.2731449110222469,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.008104578842741112,0.00841534915256809,0.001276807775379808,0.005737573835929517,0.0037871420229050583,0.0,0.0,0.0,0.0,0.00852853177061524,0.0,0.03703860027628215,0.0,0.16699941831828824,0.36443865210169185,0.0,0.0,0.012272740728648692,0.0021894041565325944,0.0,0.08356765645289385,0.0,0.0,0.0,0.0012923108773363636,0.053930549193462615,0.03945109367660319,0.00927392085833518,0.0015736856445313894,0.0,0.012386721138767522,0.026917889155659947,0.8420368304382063,0.0641440798810268,0.003645166377878007,0.027505761526979998,0.09846783062578102,0.06892134581125055,0.04482023739620824,0.021586521131893386,0.187767215651733,0.01168005819617225,0.06066168291764137,0.006198110273935545,0.13044298326525858,0.0,0.009600283386494738,0.020155685167504947,0.0046766953108988134,0.008001270936635189,0.0012445980879267156,0.008163791984857956,0.0,0.0,0.0,0.007055613580732998,0.003064551512310388,0.006177213014350459,0.005056509412423366,0.001396862180782743,0.0,0.001446188816142517,0.005271810115935077,0.002587220654101121,0.0,0.0,0.0020181786926448224,0.011399592425097343,0.0,0.0,0.0,0.0,0.0,0.0,0.09339378031455006,0.03627746579144935,0.0,0.0,0.004193616499031795,0.04206902719313617,0.00860382569374643,0.09875404956878762,0.0,0.005745732190630874,0.12211452779248591,0.008028774955625192,0.0,0.0,0.0,0.002397521605067614,0.001795113713488755,0.0,0.0,0.0015062439361964617,0.0019149968064030658,0.003059952101589639,0.0,0.0,0.022404285814723188
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.0007615466415265786,0.005032045042649315,0.0065312486939514205,0.0009909451128158543,0.004452996654444077,0.004114941913812636,0.0,0.0,0.0,0.0,0.0080900001329741,0.018771167325872026,0.04139435686198058,0.0,0.0,0.0,0.0,0.0,0.014763772319254471,0.003398443196744027,0.008385482672237503,0.0013102588614423507,0.009738098042510161,0.0,0.0,0.0015044658712478859,0.052982425116924865,0.0036326968484270404,0.011516153618001965,0.0018320331321129769,0.0,0.01442021384850578,0.07720691003391886,0.9540224234451301,0.02081832612830929,0.009901693559702315,0.03033597222103146,0.11541283018668638,0.05404783870774338,0.05217824804106531,0.02535671805733017,0.20229982129030985,0.005892267361269902,0.04095979634675237,0.005291466674461189,0.04748806420752136,0.0,0.010431245581136919,0.023464586561887917,0.004537045877056002,0.0057321949441984385,0.0024148670152875236,0.01493488613552623,0.0037840723658517823,0.0,0.0,0.0006084380411282372,0.0035676502007434903,0.007790584177054238,0.0013081382561437327,0.0016261810642312989,0.0,0.0016836055127472992,0.022730622811448907,0.0005019928826394991,0.0,0.0,0.006265326232589935,0.019660786706706103,0.0,0.0,0.0,0.0,0.0009792083822802498,0.0,0.06568860752489145,0.03797699178436815,0.0,0.0,0.0,0.03265025299955957,0.01192415623660864,0.03197735933261109,0.0,0.005945771262408139,0.038771378677864045,0.011077731626345774,0.0,0.0,0.0,0.005582231789054033,0.0013932082774176793,0.0,0.0,0.0035070394214314652,0.0022293763747623604,0.007124591435744186,0.0,0.0,0.019218561577386016
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.00527606146444371,0.0013722916838985295,0.003854155365349396,0.0032562856235610325,0.0,0.0,0.0,0.0,0.00407392159323043,0.0,0.035031452993769946,0.0,0.0,0.0,0.0,0.0,0.011871483185479315,0.0023531350408708264,0.0,0.0018144873172666056,0.3775974088383639,0.0,0.0,0.00138895415909632,0.03081611986877252,0.0,0.009302958311604928,0.0016913710620367476,0.0,0.01331304111493556,0.017610111788565454,0.8460939231751183,0.05139237162989608,0.0032648033134173985,0.02489493334737555,0.1058315806849567,0.001543239833545999,0.048172042992828984,0.008778693408698433,0.09275696342956853,0.0031383828950466144,0.0032599082103179525,0.0033308127303178607,0.1828354591358964,0.0,0.008942461087153127,0.021662993969797997,0.0012566085136356195,0.0033075509391131148,0.0013376732494832933,0.008147571112056695,0.0,0.0,0.0,0.0,0.003293728810486937,0.0066391654348606196,0.0,0.0015013241548206483,0.0,0.00155433959912179,0.005666053513057465,0.0,0.0,0.0,0.002169104770460732,0.00612604582555127,0.0,0.0,0.0,0.0,0.0,0.0,0.037641778540835606,0.005440522977491299,0.0,0.0,0.0,0.0,0.009247248236508071,0.02530471089390154,0.0,0.0061754170480089335,0.017897271283345943,0.001917598511598767,0.0,0.0,0.0,0.0025768162005613145,0.001929358254369997,0.0,0.0,0.0008094429198436412,0.002058206601488972,0.27625797701206456,0.0,0.0,0.0
