,__exception__,closesocket,cocreateinstance,coinitializeex,connect,copyfilea,couninitialize,createdirectoryw,createprocessinternalw,createthread,createtoolhelp32snapshot,deletefilew,drawtextexw,findfirstfileexw,findresourcea,findresourceexw,findwindowa,findwindowexa,getcursorpos,getfileattributesw,getfileinformationbyhandleex,getfilesize,getfilesizeex,getfiletype,getforegroundwindow,gethostbyname,getkeystate,getnativesysteminfo,getsystemdirectoryw,getsysteminfo,getsystemmetrics,getsystemtimeasfiletime,getsystemwindowsdirectoryw,gettemppathw,getvolumenameforvolumemountpointw,getvolumepathnamesforvolumenamew,globalmemorystatusex,ldrgetdllhandle,ldrgetprocedureaddress,ldrloaddll,ldrunloaddll,loadresource,loadstringa,loadstringw,lookupprivilegevaluew,ntallocatevirtualmemory,ntclose,ntcreatefile,ntcreatemutant,ntcreatesection,ntcreatethreadex,ntdelayexecution,ntduplicateobject,ntenumeratevaluekey,ntfreevirtualmemory,ntmapviewofsection,ntopenfile,ntopenkey,ntopenkeyex,ntopenprocess,ntopensection,ntprotectvirtualmemory,ntqueryattributesfile,ntquerydirectoryfile,ntqueryinformationfile,ntquerysysteminformation,ntqueryvaluekey,ntreadfile,ntresumethread,ntterminateprocess,ntunmapviewofsection,ntwritefile,process32firstw,process32nextw,readprocessmemory,regclosekey,regcreatekeyexa,regenumkeyexa,regenumkeyexw,regenumkeyw,regenumvaluew,regopenkeyexa,regopenkeyexw,regqueryvalueexa,regqueryvalueexw,regsetvalueexa,seterrormode,setfileattributesw,setfilepointer,setunhandledexceptionfilter,shellexecuteexw,shgetfolderpathw,shgetspecialfolderlocation,shutdown,sizeofresource,socket,timegettime,writeconsolew,writeprocessmemory,wsastartup
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.0,0.0002411334064900829,0.000502502224091975,0.0,0.0,0.0005745905288543062,0.00022345187233223019,2.8797852111176205e-05,0.0,0.0,0.0,0.0,0.0014612622388364756,0.0,5.306250737013067e-05,5.836003282375368e-05,0.0,0.0,0.0,0.0002507897962785603,6.423515583520986e-05,0.0002507897962785603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6425546277115217e-05,0.003957847049444275,7.880334028179609e-05,5.4024567450427084e-05,0.00041418681612505375,0.00022089963526669533,5.424077725497243e-05,0.0011534776726716772,0.007445174069062644,0.0008388928528521289,0.0001337197793976241,5.285109255423043e-05,0.0,0.0,0.0,0.00270018637011779,0.008913236561553869,0.001835078115614032,0.0,0.00036848368757271905,3.115248482580064e-05,0.0,0.0002364100208453883,0.0,0.002921549237183701,0.0004737647411649244,0.0008896271336224901,0.0013894162875363386,0.0012444297011662663,0.000867456161054619,0.0003476798302187233,0.0003492887909218329,0.0008132573676376432,0.004540733751326533,0.0009743860962768228,5.327477811879321e-05,0.00039323102477443545,0.00847621778764799,3.09010162150866e-05,8.74398627408923e-05,0.00048139120583144684,0.00029002882623995363,0.0,0.0,0.0,0.5213456926459465,3.1534269267385305e-05,0.0,0.0,0.0058532593555561,0.00029480873597414195,0.5999018106255988,0.015419186915138102,0.6022121764085996,0.07147281096353902,0.0,0.0009738497457279002,0.0,0.0005831633335209723,0.0,6.081040375516461e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.00012375543886586807,0.0,0.0,7.99113334513598e-05,0.0,3.138322955797659e-05,0.0002707416524617273,2.7074165246172728e-05,4.884939732735986e-05,0.00011206321956754195,0.00029643032942305067,4.2763471451548316e-05,0.0015393474791775524,7.082053940175406e-05,5.3709128676076295e-05,2.250229891887938e-05,0.0,0.0,0.007446733115522962,0.0,0.0,0.00016344180657980073,0.0,0.0,0.01704758172943465,0.993795111464129,0.0869362440770138,0.0,0.0,8.947180645851912e-05,0.033237950923732947,0.0002685456433803815,2.2278835618754607e-05,0.0,0.0,0.0,0.0,0.00355750579295394,0.04929368964361803,0.001800987307682932,0.0003856059137839956,8.965057565403357e-05,0.0,0.00023232858640059563,5.381852312832236e-05,0.0015564087844173486,0.004491351063604349,0.00042245381291328035,0.00013394009381621872,4.464669793873957e-05,0.0,0.027186537067085684,4.4557671237509213e-05,2.6745571907993618e-05,0.0005580837242342446,6.697004690810936e-05,6.859373519776513e-05,0.0026014261110975686,0.0001455799207753072,9.809692406186567e-05,0.0,0.0031317525942208364,0.0,0.0,4.591215632595467e-05,0.0,0.0024235508214498717,0.0009209107700266675,5.241696544181267e-05,0.00014832302703651879,6.804810243246981e-05,9.839437548805892e-05,0.00039524043923073424,0.009288150321922255,0.00019982446017337486,0.0031572863912466215,0.0001604734314479617,0.0025856712206676954,0.0,0.0024609852856826465,0.0,0.0007061979741394653,0.0035868925346194914,0.000735325123855593,0.001963159090860301,0.00015104646494575936,4.464669793873957e-05,0.00016066196190151649,0.0009342556631016288,0.0,0.0,2.7019061348808744e-05,0.0,0.0,8.007382618364884e-05,0.0,0.0004464119711945445,0.0,0.0004220491016043686,2.2592316900970207e-05
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,0.0,0.00012896993764008202,0.0003695487986988588,0.0,3.958126047574049e-05,0.0004780519540569344,0.00013658627258769554,9.241499744912651e-05,8.480204642913672e-05,0.0003738648395037841,0.00016180286027386382,0.0016845028516898294,0.00040194231615380666,0.0,0.0011068365278807202,0.0,0.0,0.004435107968257254,0.00033920818571654687,0.0001073077176907714,0.0003092049229785095,0.0,0.00036302417564710037,0.013481213615079785,0.9545359431495778,0.059739870248289195,2.9478006924465956e-05,5.653469761942448e-05,0.00014105490920426862,0.025666752719218713,0.001862828130019336,8.42957600102696e-05,0.00020226486398434299,0.0,0.0,0.0,0.003196851562456286,0.05602903001568122,0.001766681126620579,0.0005149431155165882,0.0026571307881129505,0.0,0.002871578628244258,6.78771755604854e-05,0.0014301704358357069,0.007122809621613128,0.0007851916118313685,0.00014077363972614154,0.00019708309561659819,0.0,0.058824352873011174,2.8098586670089862e-05,0.000674642771424954,0.0006757134706854794,0.0002815472794522831,0.0,0.003112723889760068,0.00018360878868760425,0.00012372212668516647,8.264718904814985e-05,0.0017080386397566028,0.0005353474583794644,3.7077961222968135e-05,0.0,2.849395656861234e-05,0.0030285962170638497,0.008879657013538914,0.0,0.0001870684582298058,0.00017164770517219609,0.0031024319838928137,0.0003738648395037841,0.00959586421393046,0.0,0.004234426192376309,0.0001686606928562385,0.003261108800189157,0.005337499205791706,0.0005351468953957405,0.0,0.0009236612438429827,0.005226337120636714,0.0009274091822805026,0.0027101965080460386,0.0001143019929528892,0.00047863037506888124,4.052612208580757e-05,0.0013169291335962717,4.052612208580757e-05,0.0,6.815413965484583e-05,0.0,0.0,0.0021544741467623653,0.0,0.278275195852497,0.0,0.00035486544160566073,2.849395656861234e-05
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.0,0.0216621796681039,0.0,0.0,0.021707662317385884,0.0,0.0,0.0,0.0353238847289806,0.0,0.0,0.0,0.0,0.15363484754011364,0.0,0.0,0.0,0.0,0.0,0.12965591280759373,0.0,0.0,0.0,0.10406934335617879,0.0,0.0,0.0,0.0,0.016206989100949216,0.0,0.04862096730284765,0.07767608912485403,0.0,0.0,0.0,0.0,0.0,0.41803075077904617,0.5948899145701811,0.04823431739758225,0.016402272138876767,0.0,0.0,0.0,0.0,0.385874539180658,0.3215621159838817,0.016078105799194085,0.016142418308140966,0.0,0.0,0.04862096730284765,0.0,0.0,0.03228483661628193,0.0,0.0,0.11254674059435858,0.07895360979368009,0.0,0.0,0.12241227416163011,0.0,0.02125852401197223,0.0,0.0,0.2894059043854935,0.021481524893350767,0.0,0.053627534794139405,0.0,0.0,0.0,0.0,0.0,0.016078105799194085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14528176477326868,0.02323551541284805,0.0,0.06970654623854415,0.0,0.01953797305163515,0.0,0.0,0.0,0.033332789612289054,0.0,0.027448827839201443,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0022962164742667424,0.0,0.007589357802824663,0.0074135618617341935,0.0,0.0008734487476323251,0.004521120877717252,0.0015070402925724175,0.004758466840952026,0.0031189103277625397,0.0,0.009521442148524063,0.005670352456112532,0.06701591323851204,0.001494816557737561,0.0313138658550644,0.0,0.0,0.0,0.00935673098328762,0.0,0.0022744319701731787,0.0,0.014019140967067667,0.001525605287040435,0.2059901427440538,0.0,0.0006504979356747003,0.001871346196657524,0.0012450764054608326,0.049278783178648124,0.0052318579520814635,0.006820637480076637,0.0012752643189061466,0.003910796090688156,0.010428789575168415,0.0012803680089891326,0.056312760653088476,0.9121429582709056,0.0637386192007485,0.008838174927581786,0.023703718490995302,0.07399341960800926,0.061427953688804056,0.034450807409648926,0.037129292738300096,0.17945824823511713,0.005569393910745014,0.0018638905053638335,0.0049703746809702225,0.0014707254206176774,0.16093577291254704,0.009920927243747837,0.014887496676905738,0.0049703746809702225,0.0055916715160915,0.002545440689088602,0.016089360186596707,0.015194014598628933,0.0013651022644137361,0.0009118972324502255,0.00471146002196357,0.022888917957850308,0.0016364157384432336,0.0012778135331776917,0.001257565341821202,0.027846969553725072,0.0,0.0021882801801162044,0.007568151336359746,0.011363367764033724,0.0,0.0,0.0,0.0,0.07178329929404685,0.02605311918458504,0.0,0.0,0.0,0.042914072696898994,0.0101913221935623,0.024802318109369594,0.006578148536909393,0.04282442714694573,0.011770865299660217,0.01988149872388089,0.0017885984507208198,0.0,0.004471496126802049,0.0021531686912180377,0.0015039730218791118,0.004006955157368897,0.0,0.0014857273387374078,0.15715865159284742,0.0,0.004225852542969736,0.03230245029515985,0.002515130683642404
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.01039195339010292,0.0025155085645764998,0.004293380732589304,0.010065434620625856,0.002520790211925078,0.0013176514171262857,0.007957121970751555,0.005683658550536825,0.0020509832327884454,0.07622211757172968,0.012445877914569782,0.0,0.005702718081364604,0.0,0.16236166757463955,0.06235535053149503,0.3241993524136422,0.0,0.0,0.007528110377454784,0.010716750647986061,0.001143707064201839,0.010716750647986061,0.0015106243262063353,0.005753674654332368,0.0,0.0,0.005887898030213658,0.008469124174636631,0.011269648238890574,0.059283869222456424,0.050738021117074865,0.01964331059955557,0.005771445118808311,0.011799355199616935,0.02359871039923387,0.0028972714072707,0.1465642957720434,0.28752740826617434,0.1344283986698997,0.011428228371112166,0.17785160766736927,0.16574420231577788,0.008779060851265875,0.07795675818561677,0.37807987125909287,0.2912615304514493,0.033607099667474924,0.007498117387862916,0.008435382061345779,0.003328020287281278,0.4893271745345609,0.017772519113883608,0.033688063232609755,0.145276024389844,0.011247176081794373,0.00671992053968876,0.018670610926374957,0.0,0.0,0.016507839992242396,0.037314525271674955,0.01448004888113814,0.011108854242170289,0.0028914910303188463,0.02561105302419102,0.01306942764846247,0.018708975970093484,0.0055019264881798445,0.006227467648161642,0.02857057092778041,0.014459098551618128,0.012445877914569782,0.012445877914569782,0.0020974497114576,0.18017139543951832,0.020212837939565857,0.0,0.0,0.010688953155311126,0.0,0.037337438490052104,0.2132702293666033,0.01984708722800643,0.24393313115148096,0.005073450792437252,0.005623588040897186,0.004047316954172734,0.0,0.0,0.0010827293473089866,0.005672090632022144,0.0036268436968606922,0.0030281765308350843,0.161374428875565,0.0029030637395091497,0.02811447585628381,0.0,0.0029533480389503457,0.0056913451164868935
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.0020242420456466595,0.0071184727965497,0.0,0.0009318689278382508,0.00562743273614358,0.003215675849224903,0.0007252477860651142,0.0026620136611648516,0.0,0.0,0.0026887160570559917,0.0,0.0015947966114207908,0.029399284661335946,0.0,0.0,0.0,0.011979061475241831,0.005052730844413467,0.0024265562086288593,0.005052730844413467,0.0,0.001627644629398657,0.23142883257024588,0.0,0.0013880123259008828,0.0026620136611648516,0.0013283527146596714,0.02795114344223094,0.04624910173120293,0.009261423038840635,0.0013605597315135103,0.005563156960500781,0.011126313921001562,0.001366004779340922,0.021126755631915243,0.9091107032858528,0.058098577987766915,0.003367611361668367,0.021296109289318813,0.07814503395961875,0.001379716452160178,0.03675503233706108,0.01518485561043908,0.11817778931602588,0.012544011156449675,0.0033142598073623753,0.005965667653252276,0.001569094150710686,0.17236538456042413,0.008599892821780591,0.015883239404842035,0.0013257039229449502,0.007291371576197227,0.0013578456047059016,0.008582744475465566,0.0,0.0,0.007783112161811849,0.005026583656020218,0.006301892057818189,0.005237599746342462,0.0013632794486995435,0.0013416769672475021,0.005941900021476162,0.003528361275038026,0.0023346421994218385,0.002202093636075677,0.007408744995670407,0.0,0.0,0.0,0.0,0.08120596696017421,0.00476497182145261,0.0,0.0,0.005039624889702988,0.0,0.010872963653005073,0.09393729082252646,0.007018124693483335,0.11028311101181831,0.0017940219579088827,0.0026514078458899004,0.001908227958565892,0.0,0.0,0.0007657274320823911,0.000802282750530716,0.004274958337870441,0.0,0.0015850994645790104,0.17656691131885044,0.0,0.0,0.0,0.0026833539344950042
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.0016524660756182727,0.00940123481751609,0.008816130718674048,0.001655935649600174,0.0008655801442910621,0.005973855512110194,0.002986927756055097,0.0013473141223096527,0.0030908131230980907,0.0,0.0,0.005619270175207955,0.0,0.0014813502626713961,0.03103176986470099,0.13242379538479773,0.27150498495120495,0.0,0.012363252492392363,0.00469330327765843,0.002253942384437905,0.00469330327765843,0.0,0.07483715052466394,0.0,0.0,0.001289275641069125,0.0024726504984784728,0.0012338599346711113,0.04883484734494984,0.043699832748806185,0.009217080916047919,0.0012637758954492017,0.005167420074575036,0.010334840149150072,0.001268833608120292,0.028209352447910407,0.8855283681474484,0.06745714715804663,0.0037536663467612726,0.023490179735545492,0.0725861628708984,0.06151535504952999,0.034140451777417966,0.0226901313167975,0.19746546713537286,0.012264935846917568,0.06156997827859194,0.0061569978278591935,0.0014574761544299101,0.11992354917620593,0.009217080916047919,0.01475338027177895,0.004925598262287355,0.008004097176216952,0.0012612548388890221,0.008585455092842299,0.0,0.0,0.00813314033781903,0.004669016077574683,0.00585360502293707,0.004865021473239692,0.0012663021447145127,0.0012462363624422355,0.005519221131112906,0.003277370207678523,0.002168566706619841,0.002045447026202019,0.011260999040283817,0.0,0.0,0.0,0.0,0.09811948677534055,0.031719767584324744,0.0,0.0,0.004681129619077834,0.0425274743799109,0.010099512030594494,0.09278528122154904,0.006518888229195679,0.12877931050461552,0.007498816437153915,0.0024627991311436774,0.0017724855742828264,0.0,0.0008862427871414132,0.000711257175069739,0.0014904242393349654,0.003970857858214218,0.0019892434709443546,0.001472342925360567,0.001907055460852319,0.0,0.0,0.018430833975104297,0.002492472724884471
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.0008448821177474645,0.002454177523862311,0.005584937452242035,0.006546685035305992,0.002459330398471597,0.0006427627672858019,0.004436067446388093,0.0011090168615970233,0.0035017112601271297,0.003213247730988694,0.0,0.0,0.0051000392163976045,0.024658192001612216,0.0016500322941223364,0.03318275681476136,0.0,0.0,0.0,0.0142300970943785,0.0,0.0033474664452028055,0.0,0.010316554769113145,0.0011226786674571327,0.005568473394755386,0.0,0.0014360860475718818,0.0027542123408474516,0.0013743601293589739,0.0459035390141242,0.0038500753529521186,0.010951076408063191,0.0014076826342637417,0.004316877420149477,0.011511673120398604,0.0014133162709882802,0.07741544828530819,0.9599515587378216,0.02094770953602457,0.009755895448257817,0.024787911067627066,0.08140159317670194,0.04615592537836671,0.03802804062496199,0.025501559435160345,0.2035570904913692,0.0059200048688765085,0.03977696831027032,0.005029271855321535,0.0016234396302639018,0.041772220502853015,0.009582191857055293,0.016433354426253412,0.0045720653230195765,0.005486478387623493,0.002341457506401372,0.01502770466714806,0.004472453316153419,0.0,0.0006710566477985286,0.005200679072268535,0.0070635041774345176,0.001204223042649063,0.0014104965486874976,0.0013881458666169537,0.022769249495678878,0.0006084276418542504,0.0026838915429228376,0.006075634703820227,0.018582657996681556,0.0,0.0,0.0,0.0010231557172530126,0.06603082353746875,0.03177115189075659,0.0,0.0,0.0,0.03158006488295301,0.013392319144557224,0.02874657557116588,0.006454397343347074,0.03912094621348348,0.009899508257342909,0.005486478387623493,0.001316212877818849,0.0,0.0032905321945471224,0.0015844967093398754,0.003320279057311565,0.003538417005905016,0.002954346045533729,0.0016399992871951841,0.004248425475571278,0.0,0.003109765377789921,0.015127045288917096,0.0027762917332339074
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.0,0.005741662647397021,0.0,0.0009663849157663098,0.004168478717674826,0.0016673914870699302,0.0007521106238321657,0.0027606133983684973,0.0,0.0,0.0027883048384767964,0.0,0.0016538671297556013,0.03048822037337675,0.0,0.0,0.0,0.012422760292658238,0.0,0.0025164347122485537,0.0,0.0,0.0016879318229096802,0.23441943289172487,0.0,0.0014394236513068394,0.0027606133983684973,0.0013775542760528165,0.02898644068286922,0.0,0.009604461803473378,0.0014109542257019407,0.004326910263393937,0.011538427369050497,0.0014166009555464946,0.01917062065583131,0.9242977816204381,0.05614253192064884,0.0034923461066881257,0.02208490718694798,0.08103948935802446,0.0014308205022945455,0.038116421492276724,0.009585310327915654,0.10133042346653692,0.0034233251171127336,0.0034370184358389626,0.0034370184358389626,0.0016272126619583523,0.17460879744680746,0.008918428817510995,0.01647154714123987,0.0013748073743355851,0.0034370184358389626,0.0014081395689106316,0.008900645304493108,0.0,0.0,0.0,0.005212765956564408,0.0065353111832913155,0.0,0.0014137746799366686,0.0013913720527058166,0.006161985210802921,0.0,0.0024211162512592756,0.002283658151308056,0.006286222992038627,0.0,0.0,0.0,0.0,0.04107990140535281,0.004941464142371961,0.0,0.0,0.0,0.0,0.011275693125979291,0.024697187494645834,0.007278072739781891,0.019605933549873944,0.0018604716896168639,0.0027496147486711702,0.001978907826961802,0.0,0.0,0.0007940896169480797,0.0008319989272428714,0.004433300789233412,0.0,0.0016438108051439345,0.17884856765306037,0.0,0.0,0.0,0.002782744105411633
