,drawtextexw drawtextexw,findfirstfileexw findfirstfileexw,findfirstfileexw ntclose,findresourcea loadresource,findresourceexw findresourceexw,findresourceexw loadresource,findwindowa findwindowexa,findwindowexa findwindowexa,findwindowexa ntdelayexecution,getcursorpos getcursorpos,getfileattributesw getfileattributesw,getforegroundwindow findwindowa,getforegroundwindow getforegroundwindow,gethostbyname gethostbyname,gethostbyname ntdelayexecution,getkeystate getkeystate,getkeystate getsystemmetrics,getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics,getsystemmetrics ldrloaddll,getsystemtimeasfiletime getsystemtimeasfiletime,getsystemwindowsdirectoryw getsystemwindowsdirectoryw,getvolumenameforvolumemountpointw ntclose,getvolumepathnamesforvolumenamew getvolumepathnamesforvolumenamew,getvolumepathnamesforvolumenamew ntclose,ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress getsystemmetrics,ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ntallocatevirtualmemory,ldrgetprocedureaddress regopenkeyexw,ldrloaddll ldrgetprocedureaddress,ldrloaddll ldrloaddll,loadresource findresourceexw,loadresource sizeofresource,loadstringa loadstringa,loadstringw loadstringw,lookupprivilegevaluew ntclose,ntallocatevirtualmemory getsystemmetrics,ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory,ntallocatevirtualmemory writeprocessmemory,ntclose findfirstfileexw,ntclose getsystemtimeasfiletime,ntclose ldrgetprocedureaddress,ntclose ldrunloaddll,ntclose lookupprivilegevaluew,ntclose ntallocatevirtualmemory,ntclose ntclose,ntclose ntdelayexecution,ntclose ntopenkey,ntclose ntquerydirectoryfile,ntclose ntunmapviewofsection,ntclose regopenkeyexw,ntcreatefile ntclose,ntcreatefile ntcreatesection,ntcreatemutant ntclose,ntcreatesection ntmapviewofsection,ntdelayexecution getforegroundwindow,ntdelayexecution gethostbyname,ntdelayexecution ntcreatemutant,ntdelayexecution ntdelayexecution,ntdelayexecution socket,ntdelayexecution timegettime,ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntallocatevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory,ntopenfile ntqueryinformationfile,ntopenkey ntopenkey,ntopenkey ntqueryvaluekey,ntqueryattributesfile ntqueryattributesfile,ntquerydirectoryfile ntclose,ntqueryvaluekey ntclose,ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile,ntunmapviewofsection ntclose,process32nextw process32nextw,regclosekey ntclose,regclosekey regclosekey,regclosekey regcreatekeyexa,regclosekey regopenkeyexa,regclosekey regopenkeyexw,regclosekey regqueryvalueexw,regcreatekeyexa regclosekey,regenumkeyw regenumkeyw,regenumvaluew regenumvaluew,regopenkeyexa regqueryvalueexa,regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw,regopenkeyexw regqueryvalueexw,regqueryvalueexa regclosekey,regqueryvalueexw regclosekey,regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw,sizeofresource findresourcea,socket gethostbyname,timegettime ntdelayexecution,writeprocessmemory ntallocatevirtualmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,8.612472930236068e-05,0.0008028281922379876,0.0,0.0,3.23838614603701e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001255903419901312,0.0,4.9547729895656995e-05,8.2579549826095e-05,4.9547729895656995e-05,1.5874431516270278e-05,0.0006349772606508112,0.0,0.0003651119248742164,0.003079639714156434,0.00027255058515337317,3.1748863032540555e-05,0.00019976570194586582,0.0004603585139718381,4.614808864018175e-05,1.6353093855718337e-05,0.0,0.0,0.0,0.0,0.0,0.0005222458167798279,0.0,0.0,0.0005744846373884734,0.0006591736550258441,6.541237542287335e-05,6.873762342183202e-05,0.0,0.00019238864834355754,0.0008730937333948653,0.0,0.00038098635639048666,0.0010942564521685208,0.0002655738847843832,0.00051303639558282,0.0008921782587451076,0.0001295354458414804,0.0,0.0001943031687622206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039686078790675695,0.001085903350556785,0.00047896138899135093,0.00019049317819524333,0.00023811647274405416,0.0,0.0009252426272476357,0.00023811647274405416,0.0,0.010464338729485304,0.00019238864834355754,0.0,0.00043823789461205665,0.0008978136922699351,0.0,0.8967958065446519,0.0023727933295705425,0.002322139327512004,0.0,0.005468800140032521,7.571002907016852e-05,0.3117818370280969,0.004582316396642369,0.0035912547690797403,0.0009138460796318981,0.3118139018028208,0.0012024290521472345,0.002088759064193871,0.033315300938159376,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.00039031092074868405,0.0,0.0,0.0,0.0,7.07528921697385e-06,0.0,0.0,0.0,0.0004693356634228442,0.0,0.0,0.0034916687340128694,0.99926981770698,0.00998372955492584,0.012369513612220582,0.009264409372115825,0.008017277341254082,0.007846495741624,1.41505784339477e-05,1.1676265056800001e-05,0.0,0.0,0.0,0.0,0.0001317945169159017,0.0008878788508018641,1.429142337001623e-05,0.0007699574409297415,0.013893916704344795,0.0002802229809765229,9.017519578456432e-05,8.729040041308548e-06,0.00047168563948849027,8.066019534808122e-05,0.0,7.288738474273104e-06,0.0,6.060761338754475e-05,0.0,1.41505784339477e-05,0.0001472274641249271,6.305017071971766e-05,9.188582449907382e-06,0.0,0.0,1.429142337001623e-05,1.501793003876503e-05,0.0,1.4011149048826145e-05,0.00031214490848503035,8.640675107186676e-06,0.0006797822451451771,0.0,7.736413380367468e-06,4.903902167089151e-05,0.0,1.41505784339477e-05,0.0,1.41505784339477e-05,0.00059355866694785,0.027757846145395067,0.0,0.003034612372659604,0.0,0.0,0.0,7.630208874078519e-05,6.470462239015173e-05,0.0,4.161932113133738e-05,0.0007283381197984041,0.0,0.0,0.0007422112268421833,2.362725408182796e-05,0.0002297757926067133,7.005574524413072e-06,0.002386885368624907,0.0,7.005574524413072e-06,7.288738474273104e-06,0.0,0.000385306598842719,0.0,0.0,2.2977579260671328e-05,0.0,0.0001821449376347399,0.00014150578433947701,0.0002802229809765229,0.00039931774789154513,0.00018915051215915297,0.00042033447146478433,0.0,9.807804334178302e-05,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0004620359154230854,0.0,7.791624622138064e-05,0.0,4.648425886882894e-05,0.00030077793764549506,0.0,0.0,0.0,0.0,2.7615606395153443e-05,0.0,4.836574987235574e-05,0.9921719268583891,0.00037334742283298586,0.00862303089537136,0.0062951404255182555,0.004983652836868619,0.005322858048029367,3.645793183581758e-05,0.00048132870613006506,0.0,0.0,0.0,0.0,8.042185589490379e-05,0.0008131543207151382,3.682080852687126e-05,0.0005718887530304269,0.01620053608194006,0.00027976494211504445,7.148609412880336e-05,6.746920240122649e-05,0.0004914668971355231,0.0,0.00021171964902950974,0.0005915354237067406,0.0,0.0011320953979008007,0.0,4.557241479477198e-05,0.000104313222320382,2.707402665629463e-05,0.0,6.159600082418272e-05,1.1595334015905365e-05,2.7615606395153443e-05,1.9346299948942295e-05,0.0,2.707402665629463e-05,0.0006523106089253306,1.1131034167391756e-05,0.0007952827971829374,0.0,2.989845605871011e-05,0.00010829610662517852,3.0436947252852144e-05,6.380138071268076e-05,0.0,6.380138071268076e-05,0.0,0.0014675468440073969,0.0,0.0011169224489603483,0.0,0.08690760435656598,0.00016734333192778417,1.787152353220084e-05,8.335336691619465e-05,0.0,1.787152353220084e-05,0.0009203834619083433,7.586416168755053e-05,1.1836855793217787e-05,0.0009382549854405441,3.0436947252852144e-05,0.006482405998249513,5.414805331258926e-05,0.0024940189731099596,4.933706657926139e-05,0.00027976494211504445,1.877890233989653e-05,2.5976887778746472e-05,0.0004061103998444194,2.7615606395153443e-05,0.0,0.0,0.0,0.0002256168888024552,0.00011848827846640713,0.0004692831287091069,0.0005956285864384817,0.00024366623990665164,0.0004512337776049104,0.00016406069326117912,9.92714310730803e-05,0.0,0.0,0.08690760435656598,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.0,0.0,0.1966418213233418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023231710979600435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023002757658229435,0.023002757658229435,0.0,0.0,0.0,0.0,0.0,0.022551708453779414,0.5412410028907059,0.0,0.45103416907558824,0.22551708453779412,0.0,0.04510341690755883,0.0,0.06765512536133823,0.0,0.0,0.0,0.0,0.0,0.0,0.023002757658229435,0.3111271388531881,0.04555221082839741,0.0,0.15545345644459008,0.029263827639510315,0.0,0.02441269852129869,0.0,0.0,0.06765512536133823,0.028092046755810427,0.06765512536133823,0.0,0.0,0.0,0.0,0.0,0.0366721555837445,0.0,0.0,0.0,0.03886336411114752,0.0,0.024171501479308913,0.0,0.0,0.04510341690755883,0.0,0.0,0.04510341690755883,0.06765512536133823,0.0,0.029873370379095387,0.09020683381511765,0.4993008610946952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.004256251661073487,0.017714893245208398,0.06345003254931131,0.0015148457243897137,0.005823664968264484,0.02569242081255925,0.0,0.0,0.0,0.0,0.003603909049321388,0.0,0.0007574228621948569,0.0,0.24395010786398877,0.0,0.0,0.0,0.04067966628655214,0.004282070135426541,0.0,0.0014704175988897305,0.004367748726198363,0.007279581210330606,0.004367748726198363,0.002798736821256068,0.056674420630435374,0.00864938171837133,0.03638357867632888,0.8913976775700576,0.055118410982670944,0.005597473642512136,0.0008804907833816387,0.06786936791545965,0.0,0.021623454295928327,0.0014704175988897305,0.0676392095489276,0.0947582888196502,0.03484145166096342,0.004282070135426541,0.002227606207713356,0.001413292589299255,0.030585866257866988,0.0506421696505206,0.0018158657937922826,0.005766254478914221,0.004544537173169141,0.03408402879876856,0.0021199388839488824,0.06646999950483161,0.0,0.00699684205314017,0.0,0.007023288449872338,0.007773109241145902,0.0,0.005709426847235388,0.0,0.005709426847235388,0.0,0.0,0.0,0.0,0.18373518664550736,0.0,0.013103246178595089,0.002099052615942051,0.004351133182045931,0.001455916242066121,0.004198105231884102,0.010495263079710255,0.004455212415426712,0.0018536888641131509,0.011894631490338288,0.030982391149979468,0.0,0.01130634071439404,0.0,0.0023179019624042637,0.027559205491335472,0.015439384788342171,0.0,0.00565317035719702,0.00864938171837133,0.018748488433215037,0.0,0.0389317648204468,0.00282658517859851,0.009277818626757505,0.010599694419744411,0.0049465240625473925,0.0035332314732481373,0.013426279598342921,0.0007136783559044235,0.024025974018087336,0.0,0.24861314486015756,0.0,0.031898608672506025
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0,0.0,0.0,0.10754893331615228,0.008613761581505525,0.031667971477453795,0.0,0.0,0.0,0.0,0.0021322114841050613,0.0,0.0007468675924732799,0.0,0.0,0.0,0.0,0.0,0.031667971477453795,0.0021111980984969197,0.020904509621732934,0.006524667897848106,0.005742507721003685,0.01076720197688191,0.006460321186129145,0.05588461902036138,0.04415574836176702,0.006396634452315185,0.009659069954136535,0.11521890588148581,0.002090395906267305,0.004139601408915658,0.011286866078686852,0.02069800704457829,0.18452305641437056,0.027718749293365798,0.1043946863655697,0.10004490776700431,0.0,0.051533863880656304,0.004222396196993839,0.17206408624476188,0.07316385671935567,0.0009139281425456547,0.0,0.008057521387463667,0.007107371613683538,0.005228073147312959,0.05078699628818303,0.0034839931771121742,0.06830342324710835,0.004297156930409431,0.004139601408915658,0.010700664020162983,0.015389807838652758,0.010451979531336524,0.014100289715532949,0.0021111980984969197,0.0,0.0021111980984969197,0.0039358263216541555,0.0,0.0,0.8418472164622898,0.0022184656604716147,0.0,0.019380963558387435,0.0786524267693975,0.019307235586402807,0.0021534403953763813,0.002069800704457829,0.009659069954136535,0.006589688409373859,0.008225353282910892,0.009659069954136535,0.0,0.015998005692247776,0.01254237543760383,0.0,0.0053330671731744795,0.03274953586485444,0.007249630997609007,0.006017056187425128,0.029265542687742264,0.019189903356945554,0.008873862641886459,0.0,0.0,0.00836158362506922,0.023223179083466116,0.07734464853189027,0.0459887099378807,0.009058382260491655,0.05016950175041532,0.014778386689478437,0.0857062321569595,0.35694310759022413,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.0,0.0015463040060953467,0.005944603021678932,0.021854972087863477,0.0,0.0,0.0,0.0,0.005886000308382849,0.0,0.0007731520030476734,0.0,0.2634220282727125,0.0,0.0,0.0,0.021854972087863477,0.0014569981391908985,0.043280398425776946,0.0045028597708436,0.004458452266259199,0.007430753777098665,0.004458452266259199,0.0028568572291137535,0.017141143374682522,0.004414500231287137,0.006427928765505945,0.8891968125616558,0.04904982636364291,0.0021426429218353153,0.006291429434869336,0.05999400181138883,0.0,0.019129501002244264,0.0015009532569478666,0.06904384981960186,0.0,0.03556499214019298,0.002913996278381797,0.0,0.0014426419518718504,0.0,0.0,0.005560725768170997,0.0036787501927392813,0.0030926080121906935,0.03556499214019298,0.0021639629278077757,0.03642492967120036,0.0008896772390817331,0.0028568572291137535,0.007384834031720882,0.005575996745486851,0.007213209759359251,0.009731012874732393,0.0036424953479772468,0.0,0.0036424953479772468,0.0,0.0,0.0,0.0,0.1975024248313233,0.0,0.013375356798777596,0.0014284286145568768,0.0,0.001486150755419733,0.0014284286145568768,0.006427928765505945,0.004547732283929752,0.005676551355328158,0.006427928765505945,0.0,0.0,0.0057705678074874015,0.0,0.003943395062717183,0.030295480989308857,0.0015009532569478666,0.0,0.017311703422462205,0.013243500693861413,0.0015310265490800256,0.0,0.0,0.0028852839037437007,0.016026979531099883,0.05337775221925846,0.027410197085565153,0.0036066048796796254,0.030295480989308857,0.010198986974336289,0.05914832002674587,0.0,0.26833692732504166,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0043426091576520215,0.0,0.0,0.0015455812858362842,0.005941824599700513,0.02621370886577912,0.1446391264199407,0.1446391264199407,0.13718350134674787,0.0,0.0066186554360287645,0.1446391264199407,0.0007727906429181421,0.0,0.0,0.0,0.0,0.0,0.04150503903748361,0.0043689514776298535,0.05047019808816518,0.004500755198930653,0.004456368449775385,0.0074272807496256425,0.004456368449775385,0.0028555219751219183,0.027127458763658224,0.008824873914705019,0.01641925135695103,0.9030588246323067,0.05839969111154069,0.003569402468902398,0.008983555587446006,0.07495745184695035,0.0,0.022062184786762546,0.0015002517329768842,0.06901157971693667,0.09668089332101722,0.03554836957423454,0.0043689514776298535,0.0022728033696246914,0.0014419676817664367,0.017967344353340714,0.0,0.006484481225718213,0.007354061595587515,0.0030911625716725684,0.03554836957423454,0.002162951522649655,0.05996596147756029,0.08270131175610637,0.0028555219751219183,0.007381382466476596,0.007961986578259934,0.009372789931481839,0.009726464739231194,0.0043689514776298535,0.10912150799744334,0.0043689514776298535,0.13167539961353344,0.0,0.11441142823038725,0.0,0.0022954664539270595,0.0,0.013369105349326154,0.0021416414813414386,0.004439415783452661,0.0014854561499251283,0.0014277609875609591,0.006424924444024317,0.004545606739249383,0.005673898216844437,0.006424924444024317,0.0,0.0,0.010093773772365058,0.0,0.003941551976564603,0.031002305157978388,0.019503272528699492,0.0,0.01802459602208046,0.013237310872057529,0.024484975508555305,0.0,0.03972167341021052,0.0028839353635328733,0.01674764733091444,0.05479477190712459,0.030281321317095173,0.0036049192044160915,0.033165256680628044,0.010194220114469658,0.08075019017892046,0.0,0.0,0.0,0.019078582719546298
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.00314824415809031,0.013103268700130068,0.016245837994915028,0.001680740913126069,0.006461431562903523,0.02692240228633724,0.0,0.0,0.0,0.0,0.00639773388284277,0.0,0.000560246971042023,0.0,0.004473814845263234,0.0,0.0,0.0,0.03800809734541728,0.0036952316863600133,0.0,0.00489434200072793,0.004846073672177643,0.008076789453629406,0.004846073672177643,0.0025876955679499736,0.08125364083362917,0.007997167353553464,0.06520992831233934,0.9745261508899601,0.008363020783994729,0.0036227737951299633,0.0006512772706523813,0.020184025430009796,0.0,0.022925213080186597,0.0016314473335759768,0.07504657734449494,0.07009036423655857,0.03865704100189958,0.004223121927268587,0.0021969403404404563,0.0015680663969990117,0.013711278378425118,0.012486253747118141,0.002014726571316294,0.004798300412132079,0.006722963652504276,0.03809679403085756,0.003658821592997694,0.07142039767541927,0.04899600881730829,0.0062104693630799365,0.0,0.010967122750731528,0.007840331984995058,0.0,0.0058067926499943065,0.06564395973747407,0.0058067926499943065,0.0,0.0,0.06867439560914977,0.0,0.004992405665336573,0.0,0.014538221016532928,0.0015526173407699841,0.00321842567410454,0.0016153578907258808,0.0036227737951299633,0.010350782271799894,0.004943115765991027,0.001371127837842512,0.011385860498979885,0.022916908986765783,0.0,0.015680663969990117,0.0,0.0022859930578211477,0.012544531175992094,0.021752631114346357,0.0,0.0067949543869957165,0.009596600824264157,0.025516740067275823,0.0,0.028796864217658695,0.0031361327939980234,0.010029914577262893,0.012021842376992423,0.0067949543869957165,0.003658821592997694,0.016203352768989786,0.0015836707227257201,0.01881679676398814,0.0,0.006782938474505668,0.0,0.01383132453576136
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.0,0.0015684139032870659,0.0060296021946338,0.022167466386582093,0.0,0.0,0.0,0.0,0.0059701615478129876,0.0,0.0007842069516435329,0.0,0.2609263476171407,0.0,0.0,0.0,0.022167466386582093,0.0014778310924388062,0.0,0.004567244113255981,0.00452220164597535,0.00753700274329225,0.00452220164597535,0.0014488530651752987,0.015937383716928287,0.004477621160859741,0.006519838793288844,0.8975644738760975,0.04975116750606827,0.0014488530651752987,0.0,0.05650526954183665,0.0,0.01940302503039221,0.0015224147044186603,0.07003107640325838,0.0,0.03607351977560252,0.0029556621848776123,0.0007687930396638806,0.0014632696325314195,0.0,0.0,0.0,0.0014925403869532469,0.0023526208549305987,0.03607351977560252,0.0014632696325314195,0.03404804703161952,0.0,0.0028977061303505974,0.0,0.004039803846476778,0.005853078530125678,0.0,0.003694577731097016,0.0,0.003694577731097016,0.0,0.0,0.0,0.0,0.19566766810928357,0.0,0.013566604937926049,0.0014488530651752987,0.0,0.00150740054865845,0.0014488530651752987,0.006519838793288844,0.004612758237983283,0.0,0.006519838793288844,0.0,0.0,0.005853078530125678,0.0,0.0015999119495620929,0.012437791876517067,0.0015224147044186603,0.0,0.005853078530125678,0.008955242321719481,0.0015529180008673298,0.0,0.0,0.002926539265062839,0.008866986554632838,0.010242887427719937,0.004389808897594259,0.0036581740813285486,0.013169426692782777,0.0014778310924388062,0.002926539265062839,0.0,0.2658441327094738,0.0,0.0
