,findfirstfileexw ntclose,findresourceexw loadresource,findwindowa findwindowexa,findwindowexa findwindowexa,findwindowexa ntdelayexecution,getasynckeystate getasynckeystate,getasynckeystate getkeystate,getfiletype getfiletype,getforegroundwindow findwindowa,gethostbyname gethostbyname,gethostbyname ntdelayexecution,gethostbyname socket,getkeystate getasynckeystate,getkeystate getkeystate,getsysteminfo getsysteminfo,getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime,getusernamew getusernamew,ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress getsystemmetrics,ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ntclose,ldrloaddll ldrgetprocedureaddress,loadresource findresourceexw,loadstringa loadstringa,loadstringw loadstringw,lookupprivilegevaluew ntclose,ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntreadfile,ntclose findfirstfileexw,ntclose ldrgetdllhandle,ntclose ldrunloaddll,ntclose lookupprivilegevaluew,ntclose ntclose,ntclose ntcreatefile,ntclose ntdelayexecution,ntclose ntopenkey,ntclose outputdebugstringa,ntclose seterrormode,ntcreatefile getfiletype,ntcreatefile ntclose,ntcreatefile ntcreatesection,ntcreatefile ntqueryinformationfile,ntcreatefile setfilepointer,ntcreatemutant ntclose,ntcreatesection ntmapviewofsection,ntdelayexecution getforegroundwindow,ntdelayexecution ntcreatemutant,ntdelayexecution ntdelayexecution,ntdelayexecution socket,ntdelayexecution timegettime,ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntclose,ntfreevirtualmemory ntfreevirtualmemory,ntopenfile ntopenfile,ntopenkey ntqueryvaluekey,ntprotectvirtualmemory ntprotectvirtualmemory,ntqueryattributesfile ntqueryattributesfile,ntqueryinformationfile ntallocatevirtualmemory,ntqueryvaluekey ntclose,ntqueryvaluekey ntqueryvaluekey,ntreadfile ntclose,ntreadfile ntreadfile,ntreadfile ntwritefile,ntreadfile setfilepointer,ntsetinformationfile ntfreevirtualmemory,ntunmapviewofsection ntclose,ntwritefile ntreadfile,ntwritefile ntsetinformationfile,ntwritefile setfilepointer,outputdebugstringa getsystemdirectorya,outputdebugstringa ntcreatefile,outputdebugstringa outputdebugstringa,process32nextw process32nextw,readprocessmemory readprocessmemory,regclosekey regclosekey,regclosekey regopenkeyexa,regclosekey regopenkeyexw,regclosekey regqueryvalueexw,regenumkeyexa regopenkeyexa,regopenkeyexa regqueryinfokeya,regopenkeyexa regqueryvalueexa,regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw,regopenkeyexw regqueryvalueexw,regqueryinfokeya regenumkeyexa,regqueryvalueexa regclosekey,regqueryvalueexa regqueryvalueexa,regqueryvalueexw regclosekey,regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw,seterrormode ldrgetprocedureaddress,seterrormode ntqueryattributesfile,setfilepointer ntreadfile,setfilepointer ntwritefile,socket gethostbyname,timegettime ntdelayexecution
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0007267364855876549,4.012930318113556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00138174438610795,0.0,1.800646901457558e-05,0.000658226680854025,0.0,0.00038113645892817115,0.003176492996601994,0.00028058602156158855,9.316419780075365e-05,0.0004743624565329705,2.0755466676723365e-05,0.0,0.0,0.0,0.0005173111010534293,0.0007116508851435879,0.0005170353213895178,9.439409511932002e-05,7.453135824060291e-05,0.0,0.0008996529348039095,0.00013857728303716716,0.0,0.0004865022186090216,0.0,0.0003927952417838457,0.0,0.0007992424044337212,0.0001437628808984166,0.00019524872079050234,0.00015567762483531842,0.0,0.00021349202003497714,0.0,0.0,0.0,0.0,0.0,0.0,0.0008670210089254756,0.001196644932153073,0.0,0.00024535989131015714,0.00010765453229593613,0.0,0.0011026457800271284,0.00024535989131015714,0.0,9.805104019550673e-05,0.0058939603750400756,0.00011754338702922647,0.00010565258582330006,0.0,0.00026288317261961597,3.847123225357591e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012267881388915412,0.8597634633954334,0.0035533938630847904,0.0034316715685884084,0.0,0.0,0.3590827755342493,0.00684663674909939,0.005343213737863528,0.0012792672379261037,0.0,0.35948142596569055,0.0,0.0016814696826061145,0.003151759995483053,0.049675413909685745,0.0,0.0010862931226793277,0.00023255428022595748,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,5.6463616763652315e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998660065940315,0.01000360857130485,0.0,0.0,0.0064685223683951815,0.0,0.005933556773202479,8.27307423411813e-06,0.0,9.62762640617539e-05,0.0005927376731536992,1.1200890389651645e-05,0.0005176219778832222,0.009229202859390877,0.00018578650787553683,1.0486875462492887e-05,0.00031301005919159435,0.0,0.0,4.560060878124667e-05,0.0,9.391980243856496e-05,4.833971731901238e-05,0.0,4.2501267365735175e-05,1.0486875462492887e-05,0.0,0.00020713900975914332,1.2998937569785743e-05,7.844570721852498e-06,0.0005590320787150137,0.0,0.0,0.0,0.0,1.011402088798628e-05,1.09889263658989e-05,3.285674451298181e-05,0.0,1.001307494005998e-05,0.0004953319040488302,0.0,0.0013838412684894512,0.0,0.0,0.0,2.502430794672865e-05,4.59199017551347e-05,0.0,0.0004833243561046677,0.0003711124102037573,0.0,0.0,0.0004925305343161852,1.4057270360209241e-05,4.1388580797578885e-05,8.33472367043629e-05,0.0,6.937356080105955e-05,0.0,6.164794607989762e-06,1.0826128251399665e-05,0.0,0.0,0.0,0.0,0.0,0.00103635085415481,6.422218285531894e-05,6.164794607989762e-06,0.0,0.0003716048662051781,0.0,0.00032858111425293344,0.0,0.0001350990756596707,0.0001361626256467307,0.0002685045135036969,0.00035999655779974375,0.0,0.00014043650540310218,0.0,0.0003785437662042558,0.0,9.418051422395485e-05,0.0,0.0,0.00010283857563259581,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,4.557415260901149e-05,0.0002408325556136723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9960719015212418,0.0003753373303670294,0.0,0.0,0.004524359692009609,0.0,0.004038582547046291,0.00034217593340105605,0.0,5.894414858413189e-05,0.0005446612954407468,2.8954435615028317e-05,0.0003857467397079404,0.010797261203393844,0.00018610088360384466,2.0331523866761147e-05,0.00032722361070659106,0.0001736320809477222,0.0,0.0008546163632065771,0.0,6.676554844951488e-05,5.35537488821347e-05,3.582040906216308e-05,6.179978499587055e-05,1.355434924450743e-05,0.0,0.0004343149742105663,3.3602409079537424e-05,1.0139154566821826e-05,0.0006561954603267453,0.0,7.143414549794891e-06,8.575552219428688e-05,1.7618308281840204e-05,4.5753513670789213e-05,0.0,2.8311692506145317e-05,0.0,4.529685732613573e-05,0.0,0.0,0.0005110351755978708,0.0,0.061951890680009836,0.00016910089056340545,3.2344067661067904e-05,5.9351747609540906e-05,0.0,0.0006128005800505251,0.00016641439100241007,7.164081812432616e-05,0.0,0.0006246996204398557,1.8169105999991084e-05,3.566332545039054e-05,0.0023592169602685044,1.425104060703485e-05,5.123756695667483e-05,0.0,4.780820336974962e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0010864749595421795,0.0,0.00024700905074370635,1.6091953396254934e-05,0.00039297396410713963,2.636988637094921e-05,0.0004246930550155447,0.0,0.00016790034918579396,0.000114394155116344,0.0004511567960927884,0.000538765762129528,0.0,0.00018151502301328037,0.0,0.0004077250678570212,0.00015995785256755628,9.564411828200541e-05,2.919182492286937e-05,0.0,6.041794270793401e-05,1.5326178121188113e-05,0.0,0.061951890680009836
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.1783507387686162,0.0,0.0,0.0,0.0,0.0,0.0,0.0439519815798395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02706278126427966,0.0,0.0,0.025630347818367698,0.5621505946544739,0.0,0.4717464016468394,0.23306234616683666,0.0,0.026521921559631272,0.06984888986136906,0.0,0.0,0.0,0.0,0.308787277459803,0.0,0.14018025686708188,0.0,0.026521921559631272,0.0,0.06984888986136906,0.0,0.03967875657493403,0.08656070401187069,0.0,0.0,0.04194965748473208,0.0,0.0,0.0,0.0,0.046329858864235254,0.0,0.0,0.06054704525684171,0.0,0.045110576980015,0.0,0.0,0.0,0.0,0.0,0.06984888986136906,0.0,0.0,0.0,0.09313185314849207,0.46217156875779725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.05029594613681041,0.027879488129886065,0.0,0.0,0.0,0.0,0.0,0.004767197906708005,0.0,0.0,0.3323687390508785,0.0,0.0,0.0,0.0,0.041828473282994466,0.0,0.0,0.002779964317330485,0.0514459488853138,0.00921759026907485,0.033258807576689885,0.8051304878559329,0.04968924348441616,0.0028766677723341414,0.061239934559848906,0.024032803170957878,0.08245205011517272,0.09694288510002115,0.04318873498540586,0.0019322442835235914,0.0,0.03991176013184163,0.003643304747671465,0.0043150016585012125,0.042249849442244865,0.05997725549675924,0.0,0.0,0.007823917377858,0.0,0.0068222778697141625,0.0,0.0,0.00554877914613248,0.0,0.0,0.0,0.0054933979305958015,0.0,0.0,0.0,0.29968789177869115,0.0,0.01794431711112475,0.0008580561060916703,0.004198781672710761,0.0,0.00947009297317251,0.0020775572249850313,0.005701680018834518,0.0,0.010732772036262179,0.025064436868675214,0.0,0.0,0.0,0.0,0.0,0.01352857944030378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03297591238574046,0.0,0.00741348292645865,0.011193071819978707,0.0,0.0,0.0028507072660069973,0.012139054905196895,0.0138100884437329,0.00606366408479644,0.0,0.003566973278640417,0.0028571220005646943,0.01644114467531095,0.0009430052284577544,0.03137079613275544,0.0015488604516603367,0.0384334296797507,0.0,0.0,0.32359269720424916,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0,0.05590851281231404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05297766376484736,0.032766960625389446,0.0,0.09031239931136054,0.06521226252172206,0.011090772425727572,0.014365293305933138,0.16931539445098553,0.0030660001228145005,0.005768765059710998,0.030385568736858114,0.050122290941968003,0.198415615614871,0.0,0.1039309444433075,0.24282409000694546,0.001519507329565505,0.0,0.005844920802430447,0.008076271083595397,0.10242469887166537,0.10027237683163177,0.005720507858352605,0.008630499265583371,0.007531103864023457,0.008826425753498476,0.0,0.0018248882745593253,0.01799615094356796,0.0033381960444068943,0.0,0.0,0.0,0.0033048782010092446,0.0072661067731932495,0.0,0.849277332426941,0.005887182489110681,0.0,0.04318185807895509,0.0,0.030312303305725936,0.0,0.014179932077200454,0.014998528060662687,0.013720730405075515,0.0,0.014179932077200454,0.0,0.0030356801652382296,0.012837663231542047,0.0,0.0,0.0,0.02441674962259614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06375484623677881,0.008218530907259653,0.06244026338061073,0.04040312337923038,0.0,0.0,0.013720091527923783,0.04943546169228049,0.16394995841901117,0.09172002426308543,0.0,0.014878403587167952,0.006111539924242489,0.09995259586453399,0.03176994965432385,0.1820685217157781,0.003727234187487603,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.023290688191237155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3524711213970139,0.0,0.0,0.0,0.0,0.022069738323919345,0.04095074387664992,0.0,0.002786878229445071,0.015281154834635484,0.004620257441559021,0.005770648370131639,0.7887601615203188,0.04342656377236587,0.0021628666431308756,0.05316441521571486,0.020880230774135835,0.08265711254155349,0.0,0.04329614755763484,0.0,0.0,0.0,0.0021914194987084266,0.002883822190841167,0.04329614755763484,0.03227839495239831,0.0017873114234635882,0.0010786028310439894,0.003137350342722015,0.0,0.0015198322712116892,0.0,0.007496939538995607,0.003476612025636719,0.0,0.0,0.0,0.003441912680995584,0.0,0.0,0.0,0.3163745858514026,0.0,0.017988945536996672,0.0,0.0,0.0,0.005696187344540878,0.0020827242150708476,0.005715860385938499,0.0,0.005696187344540878,0.0,0.0,0.0,0.0,0.0,0.0,0.006781112851424178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03560084246997693,0.0,0.02229576190238654,0.01683136433510134,0.0,0.0,0.0028577971194194006,0.020594107515075184,0.06829921184493476,0.032998899933617536,0.0,0.0035758445219185604,0.002864227807746969,0.03643397129879927,0.013234907423385874,0.07584714662250314,0.0015527125460824771,0.0,0.0,0.0,0.3430104592978128,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.029548854081658034,0.1859795365911902,0.1859795365911902,0.18265882130681002,0.0,0.0,0.0,0.19258593116044098,0.0,0.0,0.0,0.0,0.0,0.0,0.04433307554785391,0.05051096445042536,0.0,0.0029464228174604693,0.02558029845359604,0.009769520465242374,0.015591468241816725,0.8473117275578615,0.054690091310048226,0.003048916674872151,0.07025999755455599,0.025471837602017874,0.08738910794330824,0.10274762408585054,0.0457747869010238,0.002047943065452178,0.0,0.0,0.001544583313185758,0.003048916674872151,0.0457747869010238,0.05620799804364479,0.0018896323148821174,0.10605266357433935,0.003316958932218665,0.0,0.0016068403833713865,0.0,0.007926128054477882,0.004410771403600168,0.0,0.0,0.12516111076544845,0.004366748407666719,0.15521188429337496,0.16182904847125512,0.0,0.003889378548370828,0.0,0.019018785619066943,0.0009094347268735909,0.004450196014706292,0.0,0.0060222855046762275,0.002201957044597575,0.006043084798111569,0.0,0.0060222855046762275,0.0,0.0,0.0,0.0,0.0,0.0,0.01254631238950146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03853510233918306,0.0,0.02455433410961322,0.01779493463401444,0.0,0.0,0.003021401707245309,0.022762775075880672,0.07416084007638139,0.03856046231704744,0.0,0.0037805562438118466,0.0030282005428098244,0.042188310071908604,0.013992585972084606,0.10952682380656029,0.0016416030045365575,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.014126013270530776,0.032045712888402036,0.0,0.0,0.0,0.0,0.0,0.0038679481873723953,0.0,0.0,0.0066861100418405565,0.0,0.0,0.0,0.0,0.042869371881060735,0.0,0.0,0.0028194649542050694,0.08090647532364063,0.009348563419991787,0.06538698946803456,0.9655274617301199,0.008269994692840493,0.005251576451238864,0.019977680208230788,0.027949181672435694,0.10034833796370048,0.07865628069974827,0.05256288677463315,0.0020903462705696104,0.0,0.010794364829394693,0.004138481342459177,0.007002101934985152,0.05180110580688485,0.07069025304450895,0.0,0.06634586228054143,0.007617684257812166,0.0,0.001845124245333609,0.0,0.0,0.0061903841959324935,0.0,0.0,0.0795056104386897,0.006128599253266549,0.0,0.10257130376217277,0.0,0.008932295619583995,0.0,0.021839146455178322,0.0006961986108340475,0.0034067538788942454,0.0,0.010244964209349122,0.0025284927938178884,0.006939234533182303,0.0,0.011269460630284035,0.020336462855314867,0.0007676448706595568,0.0,0.0,0.0,0.0,0.020581211442712133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016464969154169708,0.0,0.009774467866467159,0.013622537611548174,0.0,0.0,0.003469455711110398,0.014395030539640502,0.017181081703211698,0.009136879823322676,0.0,0.004051775348229792,0.0030909002393588268,0.021764946804794107,0.0022953706362578807,0.02695048532305515,0.0018850419346118847,0.0,0.0,0.0,0.009684313974879169,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.023753556038675277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3510507437603962,0.0,0.0,0.0,0.0,0.022508341605524337,0.0,0.0,0.0014211316482480314,0.014286108007048598,0.0047120781983792945,0.005885331438638394,0.8005588005696511,0.044289602250658325,0.0007352834687973462,0.050348051959560075,0.021295194359285362,0.08429979992989584,0.0,0.04415659420729227,0.0006585152877306455,0.0,0.0,0.002234970707580938,0.0022058504063920386,0.04415659420729227,0.03033792874486312,0.0,0.0,0.003199700522668238,0.0,0.0015500366810628082,0.0,0.0,0.003545704527819175,0.0,0.0,0.0,0.0035103155852224247,0.0,0.0,0.0,0.3151582921538368,0.0,0.01834644912083341,0.0,0.0,0.0,0.00580939061071847,0.0021241152665641134,0.005829454624604731,0.0,0.00580939061071847,0.0,0.0,0.0,0.0,0.0,0.0,0.006915877401230595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014696239477615015,0.0,0.00757961902234326,0.011443908474163277,0.0,0.0,0.0029145915941132918,0.01145639172287259,0.013178267592477689,0.005313900643479616,0.0,0.0036469091226312427,0.0029211500828235405,0.01592487530733651,0.0019282759368819096,0.003773390051178488,0.001583570402578352,0.0,0.0,0.0,0.34169176469179585,0.0
