,createtoolhelp32snapshot process32firstw,cryptcreatehash cryptcreatehash,cryptcreatehash crypthashdata,cryptdecrypt cryptdecrypt,crypthashdata cryptcreatehash,crypthashdata crypthashdata,findfirstfileexw ntclose,findresourceexw loadresource,getasynckeystate getasynckeystate,getasynckeystate getkeystate,getforegroundwindow getforegroundwindow,gethostbyname gethostbyname,gethostbyname socket,getkeystate getasynckeystate,getkeystate getkeystate,getkeystate getsystemmetrics,getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime,ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ntprotectvirtualmemory,ldrgetprocedureaddress process32nextw,ldrloaddll ldrgetprocedureaddress,loadresource findresourceexw,loadstringa loadstringa,loadstringw loadstringw,lookupprivilegevaluew ntclose,ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory,ntallocatevirtualmemory ntreadfile,ntclose findfirstfileexw,ntclose ntclose,ntclose ntcreatefile,ntclose ntdelayexecution,ntclose ntopenkey,ntclose ntopenkeyex,ntclose process32nextw,ntclose regopenkeyexw,ntcreatefile ntclose,ntcreatesection ntmapviewofsection,ntdelayexecution getforegroundwindow,ntdelayexecution ntdelayexecution,ntdelayexecution timegettime,ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntallocatevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory,ntopenfile ntopenfile,ntopenkey ntclose,ntopenkey ntopenkey,ntopenkey ntqueryvaluekey,ntopenkeyex ntopenkeyex,ntopenkeyex ntqueryvaluekey,ntopenmutant ntclose,ntprotectvirtualmemory ldrgetprocedureaddress,ntprotectvirtualmemory ntprotectvirtualmemory,ntquerydirectoryfile ntclose,ntqueryvaluekey getfileattributesw,ntqueryvaluekey ntclose,ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile,ntreadfile ntwritefile,ntreadfile setfilepointer,ntwritefile ntreadfile,ntwritefile ntwritefile,ntwritefile setfilepointer,process32nextw ldrgetdllhandle,process32nextw ntopenmutant,process32nextw process32nextw,readprocessmemory readprocessmemory,regclosekey regclosekey,regclosekey regopenkeyexa,regclosekey regopenkeyexw,regclosekey regqueryvalueexw,regenumkeyexa regopenkeyexa,regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa,regopenkeyexa regqueryvalueexa,regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw,regopenkeyexw regqueryvalueexw,regqueryvalueexa regclosekey,regqueryvalueexa regqueryvalueexa,regqueryvalueexw regclosekey,regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw,regsetvalueexa regsetvalueexa,searchpathw searchpathw,sendto sendto,setfilepointer ntreadfile,setfilepointer ntwritefile,setfilepointer setfilepointer,socket gethostbyname,thread32next thread32next,timegettime ntdelayexecution,timegettime timegettime,writeprocessmemory writeprocessmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0007998091813127258,5.432789750558227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014164244770966275,2.2434341032848234e-05,0.0008233507602749937,0.00047698912677324255,0.003971359366027744,0.0003504491024168345,0.0,0.0,0.0005936568124474464,2.9206499151376998e-05,0.0,0.0,0.0,0.0006412938298525596,0.0,0.0007619871997959631,0.0005506441131567228,0.0011253383226525256,0.00015106650101926177,0.0,0.0005596877639806454,0.0003911378420109558,0.0,0.0007688365116924387,0.0008733950270383796,0.0002611046007052473,0.0,0.0,0.0,0.0,0.0005934021227159612,0.0012354310321279734,0.0,0.0003376489634392841,0.000286422204783755,0.00030829397216457135,0.00042417464150542553,0.0,0.0,0.0,0.00012618395747420727,0.001310270000849013,0.0,0.00030829397216457135,0.0,0.006605309447543322,0.00014724745966663658,9.838890402448133e-05,3.929574322808941e-05,7.968417599719698e-05,0.0,0.0,0.0,0.0,0.0,0.001361940618253265,0.7706806639438964,0.0037723931365660646,0.0037330396067751614,0.0,0.005394884224389559,0.0,0.44918900582952936,0.0072879027478840305,0.0057124974863133,0.001391905327598416,0.44855708756349444,0.0,0.0018305240648056537,0.0034088787240745,0.05332109290261349,0.0,0.0,0.0,0.0002205760459015719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,2.7257355099673644e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.768342002758069e-06,0.0,0.0,0.004046590767783824,0.9999023192489579,0.0,0.0,0.004748543206936318,0.004778892875484043,0.004145948903719513,0.006005755517590738,6.3996122991300385e-06,9.051592993242289e-05,0.0005594908241618921,0.0004888343559373491,0.008707159627878118,0.00017510321541998396,7.402373200694072e-05,0.0,0.00029560002730689565,0.0,0.0,3.741303468756553e-05,0.0,8.78584348763883e-05,4.5455675374702166e-05,3.905762372772944e-05,0.0,0.00019551992959661261,1.0693134136098485e-05,7.298299067397884e-06,0.00048530944718997256,0.0,0.0,3.571413701675618e-05,0.0,9.241051126674492e-06,0.0004795974905451279,0.001257853057077229,0.0,0.0,5.544467871226153e-05,3.5774632327721244e-05,0.0,2.390024017641421e-05,3.0411286102263446e-05,0.0004582697307790743,0.0,1.282015541845284e-05,0.0,1.1539941334954302e-05,0.0003282451605365179,0.0,0.0,0.0004669986780320091,1.1912283564066883e-05,7.048524134754792e-05,0.0,4.875071698869538e-05,8.34456316550418e-06,0.0,0.0,0.0,0.0,0.0008672856221158412,3.4930598878691436e-05,5.1644995574756906e-06,0.0,0.0002976980701425805,0.0,0.0002276412365281791,1.1015567826387198e-05,0.0,0.00012752870541275408,0.00010937151499925165,0.00021661877430444502,0.00029557506672234766,0.000132233748799899,0.0,0.00031097360538181475,0.0,7.628508492124631e-05,0.0,0.0,0.0,7.36056397055176e-05,0.0,2.3996651629694233e-05,0.0,0.0,0.0,2.2594304584070738e-05,2.5904230992008586e-05
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,3.5269842524906454e-05,0.0,0.0,0.0,0.0,0.0,3.7891020268335655e-05,0.0002463115346174598,0.0,0.0,5.63023012733423e-05,0.9972262659439677,0.0,0.0,0.0033250614954060055,0.0032617220458932596,0.002588670580396788,0.004092312201014455,0.0002649863183692079,5.5479652811701996e-05,0.0005146881858540502,0.0003647023190238575,0.010197956844236016,0.00017559640979233166,4.7891759149843864e-05,0.0,0.0003093698987495758,0.000184580257259252,0.0,0.0007019573849431901,0.0,6.25267650945574e-05,1.96058948305444e-05,4.331904125075356e-05,2.8819709903327166e-05,0.00041041307399697856,2.767290925321003e-05,9.443684387773816e-06,0.0005702988357965903,0.0,0.0,7.922152076883988e-05,1.454469699970459e-05,4.185132632410559e-05,0.0,0.00046503075256837184,0.051875557932413545,0.00019589035756798634,1.3044186221394415e-05,4.629083210646007e-05,0.0,0.0,1.3116964428921552e-05,0.0005816863956723315,0.0,1.658872847714677e-05,1.2986106054666335e-05,0.0,0.00014735707140776065,8.182500283451692e-06,0.0,0.0005929812771416971,1.5413981432912427e-05,0.0019973865198264574,1.3486661707352924e-05,3.604647217247857e-05,0.0,0.00048169559473149444,0.0,0.0,0.0,0.000910253391918445,0.0,0.00020716183389133107,1.0897139734382701e-05,0.000315170566354793,2.1670723741505858e-05,0.0002945579472096319,0.0,0.0,0.00015866985333179624,9.198931674801984e-05,0.0003643839631040268,0.0004428500364073075,0.00017110477078923614,0.0,0.00033532203360376445,0.00013069899657624972,7.755755188608725e-05,0.0,0.0,0.0,4.32920567655532e-05,1.5142102640250494e-05,5.1751054654754395e-05,0.0,0.0,0.051875557932413545,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.0,0.0,0.0,0.0,0.0,0.0,0.16065443398901919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02971066197650866,0.0,0.02613651278280317,0.5755333122327773,0.4832200695436212,0.2384908836153475,0.0,0.0812226580806667,0.0,0.07154726508460424,0.0,0.0,0.0,0.0,0.3133091256206116,0.055418124831747455,0.0,0.12219291403234964,0.0715115182614348,0.0,0.0400403514960665,0.08150610695584955,0.035052646066783766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553061474567027,0.0,0.0,0.0,0.05561472034954661,0.07183388477996659,0.03801330881908916,0.07033467996428272,0.0,0.0,0.0,0.03469304712154857,0.0,0.09577851303995545,0.4248000949315343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0,0.0,0.0,0.0,0.0,0.0,0.04816716935699597,0.032843905742078856,0.0,0.0,0.001376377701820635,0.0,0.0,0.0,0.0,0.0,0.0,0.048821627541379975,0.0,0.0030139268164014175,0.055997586885094396,0.03621957755613184,0.8759237051578612,0.05400450965467193,0.0023415436990679296,0.0,0.06669120832049649,0.02942795964342774,0.1098543311454623,0.09171828584822672,0.06147306353154241,0.0020843757706192887,0.0015976325335851787,0.0,0.03698796092353783,0.06528349826886382,0.0,0.0,0.007832383872838475,0.003031566725573803,0.0,0.008876384375576467,0.0,0.005846321024830351,0.0,0.0,0.0,0.023943880983591806,0.0023916065570339135,0.003772117519716207,0.0,0.000945025589665716,0.004809900380774522,0.01035438781867072,0.003287622906566085,0.0040553148736590505,0.0,0.0,0.0021190126148252072,0.0020003109429944928,0.0,0.011734972861160148,0.0244928695798779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03185621298207346,0.0,0.006848644312184853,0.010595339893947132,0.0,0.0,0.003419057975343119,0.003103100841534332,0.01124394931594364,0.012847796721415783,0.005741062506561392,0.003873020940714471,0.0032451145107638226,0.015574968396181664,0.0008875263062542758,0.02930163202379457,0.0,0.0,0.0,0.0,0.0,0.0,0.4243304819466153,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.006437775780640466,0.0,0.0,0.0,0.0,0.0,0.0,0.06130778843657226,0.0,0.0,0.0020553626871222174,0.0,0.0,0.0,0.0,0.0,0.0,0.057557344814578554,0.02720685262583628,0.09113990470571791,0.0660716431236413,0.014561929115043953,0.17146053043309906,0.0031017552011765254,0.0,0.0,0.030801292892173482,0.05712870033276567,0.24607034786652138,0.0,0.1376977855119574,0.24382232244179874,0.12525268345912233,0.0013178315837755322,0.0,0.1015934824978774,0.0050511137055509,0.008618740300398322,0.007017720299662875,0.0,0.0,0.01807530000137475,0.01592899055593965,0.0032738951512399843,0.007551579131080934,0.8286069396523216,0.0,0.053633562386405695,0.13571385033183805,0.025348284239450528,0.0,0.0,0.0035913433348788806,0.014431518944871142,0.0,0.0,0.0,0.008176679787658868,0.014239570688564268,0.013441906325898997,0.0,0.014431518944871142,0.0,0.011653284942224364,0.0,0.0,0.0,0.011989569087169317,0.0,0.0,0.0,0.0,0.0,0.05732951096272155,0.005967138260744183,0.05369263958547656,0.035599856823332415,0.0,0.0,0.011487878219218095,0.013901702292104651,0.04262263615952369,0.14197478387596044,0.08083305835078362,0.015037444347863117,0.006461295492790081,0.08813672512940754,0.02783244561237123,0.15829560040141144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030590941470044855
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027721547809115548,0.0,0.0,0.001394060276413628,0.0,0.0,0.0,0.0,0.0,0.0,0.02602570940385234,0.03690637446087184,0.003052647282214213,0.016805036463845943,0.00634930910559744,0.8669820926574014,0.047685710869811986,0.002371625936717342,0.0,0.05849517733592106,0.025831889192771282,0.11126564971177841,0.0,0.062262819155974876,0.0,0.0016181576092311612,0.0,0.0,0.035497184940008836,0.0017129718790448788,0.001169140956074592,0.0031732031730254667,0.0,0.0,0.008173109908712796,0.007202612987814372,0.0037008936087715243,0.0,0.0,0.0,0.024251492376146374,0.0016148879742148101,0.0,0.0,0.0,0.001623898015172959,0.006292447512988442,0.0,0.0,0.0,0.0,0.0021462359551739905,0.006078027904147568,0.0,0.006292447512988442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03474743519957209,0.0,0.0208098902727223,0.016097190228068436,0.0,0.0,0.003462983234817171,0.0031429669422619357,0.019272680946062763,0.06419674986283577,0.03156616017954671,0.003922778344945749,0.003286805086921429,0.034871191556662164,0.012584999253173119,0.07157653483195396,0.0,0.0,0.0,0.0,0.0,0.0,0.45444155189656604,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03547090205433846,0.0,0.0,0.0014864662879758063,0.0,0.0,0.0,0.0,0.0,0.0,0.05272659050519097,0.04591152150183151,0.003254993597383043,0.028371697843865194,0.01730156182652,0.9393010619389883,0.06056725334304254,0.0025288303972685446,0.0,0.07796570079335476,0.03178173394992154,0.11864095125913363,0.09905430734890265,0.06638994255527453,0.00225109307597816,0.0017254180292272873,0.0,0.0,0.062341397725899,0.001826517112302599,0.11593734081985756,0.0033835405982120446,0.0,0.0,0.01132932938310283,0.007680041941418952,0.004735451123226811,0.17658542429152604,0.0,0.0,0.025859015180451105,0.002582897497126178,0.004073827641877735,0.0,0.0010206127856142836,0.0017315389409670078,0.006709545674005897,0.0,0.0,0.0,0.0,0.0022885003233971374,0.006480913149705815,0.0,0.006709545674005897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03793284625633278,0.0,0.023113838217640584,0.017164200867063308,0.0,0.0,0.0036925288823406637,0.0033513001431428623,0.02148427976141556,0.07030212067358796,0.037201543712355914,0.004182801750842845,0.0035046726741437277,0.04072385109587059,0.013419202483962021,0.10424334811380323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.0,0.0,0.0,0.0,0.0,0.0,0.012526810779445646,0.03495768812145625,0.0,0.0,0.0010340888590251848,0.0,0.0,0.0,0.0,0.0,0.0,0.046332968405619394,0.0,0.0028304986148018326,0.0815462842740982,0.0659372473885793,0.972674214388519,0.008322918427471585,0.0026388442455771966,0.0,0.020145668805710164,0.031690389983962744,0.12380228893884294,0.068909033791437,0.06927816039597476,0.002088021584548385,0.001800480349555868,0.0,0.009263164284652105,0.07124905860944983,0.0,0.06591082895762349,0.007061475255052874,0.0015184346429329473,0.0,0.009093999065016642,0.0,0.006039564006550736,0.0,0.0,0.0,0.026983981796063625,0.0017968423148158794,0.002834036541650229,0.0,0.000710008911416071,0.004216024270494507,0.010372498838703044,0.0016466866693442077,0.003046806065764381,0.0,0.0,0.002388058889169066,0.0015028572883741226,0.0,0.011409748722573347,0.018401782827929907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014728584543403313,0.0,0.008361384746784165,0.011940606412857628,0.0,0.0,0.0038531680904014018,0.003497094588663096,0.012346656308854889,0.014800809351795082,0.008010466686676548,0.004073785066681064,0.003250790590792972,0.019092179023034894,0.0020004270575772294,0.02330964314628838,0.0,0.0,0.0,0.0,0.0,0.0,0.011759182883163086,0.0,0.0,0.0,0.0015390836838415306
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028174818946987836,0.0,0.0,0.001416854360355246,0.0,0.0,0.0,0.0,0.0,0.0,0.02645125212594878,0.0,0.0015512803447634042,0.01565649548530878,0.006453125767741054,0.8769114506298029,0.048465413236182066,0.002410404059582106,0.0,0.05520507921640405,0.026254262787796454,0.11308493873554544,0.0,0.06328086977422662,0.0007152244366533685,0.0016446158772125661,0.0,0.0,0.03324797918003527,0.0,0.0,0.0032250877727902838,0.0,0.0,0.00664539782547336,0.0,0.0037614064007968143,0.0,0.0,0.0,0.024648025124610815,0.0016412927808529129,0.0,0.0,0.0,0.0016504501437263276,0.006395334439211083,0.0,0.0,0.0,0.0,0.0021813287580810577,0.0,0.0,0.006395334439211083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142944037098803,0.0,0.007050049956059078,0.01090692875097246,0.0,0.0,0.003519605987705525,0.0031943571536607956,0.010684257735024323,0.012343917658776096,0.005065625373907443,0.00398691914315362,0.0033405471756378247,0.015189156649753774,0.00182725354426038,0.0035486279369837145,0.0,0.0,0.0,0.0,0.0,0.0,0.4511308511940184,0.0,0.0,0.0,0.0
