,closesocket ntdelayexecution,connect shutdown,createtoolhelp32snapshot process32firstw,findfirstfileexw findfirstfileexw,findfirstfileexw ntclose,findresourcea loadresource,findresourceexw findresourceexw,findresourceexw loadresource,findwindowa findwindowexa,findwindowexa findwindowexa,findwindowexa ntdelayexecution,getfileattributesw getfileattributesw,getfiletype writeconsolew,getforegroundwindow findwindowa,gethostbyname gethostbyname,gethostbyname ntdelayexecution,gethostbyname socket,getkeystate getkeystate,getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime,getsystemwindowsdirectoryw getsystemwindowsdirectoryw,getvolumenameforvolumemountpointw ntclose,getvolumepathnamesforvolumenamew getvolumepathnamesforvolumenamew,getvolumepathnamesforvolumenamew ntclose,ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress getsystemmetrics,ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ntallocatevirtualmemory,ldrgetprocedureaddress ntclose,ldrgetprocedureaddress regopenkeyexw,ldrloaddll ldrgetprocedureaddress,loadresource findresourceexw,loadresource sizeofresource,loadstringa loadstringa,loadstringw loadstringw,lookupprivilegevaluew ntclose,ntallocatevirtualmemory getsystemmetrics,ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory,ntallocatevirtualmemory writeprocessmemory,ntclose findfirstfileexw,ntclose getsystemtimeasfiletime,ntclose ldrgetprocedureaddress,ntclose ldrunloaddll,ntclose lookupprivilegevaluew,ntclose ntallocatevirtualmemory,ntclose ntclose,ntclose ntdelayexecution,ntclose ntopenkey,ntclose ntquerydirectoryfile,ntclose ntunmapviewofsection,ntclose regopenkeyexw,ntcreatefile ntclose,ntcreatefile ntcreatesection,ntcreatemutant ntclose,ntcreatesection ntmapviewofsection,ntdelayexecution getforegroundwindow,ntdelayexecution ntcreatemutant,ntdelayexecution ntdelayexecution,ntdelayexecution socket,ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntallocatevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory,ntopenkey ntclose,ntopenkey ntopenkey,ntopenkey ntqueryvaluekey,ntqueryattributesfile ntqueryattributesfile,ntquerydirectoryfile ntclose,ntqueryvaluekey ntclose,ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile,ntunmapviewofsection ntclose,process32firstw process32nextw,process32nextw ntclose,process32nextw process32nextw,readprocessmemory readprocessmemory,regclosekey ntclose,regclosekey regclosekey,regclosekey regcreatekeyexa,regclosekey regopenkeyexa,regclosekey regopenkeyexw,regclosekey regqueryvalueexw,regcreatekeyexa regclosekey,regenumkeyw regenumkeyw,regenumvaluew regenumvaluew,regopenkeyexa regqueryvalueexa,regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw,regopenkeyexw regqueryvalueexw,regqueryvalueexa regclosekey,regqueryvalueexw regclosekey,regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw,shutdown closesocket,sizeofresource findresourcea,socket gethostbyname,writeprocessmemory ntallocatevirtualmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.0,0.0,8.123791014228541e-05,0.0006156846389492288,0.0,0.0,2.619230848001171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011516691634802735,0.0,4.0889544780192624e-05,6.814924130032105e-05,4.0889544780192624e-05,1.294024577838537e-05,0.0005186440169562492,0.0,0.00029822030974984326,0.002510407681006762,0.0002204237072064059,2.6297087941175696e-05,7.208024271267968e-05,0.00019662866696015178,0.00037526712757317575,1.3148543970587848e-05,0.0,0.0,0.0,0.0,0.0,0.00041665678317957453,0.0,0.0,0.00044687189279107604,0.0005263824864827813,5.495712066470621e-05,5.7203068776375695e-05,0.0,0.00015559320508687474,0.0007117135178111954,0.0,0.0003105658986812489,0.0009903435074332663,0.0002171111497162716,0.0004149152135649993,0.0006664261718825603,0.0001043518060712889,0.0,0.00015590408196616468,0.0,0.0,0.0,0.0,0.0,0.00032609939397277785,0.0010028242664479362,0.00023595440035218218,0.00015528294934062444,0.00019410368667578055,0.0,0.0007528239506319415,0.00019410368667578055,0.0,0.0064792977993769745,0.00015841376001767603,0.0,0.0,0.0,0.0,0.00035324370602169504,0.0008646268034708643,0.0,0.9067144625725092,0.0023320275807685955,0.0022558153997656485,0.0,0.005134721963729742,7.313389434589504e-05,0.2972287940627721,0.0044865780885619995,0.0034585072138834574,0.0008800665678185583,0.29725936214978427,0.0011579823260770505,0.0020079758770735726,0.03208383031450814,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,0.0,6.830932488893951e-05,0.0,0.0,0.0,0.0,5.185423673041455e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.999834793676768,0.007642129523334749,0.0,0.011066110632008202,0.0057621256037221,9.702202735016615e-06,0.0,0.0,0.0,0.0,9.735014231853616e-05,0.0006571428928815171,1.2301460556853994e-05,0.0005698661024206906,0.0102627544770541,0.0002053571540254741,6.768017610214623e-05,1.1416071926799051e-05,7.785514172848496e-06,0.0003484110356663399,0.0,6.150730278426997e-06,0.0,4.500753660316908e-05,0.0,1.0412334784945574e-05,0.00010643567606172548,4.657574899892642e-05,8.159932966744826e-06,0.0,0.0,1.0880138904687942e-05,1.1324780602290172e-05,0.0,1.0267857701273704e-05,0.00023056612654390142,7.889728444174708e-06,0.0005021217866956075,0.0,5.731012197870485e-06,3.5937501954457964e-05,0.0,1.032952719573442e-05,0.0,1.0288372990211822e-05,0.0005101643983247152,0.0,0.0017868649116221655,0.0,0.0,5.6812399576539314e-05,5.414568758653903e-05,3.1142056691393985e-05,3.0742150205853524e-05,0.0005379876286024367,0.0,0.0,0.0005482350120043878,1.689036853448911e-05,0.00012891852548529016,5.226995436198616e-06,9.107909985191935e-05,0.00010071171463029846,0.0022660135791817155,7.715329037178339e-05,0.0,6.113376346022491e-06,6.188358538373404e-06,0.0,0.00034314298217171885,0.0,0.0,1.954897799153603e-05,0.0,0.0001573446852150932,0.00012554495225263376,0.00024453505384089966,0.000348462451723282,0.00016339640387721217,0.00036680258076134944,0.0,8.558726884431487e-05,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,0.0,8.863028779545683e-05,0.0,5.453470343940374e-05,0.0,3.9983556002404626e-05,0.0002220242196303126,0.0,0.0,0.0,2.0632212561505488e-05,0.0,0.0,0.9998773645532727,0.0002878386241664288,0.0,0.007769921896735049,0.0039370070111296035,0.00040283063411443573,0.0,0.0,0.0,0.0,5.983119342694166e-05,0.0006061685560306093,3.192190791611721e-05,0.0004263163470984505,0.01205266152033836,0.00020649698062581197,5.4039370473227896e-05,2.2218263948828715e-05,6.0609502105054374e-05,0.00036563507094242127,0.0001553631901105302,0.000502770049678846,0.0,0.0008467504028848228,0.0,3.3774606545767434e-05,7.595424986289392e-05,2.0143770243059008e-05,0.0,4.372867991827339e-05,8.450727231332295e-06,2.1175216793860695e-05,1.4693726890629902e-05,0.0,1.998357877023987e-05,0.0004852974577963046,1.0236800082157307e-05,0.0005916640238886453,0.0,2.2307697870636372e-05,7.993431508095948e-05,2.0749647881265605e-05,4.690840370229043e-05,0.0,4.6721514404249925e-05,0.0,0.0,0.0006624084177846749,0.0,0.0001442337329345108,1.3402401057797263e-05,7.025318844067339e-05,0.0,1.3295820761542592e-05,0.0006847347692194435,6.410388130422702e-05,8.789888822982491e-06,0.000698030589980986,2.191499076615071e-05,0.003663208268499849,4.0691672233830064e-05,8.863028779545683e-05,9.800391381304554e-05,0.0023847619027841083,0.0,3.6295021600382084e-05,0.0002458923357939225,1.605859812344055e-05,2.397029193775898e-05,0.0003642731086313574,2.4483815519875947e-05,0.0,0.0,0.0,0.00019630027362764507,0.00010588020630976355,0.00041246456326722483,0.000523512714916093,0.00021200429551785667,0.0003966005416031008,0.00014394080160865666,8.725211915268217e-05,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.03705786476181153,0.0,0.0,0.0,0.18700335269388982,0.0,0.0,0.0,0.0,0.0,0.0,0.02358310506374263,0.0,0.0,0.0,0.0,0.0,0.0,0.023116909786171102,0.0,0.0,0.0,0.0,0.0,0.022796154580616866,0.5482008325960236,0.0,0.456834027163353,0.22796154580616868,0.0,0.04632620523548638,0.025395999167670432,0.0,0.0683884637418506,0.0,0.0,0.0,0.0,0.0,0.02316310261774319,0.30780748977476896,0.046049607971593076,0.0,0.1499487342528859,0.028978140987172673,0.0,0.02519291404205901,0.0,0.0,0.0683884637418506,0.035102711035141065,0.0683884637418506,0.0,0.0,0.0,0.0,0.0,0.043502777242500346,0.0,0.0,0.045140127790653045,0.0,0.028740678896418556,0.0,0.045957780530357026,0.0,0.0,0.04559230916123373,0.0683884637418506,0.0,0.03014115005742565,0.09118461832246746,0.4884623401045321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0,0.0,0.0,0.020298299490407592,0.059109569515275816,0.0016770376010611708,0.006667344571257667,0.02524296787302769,0.0,0.0,0.0,0.0035838188914544757,0.004742598333177196,0.0,0.0,0.2503329052435382,0.0,0.0,0.04004789541876486,0.0,0.0014653839439299208,0.004378611402982495,0.007297685671637492,0.004378611402982495,0.002771383639862931,0.056232647653031986,0.009980713669948056,0.03609997133281066,0.8826856892963435,0.05414995699921599,0.005631988800239363,0.0030874530334646425,0.001052788100152716,0.06720605326667607,0.02111995800089761,0.0016634522783246762,0.07698692311532672,0.094334512463273,0.03880823855456041,0.004223991600179521,0.002158898128660714,0.001399590550494517,0.0364128103096832,0.04785277938323281,0.0017614713385427174,0.005885022112893132,0.004594145225440878,0.038042042267935686,0.0020826906538159995,0.06582036144674461,0.0,0.006928459099657327,0.0,0.006974731763138706,0.00763653239732533,0.0,0.005587198517882486,0.0,0.005564938378406262,0.0,0.0,0.0,0.21401202248332818,0.015032054618517804,0.0020951994442059323,0.004881196394580476,0.001052788100152716,0.004157075459794397,0.010392688649485992,0.005010684872839268,0.0018321662511191544,0.011778380469417456,0.029691773962743313,0.0,0.01130904081114858,0.0,0.0,0.0,0.0,0.0022696025512628907,0.03224032469948209,0.017573102015455012,0.0,0.006749258879053985,0.010206823180028165,0.021048506719188047,0.0,0.045683526562068255,0.003273349583086012,0.011034846092425289,0.012400124884416188,0.0057867249460608885,0.004091686978857516,0.01570682485359384,0.0008334180714072084,0.028106949738010027,0.0,0.0,0.24326147046766317,0.03727795348299173
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0026879944013805724,0.0027191350659065694,0.011022410184639914,0.0,0.0,0.1440848120354836,0.011934028401201677,0.037652458224772783,0.0,0.0,0.0,0.002565902870522451,0.0,0.0,0.0,0.0,0.0,0.0,0.037727694265208604,0.02817989859287387,0.007868769981191705,0.0069665546465623954,0.01306228996230449,0.007837373977382696,0.06696757677005746,0.053018372872499206,0.008932350737870602,0.0115977690658592,0.13806895457530366,0.0024852362283984,0.005040411034630838,0.0046052507355004695,0.016331543329740367,0.024802806211132393,0.032762671725100445,0.14291761180592963,0.13780060669732744,0.0,0.06946372969941941,0.005040411034630838,0.20180023386903115,0.08768053938716026,0.0013166888764434325,0.0,0.009458690228502575,0.00877811002145824,0.00639579325931789,0.06859668530956546,0.004142060380664,0.0818492604967369,0.006365443026885741,0.004960561242226479,0.014236571614244117,0.018495151963749384,0.012426181141992,0.015483045524706807,0.002500162736563952,0.0,0.0024902017568258876,0.005488017211000658,0.0,0.8041828706422087,0.003127060252742689,0.026906209035476216,0.09500618398943017,0.02621088611014075,0.0,0.0024802806211132395,0.01157464289852845,0.008968736345158738,0.009838305419598896,0.01157464289852845,0.0,0.01456162843690371,0.015181727836492099,0.011022410184639914,0.0,0.0,0.0,0.006319307721625132,0.04636343083464948,0.009985551209951263,0.008943118539566221,0.042282270251820506,0.027404129878393902,0.012056060966642575,0.0,0.0,0.011718082506193741,0.03342564339894365,0.1094966132477892,0.06510609436355033,0.012694589381709887,0.07102483021478218,0.020884549702102937,0.12133408495025289,0.0026879944013805724,0.37411517878945677,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.0,0.0,0.0,0.0017075012376044723,0.006788457873427651,0.021417925104328314,0.0,0.0,0.0,0.005838271188325583,0.0,0.0,0.0,0.26962537739011583,0.0,0.0,0.021460721775652697,0.04808888869141411,0.004476008581279499,0.004458149527983634,0.007430249213306057,0.004458149527983634,0.0028217262343720904,0.0169641843054102,0.005081007406401784,0.006361569114528827,0.878262290448313,0.04806518886532891,0.002150360516774826,0.00235765280651015,0.007503385064031833,0.05925625092181389,0.018636457812048493,0.0016936691354672614,0.07838540198240064,0.0,0.03951319595889278,0.0028671473556997683,0.0,0.001425014320249426,0.0,0.0,0.005380406179318793,0.0037449527572966505,0.003118399036177938,0.03959381674991628,0.002120523038176275,0.03597700948824415,0.001086260407157231,0.0028217262343720904,0.008098218255924432,0.005523333510489577,0.007068410127254251,0.00880725256915353,0.0035554317543288624,0.0,0.0035412664429485268,0.0,0.0,0.0,0.22946160125399373,0.015305114118261768,0.001422172701731545,0.0,0.0,0.0014108631171860452,0.006348884027337203,0.005101704706087256,0.005596343467737771,0.006348884027337203,0.0,0.0,0.005757235606684329,0.0,0.0,0.0,0.0,0.0038513836965645733,0.035351049973441455,0.0017040304778782748,0.0,0.020615580500291886,0.015588347453462138,0.001714468477033447,0.0,0.0,0.0033328104633400988,0.019013577350217782,0.062285183286539716,0.031984283309304175,0.004166013079175124,0.035351049973441455,0.01187980127849839,0.06901871661481428,0.0,0.0,0.2618915188152491,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0022717458859769775,0.002298064272833434,0.0,0.0,0.0,0.0016912861727629222,0.006723992160508937,0.02545743905571092,0.15467619595652077,0.15467619595652077,0.14670319616494756,0.006505682400527369,0.0,0.15467619595652077,0.0,0.0,0.0,0.0,0.04038815332891395,0.055570921903595784,0.004433502744224526,0.004415813287120349,0.007359688811867249,0.004415813287120349,0.00279493007584067,0.026604886358954753,0.010065512552376761,0.016102957533051562,0.8838966364846118,0.05671041565987724,0.003549899826699321,0.0031136848817519287,0.010617328767768565,0.07336691449081759,0.021299398960195927,0.001677585425396127,0.07764102514226508,0.09513600437015224,0.039137963999782054,0.004259879792039185,0.0021772407196458737,0.0014114818559125923,0.021143075371019664,0.0,0.006217530488574835,0.007418778594798737,0.003088785562723364,0.03921781918588227,0.0021003857651806387,0.058693531592654065,0.10006287342882057,0.00279493007584067,0.00802131457279442,0.007815545553701085,0.009101671649116102,0.008723615633296848,0.004226001667373228,0.125341301384425,0.004209164716575543,0.14996756316918558,0.12867527209380253,0.0,0.002642820335013245,0.01515977107992634,0.002113000833686614,0.004922668378735453,0.0010617328767768565,0.001397465037920335,0.006288592670641508,0.005053257026642113,0.005543198515215065,0.006288592670641508,0.0,0.0,0.009979484834823525,0.0,0.0,0.0,0.0,0.0038148095290066646,0.035849041945705186,0.021942028844553173,0.0,0.021270632608577204,0.015440314726361388,0.027170995979248644,0.0,0.04607166634104316,0.0033011608594759904,0.01968906361413995,0.06336109739240917,0.035015343295805065,0.004126451074344988,0.03835013789540555,0.01176698628089064,0.09337424878881352,0.0022717458859769775,0.0,0.0,0.0220382590519553
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.003350989729247663,0.0033898112561581983,0.0,0.01509792643798691,0.015218947082242067,0.0018710772062353073,0.007438781602453707,0.026599026302097564,0.0,0.0,0.0,0.006397568507547246,0.0035275566208423717,0.0,0.0,0.004616485470357999,0.0,0.0,0.037626600985769074,0.0,0.004904803256889758,0.004885233334004245,0.008142055556673742,0.004885233334004245,0.0025767026904066747,0.08107011980623097,0.009279600050899405,0.06506264392092422,0.9703862332071537,0.008261923037577678,0.0036654515598729368,0.005167024572897785,0.0007830664484187553,0.02009828098517206,0.022516345296362327,0.0018559200101798809,0.0858946018432318,0.07016624867550696,0.04329849880982581,0.004189087496997642,0.0021410585091314657,0.0015615284805991039,0.016414509268733765,0.011864339396553694,0.001965280247084846,0.004924456103424946,0.006834273648579648,0.042758048122184845,0.003614591328940234,0.07111699425522422,0.06030967173008182,0.00618408645697602,0.0,0.010952070999029749,0.007745552847729072,0.0,0.005714187011269802,0.07670864290405782,0.005691420932803648,0.0,0.07857533164231914,0.0,0.005847527128942715,0.01677132029824233,0.0015584146394372186,0.0036306462090368507,0.0007830664484187553,0.0036073837665693445,0.010306810761626699,0.00559044009941411,0.0013627698859518499,0.011337491837789369,0.02208481648005441,0.0,0.015771924607366875,0.0,0.0,0.0,0.0,0.0022508481480515373,0.014757190742228601,0.024896986041516467,0.0,0.008157688181561384,0.011387791298263365,0.02880691574462937,0.0,0.03397952246137038,0.003652088533421429,0.011995937045392743,0.014142307794635744,0.00799347831870716,0.004260769955658333,0.019061371375378614,0.0018596954006134267,0.022135786113342902,0.003350989729247663,0.0,0.00667396092741912,0.016254014190025028
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.0,0.0,0.0,0.0017356683869787933,0.0069004411052585,0.021771237817909718,0.0,0.0,0.0,0.005934580024318037,0.0,0.0,0.0,0.2676495611440187,0.0,0.0,0.02181474046836159,0.0,0.004549845366596575,0.0045316917081720046,0.007552819513620008,0.0045316917081720046,0.0014341368878242747,0.015807025268592637,0.00516482432637599,0.006466510337151535,0.8884478020071382,0.048858078102922704,0.0014572220846760736,0.000798848311909569,0.0,0.055931338625146716,0.018943887100788953,0.0017216081087919966,0.07967845716606893,0.0,0.040165010474935176,0.0029144441693521473,0.0007447917347933487,0.00144852153086517,0.0,0.0,0.0,0.0015226919825107688,0.0023773803962241747,0.040246961196393524,0.0014370022971447855,0.033702216863870454,0.0,0.0028682737756485495,0.0,0.004010319354290953,0.005748009188579142,0.0,0.0036140825916511736,0.0,0.0035996836075608005,0.0,0.0,0.0,0.22782248307399594,0.015557589153749836,0.0014456330366604696,0.0,0.0,0.0014341368878242747,0.006453615995209236,0.005185863051249946,0.0,0.006453615995209236,0.0,0.0,0.005852207669805142,0.0,0.0,0.0,0.0,0.0015659666373374808,0.01454479735093502,0.0017321403731754114,0.0,0.006985219213032205,0.010563663160472603,0.0017427505588420182,0.0,0.0,0.0033877889126025444,0.010542124172187615,0.011978068406652371,0.005133457888565301,0.004234736140753181,0.015400373665695903,0.001725110276314625,0.003422305259043534,0.0,0.0,0.2600207432809925,0.0
