,findfirstfileexw ntclose findfirstfileexw,findresourcea loadresource sizeofresource,findresourceexw loadresource findresourceexw,findwindowa findwindowexa findwindowexa,findwindowexa findwindowexa ntdelayexecution,findwindowexa ntdelayexecution getforegroundwindow,findwindowexa ntdelayexecution socket,getforegroundwindow findwindowa findwindowexa,gethostbyname gethostbyname gethostbyname,gethostbyname gethostbyname ntdelayexecution,gethostbyname ntdelayexecution getforegroundwindow,gethostbyname ntdelayexecution gethostbyname,gethostbyname ntdelayexecution socket,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemmetrics ldrloaddll ldrgetprocedureaddress,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getvolumenameforvolumemountpointw ntclose regopenkeyexw,getvolumepathnamesforvolumenamew getvolumepathnamesforvolumenamew ntclose,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress getsystemmetrics getsystemmetrics,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress getsystemmetrics,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,ldrloaddll ldrgetprocedureaddress ldrloaddll,loadresource findresourceexw loadresource,loadresource sizeofresource findresourcea,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,lookupprivilegevaluew ntclose lookupprivilegevaluew,ntallocatevirtualmemory getsystemmetrics getsystemmetrics,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory writeprocessmemory ntallocatevirtualmemory,ntclose findfirstfileexw ntclose,ntclose lookupprivilegevaluew ntclose,ntclose ntclose ntclose,ntclose ntclose ntunmapviewofsection,ntclose ntdelayexecution ntcreatemutant,ntclose ntopenkey ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose ntunmapviewofsection ntclose,ntclose regopenkeyexw regopenkeyexw,ntcreatefile ntclose ntquerydirectoryfile,ntcreatefile ntcreatesection ntmapviewofsection,ntcreatemutant ntclose ntdelayexecution,ntdelayexecution getforegroundwindow findwindowa,ntdelayexecution gethostbyname gethostbyname,ntdelayexecution ntcreatemutant ntclose,ntdelayexecution ntdelayexecution ntdelayexecution,ntdelayexecution socket gethostbyname,ntdelayexecution timegettime ntdelayexecution,ntenumeratevaluekey ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntopenkey ntqueryvaluekey ntclose,ntqueryvaluekey ntclose ntopenkey,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntunmapviewofsection ntclose ntclose,process32nextw process32nextw process32nextw,regclosekey regclosekey regclosekey,regclosekey regcreatekeyexa regclosekey,regclosekey regopenkeyexa regqueryvalueexa,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regclosekey,regclosekey regqueryvalueexw regqueryvalueexw,regcreatekeyexa regclosekey regcreatekeyexa,regenumkeyw regenumkeyw regenumkeyw,regenumvaluew regenumvaluew regenumvaluew,regopenkeyexa regqueryvalueexa regclosekey,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regopenkeyexw,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexa regclosekey regopenkeyexa,regqueryvalueexw regclosekey regclosekey,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regopenkeyexw regclosekey,regqueryvalueexw regopenkeyexw regqueryvalueexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,sizeofresource findresourcea loadresource,socket gethostbyname ntdelayexecution,timegettime ntdelayexecution timegettime,writeprocessmemory ntallocatevirtualmemory writeprocessmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.00038617060250752084,0.0,1.0733061491977238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005500764826437853,3.2843675350396426e-05,3.2519768824784576e-05,0.00022097400159777863,0.00011460790002755638,0.0,0.0002420191446070909,0.0,1.0733061491977238e-05,0.0017086996004108406,0.00016957929008501848,0.00015783857256984187,0.00015783857256984187,8.993237296401924e-05,1.0733061491977238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038156418183949613,0.0,0.0003681659213835297,5.8101560907536975e-05,0.0,6.313542902793676e-05,0.0007181957061299869,0.00012782343399658132,0.00021895783566930948,0.0005206918869442405,8.501827959124278e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000740401363047356,0.0001562835000375769,6.313542902793676e-05,0.0,0.0067300301904849105,6.313542902793676e-05,0.0,0.00044005552117106677,0.0,0.6919162121262038,0.0012752741938686417,0.00015783857256984187,0.0003284367535039643,0.0032557669986286618,0.0,0.0036679037493051463,0.0,0.2046324480510477,0.0013643075991741382,0.0015284291347648752,0.001583465457386897,0.0009425517606411335,9.470314354190515e-05,0.00025254171611174706,0.00015026286088768134,0.0001894062870838103,0.6919874335582291,6.313542902793676e-05,0.0002841094306257154,0.003589349434925286,0.0003682997025191985,0.0001894062870838103,0.00352224560886654,0.020519014434079448,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981863341641495,0.03210890314744392,0.0,0.031947389550122766,0.0,0.009473622907617704,0.00952610835308927,0.008187729493564331,0.008240214939035897,0.0054374388957340114,1.4590384308136027e-05,0.0,0.0,0.0,0.00046951519548782893,0.0003933679472673596,7.367803381753404e-06,0.0007440010020807134,7.367803381753404e-06,0.0003020799386518896,0.013539009530492939,0.0004268336530968447,0.0002672624958930718,0.00031060236009194833,6.1734859354779e-05,0.0,0.0,0.0,5.20761027220491e-05,0.0,1.4590384308136027e-05,7.795118735458309e-05,5.778648559850202e-05,0.0,0.0,0.0,0.0001737523547514774,7.976864331946382e-06,0.0,0.0006500979629831477,0.0,7.976864331946382e-06,0.0,0.0,1.4590384308136027e-05,0.0,0.0,0.03210890314744392,0.0,0.002070905383875078,0.0,0.0,0.0,9.204023928333682e-05,4.0660396257621354e-05,0.000736670883064328,0.0006500979629831477,0.0,0.00014215039199227543,7.2233106998127526e-06,0.0023790350684665114,0.0,0.0,0.0,7.2951921540680135e-06,0.00016613614609569332,0.0,0.0,0.0,0.0,0.0,0.00018780607819513157,0.0001818525851800985,0.0,3.647596077034007e-05,0.0,0.00021669932099438257,0.00037561215639026315,0.0,3.611655349906376e-05,0.0,7.2233106998127526e-06,0.00024559256379363357,0.0,0.0,3.611655349906376e-05,0.0,6.500979629831478e-05,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,6.422180164055403e-05,0.0,0.00021553312811794094,0.0,0.0,0.0,0.0,0.0,0.991924205908467,0.00020542687443740774,0.0,0.000821707497749631,0.0,0.006408528042026659,0.006408528042026659,0.005073418033271105,0.005006662532833328,0.003514127088879472,3.7114609481471345e-05,0.0004337924550023734,0.0,0.0,0.00024805513869190877,0.00038206190669826253,2.8113016711035777e-05,0.0005236719594606963,2.8113016711035777e-05,0.00028113016711035776,0.015582667766050565,0.0003619224829557864,0.00028480404812774706,0.00029399127548670665,7.851969995980518e-05,0.00020616212254759568,0.0,0.0,0.0010597578103644944,0.0,4.639326185183919e-05,4.957250981506131e-05,1.8374454717919165e-05,0.0,6.345573443478046e-05,0.0,0.00039176063373301556,3.0436984898517412e-05,0.0,0.0007901015528705241,0.0,3.0436984898517412e-05,0.0,0.0,6.495056659257485e-05,0.0,0.0,0.000821707497749631,0.0,0.0004097264036722697,0.0,0.08842820410037747,0.00015142889598644885,0.0,0.0,0.000918767918488679,0.0007992887802294838,0.0,0.006207435276389628,1.8374454717919165e-05,0.0023998210051771607,0.00011245206684414311,0.0,0.0,7.422921896294269e-05,0.0002756168207687875,0.0,5.4144779798384484e-05,0.0,0.0,0.0,0.00022968068397398957,4.6259149448117705e-05,2.839291799745916e-05,7.422921896294269e-05,0.0005835387557670246,1.8374454717919165e-05,0.0004134252311531812,0.00013119407798483363,5.51233641537575e-05,0.0,0.00012862118302543418,0.00021130622925607043,0.0,0.0002449991820804368,4.593613679479792e-05,5.6949308496176656e-05,2.756168207687875e-05,0.0,0.0,0.08847297787460551,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.17083699703841343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024682227328173146,0.0,0.0,0.0,0.4399024828697541,0.12099123134824005,0.0,0.48878053652194897,0.0,0.0498557938261608,0.12099123134824005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024682227328173146,0.5274731319349695,0.0488780536521949,0.0,0.16879917471607414,0.0,0.026721179873800384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041700843089382135,0.0,0.0,0.0,0.0,0.0,0.0,0.048396492539296024,0.0,0.43761512707384365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.05074224487444477,0.0015561016941052623,0.022212356889251994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297061535549695,0.0,0.0,0.0,0.0,0.02887606395602759,0.004398689902695703,0.0,0.0045313907809252,0.004486701901608856,0.031939221965287395,0.015812273628499303,0.0066637070667755986,0.03484278759849534,0.0044424713778503985,0.003702059481541999,0.8538627759389623,0.062390908733894614,0.056619529847554924,0.042827593089817186,0.024815659112947887,0.022212356889251994,0.0,0.06646039812023627,0.09629232174987482,0.03423423727031577,0.004398689902695703,0.0,0.0014517828166039724,0.03276734930541188,0.047630119624001724,0.0350122881173684,0.05000160304134352,0.005611327363684328,0.0,0.004355348449811917,0.0,0.005611327363684328,0.0052866225777460675,0.0,0.005864919870260937,0.0,0.0,0.0,0.0,0.0,0.25538398377140714,0.0,0.011964538404290284,0.0,0.0020430404788158068,0.009343616235022315,0.0029035656332079447,0.025996211972456086,0.0,0.007258914083019862,0.0,0.024433592578177194,0.01414477947172295,0.0,0.004398689902695703,0.0014517828166039724,0.0090627815618504,0.0,0.021828229254743446,0.0,0.03992507895766497,0.0014517828166039724,0.0009137446431811421,0.008973403803217712,0.008797379805391406,0.0,0.0014517828166039724,0.0021776742249059585,0.0007404118963083999,0.0014517828166039724,0.0,0.0021776742249059585,0.005081239858113903,0.0,0.0,0.0021776742249059585,0.0,0.0210508508407576,0.0,0.27041284746967653,0.0,0.03276734930541188
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0,0.1044331617812309,0.02691571678184836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020704397524498735,0.0020500351400458113,0.010268845480055482,0.004927722706661894,0.006273160939741394,0.003383059337655153,0.010049185294480586,0.004140879504899747,0.005412894940248244,0.004140879504899747,0.004140879504899747,0.09178255902292268,0.0,0.002029835602593092,0.004059671205186184,0.0,0.02691571678184836,0.34660220378091616,0.09292277103991,0.0,0.047865199149730836,0.004100070280091623,0.3705630364925127,0.06495473928297894,0.0,0.0,0.049315659730025704,0.048086668526954764,0.007471976905021986,0.0,0.004059671205186184,0.01039065792962583,0.009713569976528582,0.008447524639991818,0.01039065792962583,0.0020500351400458113,0.0,0.0,0.0,0.0,0.7349798653673615,0.0,0.0,0.01672842917264372,0.16165246305733758,0.0,0.00937923960818188,0.004059671205186184,0.0,0.013315312907508573,0.004059671205186184,0.0,0.02553542361354844,0.006592257150807541,0.006869413922667791,0.014350245980320678,0.010149178012965459,0.01900693043998159,0.0,0.009574751842741112,0.0,0.0,0.0060895068077792755,0.005110272382880133,0.018819482819224184,0.02050035140045811,0.06611674964845697,0.012179013615558551,0.018268520423337826,0.014493078267149117,0.012179013615558551,0.006869413922667791,0.004059671205186184,0.022328191628524008,0.0,0.01691574219574229,0.010149178012965459,0.0,0.07104424609075821,0.34660220378091616,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0015602179494081157,0.01930163196193756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32172538949399615,0.0,0.0,0.0,0.0,0.014847409201490431,0.0014701084909946834,0.03068304504893469,0.004543377376275582,0.004498570284353237,0.0021834346858771872,0.007927050407307238,0.002969481840298086,0.0036390578097953118,0.002969481840298086,0.002969481840298086,0.846032470743518,0.0625559473749414,0.04949118621321624,0.03930182434578937,0.01599512295417214,0.01930163196193756,0.0,0.06663620151870854,0.0,0.034324794886978545,0.002940216981989367,0.0,0.0014556231239181247,0.0,0.0,0.03588501283638666,0.024669046676512183,0.004018693318231436,0.0,0.0029112462478362495,0.007451284200437081,0.003214954654585149,0.006057836501700777,0.007451284200437081,0.003675271227486709,0.0,0.0,0.0,0.0,0.0,0.27075147503416336,0.0,0.011996187424941965,0.0,0.0,0.0064857685150695584,0.0029112462478362495,0.0,0.0,0.0036390578097953118,0.0,0.025982966102608255,0.0007878997635138113,0.0,0.010290759436962784,0.0043668693717543745,0.013630132128826748,0.0,0.0,0.0,0.0,0.0014556231239181247,0.003664646851468037,0.013495710853059709,0.014701084909946836,0.047413233635104565,0.008733738743508749,0.008733738743508749,0.010393186441043301,0.008733738743508749,0.0,0.0029112462478362495,0.014556231239181247,0.0,0.0121305121788703,0.0072781156195906235,0.0,0.050946809337134365,0.0,0.286813252875774,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.001623757591356647,0.023178101571044406,0.15195504868221463,0.14412231421405924,0.1510980258616009,0.0016358258621311783,0.15195504868221463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030131532042357728,0.004589935316298699,0.045982954736539454,0.004728405738393275,0.004681773884373697,0.012119225258306918,0.007499889405494979,0.006953430471313323,0.014391579994239463,0.004635620314208881,0.003090413542805921,0.8909868613728035,0.06510352894805613,0.06135357787017877,0.043174739982718396,0.028669010002828146,0.023178101571044406,0.0,0.06934995082976804,0.10047890123313456,0.035722667009846235,0.004589935316298699,0.0020435314349847907,0.0015149031572883648,0.020043587359060772,0.0,0.03734642460120288,0.047206462077729355,0.006691766401265155,0.12032867152458852,0.0030298063145767296,0.007754736631767031,0.005018824800948865,0.007092608607589912,0.007754736631767031,0.004589935316298699,0.12032867152458852,0.15195504868221463,0.0,0.12019841779238899,0.0,0.0,0.0,0.01248473035832986,0.0,0.0021318674091114253,0.00674990046494548,0.0030298063145767296,0.0,0.0,0.006817064207797641,0.0,0.02704111849955181,0.019679684716648653,0.0,0.01070984907136363,0.005302161050509277,0.014185217215179824,0.0,0.030816310404094535,0.0,0.04166093404345121,0.0015149031572883648,0.00476736130597158,0.014045321653121091,0.015299784387662331,0.04934413046265323,0.00984687052237437,0.011361773679662734,0.010816447399820723,0.00984687052237437,0.0,0.0037872578932209118,0.015149031572883647,0.0,0.012624525467712488,0.008331967365086006,0.0,0.07347280312848568,0.0,0.0,0.0,0.020043587359060772
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.011633851675120056,0.0017838643467014874,0.024331811009596083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028737694345679662,0.0,0.0,0.0,0.0,0.027726947429539718,0.003921956088900659,0.0,0.005194638940170368,0.005143409063094559,0.0232998721208635,0.050534975397034276,0.0062244167698966716,0.06657106320246714,0.004526848559924852,0.04583434166923912,0.9744461560254218,0.0,0.008876141760328953,0.006102347460226155,0.00880529127139462,0.024331811009596083,0.0,0.0761880377891654,0.07359092287323236,0.03924501562743272,0.004482235530172182,0.0,0.0016642765800616787,0.014679958412573909,0.009579231448559886,0.04043425852523371,0.05519723991268468,0.005513694083655513,0.07280215900905512,0.004438070880164477,0.0,0.009189490139425856,0.005771821044633743,0.0,0.006163073853986751,0.07280215900905512,0.0,0.0,0.072887977499508,0.0,0.007199112020207514,0.0,0.01371575750158549,0.0,0.0,0.009887277795071923,0.0033285531601233574,0.019867474327086757,0.0,0.008321382900308393,0.0,0.009053697119849704,0.02222071303362052,0.0,0.0050425149714437055,0.0022190354400822383,0.010389277880340737,0.0,0.03532683067603516,0.0,0.03051254090552713,0.0016642765800616787,0.0006983247505116894,0.010286818126189118,0.010085029942887411,0.0,0.0022190354400822383,0.0033285531601233574,0.0016975682099718194,0.0022190354400822383,0.0,0.0022190354400822383,0.006657106320246715,0.0,0.0,0.0022190354400822383,0.0,0.016642765800616785,0.0,0.005123842795495588,0.0,0.014679958412573909
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0015777796655998297,0.019518889930723943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31772139694,0.0,0.0,0.0,0.0,0.015014530715941493,0.0014866559407273772,0.0,0.004594517349421177,0.004549205911659191,0.00220801129089001,0.008016276793622915,0.003002906143188299,0.0036800188181500162,0.003002906143188299,0.003002906143188299,0.8540978547387323,0.063260073227563,0.05004825592684022,0.039744203236020174,0.016175163063234663,0.019518889930723943,0.0,0.06738625445817727,0.0,0.034711152643196255,0.0029733118814547544,0.0,0.0014720075272600065,0.0,0.0,0.03628893230879608,0.024141987030453154,0.002438356488153276,0.0,0.002944015054520013,0.0,0.0032511419842043685,0.004594517349421177,0.0,0.003716639851818444,0.0,0.0,0.0,0.0,0.0,0.2674316173358098,0.0,0.01213121576442451,0.0,0.0,0.006558771922055112,0.002944015054520013,0.0,0.0,0.0036800188181500162,0.0,0.009008718429564896,0.0007967683142439175,0.0,0.004459967822182132,0.0014720075272600065,0.009189034698842354,0.0,0.0,0.0,0.0,0.0014720075272600065,0.0,0.009098411823318381,0.008919935644364264,0.0,0.0014720075272600065,0.0014720075272600065,0.0015014530715941495,0.0014720075272600065,0.0,0.0014720075272600065,0.005888030109040026,0.0,0.0,0.0014720075272600065,0.0,0.0014720075272600065,0.0,0.2832437548927016,0.0,0.0
