,findfirstfileexw ntclose findfirstfileexw,findfirstfileexw ntclose seterrormode,findresourceexw loadresource findresourceexw,findwindowa findwindowexa findwindowexa,findwindowexa findwindowexa ntdelayexecution,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getforegroundwindow findwindowa findwindowexa,gethostbyname gethostbyname gethostbyname,gethostbyname ntdelayexecution socket,gethostbyname socket gethostbyname,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getusernamew getusernamew getusernamew,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetdllhandle ldrgetprocedureaddress ntclose,ldrgetprocedureaddress getsystemmetrics getsystemmetrics,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,ldrloaddll ldrgetprocedureaddress ldrloaddll,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,lookupprivilegevaluew ntclose lookupprivilegevaluew,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntallocatevirtualmemory ntreadfile,ntallocatevirtualmemory ntreadfile ntwritefile,ntclose findfirstfileexw ntclose,ntclose ldrgetdllhandle ldrgetprocedureaddress,ntclose lookupprivilegevaluew ntclose,ntclose ntclose ldrunloaddll,ntclose ntclose ntclose,ntclose ntcreatefile setfilepointer,ntclose ntdelayexecution ntcreatemutant,ntclose outputdebugstringa outputdebugstringa,ntcreatefile ntcreatesection ntmapviewofsection,ntcreatefile ntqueryinformationfile ntallocatevirtualmemory,ntcreatefile setfilepointer ntreadfile,ntcreatemutant ntclose ntdelayexecution,ntcreatesection ntmapviewofsection ntclose,ntdelayexecution getforegroundwindow findwindowa,ntdelayexecution ntcreatemutant ntclose,ntdelayexecution ntdelayexecution ntdelayexecution,ntdelayexecution socket gethostbyname,ntdelayexecution timegettime ntdelayexecution,ntenumeratevaluekey ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntclose outputdebugstringa,ntfreevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntopenfile ntopenfile ntopenfile,ntopenkey ntqueryvaluekey ntclose,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntqueryattributesfile ntqueryattributesfile ntqueryattributesfile,ntqueryinformationfile ntallocatevirtualmemory ntallocatevirtualmemory,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntwritefile ntreadfile,ntreadfile ntwritefile ntsetinformationfile,ntreadfile setfilepointer ntreadfile,ntsetinformationfile ntfreevirtualmemory ntclose,ntwritefile ntreadfile ntwritefile,ntwritefile ntsetinformationfile ntfreevirtualmemory,ntwritefile setfilepointer ntwritefile,outputdebugstringa ntcreatefile ntqueryinformationfile,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,regclosekey regclosekey regclosekey,regclosekey regclosekey regopenkeyexa,regclosekey regopenkeyexa regqueryinfokeya,regclosekey regopenkeyexa regqueryvalueexa,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regenumkeyexa regopenkeyexa regqueryvalueexa,regopenkeyexa regqueryinfokeya regenumkeyexa,regopenkeyexa regqueryvalueexa regclosekey,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryinfokeya regenumkeyexa regopenkeyexa,regqueryvalueexa regclosekey regclosekey,regqueryvalueexa regclosekey regopenkeyexa,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regqueryvalueexw,setfilepointer ntreadfile ntclose,setfilepointer ntreadfile setfilepointer,setfilepointer ntwritefile setfilepointer,socket gethostbyname ntdelayexecution,socket gethostbyname socket,timegettime ntdelayexecution timegettime
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.000324856988197234,0.00014940665971791624,1.2585645278089724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007255542010831845,0.0,0.00024382821431559316,0.00011064256326261342,4.0271893058375794e-05,0.0,0.000245405111947003,1.0302580090807758e-05,0.0016299221655360048,0.00013348268235708808,0.0001637807296203894,0.00014907824684780532,9.347567905120984e-05,1.2585645278089724e-05,0.0,0.0,0.0,0.0,0.0005695622742697271,0.0,0.000324856988197234,4.658474497097392e-05,0.0,2.280310996515872e-05,0.0003366806151024541,2.6937218475923465e-05,0.0,0.0,8.717455749491109e-05,0.0,7.87366606630685e-05,0.0,8.665137077182808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010514136869288352,0.0,0.000148929391722454,5.3011804317429944e-05,0.0,0.000669755333996809,0.0,0.004954607233454958,2.4636144987362254e-05,0.0,4.30266177534587e-05,0.0,2.4462887964527625e-05,0.0,0.0,0.0,0.0,0.0,0.0006141324857464243,0.0,0.0,0.552207997654874,0.0017700527544797335,0.0002212565943099667,0.0,0.0,0.21883875545134557,0.002082087883586413,0.0022074591797296606,0.0010206217371639054,0.00013188726617397072,0.0003307948079567336,0.00026463911913418385,0.0,0.0,0.8039366997484835,0.0003969586787012757,0.00026463911913418385,0.02860674515684816,7.275146316217803e-05,2.1545253227556706e-05,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999424552223651,0.0,0.0,0.0,0.0,0.0011621138999915435,0.005366453002874372,0.0,0.0,0.0003615505271143463,0.00026502278405136437,0.0,6.3838202720166e-06,0.0005264825397554783,0.0002023582127901165,0.009012901209145916,0.00023447002770925142,0.00019353710728153058,0.00020473045535830662,4.478056901925444e-05,0.0,0.0,4.3287240116745525e-05,0.0,3.201098133287346e-05,9.744827666321239e-06,0.0,0.0,1.6737707138834077e-05,0.0,1.0924084746033437e-05,0.00011088729604974908,0.0,0.0,0.0,1.0440486574281018e-05,0.0,1.2573225830705247e-05,0.0,1.037782696217448e-05,0.0,0.0,0.001049211650632004,0.0,0.0,0.0,0.0,8.39485800891437e-06,0.0,0.0004899111912957507,0.0004571261546426907,0.0,0.0,0.0,7.303261486197427e-05,0.0,0.0,6.1837146695183e-05,0.0,0.0,0.0,0.0,0.0,0.001034142641083883,4.4196786836672743e-05,0.0,0.0,0.0,0.0,7.066362996257478e-06,0.000162526348913922,0.0003569034050420738,0.0,0.0001401638277084707,0.0,3.548684554890707e-05,0.0,0.0002106068974522144,0.0003433537265710034,3.5216202343483734e-05,0.0,0.0,0.0,0.0002394701759356894,3.5216202343483734e-05,6.325098952509327e-05,0.0,4.1285977656941354e-05,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,3.777709895584753e-05,1.1401858919049835e-05,0.00017672541768347253,0.0,0.0,0.0,0.0,0.0,0.9956310285870246,0.0,0.0,0.0,0.0,0.0008639133881021624,0.003475097154569722,0.00040009386518700935,0.0,0.0001913921500132186,0.0002579137686197831,1.6391038843796184e-05,2.4406562756005905e-05,0.0003713011705597114,0.00018869611020454186,0.010393841130155295,0.00019920525473762576,0.00020664691677799643,0.0001941639907559658,5.7068219417609844e-05,0.00016904170387114763,0.0,0.0008826420105213128,0.0,2.0397348074026888e-05,2.4837556807699282e-05,0.0,3.777709895584753e-05,4.9771125819860236e-05,0.0,1.3921619998958653e-05,0.00025051194233170114,1.6445551506953163e-05,0.0,0.0,4.656863391731854e-05,0.0,3.204656064934447e-05,0.0,4.628914765804987e-05,0.0,0.0,0.00020799521560158093,0.0,0.06704776852212284,0.00015385718213650003,0.0,1.0698381224821264e-05,0.0,0.0006122181829344019,0.00017800449498411354,3.665991465171782e-05,0.0,0.0,0.0031954905310431023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010452375386277842,0.0,0.00010973752318368572,1.8010798351421798e-05,0.0,0.0,7.20428101360673e-05,0.00027016053801025237,0.0004548366015866284,0.0,0.00017175418355945503,2.704561693373197e-05,7.235892290169304e-05,0.00044183734934570914,1.789311882049734e-05,0.0003786654228062409,5.385530393404552e-05,0.0,0.0,0.0,0.0002064453317471745,4.487941994503794e-05,2.6868955499031473e-05,0.0,0.0,0.0,0.0,0.0,0.0639423459836615
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.14916858897332733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5038272347913045,0.12123946721181669,0.03236124800098776,0.0,0.5144346774959263,0.04967300874861561,0.11979466946838559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32216805579025914,0.0,0.0,0.14916858897332733,0.0,0.0,0.0,0.02536369984518951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06265877514632857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047870021636981015,0.0,0.0,0.0,0.5420284865858814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.03836479668123663,0.006947542473741723,0.023409747676325286,0.0,0.0,0.0,0.0,0.0,0.0,0.4243525023445157,0.0,0.0,0.0,0.0,0.03670325552948618,0.0,0.0,0.031675051570249725,0.013719940090523889,0.0016646033973425434,0.0074358765789536915,0.03175389447938709,0.0031938608763113687,0.7320478158448152,0.04413911731756387,0.05280391653531625,0.03635591004616506,0.023182411518424997,0.023409747676325286,0.0772353279247663,0.10308292469169471,0.048274767588374554,0.0,0.0,0.0,0.0364465568471748,0.002166232046987238,0.041516858602701184,0.0035345496047600343,0.04109686311544582,0.0,0.0,0.0,0.005404925875629338,0.0,0.0,0.0,0.002686243839383672,0.0,0.0,0.0,0.36186615581461856,0.0,0.015625073586284833,0.0,0.0032594447312246145,0.0,0.008002625612503547,0.0,0.003723023235872211,0.0,0.027880953793863444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030647294722006495,0.0,0.0,0.0,0.005487268423745644,0.001829089474581881,0.0,0.0,0.001395409285209885,0.01098654606584741,0.011022691426522417,0.0,0.0018171481784345187,0.002563708764959258,0.0018231043345870261,0.0,0.0,0.0,0.006380865171054591,0.002734656501880539,0.02637739023043863,0.0,0.0,0.0,0.3368327325508178,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0,0.0,0.0504598177595112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04681303816309093,0.021654903872448318,0.0,0.005968157163941239,0.015510520996343721,0.0,0.008219520943639959,0.008775085154525963,0.006354813847877705,0.13997457851612538,0.0,0.0033674284804825765,0.006130273511655127,0.0,0.0504598177595112,0.19209357829344872,0.0,0.1200651709068733,0.34861786527609373,0.0,0.0,0.0,0.005986311596870625,0.1040223058749763,0.005860567519010801,0.0703051394144883,0.0,0.0,0.0,0.0033606756770419724,0.0,0.0,0.0,0.0033405062497991783,0.0,0.0,0.8530796428691686,0.0,0.0,0.038861443033058565,0.0,0.02522063372613858,0.0,0.014289688964046586,0.0,0.00925960793673307,0.0,0.0,0.015672253756322217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05697515583507055,0.0,0.0,0.008765097065797886,0.031844163304841244,0.022745830932029455,0.0,0.0,0.010411653707522525,0.0409872982399361,0.04569127227650115,0.11446137484021726,0.027116800453667406,0.0382575179205307,0.027205682527113705,0.0,0.0,0.012759427575109155,0.049877084633041795,0.02267140210592809,0.1583538834063915,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.019948324335431616,0.0,0.0,0.0,0.0,0.0,0.0,0.4506879863838144,0.0,0.0,0.0,0.0,0.018506639735698518,0.035670217832119266,0.0,0.00212345715996606,0.006744966765701257,0.0,0.0032494304764843674,0.00325224578138191,0.002512254172873268,0.7112932711308727,0.04339915151378609,0.045262448193062035,0.03271706698557677,0.01465313933984369,0.019948324335431616,0.07594052401881804,0.0,0.047465470090562956,0.0,0.0,0.0,0.0,0.002129916467174312,0.041727983467435656,0.002085177001520153,0.019883251828369534,0.0,0.0,0.0,0.003321447211290865,0.0,0.0,0.0,0.0013206052870250373,0.0,0.0,0.0,0.37621442308818603,0.0,0.01536312860781646,0.0,0.0,0.0,0.005447399814227671,0.0,0.0036606089863666074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03195978463203785,0.0,0.0,0.0,0.012588981213188917,0.0053952776627952505,0.0,0.0,0.001372016086249868,0.016203544824915574,0.018063171036688048,0.04525011644065407,0.010720108680673456,0.010082918906347453,0.010755246509295087,0.0,0.0,0.0,0.017925410848825145,0.008962705424412572,0.06260218063055525,0.0,0.0,0.0,0.35034545084351604,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.0,0.02662884155176644,0.201333736736941,0.19095570907008838,0.0,0.0,0.201333736736941,0.0,0.0,0.0,0.0,0.0,0.0,0.04175035072749248,0.059424590776157346,0.0,0.013102077912476176,0.007093900211254343,0.0,0.008458390152564475,0.014297657906808932,0.002906441073679501,0.8327123199265621,0.05020872405527529,0.062375220367889055,0.03995336888536536,0.029195627517874072,0.02662884155176644,0.08785602211284359,0.11725794341149001,0.05491307103490172,0.001178158034873384,0.0,0.0,0.0,0.0016427416117750808,0.04827534028249465,0.0024123530765912506,0.04229592438084121,0.0,0.17029390173414963,0.0,0.004611121296495179,0.0,0.0,0.17029390173414963,0.0022917235981369972,0.201333736736941,0.1704809707914424,0.0,0.0,0.0,0.017773690452232288,0.0,0.00370765368745507,0.0,0.006302127681100708,0.0,0.00423497925788614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03697445575511501,0.0,0.0,0.0,0.014564263627809932,0.007282131813904966,0.0,0.0,0.0015872931767349377,0.018745972731126697,0.020897384822286626,0.052350115856900394,0.013435667283828749,0.014581232448741044,0.013479706032735048,0.0,0.0,0.0,0.020738009281130846,0.011405905104621963,0.10036010375500432,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.010096292399662473,0.0,0.029434163473614355,0.0,0.0,0.0,0.0,0.0,0.0,0.004712023419082467,0.0,0.0,0.0,0.0,0.04045235635149945,0.0,0.0,0.02652294279515717,0.05032979084013341,0.002920441669252384,0.00797241894495346,0.06963775631682953,0.04538776243717316,0.958924441156384,0.0,0.009501655493782922,0.0059459801875536775,0.009441732584805377,0.029434163473614355,0.1016283835401681,0.09042624481562345,0.06352127617769353,0.0,0.0,0.0,0.008413576999718729,0.0031670979132282246,0.05503369187097553,0.00496091547776967,0.052073561393520026,0.0,0.10848684622133331,0.0,0.00651928856175619,0.0,0.0,0.10848684622133331,0.003534634040231189,0.0,0.10885187382496228,0.0,0.01170869286438107,0.0,0.020559904566173428,0.0,0.0028592450991299615,0.0,0.009720070538004813,0.0,0.00489885708406311,0.0,0.024457687449181476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013034847412268971,0.0,0.0,0.0,0.007220299763593749,0.0032090221171527777,0.0,0.0,0.0018361181837793187,0.014456401589299575,0.014503962655932911,0.0,0.003188071866234562,0.004497865327541362,0.003198521566532018,0.0,0.0,0.0,0.009595564699596054,0.003198521566532018,0.023936621100241966,0.0,0.0,0.0,0.007325848564943862,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.020282355729722746,0.0,0.0,0.0,0.0,0.0,0.0,0.44749480686922327,0.0,0.0,0.0,0.0,0.018816530359623208,0.0,0.0,0.0021590140991823077,0.006857910119504301,0.0,0.0033038416528047903,0.003306704099517579,0.002554321453817164,0.7219717257443278,0.04412586313364146,0.04602036040787921,0.03326490886535298,0.014898503736478073,0.020282355729722746,0.07721213554340857,0.0,0.04826027154297735,0.0,0.0,0.0,0.0,0.0021655815664222825,0.042426711654535945,0.0021200929458094907,0.019564058317048973,0.0,0.0,0.0,0.0033770642959339726,0.0,0.0,0.0,0.0013427186043100234,0.0,0.0,0.0,0.37361839534900404,0.0,0.015620381657408599,0.0,0.0,0.0,0.005538615623867169,0.0,0.003721905278882708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011141124323641463,0.0,0.0,0.0,0.005485620695622838,0.0018285402318742794,0.0,0.0,0.0013949902688716075,0.010983247003449288,0.011019381510321875,0.0,0.0018166025214836116,0.001708625952851336,0.0018225568891094353,0.0,0.0,0.0,0.007290227556437741,0.0018225568891094353,0.0018185841085552699,0.0,0.0,0.0,0.34786321046777413,0.0,0.0
