,cryptcreatehash cryptcreatehash crypthashdata,cryptcreatehash crypthashdata crypthashdata,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata cryptcreatehash cryptcreatehash,crypthashdata crypthashdata cryptcreatehash,crypthashdata crypthashdata crypthashdata,findfirstfileexw ntclose findfirstfileexw,findresourceexw loadresource findresourceexw,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getforegroundwindow getforegroundwindow getforegroundwindow,gethostbyname gethostbyname gethostbyname,gethostbyname socket gethostbyname,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics getkeystate getkeystate,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,ldrgetdllhandle ldrgetdllhandle ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress ntprotectvirtualmemory ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntclose findfirstfileexw ntclose,ntclose lookupprivilegevaluew ntclose,ntclose ntclose ntclose,ntclose process32nextw ntopenmutant,ntdelayexecution ntdelayexecution ntdelayexecution,ntdelayexecution socket gethostbyname,ntdelayexecution timegettime ntdelayexecution,ntenumeratevaluekey ntenumeratevaluekey ntenumeratevaluekey,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntopenfile ntopenfile ntopenfile,ntopenkey ntqueryvaluekey ntclose,ntopenmutant ntclose process32nextw,ntprotectvirtualmemory ldrgetprocedureaddress ntprotectvirtualmemory,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntreadfile ntwritefile ntreadfile,ntreadfile setfilepointer ntreadfile,ntwritefile ntreadfile ntwritefile,ntwritefile ntwritefile ntwritefile,ntwritefile setfilepointer ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw ntopenmutant ntclose,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,regclosekey regclosekey regclosekey,regclosekey regopenkeyexa regqueryvalueexa,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regopenkeyexa regopenkeyexa,regopenkeyexa regqueryvalueexa regclosekey,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexa regclosekey regopenkeyexa,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regopenkeyexw regclosekey,regqueryvalueexw regopenkeyexw regqueryvalueexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,regsetvalueexa regsetvalueexa regsetvalueexa,searchpathw searchpathw searchpathw,sendto sendto sendto,setfilepointer ntreadfile ntreadfile,setfilepointer ntreadfile setfilepointer,socket gethostbyname ntdelayexecution,socket gethostbyname socket,thread32next thread32next thread32next,timegettime ntdelayexecution timegettime,timegettime timegettime timegettime,writeprocessmemory writeprocessmemory writeprocessmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0004506134326442773,2.2049967435035367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008614767349459305,0.0,0.0004036988504363284,0.0001729172411788224,0.0,0.00037312565823759597,0.0025358688794147586,0.00017381457644463535,0.00024603712442718145,0.0,0.0,0.00023205516749331414,2.2049967435035367e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0004487052475718121,0.0,0.0005144777760863128,0.0,0.0,0.0,0.0,0.0,0.0,0.000683324307810732,0.00014186786192140152,0.0,0.00023286838098017854,0.0,0.0,7.073775762607198e-05,0.0,0.00577375235353302,3.9747475714259195e-05,5.3778964970051184e-05,4.319441162817873e-05,3.7467647507534555e-05,0.0,0.0,0.0,0.0,0.0,0.0008425834728096201,0.6280797330075476,0.002358427752198805,0.00029088379487729807,0.0027117191950886024,0.004337975271456443,0.0,0.3408359188328958,0.00228707574141866,0.002846766767985445,0.002957256335969718,0.0012205967103513689,0.00017770552614135814,0.00044562147707239954,0.000353035331421465,0.6983861514601111,0.000524668540770589,0.0029687649365692263,0.00047008517270212763,0.00036914233648574566,0.003138365203439152,0.038542655254733105,0.0,0.0,0.0,0.00011738195163597066,2.5044901108841068e-05,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005050798754628765,0.9999024148515452,0.0,0.0,0.0,0.0008184870445652789,0.004716331952762447,0.004730600877803236,0.004091602306986152,0.004123049140157245,0.0046049322237887245,0.0,0.0,0.0003488711010183119,0.00024139136107330478,0.0,0.0004665282258510509,0.008172350434586164,0.0001779389592614668,0.0001694433498630663,0.0,0.0,0.00018572991571130895,0.0,0.0,3.273468832058092e-05,2.567445043642627e-05,2.98859743000384e-05,4.092796617729045e-05,0.0,0.0,0.0,9.875355599395623e-05,0.0,0.0008537403952971601,0.0,0.0,0.0,4.145359948651875e-05,1.5262661707291514e-05,6.601554217170593e-06,0.0,0.00044644700169170064,0.0,0.0,0.00035549804354038244,0.0,4.960074647423885e-05,0.0,4.504505437190891e-05,0.0,0.0,0.0,0.0,0.0,0.0009317762340577623,2.3138403427552115e-05,0.0,0.0,5.487250058806825e-06,0.00012452872041839077,0.0,0.0,0.0,0.00012722706583623714,0.0001239900227291876,0.0,2.770678458028968e-05,0.0,0.00016538385080659744,0.0002695700486214837,2.7379725628613392e-05,0.0,0.00018446483965986745,0.0,0.0,2.8628907622899978e-05,0.0,4.966643063321352e-05,0.0,0.0,0.0,3.2772890519974416e-05,2.797001721931191e-05,0.0,0.0,0.0,0.0,0.0,1.7594678571062738e-05
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,0.0,0.0,0.0,0.0,0.0,3.058363332400644e-05,0.00018070910552313787,0.0,0.0,1.5645652327389154e-05,0.9970275160531248,0.0,0.0,0.0,0.0006093396378520342,0.003201320960257512,0.0031933148329650277,0.002543977320805378,0.002513685549456202,0.002986269337638359,0.0002772580335546423,0.0,0.00018494654811476935,0.0002352551562719016,0.0,0.000329493143796893,0.009438099612835356,0.00015139467975502837,0.00018118211504388734,0.0,0.0,0.0001763982250892657,0.0001728521878916971,0.0,0.0006684347498595118,1.6383322760689712e-05,9.535385463996725e-06,1.3058431016498047e-05,1.0197290841161214e-05,3.0454122687299153e-05,0.0,0.0002234217739652381,0.0,0.00016948926005015382,0.0,0.05653022015274671,0.00018350789968725646,0.0,0.0,8.425137958057318e-06,0.0,0.0005587079952705763,0.0,0.0,0.00013863032007012475,0.0,0.0021733767113234492,0.0,0.0,0.0,0.0005607250572805,0.0,0.0,0.0,0.00094313159459356,0.0,8.787282190844632e-05,0.0,5.602418731705278e-05,0.000207297359817455,1.840473885866814e-05,0.0,0.0,0.00015612663472971966,3.164809414725355e-05,2.1582327442358107e-05,5.657661206046468e-05,0.0003084028341662332,1.4071249620341192e-05,0.0002977224839283421,4.193157394508714e-05,0.0,0.00015925509821864857,0.0,0.00012762080764976678,3.6537228715632634e-05,2.0708753940801746e-05,2.1128687588988847e-05,0.0,0.0,0.0,5.576790249320729e-05,0.0,0.0,0.0,0.0,0.05100296466700822,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.0,0.0,0.0,0.0,0.0,0.0,0.14123900529832084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5694040384792785,0.1293377903544017,0.0,0.5339088186392315,0.12722216158239433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3026408518159708,0.0,0.060305451219205074,0.0,0.14064090914308963,0.0,0.02645613883012835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05109272666694876,0.0,0.0,0.0,0.4685506625268265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0,0.0,0.0,0.0,0.0,0.0,0.03477626030728183,0.026802003202417074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0353147482127057,0.0,0.0,0.034271170854260014,0.014012200442721393,0.0,0.031550523060907415,0.7442818598807073,0.037559773965169116,0.051837259540093564,0.0,0.0,0.03698197018269075,0.026802003202417074,0.09604798212371309,0.08740789462544254,0.0,0.0,0.001484857575368449,0.0,0.03289754563966372,0.05599119898593081,0.041038855258536226,0.0,0.0,0.46792381718032117,0.0,0.0208664497784091,0.0,0.0011074519930058297,0.0028740351512537036,0.0,0.008177125526384795,0.0,0.0,0.0,0.023073569192540895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027477743617591466,0.0,0.004777829291081391,0.0015714346013439803,0.0,0.0,0.0021842256211174267,0.0014202368783956837,0.0008996661291305281,0.009816395968667279,0.009649881854166873,0.0,0.0016000238901033945,0.0022569096550726043,0.0015893286398859215,0.0,0.005511341829493779,0.0,0.0,0.002492761072421362,0.0,0.02322432308928822,0.0,0.0,0.0,0.0,0.0,0.43587854337022774,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05985795626228029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04666852119036383,0.017408994742851038,0.15525314088221034,0.006690484170048061,0.01641293301268953,0.0,0.009033719277454966,0.1474527369910936,0.0,0.003425152900321213,0.0,0.0,0.006461012189316907,0.05985795626228029,0.24750887818783876,0.0,0.32484269642307895,0.03911673753141588,0.1224439450772966,0.0059760075603401555,0.0,0.14535415273083863,0.07274100930652622,0.0,0.8064428658985012,0.0,0.0,0.05377136991555628,0.19377574846975565,0.0,0.023041467413886917,0.0,0.015128526332629401,0.0,0.0,0.0,0.0,0.012365854052736706,0.0,0.0,0.0,0.013039944868830849,0.0,0.0,0.0,0.0,0.0,0.05292734740737906,0.006750136560096102,0.028728301532310048,0.0202473808779881,0.0,0.0,0.00562859542947585,0.010979550910708638,0.009273504739657263,0.03794424047747815,0.04144510864187379,0.09268513379432651,0.024738892542467715,0.03489538236287899,0.024573527107938,0.007504965446980086,0.04463592359040984,0.0,0.023372105740246146,0.021412231781910603,0.0,0.14445934565210933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022940953591432164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017886016256849057,0.027800463339080386,0.0,0.002307754671059551,0.006919400424947897,0.0,0.0032458425481805193,0.7264089874594328,0.03709497548196122,0.04463221722953601,0.0,0.0,0.03342904044169127,0.022940953591432164,0.09485939785673426,0.0,0.0,0.0,0.0014664826099213455,0.0,0.0,0.05652716485324079,0.019943827113567267,0.0,0.0,0.48864915172445295,0.0,0.020608229528842843,0.0,0.0,0.0,0.0,0.005591031513086102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028782418913705213,0.0,0.011010309629109403,0.004655964761322918,0.0,0.0,0.0021571960453638382,0.001402661587674116,0.0035541313995122855,0.014542378561035204,0.01588410920311081,0.03552218428030781,0.009481342517499424,0.008915922486387399,0.009417965132168214,0.0,0.01555182720043359,0.0,0.008957512528019717,0.00820637800337567,0.0,0.055364989909320525,0.0,0.0,0.0,0.0,0.0,0.4553886567265819,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034722703652127984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04575118984497071,0.05251322457421806,0.0,0.016145166469247685,0.00825144367368769,0.0,0.016179504092440147,0.9642368243565395,0.04865968005390974,0.06973948388512666,0.0,0.0,0.04628701421760764,0.034722703652127984,0.12443269984259282,0.11323923809030677,0.001206735447966155,0.0,0.0019236722406811104,0.0,0.0,0.07415003569555895,0.04810340547247596,0.0,0.0,0.0,0.0,0.02703303728664468,0.0,0.0014347333321201932,0.0037233885127579375,0.0,0.007334087731919235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03775560644862971,0.0,0.01444287634338718,0.007125422732650875,0.0,0.0,0.002829722031545983,0.001839954419522991,0.005827706263545114,0.0190761007066016,0.02083612838996466,0.04659655652653942,0.013473676097760358,0.014619430594584284,0.01338361223177307,0.0,0.02040025437393226,0.0,0.011750100600667201,0.0118412721707789,0.0,0.10063825088236728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.0,0.0,0.0,0.0,0.0,0.0,0.009172276431888953,0.033774385634645354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03900862024718559,0.0,0.0,0.028760640809088148,0.05151627940253446,0.0,0.06934570607657085,0.9771193444610518,0.0,0.009348467358712849,0.0,0.0,0.006061829541377152,0.033774385634645354,0.1266637980880532,0.07684642384871429,0.0,0.0,0.001958163992177732,0.0,0.00761119596275773,0.074385651082732,0.052115760922090595,0.0,0.0,0.01517402644245658,0.0,0.027517743976574208,0.0,0.0,0.002526766310248805,0.0,0.009954118800079865,0.0,0.0,0.0,0.020285596460946183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011712783397077903,0.0,0.006300788327288643,0.002763117220541416,0.0,0.0,0.0028804594009650283,0.001872945097072524,0.0007909597294129616,0.01294542549916492,0.012725834106284598,0.0,0.0028133869269782014,0.0039684158206799245,0.0027945810345607735,0.0,0.008306413681398547,0.0,0.0,0.0029220819583209395,0.0,0.02112220842175155,0.0,0.0,0.0,0.0,0.0,0.00950111068500846,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023283921429162805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018153412653288205,0.0,0.0,0.00234225566189202,0.007022845636703314,0.0,0.0032943679765558833,0.7360128256529365,0.03764954630575082,0.04529947000851618,0.0,0.0,0.03392880544369969,0.023283921429162805,0.09627754825931847,0.0,0.0,0.0,0.0014884065621140808,0.0,0.0,0.05737224740072478,0.019589020484979253,0.0,0.0,0.48442064407085217,0.0,0.02091632308270469,0.0,0.0,0.0,0.0,0.005674617575935869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010015788619227877,0.0,0.0047892488730724315,0.0015751905175101573,0.0,0.0,0.0021894461809255895,0.0014236314139664322,0.0,0.00983985832610855,0.00967294622300969,0.0,0.0016038481380803507,0.0015082026255953188,0.0015931273249389364,0.0,0.006313730964523641,0.0,0.0,0.0016658127125105306,0.0,0.001605505654626643,0.0,0.0,0.0,0.0,0.0,0.4513639928598243,0.0,0.0,0.0,0.0,0.0
