,cryptcreatehash cryptcreatehash crypthashdata,cryptcreatehash crypthashdata crypthashdata,cryptdecrypt cryptdecrypt cryptdecrypt,crypthashdata cryptcreatehash cryptcreatehash,crypthashdata crypthashdata cryptcreatehash,crypthashdata crypthashdata crypthashdata,findfirstfileexw getfileattributesw setfileattributesw,findfirstfileexw ntclose findfirstfileexw,findresourceexw loadresource findresourceexw,findresourceexw loadresource ntqueryvaluekey,getasynckeystate getasynckeystate getasynckeystate,getasynckeystate getkeystate getkeystate,getfileattributesw findresourceexw loadresource,getfileattributesw ntqueryvaluekey getfileattributesw,getfileattributesw setfileattributesw findfirstfileexw,getkeystate getasynckeystate getkeystate,getkeystate getkeystate getasynckeystate,getkeystate getkeystate getkeystate,getkeystate getkeystate getsystemmetrics,getkeystate getsystemmetrics getsystemmetrics,getsystemmetrics getsystemmetrics getkeystate,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress process32nextw,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrgetprocedureaddress ntprotectvirtualmemory ldrgetprocedureaddress,ldrgetprocedureaddress process32nextw ldrgetdllhandle,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,loadresource findresourceexw loadresource,loadresource ntqueryvaluekey getfileattributesw,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntfreevirtualmemory,ntallocatevirtualmemory ntreadfile ntreadfile,ntclose findfirstfileexw ntclose,ntclose ntclose ntclose,ntclose ntopenkeyex ntopenkeyex,ntclose ntopenkeyex ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose process32nextw ntopenmutant,ntdelayexecution ntdelayexecution ntdelayexecution,ntfreevirtualmemory ntallocatevirtualmemory ntfreevirtualmemory,ntfreevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntopenfile ntopenfile ntopenfile,ntopenkey ntqueryvaluekey ntclose,ntopenkeyex ntopenkeyex ntquerykey,ntopenkeyex ntquerykey ntclose,ntopenkeyex ntqueryvaluekey ntquerykey,ntopenmutant ntclose process32nextw,ntprotectvirtualmemory ldrgetprocedureaddress ntprotectvirtualmemory,ntprotectvirtualmemory ntprotectvirtualmemory ntprotectvirtualmemory,ntquerykey ntclose ntopenkeyex,ntquerykey ntopenkeyex ntopenkeyex,ntqueryvaluekey getfileattributesw findresourceexw,ntqueryvaluekey getfileattributesw ntqueryvaluekey,ntqueryvaluekey ntclose ntopenkey,ntqueryvaluekey ntquerykey ntclose,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntallocatevirtualmemory ntreadfile,ntreadfile ntreadfile ntallocatevirtualmemory,ntreadfile ntreadfile ntreadfile,ntreadfile ntreadfile setfilepointer,ntreadfile setfilepointer ntreadfile,ntwritefile ntwritefile ntwritefile,process32nextw ldrgetdllhandle ldrgetprocedureaddress,process32nextw ntopenmutant ntclose,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,regclosekey regclosekey regclosekey,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regqueryvalueexw,regenumkeyw regenumkeyw regenumkeyw,regopenkeyexa regqueryvalueexa regclosekey,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regopenkeyexw,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regopenkeyexw regclosekey,regqueryvalueexw regopenkeyexw regqueryvalueexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,regsetvalueexa regsetvalueexa regsetvalueexa,searchpathw searchpathw searchpathw,sendto sendto sendto,setfileattributesw findfirstfileexw getfileattributesw,setfilepointer ntreadfile ntreadfile,writeprocessmemory writeprocessmemory writeprocessmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012524687242703113,6.199675339312716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021596303198528903,0.0011533927769640986,0.0,0.001125666139278777,0.007691232483918955,0.000490654914313284,0.0007324181456345411,0.0,0.0,0.0007039353635405932,6.199675339312716e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012409074367314603,0.0015428197972064365,0.0012304016716398055,0.0,0.002794766051259285,0.0,0.0,0.0,0.0017384664113296994,0.0,0.000708878612480987,0.0006515668505670032,0.0003257834252835016,0.0,0.0,0.0,0.00019004892590396345,0.0012934249834949752,0.0,0.0,0.0,0.0003202377762810645,0.0,0.0,0.0,0.0,0.01471708305692028,0.00018004234487312184,0.00014086762983141823,8.493449713825443e-05,0.0,0.0,0.0,0.0,0.002358966976179492,0.006664743002638249,0.0008227400849817469,0.0069450515421384555,0.012455332867543975,0.9936754226804082,0.006179109051138546,0.008027383307753209,0.008328792226768352,0.0033074922888190316,0.0005000248844671645,0.001278370309300879,0.0008011230462014046,0.000993980697688168,0.0014829335703824126,0.007398169005902865,0.001269850135113978,0.0010240757250108443,0.007665757222871337,0.10837539084748389,0.0,0.0,0.0,0.0,0.0002654343075913745,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05242166968439482,0.3964703493616948,0.3979205141761011,0.3593878502999203,0.33672659567794455,0.0,0.026155189114696845,0.0,0.036932232967101485,0.650413100609343,0.013180568992460881,0.013235981018811785,0.0,0.0,0.014784156635356744,0.0,0.0,0.0,0.002323181451223071,0.001794889722170016,0.003134541296375271,0.0,0.0005691082940937113,0.0,0.007770956552201366,0.0,0.0,0.0,0.0,0.07784358184772103,0.003502173725707903,0.0010189265211417422,0.0,0.0356618947900664,0.0,0.0,0.0,0.0,0.0,0.025062506340422015,0.0,0.0,0.0,0.0,0.03519252240053239,0.0,0.0,0.0013003432567556263,0.0006799461617563662,0.003317607125721308,0.0013190499319128105,0.0030961289301490976,0.0,0.0,0.0,0.05629853738904679,0.0020098677185910884,0.0,0.00040690098071287915,0.00924242232694889,0.0,0.0,0.009733115056740332,0.008790330541762629,0.0,0.002047634033723839,0.0,0.012211160477755445,0.020292490560302096,0.0,0.00202284229383831,0.013681175844610658,0.0,0.0,0.002084088447052472,0.0,0.003664587957455787,0.0,0.0,0.0,0.0,0.0019446597721356129,0.001115163089498374
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002430685085610757,0.014528403500014268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04252674842956303,0.2932508467832958,0.2927018499708688,0.2387588819426612,0.23795063060620636,0.01987452983095195,0.015109246501580515,0.0,0.02842351159017616,0.8185223902009936,0.012220175251418839,0.015422353021286072,0.0,0.0,0.015300746238079813,0.013896733782622343,0.0,0.0,0.051693703646991294,0.0012480796717368931,0.0010898043550820486,0.0007325980773138293,0.003957304363058478,0.0024082479191996635,0.01915803408346684,0.0,0.0,0.0,0.0,0.01684003042774555,0.0,0.0,0.0,0.04863210835911195,0.0,0.0,0.0,0.0,0.0,0.010649990460845173,0.0,0.0,0.0,0.0,0.047310950513894126,0.0,0.0,0.001808391863846348,0.003782413913820437,0.15840739777738527,0.0036688146033528233,0.0,0.03634582407058671,0.0,0.0,0.06209569394884837,0.0,0.007034615429592861,0.0045270288077515295,0.016765393944807475,0.0013478367064302498,0.0,0.013015266122297291,0.0024449486163992166,0.0017401923412026861,0.0045562427704942034,0.023895816120957182,0.0011321402068964117,0.024421877995706234,0.008162446265231337,0.0033758085278022395,0.012870839612457476,0.0,0.009857669815046627,0.0028983490102368723,0.001446380009928141,0.0016987850482768766,0.0,0.0,0.0,0.0,0.0036059267598347487,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343246977656867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55664552675749,0.0,0.5511376089698025,0.13202931832499695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27588588202725706,0.06022484833050372,0.0,0.0,0.13308477342718225,0.027146479151827288,0.0,0.03592243698810821,0.0,0.0,0.0,0.0,0.0,0.0,0.0532180424710247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4986051605852187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04152580449015575,0.03237432114351175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042277525296432916,0.0,0.04206501785736825,0.0,0.04089154053353534,0.9697928997575433,0.04554968201395866,0.06629379905337127,0.0,0.0,0.04819522415105443,0.03237432114351175,0.0,0.153835719574671,0.10156050408517957,0.0,0.0018618208853775156,0.0,0.0,0.03908536371333865,0.05287084392532203,0.0,0.0022210481318636227,0.0,0.0,0.0,0.0,0.0012104218757114326,0.0,0.010693858549051702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037161374656960195,0.0,0.03082825535533585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03304931122034227,0.005800479285804636,0.0019094657037882887,0.0,0.0,0.0017788216156222026,0.0010442370633911187,0.011891772795058177,0.011675822237356217,0.0,0.0019341474206319052,0.002781487784207175,0.0009960511890775676,0.001922409526318003,0.006692161931854039,0.0,0.0,0.0029709222734566844,0.0,0.0280546291234429,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0516012161744809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039873294509640424,0.013380939740790875,0.0058607651679041094,0.0,0.008355994331024854,0.13711944330885623,0.0,0.003126190754170067,0.0,0.0,0.0060092345831421045,0.0516012161744809,0.0,0.2829204636246924,0.0,0.26534665992908135,0.10957085483834449,0.00460354404496303,0.0,0.0,0.06688133981210861,0.0,0.0,0.013420057001303514,0.0,0.8591608690168735,0.1912840531493548,0.0,0.0,0.014120010945140435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006834377201827158,0.0,0.0,0.0,0.0,0.009664174499881552,0.0,0.0,0.009063177955321432,0.0,0.0,0.0,0.0,0.04543244523143592,0.02489131491103605,0.017558565841693515,0.0,0.0,0.009814333841104618,0.00768185789166604,0.03280537720822657,0.035788491880878334,0.07700408850096342,0.021342633029960336,0.030692734391598933,0.025645836414432487,0.02121310951576811,0.038681050108167116,0.0,0.019357569049262346,0.018212820562160347,0.0,0.1245408276922991,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028592538268722476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220940276932999,0.030893573509032483,0.0029227360960370177,0.0,0.004340724140018168,0.9766312210403827,0.046417879502718196,0.058896185082876674,0.0,0.0,0.0449516564540607,0.028592538268722476,0.0,0.15676789779218997,0.0,0.0,0.0018973080314065363,0.0,0.0,0.0,0.026511685205616826,0.0,0.0,0.007436132746963647,0.0,0.0,0.0,0.0,0.0,0.007544553450571415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037869687223140965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035720412426659146,0.013792424421666847,0.005837582944653016,0.0,0.0,0.0018127267581248682,0.004256562771692436,0.018177653024193094,0.019830614461174983,0.042668419671874874,0.011826078858316368,0.01133801678492907,0.014210509237487633,0.011754309115066168,0.019484907306913456,0.0,0.010726143197070477,0.010091831307698513,0.0,0.06900880726860614,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03227440162217775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04214704070427484,0.04351993320165381,0.01524915968885103,0.0,0.016136277891159567,0.9667997484291391,0.04540909829627775,0.06863108303081017,0.0,0.0,0.04641778120251767,0.03227440162217775,0.0,0.1533609237821713,0.1012470495756735,0.0010628187345655608,0.001856074594950238,0.0,0.0,0.0,0.047687886752557564,0.0,0.0,0.007274526248689764,0.0,0.0,0.0,0.0012066860514482098,0.0,0.007380590688518138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037046680459933575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034944114992817826,0.013492679179167928,0.006662503271382395,0.0,0.0,0.0017733314926453021,0.005205070744688465,0.017782605362721877,0.01939964365003683,0.041741123976021706,0.01253315636878287,0.013864515252186984,0.013901677924935183,0.012457095535308077,0.019061449611063788,0.0,0.010493036217804865,0.010859760532475195,0.0,0.09354827781744728,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084190683058725,0.031359750212687255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035897628146461406,0.0,0.027135786583783295,0.0,0.06908729746700866,0.978680417206766,0.0,0.009190158697932315,0.0,0.0,0.0060725262584308765,0.031359750212687255,0.0,0.15594561585064967,0.06863562159882776,0.0,0.0018873562354474363,0.0,0.0,0.006951127979392534,0.05161094474824618,0.0,0.0015010069170542889,0.0,0.0,0.0,0.0,0.0,0.0,0.010006640821554879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003767105242370871,0.0,0.020834048513054166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010829120318179397,0.005880034344134702,0.0025808726863197433,0.0,0.0,0.0018032186094595793,0.0007057060280271178,0.012054871503241483,0.0118359591283572,0.0,0.0026142329968646193,0.0037595154683062342,0.0020194245722506203,0.0025983678201455212,0.007753081881080941,0.0,0.0,0.002677039318217382,0.0,0.01961338313370231,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02879145449438232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022247734249782256,0.0,0.002943069360169061,0.0,0.0043709222446582,0.981750232283665,0.046740805341167264,0.059305921592883025,0.0,0.0,0.0452643818845546,0.02879145449438232,0.0,0.15785852074564644,0.0,0.0,0.0019105074664820276,0.0,0.0,0.0,0.025834959761283114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007597040364554784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003813314390469016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01233220003149556,0.005952161709936486,0.0019593981959973457,0.0,0.0,0.0018253377673850446,0.0,0.012202742429790593,0.011981144769069918,0.0,0.0019847253392717983,0.0019028157582691222,0.0020441958178432796,0.0019726804992425493,0.00784818496045083,0.0,0.0,0.0020324078899873537,0.0,0.001985397044613973,0.0,0.0,0.0,0.0,0.0,0.0
