,closesocket ntdelayexecution socket,connect shutdown closesocket,createtoolhelp32snapshot process32firstw process32nextw,findfirstfileexw ntclose findfirstfileexw,findresourcea loadresource sizeofresource,findresourceexw loadresource findresourceexw,findwindowa findwindowexa findwindowexa,findwindowexa findwindowexa ntdelayexecution,findwindowexa ntdelayexecution getforegroundwindow,findwindowexa ntdelayexecution socket,getfiletype writeconsolew getfiletype,getforegroundwindow findwindowa findwindowexa,gethostbyname gethostbyname gethostbyname,gethostbyname ntdelayexecution getforegroundwindow,gethostbyname ntdelayexecution socket,gethostbyname socket gethostbyname,getsystemmetrics getsystemmetrics getsystemmetrics,getsystemmetrics getsystemmetrics ldrloaddll,getsystemmetrics ldrloaddll ldrgetprocedureaddress,getsystemtimeasfiletime getsystemtimeasfiletime getsystemtimeasfiletime,getvolumenameforvolumemountpointw ntclose regopenkeyexw,getvolumepathnamesforvolumenamew getvolumepathnamesforvolumenamew ntclose,ldrgetdllhandle ldrgetprocedureaddress ldrgetdllhandle,ldrgetdllhandle ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress getsystemmetrics getsystemmetrics,ldrgetprocedureaddress ldrgetdllhandle ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress getsystemmetrics,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetdllhandle,ldrgetprocedureaddress ldrgetprocedureaddress ldrgetprocedureaddress,ldrgetprocedureaddress ldrgetprocedureaddress ldrloaddll,ldrgetprocedureaddress ldrloaddll ldrgetprocedureaddress,ldrloaddll ldrgetprocedureaddress ldrgetprocedureaddress,ldrloaddll ldrgetprocedureaddress ldrloaddll,loadresource findresourceexw loadresource,loadresource sizeofresource findresourcea,loadstringa loadstringa loadstringa,loadstringw loadstringw loadstringw,lookupprivilegevaluew ntclose lookupprivilegevaluew,ntallocatevirtualmemory getsystemmetrics getsystemmetrics,ntallocatevirtualmemory ntallocatevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory ntfreevirtualmemory ntallocatevirtualmemory,ntallocatevirtualmemory writeprocessmemory ntallocatevirtualmemory,ntclose findfirstfileexw ntclose,ntclose lookupprivilegevaluew ntclose,ntclose ntclose ntclose,ntclose ntclose ntunmapviewofsection,ntclose ntdelayexecution ntcreatemutant,ntclose ntopenkey ntqueryvaluekey,ntclose ntquerydirectoryfile ntclose,ntclose ntunmapviewofsection ntclose,ntclose regopenkeyexw regopenkeyexw,ntcreatefile ntclose ntquerydirectoryfile,ntcreatefile ntcreatesection ntmapviewofsection,ntcreatemutant ntclose ntdelayexecution,ntdelayexecution getforegroundwindow findwindowa,ntdelayexecution ntcreatemutant ntclose,ntdelayexecution ntdelayexecution ntdelayexecution,ntdelayexecution socket gethostbyname,ntenumeratevaluekey ntenumeratevaluekey ntenumeratevaluekey,ntopenkey ntqueryvaluekey ntclose,ntqueryvaluekey ntclose ntopenkey,ntqueryvaluekey ntqueryvaluekey ntqueryvaluekey,ntreadfile ntreadfile ntreadfile,ntunmapviewofsection ntclose ntclose,process32firstw process32nextw process32nextw,process32nextw process32nextw ntclose,process32nextw process32nextw process32nextw,readprocessmemory readprocessmemory readprocessmemory,regclosekey regclosekey regclosekey,regclosekey regcreatekeyexa regclosekey,regclosekey regopenkeyexa regqueryvalueexa,regclosekey regopenkeyexw regopenkeyexw,regclosekey regopenkeyexw regqueryvalueexw,regclosekey regqueryvalueexw regclosekey,regclosekey regqueryvalueexw regqueryvalueexw,regcreatekeyexa regclosekey regcreatekeyexa,regenumkeyw regenumkeyw regenumkeyw,regenumvaluew regenumvaluew regenumvaluew,regopenkeyexa regqueryvalueexa regclosekey,regopenkeyexw regclosekey regopenkeyexw,regopenkeyexw regclosekey regqueryvalueexw,regopenkeyexw regopenkeyexw regclosekey,regopenkeyexw regopenkeyexw regopenkeyexw,regopenkeyexw regopenkeyexw regqueryvalueexw,regopenkeyexw regqueryvalueexw regclosekey,regopenkeyexw regqueryvalueexw regopenkeyexw,regopenkeyexw regqueryvalueexw regqueryvalueexw,regqueryvalueexa regclosekey regopenkeyexa,regqueryvalueexw regclosekey regclosekey,regqueryvalueexw regclosekey regopenkeyexw,regqueryvalueexw regopenkeyexw regclosekey,regqueryvalueexw regopenkeyexw regqueryvalueexw,regqueryvalueexw regqueryvalueexw regclosekey,regqueryvalueexw regqueryvalueexw regopenkeyexw,regqueryvalueexw regqueryvalueexw regqueryvalueexw,shutdown closesocket ntdelayexecution,sizeofresource findresourcea loadresource,socket gethostbyname ntdelayexecution,socket gethostbyname socket,writeprocessmemory ntallocatevirtualmemory writeprocessmemory
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Beasty-50f7d2b8d30530a48f49245c15c324f1e5d13082ade08e0662e9e78634f48909.json,0.0,0.0,0.0,0.00030208672566097935,0.0,8.826874689505758e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005139121757893345,3.265528083905343e-05,2.7449951013059445e-05,0.00018352350683654363,9.574836445793623e-05,0.0,0.00020060112966405278,0.0,8.809271765468805e-06,0.0014246745665227852,0.00014920030910012938,0.0001305659515335494,0.0001305659515335494,7.891294773710096e-05,8.826874689505758e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030138642598781366,0.0,0.0003005135448301406,4.877930786930991e-05,0.0,5.2330729477578985e-05,0.0006665700417906824,0.00010688403766376935,0.00021460322807519052,0.0004845260606923875,7.005340803326168e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001303056005965962,5.2330729477578985e-05,0.0,0.0064631986211762605,5.3173127454162825e-05,0.0,0.0,0.0,0.0,0.0004275622688006411,0.0,0.6888475611215393,0.0012771424480544392,0.00015899290141470847,0.00032388668589316085,0.0031518112656204085,0.0,0.003475627071531419,0.0,0.19994014121219703,0.0013626145098449241,0.0015067821018285915,0.0015890251804062667,0.0008819799209057081,9.347467711668266e-05,0.00025387065700093007,0.00014659158524601328,0.00018694935423336533,0.6964222159030186,6.219009440320586e-05,0.00028618722254647526,0.0032823204595731226,0.00034191936657323416,0.00018694935423336533,0.0033334674598752877,0.020252846708614575,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose!gen-06c2c911d4a1afe8affd42bc6bf2519bfec332c62c6dd86b7cdd94a334ca6c60.json,0.0,0.0,7.051590517224874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999934721927084,0.0,0.0,0.0,0.004676359958212292,1.0748682021242092e-05,1.0748682021242092e-05,0.0,0.0,0.0,0.0003458629326884321,0.00029148729301547977,6.349415892468656e-06,0.0005469668697458695,6.362332140953259e-06,0.00021990855424120173,0.010012457731489004,0.00033308832590627304,0.00019609145166495909,0.000227890065448466,4.804702753928456e-05,0.0,0.0,0.0,4.657895264844014e-05,0.0,1.0748682021242092e-05,4.768239083675304e-05,4.2738021884024686e-05,0.0,0.0,0.0,0.00012579257647405632,5.939965026657042e-06,0.0,0.0004779322162827986,0.0,5.916139756074085e-06,0.0,0.0,1.0663199517676876e-05,0.0,0.0,0.0,0.0012153792427296716,0.0,0.0,0.0005447877159764223,0.0004779322162827986,0.0,0.00012108278456917423,5.395841857814045e-06,7.797373634731902e-05,7.797373634731902e-05,0.002261238354072252,5.309703681431609e-05,0.0,0.0,0.0,6.480020086785152e-06,0.00014843371946200859,0.0,0.0,0.0,0.0,0.0,0.00016275674163177266,0.00016109573352071166,0.0,3.246629822976656e-05,0.0,0.0001897103291005925,0.00033490595306931995,0.0,3.161838818343209e-05,0.0,6.310855324646777e-06,0.00021942375920470835,0.0,0.0,3.161838818343209e-05,0.0,5.6913098730177756e-05,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-6f410903b0ad82095dcc7330e61607a19dd17bb0e4d4e46310b567c6e48686a9.json,0.0,0.0,9.025213064349651e-05,4.483952210144895e-05,0.0,0.00015820617623860084,0.0,0.0,0.0,0.0,0.0,0.0,0.9999095765744518,0.0,0.0,0.0,0.0030412576711471083,2.0635588205034892e-05,2.751411760671319e-05,0.00036172113223137544,0.0,0.0,0.00018387589749187748,0.0002848896070925586,2.4379534428602712e-05,0.0003874083979726324,2.4429128301480415e-05,0.00020594435848803652,0.011596256765951085,0.0002842094610389379,0.00021027566237784087,0.000217058748260997,6.149458899967063e-05,0.00015132764683692258,0.0,0.0,0.000953849991010236,0.0,3.439264700839149e-05,3.0513948283588773e-05,1.3674920307339378e-05,0.0,4.473557479094121e-05,0.0,0.000285408771970261,2.2807386431223016e-05,0.0,0.0005845109162394103,0.0,2.2715905732165807e-05,0.0,0.0,4.776677910588939e-05,0.0,0.0,0.0,0.0002419734515522238,0.0,0.00013055383242298023,0.0006837255886521071,0.0005913075548003336,0.0,0.0053206997026034545,1.3812095954622494e-05,9.979728434868463e-05,9.979728434868463e-05,0.0022953375400197465,0.0,9.751813771441085e-05,0.0,0.0,6.634935684554467e-05,0.0002477971842830018,0.0,4.6783158245419456e-05,0.0,0.0,0.0,0.00020029772924414223,4.123674836848872e-05,2.498280692922617e-05,6.64849175728204e-05,0.00048735929391396725,1.6187139024010897e-05,0.00037093893078608625,0.0001142346033701077,4.856141707203269e-05,0.0,0.0001130802182822903,0.00018997784128363474,0.0,0.00020300794033008827,4.0467847560027245e-05,4.810509725685865e-05,2.4280708536016345e-05,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Bifrose-d54a7ad93ac7772c72adb0210b1a1342ee83531c17ac3afdfb70375e549f55fd.json,0.04527534333438259,0.0,0.0,0.17068109383677899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026183038249396478,0.026183038249396478,0.0,0.0,0.0,0.46661424034399546,0.12909866830276667,0.0,0.5174264352626303,0.0,0.05226164587083611,0.1288412431558791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026183038249396478,0.4646038874846562,0.05205341731579347,0.0,0.17028541966748892,0.0,0.027856538679907707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102536184509068,0.0,0.0,0.0,0.05153649726235165,0.0,0.43784202239111375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0515e9f30d56e2506f4cdec22b2b1c1932e655db1394abd1a97e75fd3a6ad3d1.json,0.0,0.0,0.0,0.04550227097194724,0.0016661831833009058,0.02094059174062148,0.0,0.0,0.0,0.0,0.004747368371357785,0.0,0.0,0.0,0.36244316539398486,0.0,0.03209657220439472,0.004188118348124295,0.004188118348124295,0.0,0.005164688735859132,0.004341425005522708,0.030407857053232967,0.015143354663832452,0.007421962566173408,0.033106060903805475,0.004958040422765823,0.0034831385222560416,0.8161105607734913,0.06292586362730752,0.05369007562631506,0.040611723871187035,0.024961402984097544,0.02094059174062148,0.0,0.07301426323578243,0.11131405851793164,0.0369560455682936,0.004188118348124295,0.0,0.001387704195277838,0.03705511185515534,0.043126947908518606,0.03771896118725474,0.0467859396727601,0.005400381034727999,0.0,0.004138257612975684,0.0,0.005378720041973657,0.005939707088473404,0.0,0.005539747907254836,0.0,0.0,0.0,0.0,0.29168037511291833,0.013248347843441168,0.008930502769406892,0.0027588384086504564,0.023345065230010627,0.0,0.007008122559779246,0.0,0.0,0.0,0.0,0.02721386274263583,0.015242346338989467,0.0,0.005049752326479699,0.0016763982749890996,0.01024504383576841,0.0,0.02402879794485176,0.0,0.04464990816985738,0.0016260657784018923,0.0010461561644321941,0.010140825747085797,0.010120139309585639,0.0,0.0016426392423734694,0.0025094771980375265,0.000828021740215073,0.0016426392423734694,0.0,0.002458962775647987,0.005867393962461848,0.0,0.0,0.0024639588635602043,0.0,0.023818269014415305,0.0,0.0,0.26296867853150746,0.0,0.03696136160782287
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-08303f93c3b284d52a1462eebc8a14b7f7d53d60c1f97317141564470636709e.json,0.0,0.0026600956469122247,0.01078308529733369,0.0,0.14124358214084384,0.032051309819027755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029068912297429784,0.002465485370694443,0.002465485370694443,0.01389133346848857,0.007094216244476268,0.007667204421678113,0.004068334212909831,0.012156376775103334,0.0058256042794453365,0.006496354850797325,0.005837454968346583,0.00492113719254602,0.11080684883359851,0.0,0.002431275355020667,0.004862550710041334,0.0,0.032051309819027755,0.3659921756074391,0.12894735742638008,0.0,0.06526648637912916,0.004930970741388886,0.37004115285220446,0.07842447475457498,0.0,0.0,0.0671072747626626,0.05683313902248862,0.009083220216653894,0.0,0.004872266138097994,0.013963764733161722,0.011760823505608163,0.011988413519730417,0.014000252438833414,0.0024458777702859587,0.0,0.0,0.0,0.7041734393481823,0.0,0.023397338670124473,0.011323327618031963,0.004872266138097994,0.0,0.018515624111451058,0.004950697820153376,0.0,0.0,0.0,0.0,0.03592455972324624,0.008972951285072242,0.009902521483170473,0.020809018791217555,0.01480307531529322,0.02713999849057583,0.0,0.013313326754469822,0.0,0.0,0.008615175001463403,0.007390286055382032,0.02686391584858051,0.02978790633787583,0.0895821482679494,0.017405968104472386,0.026591280021307853,0.020472671336358914,0.017405968104472386,0.010010380455482299,0.005790224866169315,0.03256676569364508,0.0,0.022738922349472442,0.014504973420393655,0.0,0.10153481394275557,0.002641748173494983,0.3659921756074391,0.0,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-0affe470bf847bcb0ed4d2c2ec83b1488c879f2f8f51f235cdd6d99a5127494a.json,0.0,0.0,0.0,0.0,0.00166291659640275,0.01811293230375079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3907322469593494,0.0,0.016427510874280585,0.0013933024849039069,0.0013933024849039069,0.03270963341595212,0.0051545632558238665,0.004332913551209341,0.002069198305566593,0.007556832900513131,0.0032921829571966954,0.0034417870604789864,0.0032988800540402594,0.002781047805201995,0.8049119497087569,0.06280249615862808,0.04671496702135391,0.0370971796934281,0.016015156478159053,0.01811293230375079,0.0,0.07287111724916169,0.0,0.036883592469816234,0.0027866049698078137,0.0,0.0013849835722465637,0.0,0.0,0.03848156820738235,0.022976518424048572,0.0038498524821591025,0.0,0.002753429648383189,0.007891244593289859,0.0030675285423409624,0.006774928192898253,0.007911864634919427,0.0034555544474299386,0.0,0.0,0.0,0.0,0.30781147807379017,0.013222374181048383,0.006170534537801374,0.002753429648383189,0.0,0.0,0.003497191494633151,0.0,0.0,0.0,0.0,0.028806600875471086,0.0008451368556076962,0.0,0.011759655090571112,0.005019334983571611,0.015337437320326348,0.0,0.0,0.0,0.0,0.0016228778425131482,0.0041764206137691225,0.015181416669908711,0.016833830942163373,0.050624932221604704,0.00983651288317668,0.010018229262507778,0.011569577408417336,0.00983651288317668,0.0,0.0032721892370887406,0.016731116611905367,0.0,0.012850287975804597,0.0081970940693139,0.0,0.057379658485197306,0.0,0.0,0.2776363614677993,0.0,0.0
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-1212624884f24fa02b7edfb148bd2986afeb9297175d15b85654ba1e5c020d1c.json,0.001286393093321022,0.0024079533267426056,0.0,0.0,0.0017757713268060941,0.02231789562638537,0.1620725168674998,0.15371826342072145,0.16352692707677136,0.0017603843404594938,0.0,0.1620725168674998,0.0,0.0,0.0,0.0,0.034207626856735805,0.004463579125277074,0.004463579125277074,0.05029846603773897,0.005504380467247077,0.004626969062917215,0.011784669669180797,0.007336074031955667,0.007910119634942155,0.01396639001326326,0.005284140488352945,0.002969785112276696,0.8697877567424015,0.06706462138365196,0.05942219965884091,0.041815621982147305,0.029453502479458486,0.02231789562638537,0.0,0.07781655486710032,0.11863540297829342,0.03938671733698774,0.004463579125277074,0.0016500792373243226,0.0014789762282805834,0.023150658273825283,0.0,0.041093140558597384,0.0451142721487361,0.006577799670809852,0.13373775173402597,0.0029402926343712133,0.008426788157560646,0.004913562028395093,0.008139051386378616,0.008448807589420635,0.004428081013254031,0.13373775173402597,0.1620725168674998,0.13482827837785177,0.0,0.0,0.014119717725951551,0.006589301187442435,0.0029402926343712133,0.0,0.0,0.006722154501985684,0.0,0.0,0.0,0.0,0.030761576358108375,0.02165982056338893,0.0,0.012557730416629914,0.006253303998047427,0.016378320764275332,0.0,0.034647767185078754,0.0,0.04758662040717453,0.001733015321320308,0.005574819559995021,0.01621171168838986,0.017976267945163372,0.05406062051163428,0.011379412554893296,0.013372652233592842,0.012354753010207607,0.011379412554893296,0.0,0.004367822652437451,0.01786658285156408,0.0,0.013722379689996332,0.009628733700294328,0.0,0.08490792444804998,0.002391344954143804,0.0,0.0,0.0,0.023092086599623775
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-230e6439bc5e230ea44f51725ca8fd1ea4ba62943f52d4b17453ccb92e6d8f7f.json,0.003838275761519413,0.0035923657149952225,0.0,0.010852282785327159,0.0019869218273177785,0.023861784847961774,0.0,0.0,0.0,0.0,0.003774154780381208,0.0,0.0,0.0,0.003647368123233917,0.0,0.03205951157874437,0.0038844766031565676,0.0038844766031565676,0.0,0.0061588862997950045,0.005177145101204904,0.023075398177644073,0.050344729897771084,0.007211667751368068,0.06579824243971238,0.005255518566399065,0.044859304480733275,0.9688419776559546,0.0,0.008755605199612363,0.006019478574733499,0.009213424630880736,0.023861784847961774,0.0,0.08706943797217671,0.08849460442416196,0.04407004843580401,0.004439401832178934,0.0,0.001654835904654572,0.01726894581776715,0.009022604119513257,0.04531300845591512,0.05372581028650413,0.005519956403323657,0.0824104461686564,0.004386549495980826,0.0,0.009163026320565662,0.006745804697451327,0.0,0.006055631997523424,0.0824104461686564,0.0,0.08327051452302844,0.0,0.008553161408413239,0.01579864193196444,0.00983041465490822,0.0032899121219856194,0.018559311737369175,0.0,0.008357179343844575,0.0,0.0,0.0,0.0,0.010489698547444463,0.02490851401570634,0.0,0.0060218247432756895,0.002665471085642066,0.012217204820653556,0.0,0.04045315511184862,0.0,0.03549664807550048,0.0019390818609514877,0.0008316934731331526,0.01209292485115189,0.012068256294530717,0.0,0.002611794267514348,0.003990065494126441,0.001974830241495555,0.002611794267514348,0.0,0.0026064984186419883,0.007996413256926198,0.0,0.0,0.002611794267514348,0.0,0.019588457006357612,0.0035675880967402577,0.0,0.0051833040274950875,0.0,0.01722525500533849
../特徴量エンジニアリング用/customdataset/FFRI2017_report\Backdoor.Breut!gm-3b084deb90958d46618becfe82e894b04eee120bd10ea4e738f59481d2a9fa27.json,0.0,0.0,0.0,0.0,0.0016854239552717165,0.0183580884759916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38673902038281516,0.0,0.01664985508767716,0.0014121606519993538,0.0014121606519993538,0.0,0.00522432959603755,0.004391558970021228,0.002097204634287582,0.0076591136465064,0.003336742223392133,0.003488371198666277,0.0033435299645664857,0.0028186889238960033,0.8144165384699303,0.06365251973886467,0.047347247996585025,0.03759928517375869,0.016231919528679042,0.0183580884759916,0.0,0.07385741830037339,0.0,0.03738280707498084,0.0028243213039987076,0.0,0.0014037291439460758,0.0,0.0,0.03900241120537621,0.022536292837732702,0.0023411758395085677,0.0,0.002790696958933022,0.0,0.0031090471403828713,0.005149969470623515,0.0,0.0035023249254008742,0.0,0.0,0.0,0.0,0.30472237165023913,0.013401337288059515,0.006254051916577964,0.002790696958933022,0.0,0.0,0.0035445255245980197,0.0,0.0,0.0,0.0,0.010010226670176398,0.0008565756725295432,0.0,0.005108065922485619,0.0016957570089294004,0.010363351687060282,0.0,0.0,0.0,0.0,0.0016448432820793612,0.0,0.010257930107369192,0.01023700478675533,0.0,0.0016616081333150996,0.0016923041144457228,0.0016751671610074393,0.0016616081333150996,0.0,0.001658238945447368,0.006783028035717602,0.0,0.0,0.0016616081333150996,0.0,0.0016616081333150996,0.0,0.0,0.2747989583462166,0.0,0.0
