[1gram]検体数 = 100, ベクトル化時間 = 0.3224804401397705
[1gram]検体数 = 500, ベクトル化時間 = 1.1409614086151123
[1gram]検体数 = 1000, ベクトル化時間 = 10.051096677780151
[1gram]検体数 = 2000, ベクトル化時間 = 21.153431177139282
[1gram]検体数 = 3000, ベクトル化時間 = 40.14421820640564
[1gram]検体数 = 4000, ベクトル化時間 = 45.86025094985962
[1gram]検体数 = 5000, ベクトル化時間 = 58.28165864944458
[1gram]検体数 = 6000, ベクトル化時間 = 71.77942824363708
[2gram]検体数 = 100, ベクトル化時間 = 0.4844498634338379
[2gram]検体数 = 500, ベクトル化時間 = 1.7527859210968018
[2gram]検体数 = 1000, ベクトル化時間 = 14.744805097579956
[2gram]検体数 = 2000, ベクトル化時間 = 30.795243501663208
[2gram]検体数 = 3000, ベクトル化時間 = 58.28055191040039
[2gram]検体数 = 4000, ベクトル化時間 = 67.07764720916748
[2gram]検体数 = 5000, ベクトル化時間 = 85.10921835899353
[2gram]検体数 = 6000, ベクトル化時間 = 105.00037717819214
[3gram]検体数 = 100, ベクトル化時間 = 0.5166869163513184
[3gram]検体数 = 500, ベクトル化時間 = 1.7885196208953857
[3gram]検体数 = 1000, ベクトル化時間 = 15.195428133010864
[3gram]検体数 = 2000, ベクトル化時間 = 31.89965009689331
[3gram]検体数 = 3000, ベクトル化時間 = 60.39257287979126
[3gram]検体数 = 4000, ベクトル化時間 = 69.72169828414917
[3gram]検体数 = 5000, ベクトル化時間 = 88.62461924552917
[3gram]検体数 = 6000, ベクトル化時間 = 109.38510131835938
