i=3, rate=85.67%, count=263
i=5, rate=71.34%, count=219
i=7, rate=67.43%, count=207
i=9, rate=54.40%, count=167
i=11, rate=60.59%, count=186
i=13, rate=52.44%, count=161
i=15, rate=46.58%, count=143
i=17, rate=37.13%, count=114
i=19, rate=44.30%, count=136
i=21, rate=32.90%, count=101
i=23, rate=40.07%, count=123
i=25, rate=32.57%, count=100
i=27, rate=37.46%, count=115
i=29, rate=35.83%, count=110
i=31, rate=36.81%, count=113
i=33, rate=35.50%, count=109
i=35, rate=27.36%, count=84
i=37, rate=19.54%, count=60
i=39, rate=21.50%, count=66
i=41, rate=26.38%, count=81
i=43, rate=26.06%, count=80
i=45, rate=31.92%, count=98
i=47, rate=28.66%, count=88
i=49, rate=22.48%, count=69
i=51, rate=23.78%, count=73
i=53, rate=17.59%, count=54
i=55, rate=18.57%, count=57
i=57, rate=15.31%, count=47
i=59, rate=14.33%, count=44
i=61, rate=22.48%, count=69
i=63, rate=24.76%, count=76
i=65, rate=23.45%, count=72
i=67, rate=25.41%, count=78
i=69, rate=20.52%, count=63
i=71, rate=17.26%, count=53
i=73, rate=22.80%, count=70
i=75, rate=14.66%, count=45
i=77, rate=18.24%, count=56
i=79, rate=21.82%, count=67
i=81, rate=18.24%, count=56
i=83, rate=16.61%, count=51
i=85, rate=16.61%, count=51
i=87, rate=22.15%, count=68
i=89, rate=13.03%, count=40
i=91, rate=14.66%, count=45
i=93, rate=17.59%, count=54
i=95, rate=16.61%, count=51
i=97, rate=14.66%, count=45
i=99, rate=14.33%, count=44
i=101, rate=11.40%, count=35
i=103, rate=9.45%, count=29
i=105, rate=5.54%, count=17
i=107, rate=6.51%, count=20
i=109, rate=8.47%, count=26
i=111, rate=9.12%, count=28
i=113, rate=7.17%, count=22
i=115, rate=7.82%, count=24
i=117, rate=4.89%, count=15
i=119, rate=10.75%, count=33
i=121, rate=14.33%, count=44
i=123, rate=23.78%, count=73
i=125, rate=23.78%, count=73
i=127, rate=23.78%, count=73
