[10]Confflict = 73, / 199
[15]Confflict = 78, / 199
[20]Confflict = 56, / 199
[25]Confflict = 71, / 199
[30]Confflict = 44, / 199
[35]Confflict = 38, / 199
[40]Confflict = 22, / 199
[45]Confflict = 30, / 199
[50]Confflict = 36, / 199
[55]Confflict = 29, / 199
[60]Confflict = 18, / 199
[65]Confflict = 21, / 199
[70]Confflict = 28, / 199
[75]Confflict = 27, / 199
[80]Confflict = 21, / 199
[85]Confflict = 27, / 199
[90]Confflict = 28, / 199
[95]Confflict = 8, / 199
[100]Confflict = 23, / 199
[105]Confflict = 18, / 199
[110]Confflict = 17, / 199
[115]Confflict = 19, / 199
[120]Confflict = 27, / 199
[125]Confflict = 14, / 199
[130]Confflict = 29, / 199
[135]Confflict = 19, / 199
[140]Confflict = 18, / 199
[145]Confflict = 16, / 199
