[10]Confflict = 13, / 199
[15]Confflict = 15, / 199
[20]Confflict = 12, / 199
[25]Confflict = 4, / 199
[30]Confflict = 4, / 199
[35]Confflict = 6, / 199
[40]Confflict = 0, / 199
[45]Confflict = 10, / 199
[50]Confflict = 5, / 199
[55]Confflict = 4, / 199
[60]Confflict = 4, / 199
[65]Confflict = 10, / 199
[70]Confflict = 4, / 199
[75]Confflict = 2, / 199
[80]Confflict = 4, / 199
[85]Confflict = 0, / 199
[90]Confflict = 0, / 199
[95]Confflict = 0, / 199
[100]Confflict = 2, / 199
[105]Confflict = 0, / 199
[110]Confflict = 0, / 199
[115]Confflict = 0, / 199
[120]Confflict = 4, / 199
[125]Confflict = 10, / 199
[130]Confflict = 10, / 199
[135]Confflict = 10, / 199
[140]Confflict = 10, / 199
[145]Confflict = 10, / 199
