[10]Confflict = 93, / 199
[15]Confflict = 82, / 199
[20]Confflict = 47, / 199
[25]Confflict = 54, / 199
[30]Confflict = 45, / 199
[35]Confflict = 31, / 199
[40]Confflict = 45, / 199
[45]Confflict = 47, / 199
[50]Confflict = 40, / 199
[55]Confflict = 18, / 199
[60]Confflict = 18, / 199
[65]Confflict = 30, / 199
[70]Confflict = 28, / 199
[75]Confflict = 18, / 199
[80]Confflict = 20, / 199
[85]Confflict = 24, / 199
[90]Confflict = 21, / 199
[95]Confflict = 19, / 199
[100]Confflict = 22, / 199
[105]Confflict = 6, / 199
[110]Confflict = 2, / 199
[115]Confflict = 6, / 199
[120]Confflict = 10, / 199
[125]Confflict = 32, / 199
[130]Confflict = 32, / 199
[135]Confflict = 32, / 199
[140]Confflict = 32, / 199
[145]Confflict = 32, / 199
