[10]Confflict = 91, / 199
[15]Confflict = 90, / 199
[20]Confflict = 61, / 199
[25]Confflict = 45, / 199
[30]Confflict = 48, / 199
[35]Confflict = 36, / 199
[40]Confflict = 40, / 199
[45]Confflict = 30, / 199
[50]Confflict = 31, / 199
[55]Confflict = 44, / 199
[60]Confflict = 20, / 199
[65]Confflict = 28, / 199
[70]Confflict = 25, / 199
[75]Confflict = 18, / 199
[80]Confflict = 22, / 199
[85]Confflict = 11, / 199
[90]Confflict = 15, / 199
[95]Confflict = 33, / 199
[100]Confflict = 12, / 199
[105]Confflict = 17, / 199
[110]Confflict = 16, / 199
[115]Confflict = 22, / 199
[120]Confflict = 10, / 199
[125]Confflict = 14, / 199
[130]Confflict = 12, / 199
[135]Confflict = 12, / 199
[140]Confflict = 12, / 199
[145]Confflict = 18, / 199
