[10]Confflict = 111, / 199
[15]Confflict = 77, / 199
[20]Confflict = 50, / 199
[25]Confflict = 55, / 199
[30]Confflict = 41, / 199
[35]Confflict = 42, / 199
[40]Confflict = 44, / 199
[45]Confflict = 22, / 199
[50]Confflict = 28, / 199
[55]Confflict = 42, / 199
[60]Confflict = 25, / 199
[65]Confflict = 32, / 199
[70]Confflict = 34, / 199
[75]Confflict = 35, / 199
[80]Confflict = 34, / 199
[85]Confflict = 32, / 199
[90]Confflict = 34, / 199
[95]Confflict = 34, / 199
[100]Confflict = 36, / 199
[105]Confflict = 37, / 199
[110]Confflict = 32, / 199
[115]Confflict = 32, / 199
[120]Confflict = 32, / 199
[125]Confflict = 32, / 199
[130]Confflict = 32, / 199
[135]Confflict = 32, / 199
[140]Confflict = 32, / 199
[145]Confflict = 32, / 199
