,max,min,mean,median,variance
[Normal]command_line,35,0,0.32355273592386996,0.0,2.4984051458278262
[Malware]command_line,42,0,3.5683333333333334,3.0,7.878562691131498
[Normal]connects_host,4,0,0.011895321173671689,0.0,0.02287426204951978
[Malware]connects_host,9,0,0.1275,0.0,0.2214282735613011
[Normal]connects_ip,2,0,0.003965107057890563,0.0,0.00553982100373853
[Malware]connects_ip,9,0,0.5975,0.0,2.1989929107589656
[Normal]directory_created,104,0,1.422680412371134,0.0,27.374374079528717
[Malware]directory_created,45,0,2.7975,2.0,11.814672643869892
[Normal]directory_enumerated,25702,0,25.675654242664553,0.0,525516.8717004645
[Malware]directory_enumerated,1262,0,112.87916666666666,42.0,15193.243935918821
[Normal]directory_removed,15,0,0.11181601903251388,0.0,0.5946301121558853
[Malware]directory_removed,36,0,0.09583333333333334,0.0,1.1943112315818738
[Normal]dll_loaded,153,0,19.061855670103093,14.0,287.74220258550156
[Malware]dll_loaded,108,0,42.12416666666667,43.0,400.93286002224073
[Normal]downloads_file,0,0,0.0,0.0,0.0
[Malware]downloads_file,4,0,0.05416666666666667,0.0,0.06295176536002224
[Normal]fetches_url,4,0,0.00951625693893735,0.0,0.022131591203756153
[Malware]fetches_url,3,0,0.07916666666666666,0.0,0.13968237420072283
[Normal]file_copied,8,0,0.026169706582077717,0.0,0.08899714260539003
[Malware]file_copied,8,0,0.3825,0.0,0.8785925771476231
[Normal]file_created,1002,0,5.44964314036479,0.0,2147.1032161423914
[Malware]file_created,780,0,13.839166666666667,8.0,1453.3244029747011
[Normal]file_deleted,73,0,1.1371927042030134,0.0,20.840687033470537
[Malware]file_deleted,774,0,4.789166666666667,1.0,1351.4959626077286
[Normal]file_exists,12873,0,26.065820777160983,2.0,137494.30439434564
[Malware]file_exists,4592,0,180.88916666666665,39.5,89894.5940443425
[Normal]file_failed,1406,0,7.195876288659794,1.0,3610.270332187858
[Malware]file_failed,1517,0,19.829166666666666,12.0,9444.5020676953
[Normal]file_moved,109,0,0.10547184773988898,0.0,9.510295431944916
[Malware]file_moved,325,0,10.776666666666667,0.0,394.1585877119822
[Normal]file_opened,1703,0,19.244250594766058,3.0,5954.302199060962
[Malware]file_opened,2313,0,67.71916666666667,36.0,19408.262184459272
[Normal]file_read,1200,0,5.433782712133228,1.0,1289.0569213146532
[Malware]file_read,787,0,29.27166666666667,18.0,1908.8569113149847
[Normal]file_recreated,61,0,0.5019825535289453,0.0,5.954956383822363
[Malware]file_recreated,14,0,0.5391666666666667,0.0,2.1636023074784543
[Normal]file_written,1001,0,5.368754956383822,0.0,2139.26946741689
[Malware]file_written,792,0,23.67,8.0,1854.8301251042535
[Normal]guid,112,0,6.266455194290246,0.0,225.76386591644322
[Malware]guid,91,0,31.500833333333333,13.0,961.4011669446761
[Normal]mutex,34,0,1.2196669310071373,0.0,12.562025603262716
[Malware]mutex,44,0,6.650833333333333,3.0,47.46346886294134
[Normal]regkey_deleted,38,0,0.344964314036479,0.0,3.407095653487406
[Malware]regkey_deleted,174,0,2.09,0.0,32.05527939949958
[Normal]regkey_opened,92013,0,275.04599524187154,27.0,12013122.628041489
[Malware]regkey_opened,1823,1,314.39416666666665,234.0,73975.67853141506
[Normal]regkey_read,13768,0,390.7390959555908,28.0,854727.189811563
[Malware]regkey_read,3617,2,861.4375,646.0,960295.5040137614
[Normal]regkey_written,562,0,3.671689135606661,0.0,483.9381581763025
[Malware]regkey_written,264,0,8.175,8.0,129.45058381984987
[Normal]resolves_host,10,0,0.08643933386201427,0.0,0.2631572322293972
[Malware]resolves_host,16,0,0.8158333333333333,0.0,3.4281060606060607
[Normal]tls_master,0,0,0.0,0.0,0.0
[Malware]tls_master,4,0,0.021666666666666667,0.0,0.03289129830414234
[Normal]wmi_query,25,0,0.040444091990483745,0.0,0.5848709137368931
[Malware]wmi_query,7,0,0.235,0.0,0.2816763969974979
