,max,min,mean,median,pstev
[Normal]command_line,35,0,0.32355273592386996,0.0,1.5800075496820856
[Malware]command_line,42,0,3.5683333333333334,3.0,2.8057079716574607
[Normal]connects_host,4,0,0.011895321173671689,0.0,0.15118241389110199
[Malware]connects_host,9,0,0.1275,0.0,0.47036554933370706
[Normal]connects_ip,2,0,0.003965107057890563,0.0,0.07440045569125403
[Malware]connects_ip,9,0,0.5975,0.0,1.482282164996485
[Normal]directory_created,104,0,1.422680412371134,0.0,5.229977592184799
[Malware]directory_created,45,0,2.7975,2.0,3.435815344766557
[Normal]directory_enumerated,25702,0,25.675654242664553,0.0,724.6379272223201
[Malware]directory_enumerated,1262,0,112.87916666666666,42.0,123.20950815300561
[Normal]directory_removed,15,0,0.11181601903251388,0.0,0.7708168120539255
[Malware]directory_removed,36,0,0.09583333333333334,0.0,1.0923900275186615
[Normal]dll_loaded,153,0,19.061855670103093,14.0,16.95623828736305
[Malware]dll_loaded,108,0,42.12416666666667,43.0,20.014963135253474
[Normal]downloads_file,0,0,0.0,0.0,0.0
[Malware]downloads_file,4,0,0.05416666666666667,0.0,0.2507973396102031
[Normal]fetches_url,4,0,0.00951625693893735,0.0,0.14870790287694624
[Malware]fetches_url,3,0,0.07916666666666666,0.0,0.37358529444053634
[Normal]file_copied,8,0,0.026169706582077717,0.0,0.2982055766844991
[Malware]file_copied,8,0,0.3825,0.0,0.9369420561948677
[Normal]file_created,1002,0,5.44964314036479,0.0,46.3184684258787
[Malware]file_created,780,0,13.839166666666667,8.0,38.10660440534627
[Normal]file_deleted,73,0,1.1371927042030134,0.0,4.563349638414856
[Malware]file_deleted,774,0,4.789166666666667,1.0,36.74737699444985
[Normal]file_exists,12873,0,26.065820777160983,2.0,370.65518810208346
[Malware]file_exists,4592,0,180.88916666666665,39.5,299.69931912274825
[Normal]file_failed,1406,0,7.195876288659794,1.0,60.0616958677729
[Malware]file_failed,1517,0,19.829166666666666,12.0,97.14232676493576
[Normal]file_moved,109,0,0.10547184773988898,0.0,3.0826536561924938
[Malware]file_moved,325,0,10.776666666666667,0.0,19.84515362052464
[Normal]file_opened,1703,0,19.244250594766058,3.0,77.13352260804702
[Malware]file_opened,2313,0,67.71916666666667,36.0,139.255479722124
[Normal]file_read,1200,0,5.433782712133228,1.0,35.88919992943988
[Malware]file_read,787,0,29.27166666666667,18.0,43.672258897636866
[Normal]file_recreated,61,0,0.5019825535289453,0.0,2.439310143443219
[Malware]file_recreated,14,0,0.5391666666666667,0.0,1.470305854424703
[Normal]file_written,1001,0,5.368754956383822,0.0,46.23389428681185
[Malware]file_written,792,0,23.67,8.0,43.04979016596171
[Normal]guid,112,0,6.266455194290246,0.0,15.019481693347839
[Malware]guid,91,0,31.500833333333333,13.0,30.993547704410275
[Normal]mutex,34,0,1.2196669310071373,0.0,3.5428891667658102
[Malware]mutex,44,0,6.650833333333333,3.0,6.886502448429262
[Normal]regkey_deleted,38,0,0.344964314036479,0.0,1.8450999305411335
[Malware]regkey_deleted,174,0,2.09,0.0,5.659378646694941
[Normal]regkey_opened,92013,0,275.04599524187154,27.0,3464.6206090389664
[Malware]regkey_opened,1823,1,314.39416666666665,234.0,271.8713521734846
[Normal]regkey_read,13768,0,390.7390959555908,28.0,924.1479171912819
[Malware]regkey_read,3617,2,861.4375,646.0,979.5382880522928
[Normal]regkey_written,562,0,3.671689135606661,0.0,21.989870050889092
[Malware]regkey_written,264,0,8.175,8.0,11.37289357786018
[Normal]resolves_host,10,0,0.08643933386201427,0.0,0.5127850845233582
[Malware]resolves_host,16,0,0.8158333333333333,0.0,1.8507429063907164
[Normal]tls_master,0,0,0.0,0.0,0.0
[Malware]tls_master,4,0,0.021666666666666667,0.0,0.1812840006423316
[Normal]wmi_query,25,0,0.040444091990483745,0.0,0.764465236998577
[Malware]wmi_query,7,0,0.235,0.0,0.5305107601799106
